"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
1	0	2	1	1	1	"3;2;1"	"id_070"	0	1
2	0.755	1	2	1	3	"3;2;1"	"id_070"	0	1
3	0.662	3	2	1	5	"3;2;1"	"id_070"	0	1
4	0.921	3	3	1	8	"3;2;1"	"id_070"	0	1
5	0.615	1	2	1	10	"3;2;1"	"id_070"	0	1
6	0.629	3	-1	1	9	"3;2;1"	"id_070"	0	1
7	0.709	2	5	1	14	"3;2;1"	"id_070"	0	1
8	0.531	1	0	1	14	"3;2;1"	"id_070"	0	1
9	0.55	2	1	1	15	"3;2;1"	"id_070"	0	1
10	0.573	2	3	1	18	"3;2;1"	"id_070"	0	1
11	0.592	2	4	1	22	"3;2;1"	"id_070"	0	1
12	0.823	2	2	1	24	"3;2;1"	"id_070"	0	1
13	0.893	2	4	1	28	"3;2;1"	"id_070"	0	1
14	0.676	2	2	1	30	"3;2;1"	"id_070"	0	1
15	0.563	2	4	1	34	"3;2;1"	"id_070"	0	1
16	0.569	2	2	1	36	"3;2;1"	"id_070"	0	1
17	0.515	2	7	1	43	"3;2;1"	"id_070"	0	1
18	0.526	2	4	1	47	"3;2;1"	"id_070"	0	1
19	0.526	2	2	1	49	"3;2;1"	"id_070"	0	1
20	0.498	2	2	1	51	"3;2;1"	"id_070"	0	1
0	-38.235	0	0	2	0	"3;2;1"	"id_070"	0	1
1	49.432	1	2	2	2	"2;3;1"	"id_070"	0	1
2	0.484	2	0	2	2	"2;3;1"	"id_070"	0	1
3	0.517	3	5	2	7	"2;3;1"	"id_070"	0	1
4	0.937	1	0	2	7	"2;3;1"	"id_070"	0	1
5	0.538	3	2	2	9	"2;3;1"	"id_070"	0	1
6	0.538	3	3	2	12	"2;3;1"	"id_070"	0	1
7	0.498	3	3	2	15	"2;3;1"	"id_070"	0	1
8	0.508	3	6	2	21	"2;3;1"	"id_070"	0	1
9	0.754	3	5	2	26	"2;3;1"	"id_070"	0	1
10	0.575	3	3	2	29	"2;3;1"	"id_070"	0	1
11	0.568	3	2	2	31	"2;3;1"	"id_070"	0	1
12	0.505	3	7	2	38	"2;3;1"	"id_070"	0	1
13	0.529	3	1	2	39	"2;3;1"	"id_070"	0	1
14	0.482	3	4	2	43	"2;3;1"	"id_070"	0	1
15	0.435	3	1	2	44	"2;3;1"	"id_070"	0	1
16	0.496	3	3	2	47	"2;3;1"	"id_070"	0	1
17	0.496	3	2	2	49	"2;3;1"	"id_070"	0	1
18	0.427	3	1	2	50	"2;3;1"	"id_070"	0	1
19	0.459	3	4	2	54	"2;3;1"	"id_070"	0	1
20	0.464	3	3	2	57	"2;3;1"	"id_070"	0	1
21	0.445	3	0	2	57	"2;3;1"	"id_070"	0	1
22	0.386	3	1	2	58	"2;3;1"	"id_070"	0	1
23	0.626	3	1	2	59	"2;3;1"	"id_070"	0	1
24	0.41	3	0	2	59	"2;3;1"	"id_070"	0	1
25	0.67	3	0	2	59	"2;3;1"	"id_070"	0	1
26	0.473	2	-6	2	53	"2;3;1"	"id_070"	0	1
27	0.791	3	5	2	58	"2;3;1"	"id_070"	0	1
28	0.499	3	3	2	61	"2;3;1"	"id_070"	0	1
29	0.51	3	2	2	63	"2;3;1"	"id_070"	0	1
30	0.393	3	2	2	65	"2;3;1"	"id_070"	0	1
31	0.357	3	2	2	67	"2;3;1"	"id_070"	0	1
32	0.618	3	3	2	70	"2;3;1"	"id_070"	0	1
33	0.609	3	4	2	74	"2;3;1"	"id_070"	0	1
34	0.625	3	2	2	76	"2;3;1"	"id_070"	0	1
35	0.56	3	1	2	77	"2;3;1"	"id_070"	0	1
36	0.448	3	4	2	81	"2;3;1"	"id_070"	0	1
37	0.491	3	6	2	87	"2;3;1"	"id_070"	0	1
38	0.228	3	4	2	91	"2;3;1"	"id_070"	0	1
39	0.333	3	5	2	96	"2;3;1"	"id_070"	0	1
40	0.326	3	3	2	99	"2;3;1"	"id_070"	0	1
41	0.316	3	3	2	102	"2;3;1"	"id_070"	0	1
42	0.248	3	6	2	108	"2;3;1"	"id_070"	0	1
43	0.345	3	5	2	113	"2;3;1"	"id_070"	0	1
44	0.417	3	4	2	117	"2;3;1"	"id_070"	0	1
45	0.342	3	4	2	121	"2;3;1"	"id_070"	0	1
46	0.321	3	4	2	125	"2;3;1"	"id_070"	0	1
47	0.186	3	1	2	126	"2;3;1"	"id_070"	0	1
48	0.427	3	2	2	128	"2;3;1"	"id_070"	0	1
49	0.407	3	4	2	132	"2;3;1"	"id_070"	0	1
50	0.394	3	4	2	136	"2;3;1"	"id_070"	0	1
0	-72.843	0	0	3	0	"2;3;1"	"id_070"	0	1
