"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,2,1,2,"2;1","1PgCIQlq",100,4,5,2,1,2
2,1.29395754201371,1,3,1,5,"2;1","1PgCIQlq",100,4,5,2,1,2
3,0.527574019541045,1,1,1,6,"2;1","1PgCIQlq",100,4,5,2,1,2
4,0.772342414791962,2,4,1,10,"2;1","1PgCIQlq",100,4,5,2,1,2
5,0.909719627228795,2,4,1,14,"2;1","1PgCIQlq",100,4,5,2,1,2
6,1.48414220854874,1,2,1,16,"2;1","1PgCIQlq",100,4,5,2,1,2
7,0.805096529064905,1,2,1,18,"2;1","1PgCIQlq",100,4,5,2,1,2
8,0.5,1,2,1,20,"2;1","1PgCIQlq",100,4,5,2,1,2
9,0.5425957603995,2,2,1,22,"2;1","1PgCIQlq",100,4,5,2,1,2
10,1.23669592625124,1,1,1,23,"2;1","1PgCIQlq",100,4,5,2,1,2
11,0.836628933044493,2,6,1,29,"2;1","1PgCIQlq",100,4,5,2,1,2
12,0.5,2,5,1,34,"2;1","1PgCIQlq",100,4,5,2,1,2
13,0.907699308598526,2,4,1,38,"2;1","1PgCIQlq",100,4,5,2,1,2
14,0.881649481389639,1,1,1,39,"2;1","1PgCIQlq",100,4,5,2,1,2
15,0.514242794584268,2,5,1,44,"2;1","1PgCIQlq",100,4,5,2,1,2
16,0.837929936416053,2,5,1,49,"2;1","1PgCIQlq",100,4,5,2,1,2
17,0.895832050084116,1,5,1,54,"2;1","1PgCIQlq",100,4,5,2,1,2
18,1.0444900902729,1,2,1,56,"2;1","1PgCIQlq",100,4,5,2,1,2
19,1.54855786964747,2,3,1,59,"2;1","1PgCIQlq",100,4,5,2,1,2
20,0.91031423821774,2,3,1,62,"2;1","1PgCIQlq",100,4,5,2,1,2
1,0.601799574328555,1,15,2,15,"2;1","1PgCIQlq",100,4,5,2,1,2
2,1.05167669222508,1,1,2,16,"2;1","1PgCIQlq",100,4,5,2,1,2
3,0.563265122017908,1,-13,2,3,"2;1","1PgCIQlq",100,4,5,2,1,2
4,0.60679985480569,1,1,2,4,"2;1","1PgCIQlq",100,4,5,2,1,2
5,0.741851451808928,1,0,2,4,"2;1","1PgCIQlq",100,4,5,2,1,2
6,0.531593943558494,1,6,2,10,"2;1","1PgCIQlq",100,4,5,2,1,2
7,0.5,1,-15,2,-5,"2;1","1PgCIQlq",100,4,5,2,1,2
8,0.682426645835118,2,2,2,-3,"2;1","1PgCIQlq",100,4,5,2,1,2
9,0.905412179714331,1,18,2,15,"2;1","1PgCIQlq",100,4,5,2,1,2
10,0.950806853051535,1,2,2,17,"2;1","1PgCIQlq",100,4,5,2,1,2
11,0.798446082385569,1,15,2,32,"2;1","1PgCIQlq",100,4,5,2,1,2
12,0.977024040474907,1,-10,2,22,"2;1","1PgCIQlq",100,4,5,2,1,2
13,0.633761664206896,1,12,2,34,"2;1","1PgCIQlq",100,4,5,2,1,2
14,0.686666929817393,1,1,2,35,"2;1","1PgCIQlq",100,4,5,2,1,2
15,0.678655435641726,2,5,2,40,"2;1","1PgCIQlq",100,4,5,2,1,2
16,0.988369201460438,1,-4,2,36,"2;1","1PgCIQlq",100,4,5,2,1,2
17,0.802319495126888,1,5,2,41,"2;1","1PgCIQlq",100,4,5,2,1,2
18,0.984107807189932,1,4,2,45,"2;1","1PgCIQlq",100,4,5,2,1,2
19,0.716174257704167,1,17,2,62,"2;1","1PgCIQlq",100,4,5,2,1,2
20,0.933958170173826,1,-1,2,61,"2;1","1PgCIQlq",100,4,5,2,1,2
21,0.621111671611019,1,7,2,68,"2;1","1PgCIQlq",100,4,5,2,1,2
22,0.617307745158216,1,7,2,75,"2;1","1PgCIQlq",100,4,5,2,1,2
23,1.19665916582038,1,0,2,75,"2;1","1PgCIQlq",100,4,5,2,1,2
24,0.807876002549245,1,-2,2,73,"2;1","1PgCIQlq",100,4,5,2,1,2
25,0.822285895253854,1,15,2,88,"2;1","1PgCIQlq",100,4,5,2,1,2
1,0.5,1,6,3,6,"1;2","1PgCIQlq",100,4,5,2,1,2
2,1.01178004919672,2,16,3,22,"1;2","1PgCIQlq",100,4,5,2,1,2
3,1.12167513934699,2,-2,3,20,"1;2","1PgCIQlq",100,4,5,2,1,2
4,0.853640302609577,2,-7,3,13,"1;2","1PgCIQlq",100,4,5,2,1,2
5,0.93367974639847,2,-7,3,6,"1;2","1PgCIQlq",100,4,5,2,1,2
6,1.33455282643784,2,4,3,10,"1;2","1PgCIQlq",100,4,5,2,1,2
7,1.16037341085598,2,-7,3,3,"1;2","1PgCIQlq",100,4,5,2,1,2
8,0.86218917887784,1,9,3,12,"1;2","1PgCIQlq",100,4,5,2,1,2
9,0.556609393835096,2,3,3,15,"1;2","1PgCIQlq",100,4,5,2,1,2
10,1.39287525646243,1,8,3,23,"1;2","1PgCIQlq",100,4,5,2,1,2
11,0.950723966702931,2,8,3,31,"1;2","1PgCIQlq",100,4,5,2,1,2
12,0.782442770539979,1,5,3,36,"1;2","1PgCIQlq",100,4,5,2,1,2
13,0.980768984349301,1,2,3,38,"1;2","1PgCIQlq",100,4,5,2,1,2
14,0.568536280481755,1,0,3,38,"1;2","1PgCIQlq",100,4,5,2,1,2
15,0.708765511337888,2,-1,3,37,"1;2","1PgCIQlq",100,4,5,2,1,2
16,0.525572997241528,1,3,3,40,"1;2","1PgCIQlq",100,4,5,2,1,2
17,0.862846694178836,1,5,3,45,"1;2","1PgCIQlq",100,4,5,2,1,2
18,1.18912529807478,1,8,3,53,"1;2","1PgCIQlq",100,4,5,2,1,2
19,0.890485272367842,1,3,3,56,"1;2","1PgCIQlq",100,4,5,2,1,2
20,1.09858550122593,2,3,3,59,"1;2","1PgCIQlq",100,4,5,2,1,2
21,1.31537743020089,2,-14,3,45,"1;2","1PgCIQlq",100,4,5,2,1,2
22,0.72783575682112,2,11,3,56,"1;2","1PgCIQlq",100,4,5,2,1,2
23,1.02304771605492,2,-9,3,47,"1;2","1PgCIQlq",100,4,5,2,1,2
24,0.5,2,8,3,55,"1;2","1PgCIQlq",100,4,5,2,1,2
25,0.5,1,2,3,57,"1;2","1PgCIQlq",100,4,5,2,1,2
1,0.826735313669425,1,16,4,16,"2;1","1PgCIQlq",100,4,5,2,1,2
2,0.963384730910097,1,-5,4,11,"2;1","1PgCIQlq",100,4,5,2,1,2
3,0.5,1,20,4,31,"2;1","1PgCIQlq",100,4,5,2,1,2
4,0.782400916607692,1,13,4,44,"2;1","1PgCIQlq",100,4,5,2,1,2
5,0.659384815607393,2,5,4,49,"2;1","1PgCIQlq",100,4,5,2,1,2
6,0.865222535632661,1,11,4,60,"2;1","1PgCIQlq",100,4,5,2,1,2
7,1.10225466023692,1,4,4,64,"2;1","1PgCIQlq",100,4,5,2,1,2
8,0.896530581009322,1,-6,4,58,"2;1","1PgCIQlq",100,4,5,2,1,2
9,0.539437613166939,2,1,4,59,"2;1","1PgCIQlq",100,4,5,2,1,2
10,1.1703787616974,1,-15,4,44,"2;1","1PgCIQlq",100,4,5,2,1,2
11,1.12054031336757,2,5,4,49,"2;1","1PgCIQlq",100,4,5,2,1,2
12,0.5,2,4,4,53,"2;1","1PgCIQlq",100,4,5,2,1,2
13,0.724919018253476,2,-1,4,52,"2;1","1PgCIQlq",100,4,5,2,1,2
14,0.952251846507068,2,4,4,56,"2;1","1PgCIQlq",100,4,5,2,1,2
15,0.544570001746555,2,2,4,58,"2;1","1PgCIQlq",100,4,5,2,1,2
16,1.17696966434324,1,9,4,67,"2;1","1PgCIQlq",100,4,5,2,1,2
17,1.0086606831489,2,5,4,72,"2;1","1PgCIQlq",100,4,5,2,1,2
18,0.793959233164772,2,4,4,76,"2;1","1PgCIQlq",100,4,5,2,1,2
19,1.41304482776578,2,6,4,82,"2;1","1PgCIQlq",100,4,5,2,1,2
20,0.5,2,-1,4,81,"2;1","1PgCIQlq",100,4,5,2,1,2
21,1.14832884827647,1,-1,4,80,"2;1","1PgCIQlq",100,4,5,2,1,2
22,0.860255979392653,1,11,4,91,"2;1","1PgCIQlq",100,4,5,2,1,2
23,0.868486310923029,1,-7,4,84,"2;1","1PgCIQlq",100,4,5,2,1,2
24,0.625483307415898,1,-10,4,74,"2;1","1PgCIQlq",100,4,5,2,1,2
25,0.758584256263265,1,-18,4,56,"2;1","1PgCIQlq",100,4,5,2,1,2
1,1.32964870071214,2,-3,5,-3,"1;2","1PgCIQlq",100,4,5,2,1,2
2,0.758045660082887,2,27,5,24,"1;2","1PgCIQlq",100,4,5,2,1,2
3,0.913403511268294,2,16,5,40,"1;2","1PgCIQlq",100,4,5,2,1,2
4,0.611909342370967,2,10,5,50,"1;2","1PgCIQlq",100,4,5,2,1,2
5,0.930157072026815,1,8,5,58,"1;2","1PgCIQlq",100,4,5,2,1,2
6,0.838011248050857,1,4,5,62,"1;2","1PgCIQlq",100,4,5,2,1,2
7,0.935523170578437,2,6,5,68,"1;2","1PgCIQlq",100,4,5,2,1,2
8,1.01007839294114,1,3,5,71,"1;2","1PgCIQlq",100,4,5,2,1,2
9,0.537245899365281,1,3,5,74,"1;2","1PgCIQlq",100,4,5,2,1,2
10,1.36010547678005,2,5,5,79,"1;2","1PgCIQlq",100,4,5,2,1,2
11,0.640233300139385,1,4,5,83,"1;2","1PgCIQlq",100,4,5,2,1,2
12,0.73434720544291,1,2,5,85,"1;2","1PgCIQlq",100,4,5,2,1,2
13,0.609643872545179,1,2,5,87,"1;2","1PgCIQlq",100,4,5,2,1,2
14,0.5,1,7,5,94,"1;2","1PgCIQlq",100,4,5,2,1,2
15,1.27713640056254,1,0,5,94,"1;2","1PgCIQlq",100,4,5,2,1,2
16,0.5,1,-2,5,92,"1;2","1PgCIQlq",100,4,5,2,1,2
17,0.650195205159231,2,19,5,111,"1;2","1PgCIQlq",100,4,5,2,1,2
18,0.7534052235068,1,4,5,115,"1;2","1PgCIQlq",100,4,5,2,1,2
19,0.875686742978678,1,2,5,117,"1;2","1PgCIQlq",100,4,5,2,1,2
20,0.702465709495738,1,6,5,123,"1;2","1PgCIQlq",100,4,5,2,1,2
21,0.998784123869077,1,2,5,125,"1;2","1PgCIQlq",100,4,5,2,1,2
22,0.952712725364818,1,3,5,128,"1;2","1PgCIQlq",100,4,5,2,1,2
23,0.610585278631536,2,-6,5,122,"1;2","1PgCIQlq",100,4,5,2,1,2
24,0.770954022077802,2,14,5,136,"1;2","1PgCIQlq",100,4,5,2,1,2
