"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.621030967673989,2,4,1,4,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
2,1.26640912712391,2,6,1,10,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
3,0.541361274260952,2,-1,1,9,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
4,0.532106762529609,2,2,1,11,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
5,0.920012302063236,2,4,1,15,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
6,0.681117904246336,2,5,1,20,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
7,0.564289623299711,2,2,1,22,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
8,0.915580971756675,2,2,1,24,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
9,0.741392055528799,2,4,1,28,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
10,1.04050641039408,2,3,1,31,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
11,0.858960729018747,2,2,1,33,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
12,0.904833909678226,2,1,1,34,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
13,0.525806488834829,2,2,1,36,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
14,1.14672701391981,2,5,1,41,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
15,0.706571911388355,2,0,1,41,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
16,0.898968547725216,2,3,1,44,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
17,0.5323404693076,2,5,1,49,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
18,0.887209516113036,2,5,1,54,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
19,0.5,2,5,1,59,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
20,0.949405219030889,2,6,1,65,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
1,1.3081358223643,2,3,2,3,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
2,0.873388166340778,2,1,2,4,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
3,0.728824580309884,2,2,2,6,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
4,1.25512025964732,2,2,2,8,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
5,0.5,2,3,2,11,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
6,0.781749694987088,2,1,2,12,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
7,0.816094930385997,2,1,2,13,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
8,0.529084274705753,2,3,2,16,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
9,0.626521950951446,2,5,2,21,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
10,0.5,2,2,2,23,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
11,0.941380644239257,2,3,2,26,"2;1","1iVnnoOL",0,3,NA,0,0.83,1
