"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.617432573118501,1,4,1,4,"2;1","25ItlH2M",100,4,3,0,0.6,3
2,0.884933642334122,1,2,1,6,"2;1","25ItlH2M",100,4,3,0,0.6,3
3,0.676098320363816,1,3,1,9,"2;1","25ItlH2M",100,4,3,0,0.6,3
4,0.863660136624082,2,2,1,11,"2;1","25ItlH2M",100,4,3,0,0.6,3
5,0.989904546765533,1,4,1,15,"2;1","25ItlH2M",100,4,3,0,0.6,3
6,0.5,2,5,1,20,"2;1","25ItlH2M",100,4,3,0,0.6,3
7,0.973814831009724,2,4,1,24,"2;1","25ItlH2M",100,4,3,0,0.6,3
8,0.509952367566822,2,1,1,25,"2;1","25ItlH2M",100,4,3,0,0.6,3
9,0.714498648461618,1,0,1,25,"2;1","25ItlH2M",100,4,3,0,0.6,3
10,1.41861878346995,1,2,1,27,"2;1","25ItlH2M",100,4,3,0,0.6,3
11,0.627046138313455,2,2,1,29,"2;1","25ItlH2M",100,4,3,0,0.6,3
12,0.805417852878087,2,1,1,30,"2;1","25ItlH2M",100,4,3,0,0.6,3
13,0.647652078533245,2,5,1,35,"2;1","25ItlH2M",100,4,3,0,0.6,3
14,1.10858873749964,1,4,1,39,"2;1","25ItlH2M",100,4,3,0,0.6,3
15,0.938319501302242,2,4,1,43,"2;1","25ItlH2M",100,4,3,0,0.6,3
16,0.682294353346796,1,4,1,47,"2;1","25ItlH2M",100,4,3,0,0.6,3
17,0.84013536286505,2,3,1,50,"2;1","25ItlH2M",100,4,3,0,0.6,3
18,1.05223530994853,1,2,1,52,"2;1","25ItlH2M",100,4,3,0,0.6,3
19,0.756458048868787,2,3,1,55,"2;1","25ItlH2M",100,4,3,0,0.6,3
20,0.944218842619685,1,4,1,59,"2;1","25ItlH2M",100,4,3,0,0.6,3
1,1.01553342723111,1,-1,2,-1,"1;2","25ItlH2M",100,4,3,0,0.6,3
2,1.0124821155245,1,-3,2,-4,"1;2","25ItlH2M",100,4,3,0,0.6,3
3,0.615598598781218,2,0,2,-4,"1;2","25ItlH2M",100,4,3,0,0.6,3
4,1.00998900529962,1,4,2,0,"1;2","25ItlH2M",100,4,3,0,0.6,3
5,0.5,1,1,2,1,"1;2","25ItlH2M",100,4,3,0,0.6,3
6,0.610514839019455,1,8,2,9,"1;2","25ItlH2M",100,4,3,0,0.6,3
7,0.589646111759509,1,3,2,12,"1;2","25ItlH2M",100,4,3,0,0.6,3
8,0.780423612767848,1,-2,2,10,"1;2","25ItlH2M",100,4,3,0,0.6,3
9,0.956969122260321,1,1,2,11,"1;2","25ItlH2M",100,4,3,0,0.6,3
10,1.32108679081127,1,7,2,18,"1;2","25ItlH2M",100,4,3,0,0.6,3
11,0.5,1,1,2,19,"1;2","25ItlH2M",100,4,3,0,0.6,3
12,1.12315286552457,1,2,2,21,"1;2","25ItlH2M",100,4,3,0,0.6,3
13,0.874854134153655,1,6,2,27,"1;2","25ItlH2M",100,4,3,0,0.6,3
14,1.16093572371009,2,-7,2,20,"1;2","25ItlH2M",100,4,3,0,0.6,3
15,0.5,1,3,2,23,"1;2","25ItlH2M",100,4,3,0,0.6,3
16,0.740799395709355,1,5,2,28,"1;2","25ItlH2M",100,4,3,0,0.6,3
17,0.654154833694569,2,-21,2,7,"1;2","25ItlH2M",100,4,3,0,0.6,3
18,0.832268304289263,2,-8,2,-1,"1;2","25ItlH2M",100,4,3,0,0.6,3
19,1.13053049538359,2,-6,2,-7,"1;2","25ItlH2M",100,4,3,0,0.6,3
20,0.867678677115877,2,12,2,5,"1;2","25ItlH2M",100,4,3,0,0.6,3
21,0.5,1,-1,2,4,"1;2","25ItlH2M",100,4,3,0,0.6,3
22,0.936249320241838,2,8,2,12,"1;2","25ItlH2M",100,4,3,0,0.6,3
23,1.14811923067908,2,-6,2,6,"1;2","25ItlH2M",100,4,3,0,0.6,3
24,0.993547349857035,1,6,2,12,"1;2","25ItlH2M",100,4,3,0,0.6,3
25,0.778488442167319,2,-12,2,0,"1;2","25ItlH2M",100,4,3,0,0.6,3
1,0.889299589039654,2,5,3,5,"2;1","25ItlH2M",100,4,3,0,0.6,3
2,1.07324101883247,1,12,3,17,"2;1","25ItlH2M",100,4,3,0,0.6,3
3,0.789617887691882,1,25,3,42,"2;1","25ItlH2M",100,4,3,0,0.6,3
4,0.71844669624809,1,0,3,42,"2;1","25ItlH2M",100,4,3,0,0.6,3
5,0.84189933529168,1,-12,3,30,"2;1","25ItlH2M",100,4,3,0,0.6,3
6,0.961872686759431,1,4,3,34,"2;1","25ItlH2M",100,4,3,0,0.6,3
