"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.912090229871,1,2,1,2,"1;2","2D6KFHn7",100,5,2,0,0.4,3
2,1.07299700019101,1,3,1,5,"1;2","2D6KFHn7",100,5,2,0,0.4,3
3,1.13399838965841,1,5,1,10,"1;2","2D6KFHn7",100,5,2,0,0.4,3
4,1.08338532250676,1,4,1,14,"1;2","2D6KFHn7",100,5,2,0,0.4,3
5,1.03523128720974,1,3,1,17,"1;2","2D6KFHn7",100,5,2,0,0.4,3
6,1.31048976635785,1,7,1,24,"1;2","2D6KFHn7",100,5,2,0,0.4,3
7,0.870449320196327,1,2,1,26,"1;2","2D6KFHn7",100,5,2,0,0.4,3
8,0.509913342463286,1,1,1,27,"1;2","2D6KFHn7",100,5,2,0,0.4,3
9,0.985158562303125,1,0,1,27,"1;2","2D6KFHn7",100,5,2,0,0.4,3
10,0.556521280915157,1,-1,1,26,"1;2","2D6KFHn7",100,5,2,0,0.4,3
11,0.5,1,2,1,28,"1;2","2D6KFHn7",100,5,2,0,0.4,3
12,1.20662785828536,1,1,1,29,"1;2","2D6KFHn7",100,5,2,0,0.4,3
13,0.757905124050049,1,6,1,35,"1;2","2D6KFHn7",100,5,2,0,0.4,3
14,0.713183993356715,2,3,1,38,"1;2","2D6KFHn7",100,5,2,0,0.4,3
15,0.952620886918577,1,4,1,42,"1;2","2D6KFHn7",100,5,2,0,0.4,3
16,0.699803852742754,2,3,1,45,"1;2","2D6KFHn7",100,5,2,0,0.4,3
17,0.767433142523912,1,5,1,50,"1;2","2D6KFHn7",100,5,2,0,0.4,3
18,0.768320082884566,2,0,1,50,"1;2","2D6KFHn7",100,5,2,0,0.4,3
19,0.645528637366404,2,3,1,53,"1;2","2D6KFHn7",100,5,2,0,0.4,3
20,0.960910781841561,1,6,1,59,"1;2","2D6KFHn7",100,5,2,0,0.4,3
1,0.5,2,7,2,7,"2;1","2D6KFHn7",100,5,2,0,0.4,3
2,0.992876286527364,2,4,2,11,"2;1","2D6KFHn7",100,5,2,0,0.4,3
3,0.74213997351648,2,9,2,20,"2;1","2D6KFHn7",100,5,2,0,0.4,3
4,0.5,2,0,2,20,"2;1","2D6KFHn7",100,5,2,0,0.4,3
5,0.665006625078345,2,5,2,25,"2;1","2D6KFHn7",100,5,2,0,0.4,3
6,0.928540082000622,2,0,2,25,"2;1","2D6KFHn7",100,5,2,0,0.4,3
7,0.872778448627179,2,4,2,29,"2;1","2D6KFHn7",100,5,2,0,0.4,3
8,1.18789782323095,2,4,2,33,"2;1","2D6KFHn7",100,5,2,0,0.4,3
9,0.578800103800659,2,4,2,37,"2;1","2D6KFHn7",100,5,2,0,0.4,3
10,1.24782746170489,2,3,2,40,"2;1","2D6KFHn7",100,5,2,0,0.4,3
11,1.13023545346772,2,1,2,41,"2;1","2D6KFHn7",100,5,2,0,0.4,3
12,1.29232467429543,2,1,2,42,"2;1","2D6KFHn7",100,5,2,0,0.4,3
13,1.1068597192146,2,7,2,49,"2;1","2D6KFHn7",100,5,2,0,0.4,3
14,0.775564860990213,2,7,2,56,"2;1","2D6KFHn7",100,5,2,0,0.4,3
15,0.578369659570443,2,5,2,61,"2;1","2D6KFHn7",100,5,2,0,0.4,3
16,0.744689604260924,1,-13,2,48,"2;1","2D6KFHn7",100,5,2,0,0.4,3
17,0.763195128529905,2,4,2,52,"2;1","2D6KFHn7",100,5,2,0,0.4,3
18,0.5,2,1,2,53,"2;1","2D6KFHn7",100,5,2,0,0.4,3
19,0.917268146900931,2,5,2,58,"2;1","2D6KFHn7",100,5,2,0,0.4,3
20,0.815244314752635,1,-4,2,54,"2;1","2D6KFHn7",100,5,2,0,0.4,3
21,0.927104467514577,1,0,2,54,"2;1","2D6KFHn7",100,5,2,0,0.4,3
22,0.688841710733378,1,10,2,64,"2;1","2D6KFHn7",100,5,2,0,0.4,3
23,0.911395473340388,2,4,2,68,"2;1","2D6KFHn7",100,5,2,0,0.4,3
24,0.779920314151216,1,0,2,68,"2;1","2D6KFHn7",100,5,2,0,0.4,3
25,0.918577526933303,1,1,2,69,"2;1","2D6KFHn7",100,5,2,0,0.4,3
1,0.5,2,4,3,4,"2;1","2D6KFHn7",100,5,2,0,0.4,3
2,0.961756359460851,1,1,3,5,"2;1","2D6KFHn7",100,5,2,0,0.4,3
3,0.502896317627239,2,1,3,6,"2;1","2D6KFHn7",100,5,2,0,0.4,3
4,0.786462331958608,1,23,3,29,"2;1","2D6KFHn7",100,5,2,0,0.4,3
5,0.869439881293736,2,3,3,32,"2;1","2D6KFHn7",100,5,2,0,0.4,3
6,0.512721765438778,1,15,3,47,"2;1","2D6KFHn7",100,5,2,0,0.4,3
7,0.724433792016283,1,5,3,52,"2;1","2D6KFHn7",100,5,2,0,0.4,3
8,0.890947570064742,1,-19,3,33,"2;1","2D6KFHn7",100,5,2,0,0.4,3
9,0.720613168933279,2,4,3,37,"2;1","2D6KFHn7",100,5,2,0,0.4,3
10,0.679730641167866,1,4,3,41,"2;1","2D6KFHn7",100,5,2,0,0.4,3
11,0.70976203569012,1,14,3,55,"2;1","2D6KFHn7",100,5,2,0,0.4,3
12,0.927133482632309,2,5,3,60,"2;1","2D6KFHn7",100,5,2,0,0.4,3
13,0.59930641266531,1,17,3,77,"2;1","2D6KFHn7",100,5,2,0,0.4,3
14,0.838866542541162,2,2,3,79,"2;1","2D6KFHn7",100,5,2,0,0.4,3
15,1.02303776179058,2,4,3,83,"2;1","2D6KFHn7",100,5,2,0,0.4,3
16,0.5,2,3,3,86,"2;1","2D6KFHn7",100,5,2,0,0.4,3
17,0.734990273590481,2,2,3,88,"2;1","2D6KFHn7",100,5,2,0,0.4,3
18,0.5,2,5,3,93,"2;1","2D6KFHn7",100,5,2,0,0.4,3
19,1.02985023742995,2,4,3,97,"2;1","2D6KFHn7",100,5,2,0,0.4,3
20,0.521385091185295,2,6,3,103,"2;1","2D6KFHn7",100,5,2,0,0.4,3
21,0.649517975097887,2,2,3,105,"2;1","2D6KFHn7",100,5,2,0,0.4,3
22,0.522553455297717,2,5,3,110,"2;1","2D6KFHn7",100,5,2,0,0.4,3
23,0.5,2,3,3,113,"2;1","2D6KFHn7",100,5,2,0,0.4,3
24,0.726918719305544,2,2,3,115,"2;1","2D6KFHn7",100,5,2,0,0.4,3
25,1.01768279283621,1,0,3,115,"2;1","2D6KFHn7",100,5,2,0,0.4,3
1,0.841268710503523,2,4,4,4,"2;1","2D6KFHn7",100,5,2,0,0.4,3
2,0.5098147116301,2,6,4,10,"2;1","2D6KFHn7",100,5,2,0,0.4,3
3,0.804231709374531,1,13,4,23,"2;1","2D6KFHn7",100,5,2,0,0.4,3
4,0.770812017150728,1,7,4,30,"2;1","2D6KFHn7",100,5,2,0,0.4,3
5,0.5,1,9,4,39,"2;1","2D6KFHn7",100,5,2,0,0.4,3
6,0.768754263046438,1,16,4,55,"2;1","2D6KFHn7",100,5,2,0,0.4,3
7,0.963342035771703,1,-16,4,39,"2;1","2D6KFHn7",100,5,2,0,0.4,3
8,0.845940450079418,1,1,4,40,"2;1","2D6KFHn7",100,5,2,0,0.4,3
9,0.595677272802433,1,-6,4,34,"2;1","2D6KFHn7",100,5,2,0,0.4,3
10,0.838062485297475,1,1,4,35,"2;1","2D6KFHn7",100,5,2,0,0.4,3
11,0.850582321194838,1,-12,4,23,"2;1","2D6KFHn7",100,5,2,0,0.4,3
12,1.13919109157181,1,-5,4,18,"2;1","2D6KFHn7",100,5,2,0,0.4,3
13,0.690031374071132,1,-20,4,-2,"2;1","2D6KFHn7",100,5,2,0,0.4,3
14,0.947971255578837,1,-10,4,-12,"2;1","2D6KFHn7",100,5,2,0,0.4,3
15,0.927998293828167,2,5,4,-7,"2;1","2D6KFHn7",100,5,2,0,0.4,3
16,1.09750615509186,2,8,4,1,"2;1","2D6KFHn7",100,5,2,0,0.4,3
17,0.781581265590613,1,-3,4,-2,"2;1","2D6KFHn7",100,5,2,0,0.4,3
18,0.57561548570014,1,15,4,13,"2;1","2D6KFHn7",100,5,2,0,0.4,3
19,0.75997540204524,2,3,4,16,"2;1","2D6KFHn7",100,5,2,0,0.4,3
20,0.965350462059883,1,2,4,18,"2;1","2D6KFHn7",100,5,2,0,0.4,3
21,0.980196244840725,1,21,4,39,"2;1","2D6KFHn7",100,5,2,0,0.4,3
22,0.792178376020229,1,-2,4,37,"2;1","2D6KFHn7",100,5,2,0,0.4,3
23,0.636064712831142,1,7,4,44,"2;1","2D6KFHn7",100,5,2,0,0.4,3
