"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.15474255129592,1,2,1,2,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
2,0.973479921042141,1,5,1,7,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
3,0.711658996050574,2,4,1,11,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
4,1.25229033328775,1,6,1,17,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
5,0.5,1,2,1,19,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
6,0.775045618618886,1,4,1,23,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
7,1.36097146375506,1,1,1,24,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
8,1.22598609006571,2,7,1,31,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
9,0.551272588033514,2,8,1,39,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
10,0.77561181203373,1,4,1,43,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
11,0.701695576474912,2,0,1,43,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
12,0.845976985897033,2,0,1,43,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
13,0.541140146470295,1,4,1,47,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
14,1.41089381279445,1,3,1,50,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
15,0.812811408530819,1,1,1,51,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
16,0.727088010374937,2,4,1,55,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
17,0.620423906940586,2,5,1,60,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
18,0.938426109120636,2,5,1,65,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
19,0.714936520298021,1,5,1,70,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
20,0.735731952048222,1,5,1,75,"1;2","2ImFsoVj",0,3,NA,0,0.61,1
1,0.868600490850233,1,8,2,8,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
2,0.940820380540101,1,-6,2,2,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
3,0.525357914413509,1,-4,2,-2,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
4,0.922103230039578,1,-4,2,-6,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
5,0.827088753247748,2,1,2,-5,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
6,0.950332837416166,2,3,2,-2,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
7,0.84971516415955,2,5,2,3,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
8,0.50065511287719,2,3,2,6,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
9,0.5,1,-7,2,-1,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
10,0.664239517526964,2,0,2,-1,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
11,0.593198202833513,1,10,2,9,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
12,0.524840410790802,2,3,2,12,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
13,0.57725038226719,2,3,2,15,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
14,0.887620030315367,2,6,2,21,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
15,0.582266569839639,2,5,2,26,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
16,0.5,2,5,2,31,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
17,0.970030182710322,2,9,2,40,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
18,0.72658286055743,2,0,2,40,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
19,0.564327244446928,2,2,2,42,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
20,0.967109441749387,2,-3,2,39,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
21,0.790835008843868,2,1,2,40,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
22,0.769514679831554,2,4,2,44,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
23,0.736870644813074,1,1,2,45,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
24,0.5,1,20,2,65,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
25,0.727458619371789,1,10,2,75,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
1,0.831576446865109,2,2,3,2,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
2,1.12054954163711,2,1,3,3,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
3,0.725292065046475,2,2,3,5,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
4,0.5,2,4,3,9,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
5,0.525981445868078,2,6,3,15,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
6,0.848786780727543,2,4,3,19,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
7,0.5,2,2,3,21,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
8,1.08005193641928,2,1,3,22,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
9,0.589882541288186,2,1,3,23,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
10,0.636508514164388,2,2,3,25,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
11,0.589283603731193,2,1,3,26,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
12,0.669195428056011,2,4,3,30,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
13,0.5,2,2,3,32,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
14,0.71270934985771,2,5,3,37,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
15,1.01590335161218,1,13,3,50,"2;1","2ImFsoVj",0,3,NA,0,0.61,1
