"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.881606321775461,1,2,1,2,"1;2","2dHry3IP",100,4,5,0,1,3
2,0.919109814153163,2,5,1,7,"1;2","2dHry3IP",100,4,5,0,1,3
3,0.720117723114685,1,1,1,8,"1;2","2dHry3IP",100,4,5,0,1,3
4,0.60113033232352,1,3,1,11,"1;2","2dHry3IP",100,4,5,0,1,3
5,0.941360392112885,2,1,1,12,"1;2","2dHry3IP",100,4,5,0,1,3
6,0.571059823017257,1,2,1,14,"1;2","2dHry3IP",100,4,5,0,1,3
7,1.13449941729156,2,1,1,15,"1;2","2dHry3IP",100,4,5,0,1,3
8,0.63031808117033,2,5,1,20,"1;2","2dHry3IP",100,4,5,0,1,3
9,0.871168662494331,2,5,1,25,"1;2","2dHry3IP",100,4,5,0,1,3
10,0.608041071008266,2,3,1,28,"1;2","2dHry3IP",100,4,5,0,1,3
11,0.724895555384728,2,4,1,32,"1;2","2dHry3IP",100,4,5,0,1,3
12,0.5,1,0,1,32,"1;2","2dHry3IP",100,4,5,0,1,3
13,0.5,1,3,1,35,"1;2","2dHry3IP",100,4,5,0,1,3
14,0.849368529265536,1,2,1,37,"1;2","2dHry3IP",100,4,5,0,1,3
15,0.720946040288729,1,3,1,40,"1;2","2dHry3IP",100,4,5,0,1,3
16,0.628183813678861,2,3,1,43,"1;2","2dHry3IP",100,4,5,0,1,3
17,1.01669044196947,2,2,1,45,"1;2","2dHry3IP",100,4,5,0,1,3
18,0.791858732802287,1,4,1,49,"1;2","2dHry3IP",100,4,5,0,1,3
19,0.558364754834088,2,6,1,55,"1;2","2dHry3IP",100,4,5,0,1,3
20,1.07632978694994,1,3,1,58,"1;2","2dHry3IP",100,4,5,0,1,3
1,0.5,1,2,2,2,"1;2","2dHry3IP",100,4,5,0,1,3
2,0.88863684312904,2,24,2,26,"1;2","2dHry3IP",100,4,5,0,1,3
3,1.14886957776686,2,-5,2,21,"1;2","2dHry3IP",100,4,5,0,1,3
4,0.728133084605539,2,10,2,31,"1;2","2dHry3IP",100,4,5,0,1,3
5,0.993565276415533,2,22,2,53,"1;2","2dHry3IP",100,4,5,0,1,3
6,0.909211972856335,1,7,2,60,"1;2","2dHry3IP",100,4,5,0,1,3
7,0.963296744541886,1,6,2,66,"1;2","2dHry3IP",100,4,5,0,1,3
8,0.634828033128745,2,-4,2,62,"1;2","2dHry3IP",100,4,5,0,1,3
9,1.05722655393284,2,2,2,64,"1;2","2dHry3IP",100,4,5,0,1,3
