"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.760222105482535,2,2,1,2,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
2,0.781000933091173,2,4,1,6,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
3,1.05706116535036,2,4,1,10,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
4,0.5,1,3,1,13,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
5,0.736878277894138,2,2,1,15,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
6,0.5,1,1,1,16,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
7,0.620809705760968,1,2,1,18,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
8,1.22331826308709,2,0,1,18,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
9,0.622414510064965,1,5,1,23,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
10,0.908951931847269,2,2,1,25,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
11,0.879132753883319,1,5,1,30,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
12,0.683078211022889,1,2,1,32,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
13,0.912463034839912,1,5,1,37,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
14,0.727432876442438,1,4,1,41,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
15,0.597801442785057,1,1,1,42,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
16,1.08992643983273,1,6,1,48,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
17,1.02288006712255,1,4,1,52,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
18,0.862120755998418,1,2,1,54,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
19,0.813134203391934,2,5,1,59,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
20,0.632164429926311,1,3,1,62,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
1,0.569395417579259,1,25,2,25,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
2,0.5,2,0,2,25,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
3,1.03984835396627,1,-3,2,22,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
4,1.04146501600422,2,1,2,23,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
5,0.639437037940159,2,3,2,26,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
6,0.737436676744877,2,3,2,29,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
7,0.661885203504961,2,5,2,34,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
8,1.12010760050308,2,6,2,40,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
9,0.836409706192646,1,16,2,56,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
10,0.563358185967252,1,2,2,58,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
11,0.5,1,6,2,64,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
12,0.689594789598761,1,-3,2,61,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
13,1.17396072958961,2,0,2,61,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
14,0.582807352909317,1,-3,2,58,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
15,0.838736304431409,2,4,2,62,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
16,0.565642278313936,1,12,2,74,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
17,0.617594169268673,1,11,2,85,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
18,0.845397790120148,1,34,2,119,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
19,1.13623899739222,2,6,2,125,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
20,0.752780573082493,2,3,2,128,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
21,0.516550560228128,1,-7,2,121,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
22,0.697705944759693,2,1,2,122,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
23,0.762971606154325,1,10,2,132,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
24,0.5,1,-6,2,126,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
25,0.50366632793524,1,22,2,148,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
1,0.5,2,1,3,1,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
2,0.69725241345092,2,2,3,3,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
3,1.03681652866027,1,4,3,7,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
4,0.748939272317984,2,0,3,7,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
5,0.853979814507185,1,3,3,10,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
6,0.674144123914788,1,13,3,23,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
7,0.618147233332311,1,-8,3,15,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
8,0.5,1,5,3,20,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
9,0.863735645037953,2,4,3,24,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
10,0.711625432389493,1,-2,3,22,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
11,0.944875190413961,2,4,3,26,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
12,0.5,1,6,3,32,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
13,1.10447084548625,1,-6,3,26,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
14,1.40012567630939,2,7,3,33,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
15,0.555417158074545,2,3,3,36,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
16,0.5,1,10,3,46,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
17,0.723341553462733,1,-7,3,39,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
18,0.600829742444724,2,2,3,41,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
19,0.759113893327833,2,-1,3,40,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
20,0.50400156075511,1,4,3,44,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
21,0.5,2,6,3,50,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
22,0.820277483962694,2,-2,3,48,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
23,0.843917883400515,2,-5,3,43,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
24,0.903149555816059,1,28,3,71,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
25,1.37541085453876,2,3,3,74,"2;1","2nMf2HBj",0,3,NA,1,1.01,1
1,0.661980995447328,2,-1,4,-1,"1;2","2nMf2HBj",0,3,NA,1,1.01,1
2,0.902235072017436,2,-13,4,-14,"1;2","2nMf2HBj",0,3,NA,1,1.01,1
3,1.01747332069276,1,0,4,-14,"1;2","2nMf2HBj",0,3,NA,1,1.01,1
4,0.997872332421182,1,2,4,-12,"1;2","2nMf2HBj",0,3,NA,1,1.01,1
5,0.69212397020485,2,3,4,-9,"1;2","2nMf2HBj",0,3,NA,1,1.01,1
6,0.5,1,2,4,-7,"1;2","2nMf2HBj",0,3,NA,1,1.01,1
7,0.863959119596373,2,9,4,2,"1;2","2nMf2HBj",0,3,NA,1,1.01,1
