"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.912885155885196,1,2,1,2,"2;1","3Rehvy79",100,4,5,1,1,2
2,0.736286505173527,2,4,1,6,"2;1","3Rehvy79",100,4,5,1,1,2
3,0.502201960584792,1,6,1,12,"2;1","3Rehvy79",100,4,5,1,1,2
4,0.871482446067428,1,6,1,18,"2;1","3Rehvy79",100,4,5,1,1,2
5,0.5,1,3,1,21,"2;1","3Rehvy79",100,4,5,1,1,2
6,0.716034768345404,2,4,1,25,"2;1","3Rehvy79",100,4,5,1,1,2
7,1.08567650595634,1,2,1,27,"2;1","3Rehvy79",100,4,5,1,1,2
8,0.507957173476389,2,5,1,32,"2;1","3Rehvy79",100,4,5,1,1,2
9,0.704081789634394,1,2,1,34,"2;1","3Rehvy79",100,4,5,1,1,2
10,0.969740763258237,1,2,1,36,"2;1","3Rehvy79",100,4,5,1,1,2
11,0.705776057441466,1,0,1,36,"2;1","3Rehvy79",100,4,5,1,1,2
12,0.885553694505417,1,-1,1,35,"2;1","3Rehvy79",100,4,5,1,1,2
13,0.701503298424242,1,5,1,40,"2;1","3Rehvy79",100,4,5,1,1,2
14,0.58419455153791,1,1,1,41,"2;1","3Rehvy79",100,4,5,1,1,2
15,0.836934886733508,1,3,1,44,"2;1","3Rehvy79",100,4,5,1,1,2
16,0.76270470722646,2,7,1,51,"2;1","3Rehvy79",100,4,5,1,1,2
17,0.633401643889394,1,6,1,57,"2;1","3Rehvy79",100,4,5,1,1,2
18,1.2660723371806,2,5,1,62,"2;1","3Rehvy79",100,4,5,1,1,2
19,0.839353500499052,2,1,1,63,"2;1","3Rehvy79",100,4,5,1,1,2
20,0.993729728723578,2,6,1,69,"2;1","3Rehvy79",100,4,5,1,1,2
1,0.991421435823794,1,7,2,7,"1;2","3Rehvy79",100,4,5,1,1,2
2,0.707055637830439,1,9,2,16,"1;2","3Rehvy79",100,4,5,1,1,2
3,0.928298666506533,1,3,2,19,"1;2","3Rehvy79",100,4,5,1,1,2
4,0.651048916225809,1,4,2,23,"1;2","3Rehvy79",100,4,5,1,1,2
5,0.914025954128965,1,2,2,25,"1;2","3Rehvy79",100,4,5,1,1,2
6,1.04660728715527,1,3,2,28,"1;2","3Rehvy79",100,4,5,1,1,2
7,0.604828650277913,1,5,2,33,"1;2","3Rehvy79",100,4,5,1,1,2
8,0.980013765100762,2,0,2,33,"1;2","3Rehvy79",100,4,5,1,1,2
9,1.25949024336549,1,9,2,42,"1;2","3Rehvy79",100,4,5,1,1,2
10,0.794833602841556,2,4,2,46,"1;2","3Rehvy79",100,4,5,1,1,2
11,0.659173759136805,1,1,2,47,"1;2","3Rehvy79",100,4,5,1,1,2
12,0.617543249817093,1,0,2,47,"1;2","3Rehvy79",100,4,5,1,1,2
13,1.22687850546583,2,8,2,55,"1;2","3Rehvy79",100,4,5,1,1,2
14,0.706903980988113,2,-4,2,51,"1;2","3Rehvy79",100,4,5,1,1,2
15,0.689963567594215,1,2,2,53,"1;2","3Rehvy79",100,4,5,1,1,2
16,0.569618454964283,2,5,2,58,"1;2","3Rehvy79",100,4,5,1,1,2
17,0.5,1,0,2,58,"1;2","3Rehvy79",100,4,5,1,1,2
