"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.813628583563679,2,2,1,2,"1;2","3dslbAmF",0,1,NA,0,1.03,3
2,0.630259498388418,2,6,1,8,"1;2","3dslbAmF",0,1,NA,0,1.03,3
3,1.03199722658037,2,-2,1,6,"1;2","3dslbAmF",0,1,NA,0,1.03,3
4,1.05446009462228,2,3,1,9,"1;2","3dslbAmF",0,1,NA,0,1.03,3
5,0.954471910009795,2,3,1,12,"1;2","3dslbAmF",0,1,NA,0,1.03,3
6,0.853476233253075,2,-1,1,11,"1;2","3dslbAmF",0,1,NA,0,1.03,3
7,0.613459410345818,2,4,1,15,"1;2","3dslbAmF",0,1,NA,0,1.03,3
8,0.875050878029055,2,7,1,22,"1;2","3dslbAmF",0,1,NA,0,1.03,3
9,0.684393657777786,2,1,1,23,"1;2","3dslbAmF",0,1,NA,0,1.03,3
10,1.14087351866873,2,6,1,29,"1;2","3dslbAmF",0,1,NA,0,1.03,3
11,0.628053526144883,2,1,1,30,"1;2","3dslbAmF",0,1,NA,0,1.03,3
12,0.871761846353171,2,4,1,34,"1;2","3dslbAmF",0,1,NA,0,1.03,3
13,0.606588298457278,2,5,1,39,"1;2","3dslbAmF",0,1,NA,0,1.03,3
14,0.628994187374429,2,2,1,41,"1;2","3dslbAmF",0,1,NA,0,1.03,3
15,0.561679757970369,2,1,1,42,"1;2","3dslbAmF",0,1,NA,0,1.03,3
16,0.5,2,3,1,45,"1;2","3dslbAmF",0,1,NA,0,1.03,3
17,1.309861099612,2,4,1,49,"1;2","3dslbAmF",0,1,NA,0,1.03,3
18,0.657763964666245,2,2,1,51,"1;2","3dslbAmF",0,1,NA,0,1.03,3
19,0.823295087607147,2,7,1,58,"1;2","3dslbAmF",0,1,NA,0,1.03,3
20,0.5,2,4,1,62,"1;2","3dslbAmF",0,1,NA,0,1.03,3
1,0.971299950040807,2,2,2,2,"2;1","3dslbAmF",0,1,NA,0,1.03,3
2,0.5,2,7,2,9,"2;1","3dslbAmF",0,1,NA,0,1.03,3
3,0.905258816701482,2,0,2,9,"2;1","3dslbAmF",0,1,NA,0,1.03,3
4,0.710871177603572,2,2,2,11,"2;1","3dslbAmF",0,1,NA,0,1.03,3
5,0.5,2,4,2,15,"2;1","3dslbAmF",0,1,NA,0,1.03,3
