"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.03430330169185,1,3,1,3,"2;1","3tBpkoUg",100,6,2,0,0.4,1
2,0.5,1,3,1,6,"2;1","3tBpkoUg",100,6,2,0,0.4,1
3,1.04695410758761,2,3,1,9,"2;1","3tBpkoUg",100,6,2,0,0.4,1
4,0.933729184559076,2,3,1,12,"2;1","3tBpkoUg",100,6,2,0,0.4,1
5,0.543408723278725,2,1,1,13,"2;1","3tBpkoUg",100,6,2,0,0.4,1
6,0.784142170396949,1,5,1,18,"2;1","3tBpkoUg",100,6,2,0,0.4,1
7,0.690743784909698,2,3,1,21,"2;1","3tBpkoUg",100,6,2,0,0.4,1
8,1.04766295883522,2,6,1,27,"2;1","3tBpkoUg",100,6,2,0,0.4,1
9,0.597530943341478,2,6,1,33,"2;1","3tBpkoUg",100,6,2,0,0.4,1
10,1.17812015600554,2,7,1,40,"2;1","3tBpkoUg",100,6,2,0,0.4,1
11,0.956863810203711,2,4,1,44,"2;1","3tBpkoUg",100,6,2,0,0.4,1
12,0.937292135013596,2,3,1,47,"2;1","3tBpkoUg",100,6,2,0,0.4,1
13,0.5,2,2,1,49,"2;1","3tBpkoUg",100,6,2,0,0.4,1
14,0.902232268293387,2,0,1,49,"2;1","3tBpkoUg",100,6,2,0,0.4,1
15,0.922056456703291,2,5,1,54,"2;1","3tBpkoUg",100,6,2,0,0.4,1
16,0.86931169189917,2,3,1,57,"2;1","3tBpkoUg",100,6,2,0,0.4,1
17,0.70054449763412,2,1,1,58,"2;1","3tBpkoUg",100,6,2,0,0.4,1
18,0.687744088909772,2,0,1,58,"2;1","3tBpkoUg",100,6,2,0,0.4,1
19,1.09376691067492,1,4,1,62,"2;1","3tBpkoUg",100,6,2,0,0.4,1
20,1.05311758497402,1,1,1,63,"2;1","3tBpkoUg",100,6,2,0,0.4,1
1,1.1123258469125,1,22,2,22,"2;1","3tBpkoUg",100,6,2,0,0.4,1
2,1.21678697833908,2,1,2,23,"2;1","3tBpkoUg",100,6,2,0,0.4,1
3,0.538559144872567,1,-1,2,22,"2;1","3tBpkoUg",100,6,2,0,0.4,1
4,1.06767126583426,1,2,2,24,"2;1","3tBpkoUg",100,6,2,0,0.4,1
5,0.983871444986309,2,0,2,24,"2;1","3tBpkoUg",100,6,2,0,0.4,1
6,1.01042632236299,2,3,2,27,"2;1","3tBpkoUg",100,6,2,0,0.4,1
7,0.585966844907389,1,1,2,28,"2;1","3tBpkoUg",100,6,2,0,0.4,1
8,0.901704997553067,1,6,2,34,"2;1","3tBpkoUg",100,6,2,0,0.4,1
9,0.896718958103718,1,-3,2,31,"2;1","3tBpkoUg",100,6,2,0,0.4,1
10,0.975365650382585,2,-3,2,28,"2;1","3tBpkoUg",100,6,2,0,0.4,1
11,0.5,1,11,2,39,"2;1","3tBpkoUg",100,6,2,0,0.4,1
12,0.878274862391713,2,5,2,44,"2;1","3tBpkoUg",100,6,2,0,0.4,1
13,0.896496074753199,2,3,2,47,"2;1","3tBpkoUg",100,6,2,0,0.4,1
14,0.686626453322986,2,1,2,48,"2;1","3tBpkoUg",100,6,2,0,0.4,1
15,0.542898414153665,1,25,2,73,"2;1","3tBpkoUg",100,6,2,0,0.4,1
16,0.5,1,-1,2,72,"2;1","3tBpkoUg",100,6,2,0,0.4,1
17,0.5,2,0,2,72,"2;1","3tBpkoUg",100,6,2,0,0.4,1
18,0.908962669000983,1,-14,2,58,"2;1","3tBpkoUg",100,6,2,0,0.4,1
19,1.27593018698009,1,10,2,68,"2;1","3tBpkoUg",100,6,2,0,0.4,1
20,0.673251702171647,2,4,2,72,"2;1","3tBpkoUg",100,6,2,0,0.4,1
21,1.28778518463751,2,1,2,73,"2;1","3tBpkoUg",100,6,2,0,0.4,1
22,1.19660925108814,1,17,2,90,"2;1","3tBpkoUg",100,6,2,0,0.4,1
23,0.743005786365136,1,-14,2,76,"2;1","3tBpkoUg",100,6,2,0,0.4,1
24,0.624160214204779,1,10,2,86,"2;1","3tBpkoUg",100,6,2,0,0.4,1
25,0.783002304124901,1,-3,2,83,"2;1","3tBpkoUg",100,6,2,0,0.4,1
1,0.674784460916567,1,0,3,0,"2;1","3tBpkoUg",100,6,2,0,0.4,1
2,0.738099631570979,2,2,3,2,"2;1","3tBpkoUg",100,6,2,0,0.4,1
3,1.05697437052414,2,3,3,5,"2;1","3tBpkoUg",100,6,2,0,0.4,1
4,0.914037164613425,1,0,3,5,"2;1","3tBpkoUg",100,6,2,0,0.4,1
5,0.914080757520776,1,13,3,18,"2;1","3tBpkoUg",100,6,2,0,0.4,1
6,0.815733665282615,2,2,3,20,"2;1","3tBpkoUg",100,6,2,0,0.4,1
7,0.606520076957176,1,-3,3,17,"2;1","3tBpkoUg",100,6,2,0,0.4,1
8,0.870707203237972,1,10,3,27,"2;1","3tBpkoUg",100,6,2,0,0.4,1
9,0.5,1,0,3,27,"2;1","3tBpkoUg",100,6,2,0,0.4,1
10,0.600667731056387,1,7,3,34,"2;1","3tBpkoUg",100,6,2,0,0.4,1
11,0.613191719996056,1,12,3,46,"2;1","3tBpkoUg",100,6,2,0,0.4,1
12,0.505670030873187,1,25,3,71,"2;1","3tBpkoUg",100,6,2,0,0.4,1
13,0.68299589609178,1,-1,3,70,"2;1","3tBpkoUg",100,6,2,0,0.4,1
14,0.509391461405731,2,2,3,72,"2;1","3tBpkoUg",100,6,2,0,0.4,1
15,0.609346656403669,2,4,3,76,"2;1","3tBpkoUg",100,6,2,0,0.4,1
16,0.5,2,3,3,79,"2;1","3tBpkoUg",100,6,2,0,0.4,1
17,0.817958517234651,1,-4,3,75,"2;1","3tBpkoUg",100,6,2,0,0.4,1
18,0.768079586364339,1,-15,3,60,"2;1","3tBpkoUg",100,6,2,0,0.4,1
19,1.12450404862132,2,6,3,66,"2;1","3tBpkoUg",100,6,2,0,0.4,1
20,0.989243870309994,1,-3,3,63,"2;1","3tBpkoUg",100,6,2,0,0.4,1
21,0.767296026876864,1,4,3,67,"2;1","3tBpkoUg",100,6,2,0,0.4,1
22,0.571366337823055,2,2,3,69,"2;1","3tBpkoUg",100,6,2,0,0.4,1
23,0.5,1,-12,3,57,"2;1","3tBpkoUg",100,6,2,0,0.4,1
24,0.936508675710157,1,-5,3,52,"2;1","3tBpkoUg",100,6,2,0,0.4,1
25,0.889116714311226,2,2,3,54,"2;1","3tBpkoUg",100,6,2,0,0.4,1
1,0.969383880601003,2,0,4,0,"2;1","3tBpkoUg",100,6,2,0,0.4,1
2,0.816438676044164,1,28,4,28,"2;1","3tBpkoUg",100,6,2,0,0.4,1
3,0.94201833110773,1,6,4,34,"2;1","3tBpkoUg",100,6,2,0,0.4,1
4,1.07645504933828,1,21,4,55,"2;1","3tBpkoUg",100,6,2,0,0.4,1
5,0.774308207725028,1,0,4,55,"2;1","3tBpkoUg",100,6,2,0,0.4,1
6,0.78730251978091,1,-5,4,50,"2;1","3tBpkoUg",100,6,2,0,0.4,1
