"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.897884236626989,1,4,1,4,"1;2","4AalMs3v",100,4,5,0,1,3
2,1.1736042860121,1,5,1,9,"1;2","4AalMs3v",100,4,5,0,1,3
3,1.00196841281464,1,3,1,12,"1;2","4AalMs3v",100,4,5,0,1,3
4,1.1935310038406,1,7,1,19,"1;2","4AalMs3v",100,4,5,0,1,3
5,0.977055855954376,1,5,1,24,"1;2","4AalMs3v",100,4,5,0,1,3
6,1.03555620983185,2,2,1,26,"1;2","4AalMs3v",100,4,5,0,1,3
7,0.769805345822076,1,6,1,32,"1;2","4AalMs3v",100,4,5,0,1,3
8,0.787181154097718,1,2,1,34,"1;2","4AalMs3v",100,4,5,0,1,3
9,1.00589416007003,2,4,1,38,"1;2","4AalMs3v",100,4,5,0,1,3
10,0.922192067576795,1,1,1,39,"1;2","4AalMs3v",100,4,5,0,1,3
11,0.892592862721136,2,1,1,40,"1;2","4AalMs3v",100,4,5,0,1,3
12,0.5,1,4,1,44,"1;2","4AalMs3v",100,4,5,0,1,3
13,1.22758155798549,1,4,1,48,"1;2","4AalMs3v",100,4,5,0,1,3
14,0.616358207112563,1,5,1,53,"1;2","4AalMs3v",100,4,5,0,1,3
15,0.914482403511402,1,4,1,57,"1;2","4AalMs3v",100,4,5,0,1,3
16,0.5,1,-1,1,56,"1;2","4AalMs3v",100,4,5,0,1,3
17,0.502522216129026,1,2,1,58,"1;2","4AalMs3v",100,4,5,0,1,3
18,0.867256178623063,1,4,1,62,"1;2","4AalMs3v",100,4,5,0,1,3
19,0.886535242100841,2,1,1,63,"1;2","4AalMs3v",100,4,5,0,1,3
20,0.746102575880492,1,5,1,68,"1;2","4AalMs3v",100,4,5,0,1,3
1,0.780652676649192,1,8,2,8,"1;2","4AalMs3v",100,4,5,0,1,3
2,0.959280909778338,2,-22,2,-14,"1;2","4AalMs3v",100,4,5,0,1,3
3,0.788520435543694,2,8,2,-6,"1;2","4AalMs3v",100,4,5,0,1,3
4,0.790295092103514,2,24,2,18,"1;2","4AalMs3v",100,4,5,0,1,3
5,0.809833780963139,1,4,2,22,"1;2","4AalMs3v",100,4,5,0,1,3
6,0.807926811345537,1,6,2,28,"1;2","4AalMs3v",100,4,5,0,1,3
7,1.22140161625222,1,10,2,38,"1;2","4AalMs3v",100,4,5,0,1,3
8,1.02854985533206,2,3,2,41,"1;2","4AalMs3v",100,4,5,0,1,3
9,1.29017615082416,1,7,2,48,"1;2","4AalMs3v",100,4,5,0,1,3
10,0.63306971844158,1,2,2,50,"1;2","4AalMs3v",100,4,5,0,1,3
11,1.1614381873986,2,2,2,52,"1;2","4AalMs3v",100,4,5,0,1,3
12,0.955629464838834,1,0,2,52,"1;2","4AalMs3v",100,4,5,0,1,3
13,0.966859397470694,2,4,2,56,"1;2","4AalMs3v",100,4,5,0,1,3
14,0.839227516532293,2,0,2,56,"1;2","4AalMs3v",100,4,5,0,1,3
15,0.855745523942999,2,2,2,58,"1;2","4AalMs3v",100,4,5,0,1,3
16,1.07913288343485,2,-3,2,55,"1;2","4AalMs3v",100,4,5,0,1,3
17,1.20925492125527,2,-2,2,53,"1;2","4AalMs3v",100,4,5,0,1,3
18,0.5,2,7,2,60,"1;2","4AalMs3v",100,4,5,0,1,3
19,0.5,2,-6,2,54,"1;2","4AalMs3v",100,4,5,0,1,3
20,0.969973675816765,2,8,2,62,"1;2","4AalMs3v",100,4,5,0,1,3
21,0.83870070789321,1,1,2,63,"1;2","4AalMs3v",100,4,5,0,1,3
22,1.0077969741668,1,5,2,68,"1;2","4AalMs3v",100,4,5,0,1,3
23,0.6321024559084,2,6,2,74,"1;2","4AalMs3v",100,4,5,0,1,3
24,0.581040213207548,1,2,2,76,"1;2","4AalMs3v",100,4,5,0,1,3
25,0.580566906865116,2,-1,2,75,"1;2","4AalMs3v",100,4,5,0,1,3
1,0.68158260097484,1,16,3,16,"2;1","4AalMs3v",100,4,5,0,1,3
2,0.751327128312612,1,-17,3,-1,"2;1","4AalMs3v",100,4,5,0,1,3
3,0.670960763118511,1,-3,3,-4,"2;1","4AalMs3v",100,4,5,0,1,3
4,0.744634644372611,1,-10,3,-14,"2;1","4AalMs3v",100,4,5,0,1,3
5,0.5,2,4,3,-10,"2;1","4AalMs3v",100,4,5,0,1,3
6,0.515870628672458,1,-2,3,-12,"2;1","4AalMs3v",100,4,5,0,1,3
7,1.10888008245643,2,3,3,-9,"2;1","4AalMs3v",100,4,5,0,1,3
8,0.992662010442693,1,5,3,-4,"2;1","4AalMs3v",100,4,5,0,1,3
9,0.980050944757472,1,-11,3,-15,"2;1","4AalMs3v",100,4,5,0,1,3
10,0.797194096192962,1,-5,3,-20,"2;1","4AalMs3v",100,4,5,0,1,3
11,0.682557844563417,1,-8,3,-28,"2;1","4AalMs3v",100,4,5,0,1,3
12,0.647584826665681,2,5,3,-23,"2;1","4AalMs3v",100,4,5,0,1,3
13,0.5,1,26,3,3,"2;1","4AalMs3v",100,4,5,0,1,3
14,0.798822521157285,1,8,3,11,"2;1","4AalMs3v",100,4,5,0,1,3
15,0.709002380623314,1,-10,3,1,"2;1","4AalMs3v",100,4,5,0,1,3
16,0.914813056626698,2,4,3,5,"2;1","4AalMs3v",100,4,5,0,1,3
17,1.24620225418823,1,11,3,16,"2;1","4AalMs3v",100,4,5,0,1,3
18,0.895604486841265,1,4,3,20,"2;1","4AalMs3v",100,4,5,0,1,3
19,0.610608327128722,1,22,3,42,"2;1","4AalMs3v",100,4,5,0,1,3
20,0.914411823304702,1,12,3,54,"2;1","4AalMs3v",100,4,5,0,1,3
21,0.823911994846027,1,-2,3,52,"2;1","4AalMs3v",100,4,5,0,1,3
22,0.929362175612136,2,4,3,56,"2;1","4AalMs3v",100,4,5,0,1,3
23,0.506389318139575,1,3,3,59,"2;1","4AalMs3v",100,4,5,0,1,3
24,0.665218917873515,1,0,3,59,"2;1","4AalMs3v",100,4,5,0,1,3
25,0.853447317866339,2,6,3,65,"2;1","4AalMs3v",100,4,5,0,1,3
1,0.5,2,20,4,20,"1;2","4AalMs3v",100,4,5,0,1,3
2,1.15326654381665,1,4,4,24,"1;2","4AalMs3v",100,4,5,0,1,3
3,0.5,1,6,4,30,"1;2","4AalMs3v",100,4,5,0,1,3
4,0.747004084850606,1,3,4,33,"1;2","4AalMs3v",100,4,5,0,1,3
5,0.905201778729931,2,20,4,53,"1;2","4AalMs3v",100,4,5,0,1,3
6,0.706606931939151,1,4,4,57,"1;2","4AalMs3v",100,4,5,0,1,3
7,0.545162414428047,2,25,4,82,"1;2","4AalMs3v",100,4,5,0,1,3
8,0.921435894536767,1,6,4,88,"1;2","4AalMs3v",100,4,5,0,1,3
9,0.5,2,14,4,102,"1;2","4AalMs3v",100,4,5,0,1,3
10,0.825013085934639,2,4,4,106,"1;2","4AalMs3v",100,4,5,0,1,3
11,0.550194658425617,2,-21,4,85,"1;2","4AalMs3v",100,4,5,0,1,3
12,0.545873815332541,1,7,4,92,"1;2","4AalMs3v",100,4,5,0,1,3
13,0.801603808304217,2,14,4,106,"1;2","4AalMs3v",100,4,5,0,1,3
14,1.47479441923976,1,6,4,112,"1;2","4AalMs3v",100,4,5,0,1,3
15,1.19860994977898,1,3,4,115,"1;2","4AalMs3v",100,4,5,0,1,3
16,0.889128799960871,1,8,4,123,"1;2","4AalMs3v",100,4,5,0,1,3
17,1.01397782827327,1,3,4,126,"1;2","4AalMs3v",100,4,5,0,1,3
18,0.746447932849496,1,4,4,130,"1;2","4AalMs3v",100,4,5,0,1,3
19,0.774823910154121,2,-4,4,126,"1;2","4AalMs3v",100,4,5,0,1,3
20,0.5,1,7,4,133,"1;2","4AalMs3v",100,4,5,0,1,3
21,1.10883688648588,1,6,4,139,"1;2","4AalMs3v",100,4,5,0,1,3
22,0.750708950506071,1,7,4,146,"1;2","4AalMs3v",100,4,5,0,1,3
23,1.39713968195726,1,3,4,149,"1;2","4AalMs3v",100,4,5,0,1,3
24,0.5,1,7,4,156,"1;2","4AalMs3v",100,4,5,0,1,3
25,0.912637157906451,1,5,4,161,"1;2","4AalMs3v",100,4,5,0,1,3
1,0.5,2,-15,5,-15,"1;2","4AalMs3v",100,4,5,0,1,3
2,0.969128621901058,1,3,5,-12,"1;2","4AalMs3v",100,4,5,0,1,3
3,1.00826261151098,1,2,5,-10,"1;2","4AalMs3v",100,4,5,0,1,3
4,0.508200715421346,2,0,5,-10,"1;2","4AalMs3v",100,4,5,0,1,3
5,0.772343374777425,2,15,5,5,"1;2","4AalMs3v",100,4,5,0,1,3
6,0.933338629654233,2,9,5,14,"1;2","4AalMs3v",100,4,5,0,1,3
7,0.763372714996304,2,7,5,21,"1;2","4AalMs3v",100,4,5,0,1,3
8,0.919490420994836,2,15,5,36,"1;2","4AalMs3v",100,4,5,0,1,3
9,0.848594649724314,2,-5,5,31,"1;2","4AalMs3v",100,4,5,0,1,3
10,0.704873077532575,1,4,5,35,"1;2","4AalMs3v",100,4,5,0,1,3
11,0.650662109345614,1,3,5,38,"1;2","4AalMs3v",100,4,5,0,1,3
12,0.555638588762332,1,7,5,45,"1;2","4AalMs3v",100,4,5,0,1,3
13,0.611421487287659,1,7,5,52,"1;2","4AalMs3v",100,4,5,0,1,3
14,0.996528227259555,1,8,5,60,"1;2","4AalMs3v",100,4,5,0,1,3
15,0.5,2,7,5,67,"1;2","4AalMs3v",100,4,5,0,1,3
16,0.863526511101713,1,0,5,67,"1;2","4AalMs3v",100,4,5,0,1,3
17,0.65335168133676,2,2,5,69,"1;2","4AalMs3v",100,4,5,0,1,3
18,0.860124637324,2,6,5,75,"1;2","4AalMs3v",100,4,5,0,1,3
19,1.04459179047003,2,13,5,88,"1;2","4AalMs3v",100,4,5,0,1,3
20,0.665040572528048,1,-1,5,87,"1;2","4AalMs3v",100,4,5,0,1,3
21,0.815632977016801,2,13,5,100,"1;2","4AalMs3v",100,4,5,0,1,3
22,1.29657555923388,1,4,5,104,"1;2","4AalMs3v",100,4,5,0,1,3
23,0.842219880465627,1,3,5,107,"1;2","4AalMs3v",100,4,5,0,1,3
24,0.815081215728217,2,21,5,128,"1;2","4AalMs3v",100,4,5,0,1,3
25,0.919780341144786,1,6,5,134,"1;2","4AalMs3v",100,4,5,0,1,3
1,0.656641680919595,1,3,6,3,"1;2","4AalMs3v",100,4,5,0,1,3
2,0.872820918241969,1,3,6,6,"1;2","4AalMs3v",100,4,5,0,1,3
3,1.08786259892943,2,4,6,10,"1;2","4AalMs3v",100,4,5,0,1,3
4,0.865548376103011,2,19,6,29,"1;2","4AalMs3v",100,4,5,0,1,3
5,0.762942705190047,2,-18,6,11,"1;2","4AalMs3v",100,4,5,0,1,3
6,0.700097759526961,2,18,6,29,"1;2","4AalMs3v",100,4,5,0,1,3
7,0.523475310786705,1,4,6,33,"1;2","4AalMs3v",100,4,5,0,1,3
8,0.846509135056131,1,4,6,37,"1;2","4AalMs3v",100,4,5,0,1,3
