"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.882894889764356,1,2,1,2,"1;2","4JaCSxex",0,2,NA,0,0.63,1
2,0.662407927028759,1,4,1,6,"1;2","4JaCSxex",0,2,NA,0,0.63,1
3,0.692984263508359,2,1,1,7,"1;2","4JaCSxex",0,2,NA,0,0.63,1
4,0.5,2,2,1,9,"1;2","4JaCSxex",0,2,NA,0,0.63,1
5,0.761235657492495,1,5,1,14,"1;2","4JaCSxex",0,2,NA,0,0.63,1
6,1.19497938667848,1,7,1,21,"1;2","4JaCSxex",0,2,NA,0,0.63,1
7,0.853957046583446,1,4,1,25,"1;2","4JaCSxex",0,2,NA,0,0.63,1
8,0.5,1,2,1,27,"1;2","4JaCSxex",0,2,NA,0,0.63,1
9,0.965682089078899,2,4,1,31,"1;2","4JaCSxex",0,2,NA,0,0.63,1
10,0.89308736681421,1,4,1,35,"1;2","4JaCSxex",0,2,NA,0,0.63,1
11,0.5,1,3,1,38,"1;2","4JaCSxex",0,2,NA,0,0.63,1
12,0.739896670764376,1,4,1,42,"1;2","4JaCSxex",0,2,NA,0,0.63,1
13,0.5,1,3,1,45,"1;2","4JaCSxex",0,2,NA,0,0.63,1
14,1.05002329418407,2,1,1,46,"1;2","4JaCSxex",0,2,NA,0,0.63,1
15,0.748323635785879,2,2,1,48,"1;2","4JaCSxex",0,2,NA,0,0.63,1
16,0.97713315915207,1,5,1,53,"1;2","4JaCSxex",0,2,NA,0,0.63,1
17,0.887995386265395,2,5,1,58,"1;2","4JaCSxex",0,2,NA,0,0.63,1
18,1.03241346416789,1,2,1,60,"1;2","4JaCSxex",0,2,NA,0,0.63,1
19,0.5,1,3,1,63,"1;2","4JaCSxex",0,2,NA,0,0.63,1
20,0.5,2,4,1,67,"1;2","4JaCSxex",0,2,NA,0,0.63,1
1,0.903031840719288,1,-7,2,-7,"2;1","4JaCSxex",0,2,NA,0,0.63,1
2,0.948527744194636,2,4,2,-3,"2;1","4JaCSxex",0,2,NA,0,0.63,1
3,0.551287015338034,2,3,2,0,"2;1","4JaCSxex",0,2,NA,0,0.63,1
4,1.04386976566578,1,9,2,9,"2;1","4JaCSxex",0,2,NA,0,0.63,1
5,0.753060666362499,2,8,2,17,"2;1","4JaCSxex",0,2,NA,0,0.63,1
6,0.891653279731686,2,7,2,24,"2;1","4JaCSxex",0,2,NA,0,0.63,1
7,0.650326336587208,1,5,2,29,"2;1","4JaCSxex",0,2,NA,0,0.63,1
8,0.5,1,13,2,42,"2;1","4JaCSxex",0,2,NA,0,0.63,1
9,1.04622775488305,2,1,2,43,"2;1","4JaCSxex",0,2,NA,0,0.63,1
10,0.913914366202679,1,15,2,58,"2;1","4JaCSxex",0,2,NA,0,0.63,1
11,0.887737140206532,2,5,2,63,"2;1","4JaCSxex",0,2,NA,0,0.63,1
12,0.5,2,4,2,67,"2;1","4JaCSxex",0,2,NA,0,0.63,1
13,0.706603976113973,1,4,2,71,"2;1","4JaCSxex",0,2,NA,0,0.63,1
14,0.79424449939487,2,3,2,74,"2;1","4JaCSxex",0,2,NA,0,0.63,1
15,0.896776344760648,2,4,2,78,"2;1","4JaCSxex",0,2,NA,0,0.63,1
16,0.5,2,2,2,80,"2;1","4JaCSxex",0,2,NA,0,0.63,1
17,0.590565267002176,2,8,2,88,"2;1","4JaCSxex",0,2,NA,0,0.63,1
18,0.926588698516347,1,10,2,98,"2;1","4JaCSxex",0,2,NA,0,0.63,1
19,0.730473557843388,2,3,2,101,"2;1","4JaCSxex",0,2,NA,0,0.63,1
20,0.601651802819343,1,17,2,118,"2;1","4JaCSxex",0,2,NA,0,0.63,1
21,0.966877945126784,1,-7,2,111,"2;1","4JaCSxex",0,2,NA,0,0.63,1
22,0.602810959513064,2,5,2,116,"2;1","4JaCSxex",0,2,NA,0,0.63,1
23,0.878131541968447,2,3,2,119,"2;1","4JaCSxex",0,2,NA,0,0.63,1
24,1.18058253790704,2,6,2,125,"2;1","4JaCSxex",0,2,NA,0,0.63,1
25,1.35944597138979,1,18,2,143,"2;1","4JaCSxex",0,2,NA,0,0.63,1
1,1.16612397599734,1,10,3,10,"2;1","4JaCSxex",0,2,NA,0,0.63,1
2,0.784384969211664,1,-7,3,3,"2;1","4JaCSxex",0,2,NA,0,0.63,1
3,0.5,2,4,3,7,"2;1","4JaCSxex",0,2,NA,0,0.63,1
4,0.704919108464599,2,6,3,13,"2;1","4JaCSxex",0,2,NA,0,0.63,1
5,0.822120761348408,2,3,3,16,"2;1","4JaCSxex",0,2,NA,0,0.63,1
6,0.93062548268251,1,1,3,17,"2;1","4JaCSxex",0,2,NA,0,0.63,1
7,0.781370689128065,1,-25,3,-8,"2;1","4JaCSxex",0,2,NA,0,0.63,1
