"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.780884035314993,2,3,1,3,"1;2","4VLmdLth",0,1,NA,0,0.9,2
2,0.703071597217606,1,4,1,7,"1;2","4VLmdLth",0,1,NA,0,0.9,2
3,0.579907168698217,1,3,1,10,"1;2","4VLmdLth",0,1,NA,0,0.9,2
4,0.768499165815259,1,2,1,12,"1;2","4VLmdLth",0,1,NA,0,0.9,2
5,0.647952878773332,1,-1,1,11,"1;2","4VLmdLth",0,1,NA,0,0.9,2
6,1.03159502237756,2,8,1,19,"1;2","4VLmdLth",0,1,NA,0,0.9,2
7,0.717109572615711,1,0,1,19,"1;2","4VLmdLth",0,1,NA,0,0.9,2
8,0.680968495171878,1,5,1,24,"1;2","4VLmdLth",0,1,NA,0,0.9,2
9,1.0236881288549,2,2,1,26,"1;2","4VLmdLth",0,1,NA,0,0.9,2
10,0.722918950787139,2,1,1,27,"1;2","4VLmdLth",0,1,NA,0,0.9,2
11,0.583928113103716,2,2,1,29,"1;2","4VLmdLth",0,1,NA,0,0.9,2
12,0.855064684268415,1,4,1,33,"1;2","4VLmdLth",0,1,NA,0,0.9,2
13,0.602528570853898,1,3,1,36,"1;2","4VLmdLth",0,1,NA,0,0.9,2
14,0.994290190362579,2,7,1,43,"1;2","4VLmdLth",0,1,NA,0,0.9,2
15,1.07863494983646,2,5,1,48,"1;2","4VLmdLth",0,1,NA,0,0.9,2
16,0.5,2,5,1,53,"1;2","4VLmdLth",0,1,NA,0,0.9,2
17,1.26682619365331,2,-1,1,52,"1;2","4VLmdLth",0,1,NA,0,0.9,2
18,1.02287596209858,1,1,1,53,"1;2","4VLmdLth",0,1,NA,0,0.9,2
19,0.524361232217652,2,3,1,56,"1;2","4VLmdLth",0,1,NA,0,0.9,2
20,0.5,2,3,1,59,"1;2","4VLmdLth",0,1,NA,0,0.9,2
1,0.596584945533365,1,2,2,2,"1;2","4VLmdLth",0,1,NA,0,0.9,2
2,0.762035968816985,1,2,2,4,"1;2","4VLmdLth",0,1,NA,0,0.9,2
3,0.538467642241443,1,0,2,4,"1;2","4VLmdLth",0,1,NA,0,0.9,2
4,0.809783919526494,1,6,2,10,"1;2","4VLmdLth",0,1,NA,0,0.9,2
5,0.848273342045302,2,-9,2,1,"1;2","4VLmdLth",0,1,NA,0,0.9,2
6,0.940673006058317,1,3,2,4,"1;2","4VLmdLth",0,1,NA,0,0.9,2
7,0.518131564350296,1,-1,2,3,"1;2","4VLmdLth",0,1,NA,0,0.9,2
8,0.633578234412692,1,5,2,8,"1;2","4VLmdLth",0,1,NA,0,0.9,2
9,0.659114347582547,1,4,2,12,"1;2","4VLmdLth",0,1,NA,0,0.9,2
10,0.5,2,15,2,27,"1;2","4VLmdLth",0,1,NA,0,0.9,2
11,0.778616152473942,2,2,2,29,"1;2","4VLmdLth",0,1,NA,0,0.9,2
12,1.0608037987972,1,5,2,34,"1;2","4VLmdLth",0,1,NA,0,0.9,2
13,0.53591793248933,1,4,2,38,"1;2","4VLmdLth",0,1,NA,0,0.9,2
14,1.15315535607571,1,4,2,42,"1;2","4VLmdLth",0,1,NA,0,0.9,2
15,1.06141363251592,1,5,2,47,"1;2","4VLmdLth",0,1,NA,0,0.9,2
16,0.785962813825994,2,5,2,52,"1;2","4VLmdLth",0,1,NA,0,0.9,2
17,0.755831150599031,1,1,2,53,"1;2","4VLmdLth",0,1,NA,0,0.9,2
18,0.97402060007695,2,-7,2,46,"1;2","4VLmdLth",0,1,NA,0,0.9,2
19,0.528945658197073,2,2,2,48,"1;2","4VLmdLth",0,1,NA,0,0.9,2
20,0.503800959397682,1,7,2,55,"1;2","4VLmdLth",0,1,NA,0,0.9,2
21,0.804396950895648,1,0,2,55,"1;2","4VLmdLth",0,1,NA,0,0.9,2
22,0.847738104378641,1,-2,2,53,"1;2","4VLmdLth",0,1,NA,0,0.9,2
23,0.730262632239466,1,3,2,56,"1;2","4VLmdLth",0,1,NA,0,0.9,2
24,1.29501630602329,1,2,2,58,"1;2","4VLmdLth",0,1,NA,0,0.9,2
