"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.05589368981589,1,0,1,0,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
2,1.15886517126304,1,1,1,1,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
3,0.685615709681299,1,3,1,4,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
4,0.590078083077903,2,1,1,5,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
5,0.723795970219635,2,3,1,8,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
6,1.02546557756945,1,2,1,10,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
7,1.10629831843013,1,7,1,17,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
8,0.834760496177046,1,4,1,21,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
9,0.5,1,0,1,21,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
10,0.881266090737963,2,2,1,23,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
11,0.964561060264735,2,2,1,25,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
12,0.5,2,4,1,29,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
13,0.825533291012412,2,3,1,32,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
14,0.886080861920618,1,0,1,32,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
15,0.693902698752432,1,3,1,35,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
16,1.10646454488041,2,1,1,36,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
17,0.883308860061276,1,4,1,40,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
18,0.610915284199541,1,1,1,41,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
19,0.648232948481899,1,4,1,45,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
20,1.46170424836488,1,4,1,49,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
1,1.16021027566288,1,4,2,4,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
2,0.933776869627141,1,3,2,7,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
3,1.03502413023162,2,8,2,15,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
4,1.02081379885684,2,1,2,16,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
5,0.63767959283749,2,3,2,19,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
6,0.704765552767469,2,9,2,28,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
7,0.618020127518761,2,-13,2,15,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
8,0.700075105036325,1,-2,2,13,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
9,0.5,1,4,2,17,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
10,0.80589977440006,1,5,2,22,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
11,1.09445661132576,2,-2,2,20,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
12,0.643997644475379,2,2,2,22,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
13,0.5,1,11,2,33,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
14,0.922721746716597,2,-8,2,25,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
15,0.633889300590796,1,4,2,29,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
16,0.875111059027421,2,-21,2,8,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
17,0.708155457392682,1,6,2,14,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
18,0.825832688017962,1,2,2,16,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
19,0.783552119484993,2,-6,2,10,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
20,0.650744378893064,1,4,2,14,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
21,0.5,1,-1,2,13,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
22,0.605531634357266,1,7,2,20,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
23,1.28355608029954,1,5,2,25,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
24,0.832431682037237,1,5,2,30,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
25,1.23995779042856,1,1,2,31,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
1,0.568285320668481,2,-12,3,-12,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
2,0.604962322657933,1,6,3,-6,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
3,0.687722062925398,1,3,3,-3,"1;2","4wRJrvuh",0,2,NA,0,0.92,2
