"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.749867364866042,1,2,1,2,"1;2","51ul4wiG",0,2,NA,0,0.95,2
2,0.561546640365615,1,5,1,7,"1;2","51ul4wiG",0,2,NA,0,0.95,2
3,0.877372268945789,1,0,1,7,"1;2","51ul4wiG",0,2,NA,0,0.95,2
4,0.707217620215194,1,3,1,10,"1;2","51ul4wiG",0,2,NA,0,0.95,2
5,0.975002708351433,1,4,1,14,"1;2","51ul4wiG",0,2,NA,0,0.95,2
6,1.01088510417359,1,2,1,16,"1;2","51ul4wiG",0,2,NA,0,0.95,2
7,0.852601694178266,1,5,1,21,"1;2","51ul4wiG",0,2,NA,0,0.95,2
8,0.879393203050632,1,1,1,22,"1;2","51ul4wiG",0,2,NA,0,0.95,2
9,0.901467288318668,1,6,1,28,"1;2","51ul4wiG",0,2,NA,0,0.95,2
10,1.13045085788316,2,6,1,34,"1;2","51ul4wiG",0,2,NA,0,0.95,2
11,0.932428207253986,1,4,1,38,"1;2","51ul4wiG",0,2,NA,0,0.95,2
12,0.838077777009518,1,4,1,42,"1;2","51ul4wiG",0,2,NA,0,0.95,2
13,0.713989770298908,1,2,1,44,"1;2","51ul4wiG",0,2,NA,0,0.95,2
14,0.560943796495097,1,4,1,48,"1;2","51ul4wiG",0,2,NA,0,0.95,2
15,0.894330538207603,1,4,1,52,"1;2","51ul4wiG",0,2,NA,0,0.95,2
16,0.994267987859762,1,4,1,56,"1;2","51ul4wiG",0,2,NA,0,0.95,2
17,0.5,2,2,1,58,"1;2","51ul4wiG",0,2,NA,0,0.95,2
18,0.908113060120347,1,1,1,59,"1;2","51ul4wiG",0,2,NA,0,0.95,2
19,0.918765851615507,2,1,1,60,"1;2","51ul4wiG",0,2,NA,0,0.95,2
20,0.501538158931854,1,4,1,64,"1;2","51ul4wiG",0,2,NA,0,0.95,2
1,0.991063399412103,1,8,2,8,"2;1","51ul4wiG",0,2,NA,0,0.95,2
2,0.885092759588287,1,2,2,10,"2;1","51ul4wiG",0,2,NA,0,0.95,2
3,0.5,1,11,2,21,"2;1","51ul4wiG",0,2,NA,0,0.95,2
4,0.856824221763225,2,4,2,25,"2;1","51ul4wiG",0,2,NA,0,0.95,2
5,1.10375505416414,1,-8,2,17,"2;1","51ul4wiG",0,2,NA,0,0.95,2
6,0.869209619252337,1,26,2,43,"2;1","51ul4wiG",0,2,NA,0,0.95,2
7,0.741518516020371,1,-10,2,33,"2;1","51ul4wiG",0,2,NA,0,0.95,2
8,0.807197912404803,2,0,2,33,"2;1","51ul4wiG",0,2,NA,0,0.95,2
9,0.865257867552375,2,5,2,38,"2;1","51ul4wiG",0,2,NA,0,0.95,2
10,0.5,1,-4,2,34,"2;1","51ul4wiG",0,2,NA,0,0.95,2
11,0.99384731087636,1,3,2,37,"2;1","51ul4wiG",0,2,NA,0,0.95,2
12,1.13792831269375,2,5,2,42,"2;1","51ul4wiG",0,2,NA,0,0.95,2
13,1.02064758508072,1,-1,2,41,"2;1","51ul4wiG",0,2,NA,0,0.95,2
14,1.00199693673181,2,4,2,45,"2;1","51ul4wiG",0,2,NA,0,0.95,2
15,1.1688860781824,2,1,2,46,"2;1","51ul4wiG",0,2,NA,0,0.95,2
16,0.854717115558347,1,-4,2,42,"2;1","51ul4wiG",0,2,NA,0,0.95,2
17,0.5,2,5,2,47,"2;1","51ul4wiG",0,2,NA,0,0.95,2
18,0.525143644911396,1,-12,2,35,"2;1","51ul4wiG",0,2,NA,0,0.95,2
19,1.17414633143295,2,4,2,39,"2;1","51ul4wiG",0,2,NA,0,0.95,2
20,0.823822398494505,2,7,2,46,"2;1","51ul4wiG",0,2,NA,0,0.95,2
21,0.900753069288779,2,4,2,50,"2;1","51ul4wiG",0,2,NA,0,0.95,2
22,1.12723875459373,1,-8,2,42,"2;1","51ul4wiG",0,2,NA,0,0.95,2
23,0.656797121101941,1,2,2,44,"2;1","51ul4wiG",0,2,NA,0,0.95,2
24,0.682020937587595,1,-1,2,43,"2;1","51ul4wiG",0,2,NA,0,0.95,2
25,1.22414361922867,2,7,2,50,"2;1","51ul4wiG",0,2,NA,0,0.95,2
1,0.848386788162148,1,4,3,4,"1;2","51ul4wiG",0,2,NA,0,0.95,2
2,0.5,2,4,3,8,"1;2","51ul4wiG",0,2,NA,0,0.95,2
3,1.4296624849998,1,0,3,8,"1;2","51ul4wiG",0,2,NA,0,0.95,2
4,1.29237111791408,2,-12,3,-4,"1;2","51ul4wiG",0,2,NA,0,0.95,2
5,0.5,1,6,3,2,"1;2","51ul4wiG",0,2,NA,0,0.95,2
6,0.546935867005891,1,5,3,7,"1;2","51ul4wiG",0,2,NA,0,0.95,2
7,1.06737868888121,1,5,3,12,"1;2","51ul4wiG",0,2,NA,0,0.95,2
8,0.838507899911058,1,0,3,12,"1;2","51ul4wiG",0,2,NA,0,0.95,2
9,0.684951851533612,1,8,3,20,"1;2","51ul4wiG",0,2,NA,0,0.95,2
10,1.0332140554959,1,5,3,25,"1;2","51ul4wiG",0,2,NA,0,0.95,2
11,0.5,1,4,3,29,"1;2","51ul4wiG",0,2,NA,0,0.95,2
12,1.0947004641081,2,-16,3,13,"1;2","51ul4wiG",0,2,NA,0,0.95,2
13,0.896162380424582,2,1,3,14,"1;2","51ul4wiG",0,2,NA,0,0.95,2
14,0.782396113186894,1,2,3,16,"1;2","51ul4wiG",0,2,NA,0,0.95,2
15,0.779801322655262,2,10,3,26,"1;2","51ul4wiG",0,2,NA,0,0.95,2
16,0.732045260290642,1,7,3,33,"1;2","51ul4wiG",0,2,NA,0,0.95,2
17,0.527199779915141,2,19,3,52,"1;2","51ul4wiG",0,2,NA,0,0.95,2
18,0.514861587085142,1,5,3,57,"1;2","51ul4wiG",0,2,NA,0,0.95,2
19,0.657398047419901,2,7,3,64,"1;2","51ul4wiG",0,2,NA,0,0.95,2
20,0.597790316443971,2,12,3,76,"1;2","51ul4wiG",0,2,NA,0,0.95,2
21,1.24667897826495,1,0,3,76,"1;2","51ul4wiG",0,2,NA,0,0.95,2
22,0.958067283230449,2,-8,3,68,"1;2","51ul4wiG",0,2,NA,0,0.95,2
23,0.5,1,3,3,71,"1;2","51ul4wiG",0,2,NA,0,0.95,2
24,0.605460332863084,1,-3,3,68,"1;2","51ul4wiG",0,2,NA,0,0.95,2
25,0.960928077732843,2,-5,3,63,"1;2","51ul4wiG",0,2,NA,0,0.95,2
1,1.12846014701512,2,5,4,5,"2;1","51ul4wiG",0,2,NA,0,0.95,2
2,0.959407700321373,2,5,4,10,"2;1","51ul4wiG",0,2,NA,0,0.95,2
3,0.962431879942627,2,0,4,10,"2;1","51ul4wiG",0,2,NA,0,0.95,2
4,0.5,2,9,4,19,"2;1","51ul4wiG",0,2,NA,0,0.95,2
5,0.926913093301503,1,-4,4,15,"2;1","51ul4wiG",0,2,NA,0,0.95,2
6,0.883598570350894,1,38,4,53,"2;1","51ul4wiG",0,2,NA,0,0.95,2
