"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5815461037064,2,5,1,5,"1;2","59YZTBdM",100,5,0,0,0,2
2,0.824994490839445,2,3,1,8,"1;2","59YZTBdM",100,5,0,0,0,2
3,0.513248753684447,1,1,1,9,"1;2","59YZTBdM",100,5,0,0,0,2
4,0.747192306130828,1,2,1,11,"1;2","59YZTBdM",100,5,0,0,0,2
5,0.545274840701355,1,3,1,14,"1;2","59YZTBdM",100,5,0,0,0,2
6,0.853974376713277,2,5,1,19,"1;2","59YZTBdM",100,5,0,0,0,2
7,1.22036751452933,2,3,1,22,"1;2","59YZTBdM",100,5,0,0,0,2
8,0.640163899682237,1,2,1,24,"1;2","59YZTBdM",100,5,0,0,0,2
9,1.21817407051269,2,3,1,27,"1;2","59YZTBdM",100,5,0,0,0,2
10,0.592219922437976,2,1,1,28,"1;2","59YZTBdM",100,5,0,0,0,2
11,0.902834861278478,1,4,1,32,"1;2","59YZTBdM",100,5,0,0,0,2
12,1.31249482680228,2,2,1,34,"1;2","59YZTBdM",100,5,0,0,0,2
13,0.5,2,3,1,37,"1;2","59YZTBdM",100,5,0,0,0,2
14,0.5,2,2,1,39,"1;2","59YZTBdM",100,5,0,0,0,2
15,0.5,1,2,1,41,"1;2","59YZTBdM",100,5,0,0,0,2
16,0.663831639720864,2,6,1,47,"1;2","59YZTBdM",100,5,0,0,0,2
17,1.04892666354222,1,4,1,51,"1;2","59YZTBdM",100,5,0,0,0,2
18,0.881763358766846,2,3,1,54,"1;2","59YZTBdM",100,5,0,0,0,2
19,0.5,1,3,1,57,"1;2","59YZTBdM",100,5,0,0,0,2
20,0.5,2,1,1,58,"1;2","59YZTBdM",100,5,0,0,0,2
1,0.788987578628822,2,2,2,2,"2;1","59YZTBdM",100,5,0,0,0,2
2,0.965089826174345,2,5,2,7,"2;1","59YZTBdM",100,5,0,0,0,2
3,0.632193390360385,2,11,2,18,"2;1","59YZTBdM",100,5,0,0,0,2
4,1.09347747058109,2,3,2,21,"2;1","59YZTBdM",100,5,0,0,0,2
5,0.642799706046915,1,-2,2,19,"2;1","59YZTBdM",100,5,0,0,0,2
6,0.81784023221531,2,4,2,23,"2;1","59YZTBdM",100,5,0,0,0,2
7,0.716009753402633,2,7,2,30,"2;1","59YZTBdM",100,5,0,0,0,2
