"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.801044312659998,1,3,1,3,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
2,0.80742976434711,1,1,1,4,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
3,0.504731730714805,1,4,1,8,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
4,0.827872173849811,1,6,1,14,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
5,0.84679198113793,1,3,1,17,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
6,0.809252120380165,2,5,1,22,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
7,0.887437678812379,1,4,1,26,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
8,1.02038324213748,1,2,1,28,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
9,0.670781742897792,2,4,1,32,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
10,0.729142462624364,1,4,1,36,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
11,0.5,1,5,1,41,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
12,0.969264130758122,1,4,1,45,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
13,0.838803554928925,1,2,1,47,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
14,0.95086555957703,1,1,1,48,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
15,0.759267419417866,1,2,1,50,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
16,0.69724709454571,1,4,1,54,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
17,0.5,1,1,1,55,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
18,0.835237507413971,1,1,1,56,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
19,0.672534193467856,2,0,1,56,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
20,1.21802359458752,1,3,1,59,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
1,0.941283313230309,1,3,2,3,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
2,0.763329105219149,2,4,2,7,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
3,0.868739118640877,2,2,2,9,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
4,0.978621465065565,2,2,2,11,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
5,0.5,1,2,2,13,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
6,0.5,1,17,2,30,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
7,0.747325103221072,1,2,2,32,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
8,1.23893350872864,1,8,2,40,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
9,0.809223500905536,1,12,2,52,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
10,1.15211807052988,2,6,2,58,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
11,0.562991596386586,1,11,2,69,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
12,1.06760360981634,2,7,2,76,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
13,1.09525370406191,1,-11,2,65,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
14,0.642864219026626,2,6,2,71,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
15,1.11295547629363,2,3,2,74,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
16,0.5,2,9,2,83,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
17,0.586336896911057,2,5,2,88,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
18,0.882625972179612,2,3,2,91,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
19,0.521975431135712,1,6,2,97,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
20,0.882064073937286,1,17,2,114,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
21,0.893916131254903,2,1,2,115,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
22,1.27197855211248,1,26,2,141,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
23,1.20934483064779,1,-10,2,131,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
24,0.55907860537756,1,-19,2,112,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
25,0.5,2,5,2,117,"2;1","5SHZ6KtH",0,1,NA,2,0.76,3
1,1.34867463334018,2,9,3,9,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
2,0.5,2,0,3,9,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
3,1.31057613044559,2,9,3,18,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
4,0.664351311036017,1,3,3,21,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
5,1.03305813070513,2,-4,3,17,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
6,0.894217425884138,1,5,3,22,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
7,0.812939736870204,1,2,3,24,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
8,1.05198164499793,1,-1,3,23,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
9,0.5,1,5,3,28,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
10,1.07484468838227,1,5,3,33,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
11,0.800608543138957,2,-8,3,25,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
12,1.1350860167221,2,22,3,47,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
13,0.603618479812106,2,10,3,57,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
14,1.30089804808059,2,31,3,88,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
15,0.710167795466607,2,5,3,93,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
16,1.29390535644175,2,-6,3,87,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
17,1.01412541807199,2,-1,3,86,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
18,0.870824007056988,1,2,3,88,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
19,0.560570894475829,2,-11,3,77,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
20,1.06671488266092,2,7,3,84,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
21,0.864325006763647,1,6,3,90,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
22,0.5,1,6,3,96,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
23,1.03618673553362,1,9,3,105,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
24,0.558884012314788,1,5,3,110,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
25,0.5,1,3,3,113,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
1,0.522443823739871,1,3,4,3,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
2,0.699370067662669,2,6,4,9,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
3,0.689738980522059,2,-9,4,0,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
4,0.549428895153155,2,0,4,0,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
5,0.5,1,6,4,6,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
6,0.969746073905941,1,1,4,7,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
7,1.19813109013467,2,7,4,14,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
8,0.805152486839781,2,10,4,24,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
9,0.589776631926627,2,-4,4,20,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
10,0.9640079093785,1,4,4,24,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
11,0.771490248789957,1,4,4,28,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
12,0.5,1,4,4,32,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
13,1.17574743857935,2,-16,4,16,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
14,1.04617829949571,1,0,4,16,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
15,0.962831902929387,1,3,4,19,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
16,0.967159886508786,1,5,4,24,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
17,0.916473060145909,1,4,4,28,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
18,0.982333575698107,1,2,4,30,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
19,0.607969233790603,1,8,4,38,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
20,0.935321919167626,2,-4,4,34,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
21,0.818034602660435,2,-13,4,21,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
22,0.5,1,2,4,23,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
23,0.892420650686979,1,6,4,29,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
24,0.936768779348261,1,3,4,32,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
25,0.892401894640453,2,17,4,49,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
1,0.862322799442744,2,-8,5,-8,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
2,0.991487160020402,1,5,5,-3,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
3,1.04483747968714,1,1,5,-2,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
4,0.501240184244593,1,5,5,3,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
5,0.5,1,5,5,8,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
6,0.882664436714024,1,4,5,12,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
7,0.799895217235018,1,6,5,18,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
8,0.5,1,1,5,19,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
9,0.928438707857664,1,4,5,23,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
10,0.541622951295859,1,7,5,30,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
11,0.5,2,-3,5,27,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
12,0.785419396151718,1,6,5,33,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
13,0.911338825985538,1,8,5,41,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
14,0.758600114298291,1,5,5,46,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
15,0.580433586850848,1,1,5,47,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
16,0.648746298645431,2,30,5,77,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
17,0.80022799966708,1,7,5,84,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
18,0.523388968433523,2,16,5,100,"1;2","5SHZ6KtH",0,1,NA,2,0.76,3
