"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.764530537970921,1,0,1,0,"1;2","5bqwcwPE",100,5,3,0,0.6,3
2,0.677703625910887,2,3,1,3,"1;2","5bqwcwPE",100,5,3,0,0.6,3
3,1.14958740269793,1,5,1,8,"1;2","5bqwcwPE",100,5,3,0,0.6,3
4,0.796178806123183,1,5,1,13,"1;2","5bqwcwPE",100,5,3,0,0.6,3
5,1.12630844159784,1,4,1,17,"1;2","5bqwcwPE",100,5,3,0,0.6,3
6,0.735349785184257,1,6,1,23,"1;2","5bqwcwPE",100,5,3,0,0.6,3
7,0.590733506908695,2,0,1,23,"1;2","5bqwcwPE",100,5,3,0,0.6,3
8,0.951543394786867,1,5,1,28,"1;2","5bqwcwPE",100,5,3,0,0.6,3
9,0.877960598054198,1,2,1,30,"1;2","5bqwcwPE",100,5,3,0,0.6,3
10,0.651225429877785,1,5,1,35,"1;2","5bqwcwPE",100,5,3,0,0.6,3
11,0.5,1,3,1,38,"1;2","5bqwcwPE",100,5,3,0,0.6,3
12,0.884477221317473,1,8,1,46,"1;2","5bqwcwPE",100,5,3,0,0.6,3
13,0.652682170804927,1,3,1,49,"1;2","5bqwcwPE",100,5,3,0,0.6,3
14,0.927083383821974,1,4,1,53,"1;2","5bqwcwPE",100,5,3,0,0.6,3
15,0.79728562290548,1,1,1,54,"1;2","5bqwcwPE",100,5,3,0,0.6,3
16,0.913873841982226,1,6,1,60,"1;2","5bqwcwPE",100,5,3,0,0.6,3
17,0.88280788816741,1,4,1,64,"1;2","5bqwcwPE",100,5,3,0,0.6,3
18,0.76334028379767,1,1,1,65,"1;2","5bqwcwPE",100,5,3,0,0.6,3
19,0.541976089718768,2,2,1,67,"1;2","5bqwcwPE",100,5,3,0,0.6,3
20,1.19153200807318,1,4,1,71,"1;2","5bqwcwPE",100,5,3,0,0.6,3
1,0.822343762913741,1,-19,2,-19,"2;1","5bqwcwPE",100,5,3,0,0.6,3
2,0.898203697189754,1,12,2,-7,"2;1","5bqwcwPE",100,5,3,0,0.6,3
3,1.13175164521607,1,-23,2,-30,"2;1","5bqwcwPE",100,5,3,0,0.6,3
4,1.0240692115762,1,-2,2,-32,"2;1","5bqwcwPE",100,5,3,0,0.6,3
5,0.889971819943109,2,6,2,-26,"2;1","5bqwcwPE",100,5,3,0,0.6,3
6,0.729702551745074,2,6,2,-20,"2;1","5bqwcwPE",100,5,3,0,0.6,3
7,0.546712951821439,1,-5,2,-25,"2;1","5bqwcwPE",100,5,3,0,0.6,3
8,0.750328209845519,1,2,2,-23,"2;1","5bqwcwPE",100,5,3,0,0.6,3
9,1.16251792528395,1,-11,2,-34,"2;1","5bqwcwPE",100,5,3,0,0.6,3
10,0.92576913808165,1,-17,2,-51,"2;1","5bqwcwPE",100,5,3,0,0.6,3
11,0.91442364205538,1,5,2,-46,"2;1","5bqwcwPE",100,5,3,0,0.6,3
12,0.621181732064279,1,18,2,-28,"2;1","5bqwcwPE",100,5,3,0,0.6,3
13,1.07438977692902,1,28,2,0,"2;1","5bqwcwPE",100,5,3,0,0.6,3
14,0.5,1,-6,2,-6,"2;1","5bqwcwPE",100,5,3,0,0.6,3
15,0.740615574770687,1,13,2,7,"2;1","5bqwcwPE",100,5,3,0,0.6,3
16,0.726308974668929,1,-2,2,5,"2;1","5bqwcwPE",100,5,3,0,0.6,3
17,0.833514897207183,1,8,2,13,"2;1","5bqwcwPE",100,5,3,0,0.6,3
18,0.85065419070744,1,10,2,23,"2;1","5bqwcwPE",100,5,3,0,0.6,3
19,0.603088796256298,1,0,2,23,"2;1","5bqwcwPE",100,5,3,0,0.6,3
20,0.896520459917186,1,11,2,34,"2;1","5bqwcwPE",100,5,3,0,0.6,3
21,0.876180629021666,1,2,2,36,"2;1","5bqwcwPE",100,5,3,0,0.6,3
22,0.593098254758111,2,4,2,40,"2;1","5bqwcwPE",100,5,3,0,0.6,3
23,0.914828760471258,1,-1,2,39,"2;1","5bqwcwPE",100,5,3,0,0.6,3
24,0.816495682061326,1,10,2,49,"2;1","5bqwcwPE",100,5,3,0,0.6,3
25,0.5,2,0,2,49,"2;1","5bqwcwPE",100,5,3,0,0.6,3
1,1.06101610905719,2,-9,3,-9,"1;2","5bqwcwPE",100,5,3,0,0.6,3
2,0.931836002345668,1,8,3,-1,"1;2","5bqwcwPE",100,5,3,0,0.6,3
3,0.5,1,5,3,4,"1;2","5bqwcwPE",100,5,3,0,0.6,3
4,1.13679656355679,2,5,3,9,"1;2","5bqwcwPE",100,5,3,0,0.6,3
5,0.972079282085948,2,20,3,29,"1;2","5bqwcwPE",100,5,3,0,0.6,3
6,0.985689019125435,2,-12,3,17,"1;2","5bqwcwPE",100,5,3,0,0.6,3
7,1.12613601035172,2,11,3,28,"1;2","5bqwcwPE",100,5,3,0,0.6,3
8,1.17582029596133,2,4,3,32,"1;2","5bqwcwPE",100,5,3,0,0.6,3
9,1.06571791025915,2,-5,3,27,"1;2","5bqwcwPE",100,5,3,0,0.6,3
10,1.03801563293925,2,-1,3,26,"1;2","5bqwcwPE",100,5,3,0,0.6,3
11,0.908515906980263,2,5,3,31,"1;2","5bqwcwPE",100,5,3,0,0.6,3
12,1.09433223915097,1,6,3,37,"1;2","5bqwcwPE",100,5,3,0,0.6,3
13,1.29777380495321,2,7,3,44,"1;2","5bqwcwPE",100,5,3,0,0.6,3
14,1.02029164915036,2,-12,3,32,"1;2","5bqwcwPE",100,5,3,0,0.6,3
15,0.548423529431377,2,15,3,47,"1;2","5bqwcwPE",100,5,3,0,0.6,3
16,0.80992946041975,2,5,3,52,"1;2","5bqwcwPE",100,5,3,0,0.6,3
17,0.989548631173198,2,-9,3,43,"1;2","5bqwcwPE",100,5,3,0,0.6,3
18,0.539380100221783,1,5,3,48,"1;2","5bqwcwPE",100,5,3,0,0.6,3
19,0.5,2,-6,3,42,"1;2","5bqwcwPE",100,5,3,0,0.6,3
20,0.78074392034507,2,-7,3,35,"1;2","5bqwcwPE",100,5,3,0,0.6,3
