"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.719858634436715,1,4,1,4,"2;1","5ik11ndp",0,1,NA,0,1.07,3
2,0.954196932491302,2,3,1,7,"2;1","5ik11ndp",0,1,NA,0,1.07,3
3,0.968132524012027,1,4,1,11,"2;1","5ik11ndp",0,1,NA,0,1.07,3
4,0.766498916095358,2,3,1,14,"2;1","5ik11ndp",0,1,NA,0,1.07,3
5,0.815915150774077,1,2,1,16,"2;1","5ik11ndp",0,1,NA,0,1.07,3
6,0.813458845675301,1,2,1,18,"2;1","5ik11ndp",0,1,NA,0,1.07,3
7,0.616722766791212,1,1,1,19,"2;1","5ik11ndp",0,1,NA,0,1.07,3
8,0.700788206570531,1,4,1,23,"2;1","5ik11ndp",0,1,NA,0,1.07,3
9,0.788541983490038,1,3,1,26,"2;1","5ik11ndp",0,1,NA,0,1.07,3
10,0.630651738023151,2,4,1,30,"2;1","5ik11ndp",0,1,NA,0,1.07,3
11,0.80614093293792,1,4,1,34,"2;1","5ik11ndp",0,1,NA,0,1.07,3
12,1.13059686710676,1,4,1,38,"2;1","5ik11ndp",0,1,NA,0,1.07,3
13,0.726857142119225,1,-3,1,35,"2;1","5ik11ndp",0,1,NA,0,1.07,3
14,0.817686162775828,1,4,1,39,"2;1","5ik11ndp",0,1,NA,0,1.07,3
15,0.5,1,6,1,45,"2;1","5ik11ndp",0,1,NA,0,1.07,3
16,0.863698146193891,1,0,1,45,"2;1","5ik11ndp",0,1,NA,0,1.07,3
17,1.0996425008039,1,4,1,49,"2;1","5ik11ndp",0,1,NA,0,1.07,3
18,1.0349943296182,2,-1,1,48,"2;1","5ik11ndp",0,1,NA,0,1.07,3
19,0.879656749241548,1,0,1,48,"2;1","5ik11ndp",0,1,NA,0,1.07,3
20,0.594053489920913,1,3,1,51,"2;1","5ik11ndp",0,1,NA,0,1.07,3
1,1.11046448086378,2,19,2,19,"1;2","5ik11ndp",0,1,NA,0,1.07,3
2,1.04824778570693,2,6,2,25,"1;2","5ik11ndp",0,1,NA,0,1.07,3
3,0.606752153198509,2,-13,2,12,"1;2","5ik11ndp",0,1,NA,0,1.07,3
4,0.863457653593793,2,3,2,15,"1;2","5ik11ndp",0,1,NA,0,1.07,3
5,1.17392859198031,2,21,2,36,"1;2","5ik11ndp",0,1,NA,0,1.07,3
6,0.674697691109298,2,18,2,54,"1;2","5ik11ndp",0,1,NA,0,1.07,3
7,0.519147586435679,2,14,2,68,"1;2","5ik11ndp",0,1,NA,0,1.07,3
8,0.764399657062196,2,13,2,81,"1;2","5ik11ndp",0,1,NA,0,1.07,3
9,0.842427402732802,2,2,2,83,"1;2","5ik11ndp",0,1,NA,0,1.07,3
10,1.0683829978796,2,6,2,89,"1;2","5ik11ndp",0,1,NA,0,1.07,3
11,1.09546810044614,1,-1,2,88,"1;2","5ik11ndp",0,1,NA,0,1.07,3
12,0.703929998901332,2,-4,2,84,"1;2","5ik11ndp",0,1,NA,0,1.07,3
13,0.866942047131805,2,-7,2,77,"1;2","5ik11ndp",0,1,NA,0,1.07,3
14,0.985922949978684,2,-1,2,76,"1;2","5ik11ndp",0,1,NA,0,1.07,3
15,0.517599308169103,2,-1,2,75,"1;2","5ik11ndp",0,1,NA,0,1.07,3
16,0.662695699796819,1,6,2,81,"1;2","5ik11ndp",0,1,NA,0,1.07,3
17,1.17019021312115,2,3,2,84,"1;2","5ik11ndp",0,1,NA,0,1.07,3
18,0.933416278137893,1,4,2,88,"1;2","5ik11ndp",0,1,NA,0,1.07,3
19,0.898476026801286,1,2,2,90,"1;2","5ik11ndp",0,1,NA,0,1.07,3
20,0.5,2,1,2,91,"1;2","5ik11ndp",0,1,NA,0,1.07,3
21,1.3131200887039,1,2,2,93,"1;2","5ik11ndp",0,1,NA,0,1.07,3
22,1.09439678270905,1,9,2,102,"1;2","5ik11ndp",0,1,NA,0,1.07,3
23,1.15231459116163,1,7,2,109,"1;2","5ik11ndp",0,1,NA,0,1.07,3
24,0.735398268170541,1,3,2,112,"1;2","5ik11ndp",0,1,NA,0,1.07,3
25,0.705458977819676,1,2,2,114,"1;2","5ik11ndp",0,1,NA,0,1.07,3
1,1.15465777066407,1,7,3,7,"2;1","5ik11ndp",0,1,NA,0,1.07,3
2,1.18528071136909,2,5,3,12,"2;1","5ik11ndp",0,1,NA,0,1.07,3
3,0.673825047177167,1,16,3,28,"2;1","5ik11ndp",0,1,NA,0,1.07,3
4,0.834344191105302,2,6,3,34,"2;1","5ik11ndp",0,1,NA,0,1.07,3
5,0.964389309830815,1,15,3,49,"2;1","5ik11ndp",0,1,NA,0,1.07,3
6,1.16451103404215,2,1,3,50,"2;1","5ik11ndp",0,1,NA,0,1.07,3
7,0.882783826729633,1,1,3,51,"2;1","5ik11ndp",0,1,NA,0,1.07,3
8,0.866035863122901,2,3,3,54,"2;1","5ik11ndp",0,1,NA,0,1.07,3
9,0.681449258090707,1,17,3,71,"2;1","5ik11ndp",0,1,NA,0,1.07,3
10,0.705830143883704,1,-2,3,69,"2;1","5ik11ndp",0,1,NA,0,1.07,3
11,0.813634139060371,1,3,3,72,"2;1","5ik11ndp",0,1,NA,0,1.07,3
12,0.872448042390726,2,5,3,77,"2;1","5ik11ndp",0,1,NA,0,1.07,3
13,0.687657804227489,1,11,3,88,"2;1","5ik11ndp",0,1,NA,0,1.07,3
14,0.5,1,17,3,105,"2;1","5ik11ndp",0,1,NA,0,1.07,3
15,0.761567038305369,1,10,3,115,"2;1","5ik11ndp",0,1,NA,0,1.07,3
16,1.29557905191963,1,2,3,117,"2;1","5ik11ndp",0,1,NA,0,1.07,3
17,1.13790758072399,1,0,3,117,"2;1","5ik11ndp",0,1,NA,0,1.07,3
18,0.5,1,0,3,117,"2;1","5ik11ndp",0,1,NA,0,1.07,3
19,0.613905949054493,2,-1,3,116,"2;1","5ik11ndp",0,1,NA,0,1.07,3
20,0.5,1,-2,3,114,"2;1","5ik11ndp",0,1,NA,0,1.07,3
21,1.31200759310055,1,13,3,127,"2;1","5ik11ndp",0,1,NA,0,1.07,3
22,0.516898582015561,2,3,3,130,"2;1","5ik11ndp",0,1,NA,0,1.07,3
23,1.16630193702164,2,7,3,137,"2;1","5ik11ndp",0,1,NA,0,1.07,3
24,0.5,1,-10,3,127,"2;1","5ik11ndp",0,1,NA,0,1.07,3
25,0.710745104300273,2,3,3,130,"2;1","5ik11ndp",0,1,NA,0,1.07,3
1,0.747339831386422,1,1,4,1,"1;2","5ik11ndp",0,1,NA,0,1.07,3
2,0.58364833254025,1,4,4,5,"1;2","5ik11ndp",0,1,NA,0,1.07,3
3,1.1729462790151,1,3,4,8,"1;2","5ik11ndp",0,1,NA,0,1.07,3
4,1.07040095073286,1,3,4,11,"1;2","5ik11ndp",0,1,NA,0,1.07,3
5,0.960992909379492,1,5,4,16,"1;2","5ik11ndp",0,1,NA,0,1.07,3
6,0.750346881969475,1,2,4,18,"1;2","5ik11ndp",0,1,NA,0,1.07,3
7,0.5,1,3,4,21,"1;2","5ik11ndp",0,1,NA,0,1.07,3
8,1.08306838535554,1,3,4,24,"1;2","5ik11ndp",0,1,NA,0,1.07,3
9,0.829539293839619,1,3,4,27,"1;2","5ik11ndp",0,1,NA,0,1.07,3
10,0.952413369528979,1,2,4,29,"1;2","5ik11ndp",0,1,NA,0,1.07,3
11,1.11264523245116,1,3,4,32,"1;2","5ik11ndp",0,1,NA,0,1.07,3
12,0.819934228304579,1,6,4,38,"1;2","5ik11ndp",0,1,NA,0,1.07,3
13,1.07028005801372,2,-8,4,30,"1;2","5ik11ndp",0,1,NA,0,1.07,3
14,1.11606755961821,1,-1,4,29,"1;2","5ik11ndp",0,1,NA,0,1.07,3
15,0.891134073132209,1,3,4,32,"1;2","5ik11ndp",0,1,NA,0,1.07,3
16,0.654832544095296,1,1,4,33,"1;2","5ik11ndp",0,1,NA,0,1.07,3
17,1.11955438918581,2,3,4,36,"1;2","5ik11ndp",0,1,NA,0,1.07,3
18,1.02800077937294,1,8,4,44,"1;2","5ik11ndp",0,1,NA,0,1.07,3
19,0.894937661881623,1,6,4,50,"1;2","5ik11ndp",0,1,NA,0,1.07,3
20,0.645621252538927,1,6,4,56,"1;2","5ik11ndp",0,1,NA,0,1.07,3
21,0.78685757217068,1,4,4,60,"1;2","5ik11ndp",0,1,NA,0,1.07,3
22,0.77445041298497,1,2,4,62,"1;2","5ik11ndp",0,1,NA,0,1.07,3
23,0.94620375344298,1,5,4,67,"1;2","5ik11ndp",0,1,NA,0,1.07,3
24,0.814280651321396,2,16,4,83,"1;2","5ik11ndp",0,1,NA,0,1.07,3
25,0.603811612957004,1,1,4,84,"1;2","5ik11ndp",0,1,NA,0,1.07,3
1,0.747600195687488,2,1,5,1,"2;1","5ik11ndp",0,1,NA,0,1.07,3
2,1.30073849088882,2,6,5,7,"2;1","5ik11ndp",0,1,NA,0,1.07,3
3,0.743809780617238,2,1,5,8,"2;1","5ik11ndp",0,1,NA,0,1.07,3
4,0.65061028075491,2,2,5,10,"2;1","5ik11ndp",0,1,NA,0,1.07,3
5,0.691092610439126,2,4,5,14,"2;1","5ik11ndp",0,1,NA,0,1.07,3
6,0.889532193136807,2,3,5,17,"2;1","5ik11ndp",0,1,NA,0,1.07,3
7,1.24594076767664,2,-1,5,16,"2;1","5ik11ndp",0,1,NA,0,1.07,3
8,0.919535101612336,2,7,5,23,"2;1","5ik11ndp",0,1,NA,0,1.07,3
9,0.882836576461118,1,-10,5,13,"2;1","5ik11ndp",0,1,NA,0,1.07,3
10,0.5,2,5,5,18,"2;1","5ik11ndp",0,1,NA,0,1.07,3
11,0.997440298140599,2,3,5,21,"2;1","5ik11ndp",0,1,NA,0,1.07,3
12,0.930641670038093,2,6,5,27,"2;1","5ik11ndp",0,1,NA,0,1.07,3
13,0.818603058231016,2,2,5,29,"2;1","5ik11ndp",0,1,NA,0,1.07,3
14,0.5,2,2,5,31,"2;1","5ik11ndp",0,1,NA,0,1.07,3
15,1.27926610358566,2,4,5,35,"2;1","5ik11ndp",0,1,NA,0,1.07,3
16,0.5,2,1,5,36,"2;1","5ik11ndp",0,1,NA,0,1.07,3
17,0.56975598234274,2,6,5,42,"2;1","5ik11ndp",0,1,NA,0,1.07,3
18,0.825348319242254,2,7,5,49,"2;1","5ik11ndp",0,1,NA,0,1.07,3
19,1.24261240686464,2,4,5,53,"2;1","5ik11ndp",0,1,NA,0,1.07,3
20,0.578884402929307,1,17,5,70,"2;1","5ik11ndp",0,1,NA,0,1.07,3
21,0.931688274779435,2,-1,5,69,"2;1","5ik11ndp",0,1,NA,0,1.07,3
22,0.5,1,-14,5,55,"2;1","5ik11ndp",0,1,NA,0,1.07,3
23,0.943403596742074,2,-2,5,53,"2;1","5ik11ndp",0,1,NA,0,1.07,3
24,1.13953663366208,2,4,5,57,"2;1","5ik11ndp",0,1,NA,0,1.07,3
25,0.586057189153979,1,10,5,67,"2;1","5ik11ndp",0,1,NA,0,1.07,3
1,0.900688380562973,2,8,6,8,"1;2","5ik11ndp",0,1,NA,0,1.07,3
2,0.818328040968119,2,21,6,29,"1;2","5ik11ndp",0,1,NA,0,1.07,3
3,0.519931770924375,2,2,6,31,"1;2","5ik11ndp",0,1,NA,0,1.07,3
4,0.813976570601139,2,0,6,31,"1;2","5ik11ndp",0,1,NA,0,1.07,3
5,0.704117971387464,2,0,6,31,"1;2","5ik11ndp",0,1,NA,0,1.07,3
6,0.947368155244915,2,3,6,34,"1;2","5ik11ndp",0,1,NA,0,1.07,3
7,1.06650182038536,2,-4,6,30,"1;2","5ik11ndp",0,1,NA,0,1.07,3
8,0.668162332321293,2,5,6,35,"1;2","5ik11ndp",0,1,NA,0,1.07,3
9,1.02594417112689,2,-9,6,26,"1;2","5ik11ndp",0,1,NA,0,1.07,3
10,0.621124546071497,2,24,6,50,"1;2","5ik11ndp",0,1,NA,0,1.07,3
11,0.564235483610981,2,-1,6,49,"1;2","5ik11ndp",0,1,NA,0,1.07,3
12,0.902056042594418,2,1,6,50,"1;2","5ik11ndp",0,1,NA,0,1.07,3
13,0.789175303535922,2,-4,6,46,"1;2","5ik11ndp",0,1,NA,0,1.07,3
14,0.573710294860722,2,0,6,46,"1;2","5ik11ndp",0,1,NA,0,1.07,3
15,1.1924756951047,2,-13,6,33,"1;2","5ik11ndp",0,1,NA,0,1.07,3
16,0.725768995256821,1,2,6,35,"1;2","5ik11ndp",0,1,NA,0,1.07,3
17,0.5,1,4,6,39,"1;2","5ik11ndp",0,1,NA,0,1.07,3
18,0.805435044030853,1,2,6,41,"1;2","5ik11ndp",0,1,NA,0,1.07,3
19,1.07544389417336,2,5,6,46,"1;2","5ik11ndp",0,1,NA,0,1.07,3
20,0.876877830722092,1,2,6,48,"1;2","5ik11ndp",0,1,NA,0,1.07,3
21,0.912031715336259,2,16,6,64,"1;2","5ik11ndp",0,1,NA,0,1.07,3
22,0.5,1,6,6,70,"1;2","5ik11ndp",0,1,NA,0,1.07,3
23,1.18265149111972,2,14,6,84,"1;2","5ik11ndp",0,1,NA,0,1.07,3
24,0.958824275360433,2,22,6,106,"1;2","5ik11ndp",0,1,NA,0,1.07,3
25,1.0192196977072,2,1,6,107,"1;2","5ik11ndp",0,1,NA,0,1.07,3
1,0.877055296886739,1,8,7,8,"1;2","5ik11ndp",0,1,NA,0,1.07,3
2,0.5,1,4,7,12,"1;2","5ik11ndp",0,1,NA,0,1.07,3
3,1.04764862214627,1,12,7,24,"1;2","5ik11ndp",0,1,NA,0,1.07,3
4,0.802610181864881,1,7,7,31,"1;2","5ik11ndp",0,1,NA,0,1.07,3
5,0.805894465455346,2,-8,7,23,"1;2","5ik11ndp",0,1,NA,0,1.07,3
6,0.864057879251055,1,5,7,28,"1;2","5ik11ndp",0,1,NA,0,1.07,3
7,1.22650229028487,1,9,7,37,"1;2","5ik11ndp",0,1,NA,0,1.07,3
8,0.81720024812667,1,5,7,42,"1;2","5ik11ndp",0,1,NA,0,1.07,3
9,1.2363612098767,1,5,7,47,"1;2","5ik11ndp",0,1,NA,0,1.07,3
10,0.791850477217414,1,4,7,51,"1;2","5ik11ndp",0,1,NA,0,1.07,3
11,0.830529507394367,1,3,7,54,"1;2","5ik11ndp",0,1,NA,0,1.07,3
12,0.520910063087842,1,6,7,60,"1;2","5ik11ndp",0,1,NA,0,1.07,3
13,0.856514775835561,1,3,7,63,"1;2","5ik11ndp",0,1,NA,0,1.07,3
14,1.16626484580757,1,2,7,65,"1;2","5ik11ndp",0,1,NA,0,1.07,3
15,0.713669863769944,1,1,7,66,"1;2","5ik11ndp",0,1,NA,0,1.07,3
16,0.643897355111072,1,6,7,72,"1;2","5ik11ndp",0,1,NA,0,1.07,3
17,0.765443864409741,1,7,7,79,"1;2","5ik11ndp",0,1,NA,0,1.07,3
18,1.01490703350453,1,5,7,84,"1;2","5ik11ndp",0,1,NA,0,1.07,3
19,1.07084355570198,1,5,7,89,"1;2","5ik11ndp",0,1,NA,0,1.07,3
20,0.982892240373256,1,4,7,93,"1;2","5ik11ndp",0,1,NA,0,1.07,3
21,0.82967094825837,1,3,7,96,"1;2","5ik11ndp",0,1,NA,0,1.07,3
22,0.717845822368727,2,-3,7,93,"1;2","5ik11ndp",0,1,NA,0,1.07,3
23,0.696739397959754,2,4,7,97,"1;2","5ik11ndp",0,1,NA,0,1.07,3
24,0.898353659286289,1,1,7,98,"1;2","5ik11ndp",0,1,NA,0,1.07,3
25,0.968889046165396,1,7,7,105,"1;2","5ik11ndp",0,1,NA,0,1.07,3
1,0.510921230912025,1,-6,8,-6,"2;1","5ik11ndp",0,1,NA,0,1.07,3
2,0.667395427390411,2,5,8,-1,"2;1","5ik11ndp",0,1,NA,0,1.07,3
3,0.918920572892662,1,10,8,9,"2;1","5ik11ndp",0,1,NA,0,1.07,3
4,1.34315891562417,1,3,8,12,"2;1","5ik11ndp",0,1,NA,0,1.07,3
5,0.625120694836751,1,-8,8,4,"2;1","5ik11ndp",0,1,NA,0,1.07,3
6,1.29216634564689,2,7,8,11,"2;1","5ik11ndp",0,1,NA,0,1.07,3
7,0.5,1,17,8,28,"2;1","5ik11ndp",0,1,NA,0,1.07,3
8,0.936740843063214,2,7,8,35,"2;1","5ik11ndp",0,1,NA,0,1.07,3
9,0.899707842442319,1,43,8,78,"2;1","5ik11ndp",0,1,NA,0,1.07,3
10,0.5,1,-10,8,68,"2;1","5ik11ndp",0,1,NA,0,1.07,3
11,0.864875597115164,1,11,8,79,"2;1","5ik11ndp",0,1,NA,0,1.07,3
12,1.06187374780923,1,-3,8,76,"2;1","5ik11ndp",0,1,NA,0,1.07,3
13,0.96563738814496,2,4,8,80,"2;1","5ik11ndp",0,1,NA,0,1.07,3
14,0.708268033278974,1,-10,8,70,"2;1","5ik11ndp",0,1,NA,0,1.07,3
15,0.5,2,7,8,77,"2;1","5ik11ndp",0,1,NA,0,1.07,3
16,0.721167497335734,2,5,8,82,"2;1","5ik11ndp",0,1,NA,0,1.07,3
17,1.13243904908343,2,7,8,89,"2;1","5ik11ndp",0,1,NA,0,1.07,3
18,0.716018313638238,2,4,8,93,"2;1","5ik11ndp",0,1,NA,0,1.07,3
19,0.651771212242714,2,6,8,99,"2;1","5ik11ndp",0,1,NA,0,1.07,3
20,0.928759327490259,2,-1,8,98,"2;1","5ik11ndp",0,1,NA,0,1.07,3
21,1.04267830944766,1,13,8,111,"2;1","5ik11ndp",0,1,NA,0,1.07,3
22,1.16893634550422,1,6,8,117,"2;1","5ik11ndp",0,1,NA,0,1.07,3
23,0.750335865908513,1,11,8,128,"2;1","5ik11ndp",0,1,NA,0,1.07,3
24,0.851644723407883,1,-1,8,127,"2;1","5ik11ndp",0,1,NA,0,1.07,3
25,0.653078510952759,2,5,8,132,"2;1","5ik11ndp",0,1,NA,0,1.07,3
1,0.570455257594757,1,-3,9,-3,"2;1","5ik11ndp",0,1,NA,0,1.07,3
2,1.21607973957481,2,1,9,-2,"2;1","5ik11ndp",0,1,NA,0,1.07,3
3,1.01227136971005,2,5,9,3,"2;1","5ik11ndp",0,1,NA,0,1.07,3
4,1.13645513944769,2,6,9,9,"2;1","5ik11ndp",0,1,NA,0,1.07,3
5,0.906528671516447,2,3,9,12,"2;1","5ik11ndp",0,1,NA,0,1.07,3
6,0.542017568624372,2,5,9,17,"2;1","5ik11ndp",0,1,NA,0,1.07,3
7,1.07006788370232,2,6,9,23,"2;1","5ik11ndp",0,1,NA,0,1.07,3
8,1.02567505579183,2,8,9,31,"2;1","5ik11ndp",0,1,NA,0,1.07,3
9,0.531339671729247,2,4,9,35,"2;1","5ik11ndp",0,1,NA,0,1.07,3
10,0.56596952897409,2,-2,9,33,"2;1","5ik11ndp",0,1,NA,0,1.07,3
11,0.52881037685481,2,3,9,36,"2;1","5ik11ndp",0,1,NA,0,1.07,3
12,0.652258482772674,2,5,9,41,"2;1","5ik11ndp",0,1,NA,0,1.07,3
13,0.509507863299808,2,8,9,49,"2;1","5ik11ndp",0,1,NA,0,1.07,3
14,0.996495682507455,1,10,9,59,"2;1","5ik11ndp",0,1,NA,0,1.07,3
15,0.5,2,5,9,64,"2;1","5ik11ndp",0,1,NA,0,1.07,3
16,0.774809319318787,2,4,9,68,"2;1","5ik11ndp",0,1,NA,0,1.07,3
17,0.78708811753252,2,6,9,74,"2;1","5ik11ndp",0,1,NA,0,1.07,3
18,0.614275084853316,2,4,9,78,"2;1","5ik11ndp",0,1,NA,0,1.07,3
19,0.588124398872252,2,5,9,83,"2;1","5ik11ndp",0,1,NA,0,1.07,3
20,0.786970767489496,2,1,9,84,"2;1","5ik11ndp",0,1,NA,0,1.07,3
21,1.07541160557645,2,2,9,86,"2;1","5ik11ndp",0,1,NA,0,1.07,3
22,0.801741114790975,1,5,9,91,"2;1","5ik11ndp",0,1,NA,0,1.07,3
23,0.686592882183836,1,8,9,99,"2;1","5ik11ndp",0,1,NA,0,1.07,3
24,0.860127409141852,1,-12,9,87,"2;1","5ik11ndp",0,1,NA,0,1.07,3
25,0.930276687876727,2,3,9,90,"2;1","5ik11ndp",0,1,NA,0,1.07,3
1,0.5,2,9,10,9,"1;2","5ik11ndp",0,1,NA,0,1.07,3
2,1.2568416359768,1,4,10,13,"1;2","5ik11ndp",0,1,NA,0,1.07,3
3,0.969635528482719,2,-4,10,9,"1;2","5ik11ndp",0,1,NA,0,1.07,3
4,0.645937858590344,1,6,10,15,"1;2","5ik11ndp",0,1,NA,0,1.07,3
5,0.919457876735438,1,8,10,23,"1;2","5ik11ndp",0,1,NA,0,1.07,3
6,0.5,1,7,10,30,"1;2","5ik11ndp",0,1,NA,0,1.07,3
7,0.53230661949457,1,7,10,37,"1;2","5ik11ndp",0,1,NA,0,1.07,3
8,0.5,1,3,10,40,"1;2","5ik11ndp",0,1,NA,0,1.07,3
9,0.975391832209194,1,8,10,48,"1;2","5ik11ndp",0,1,NA,0,1.07,3
10,0.7199194708995,1,4,10,52,"1;2","5ik11ndp",0,1,NA,0,1.07,3
11,0.978208949931458,1,2,10,54,"1;2","5ik11ndp",0,1,NA,0,1.07,3
12,0.5,1,2,10,56,"1;2","5ik11ndp",0,1,NA,0,1.07,3
13,0.608436476720565,1,3,10,59,"1;2","5ik11ndp",0,1,NA,0,1.07,3
14,1.04978303882767,1,2,10,61,"1;2","5ik11ndp",0,1,NA,0,1.07,3
15,0.758671053472861,1,4,10,65,"1;2","5ik11ndp",0,1,NA,0,1.07,3
16,0.793985646099079,1,1,10,66,"1;2","5ik11ndp",0,1,NA,0,1.07,3
17,1.00155713144227,1,0,10,66,"1;2","5ik11ndp",0,1,NA,0,1.07,3
18,1.12777230034497,1,7,10,73,"1;2","5ik11ndp",0,1,NA,0,1.07,3
19,1.02790283771676,2,-1,10,72,"1;2","5ik11ndp",0,1,NA,0,1.07,3
20,0.821821214649312,2,18,10,90,"1;2","5ik11ndp",0,1,NA,0,1.07,3
21,1.0188269352804,2,-21,10,69,"1;2","5ik11ndp",0,1,NA,0,1.07,3
22,0.838859719826325,1,5,10,74,"1;2","5ik11ndp",0,1,NA,0,1.07,3
23,0.981048172293018,1,5,10,79,"1;2","5ik11ndp",0,1,NA,0,1.07,3
24,0.831650485872999,1,5,10,84,"1;2","5ik11ndp",0,1,NA,0,1.07,3
25,0.714271364336246,2,5,10,89,"1;2","5ik11ndp",0,1,NA,0,1.07,3
1,0.5,2,4,11,4,"2;1","5ik11ndp",0,1,NA,0,1.07,3
2,1.07859158610972,2,4,11,8,"2;1","5ik11ndp",0,1,NA,0,1.07,3
3,1.24892254234141,2,1,11,9,"2;1","5ik11ndp",0,1,NA,0,1.07,3
4,1.48385889265315,2,7,11,16,"2;1","5ik11ndp",0,1,NA,0,1.07,3
5,0.594366821514794,2,2,11,18,"2;1","5ik11ndp",0,1,NA,0,1.07,3
6,0.797433542765394,2,2,11,20,"2;1","5ik11ndp",0,1,NA,0,1.07,3
7,0.675927834473436,2,2,11,22,"2;1","5ik11ndp",0,1,NA,0,1.07,3
8,0.801569860335044,2,7,11,29,"2;1","5ik11ndp",0,1,NA,0,1.07,3
9,1.36227946745977,2,5,11,34,"2;1","5ik11ndp",0,1,NA,0,1.07,3
10,0.5,2,5,11,39,"2;1","5ik11ndp",0,1,NA,0,1.07,3
11,0.66994449025352,2,3,11,42,"2;1","5ik11ndp",0,1,NA,0,1.07,3
12,0.523261417467262,2,5,11,47,"2;1","5ik11ndp",0,1,NA,0,1.07,3
13,0.801800619384451,2,5,11,52,"2;1","5ik11ndp",0,1,NA,0,1.07,3
14,0.706935506139764,2,4,11,56,"2;1","5ik11ndp",0,1,NA,0,1.07,3
15,0.630384967890123,1,8,11,64,"2;1","5ik11ndp",0,1,NA,0,1.07,3
16,0.737095846376858,2,4,11,68,"2;1","5ik11ndp",0,1,NA,0,1.07,3
17,0.808260335822565,2,1,11,69,"2;1","5ik11ndp",0,1,NA,0,1.07,3
18,1.19465514336364,1,13,11,82,"2;1","5ik11ndp",0,1,NA,0,1.07,3
19,0.5,1,8,11,90,"2;1","5ik11ndp",0,1,NA,0,1.07,3
20,0.634986817561951,1,13,11,103,"2;1","5ik11ndp",0,1,NA,0,1.07,3
21,0.821926541631844,1,9,11,112,"2;1","5ik11ndp",0,1,NA,0,1.07,3
22,0.913273611611667,1,-6,11,106,"2;1","5ik11ndp",0,1,NA,0,1.07,3
23,0.683596812667045,2,2,11,108,"2;1","5ik11ndp",0,1,NA,0,1.07,3
24,0.718782481202873,1,-3,11,105,"2;1","5ik11ndp",0,1,NA,0,1.07,3
25,0.61913296864658,2,5,11,110,"2;1","5ik11ndp",0,1,NA,0,1.07,3
