"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.613818329904705,1,3,1,3,"2;1","5zzcAWr5",100,5,3,0,0.6,3
2,0.708782026002309,1,3,1,6,"2;1","5zzcAWr5",100,5,3,0,0.6,3
3,1.19794020147981,2,5,1,11,"2;1","5zzcAWr5",100,5,3,0,0.6,3
4,0.706655822586022,2,3,1,14,"2;1","5zzcAWr5",100,5,3,0,0.6,3
5,0.780422982603179,2,3,1,17,"2;1","5zzcAWr5",100,5,3,0,0.6,3
6,0.876166743538981,2,2,1,19,"2;1","5zzcAWr5",100,5,3,0,0.6,3
7,0.881844406546249,1,7,1,26,"2;1","5zzcAWr5",100,5,3,0,0.6,3
8,1.06675076924565,1,-1,1,25,"2;1","5zzcAWr5",100,5,3,0,0.6,3
9,0.559087617681234,2,0,1,25,"2;1","5zzcAWr5",100,5,3,0,0.6,3
10,0.803018424351766,1,1,1,26,"2;1","5zzcAWr5",100,5,3,0,0.6,3
11,0.5,1,6,1,32,"2;1","5zzcAWr5",100,5,3,0,0.6,3
12,0.5,1,3,1,35,"2;1","5zzcAWr5",100,5,3,0,0.6,3
13,1.30091543629433,1,3,1,38,"2;1","5zzcAWr5",100,5,3,0,0.6,3
14,0.921596725515007,1,-1,1,37,"2;1","5zzcAWr5",100,5,3,0,0.6,3
15,0.957294601819321,2,4,1,41,"2;1","5zzcAWr5",100,5,3,0,0.6,3
16,0.651236619135188,1,2,1,43,"2;1","5zzcAWr5",100,5,3,0,0.6,3
17,0.790465576606564,2,4,1,47,"2;1","5zzcAWr5",100,5,3,0,0.6,3
18,1.09197460561222,2,3,1,50,"2;1","5zzcAWr5",100,5,3,0,0.6,3
19,0.5,2,5,1,55,"2;1","5zzcAWr5",100,5,3,0,0.6,3
20,0.864492669242913,1,4,1,59,"2;1","5zzcAWr5",100,5,3,0,0.6,3
1,0.641258557579379,1,0,2,0,"2;1","5zzcAWr5",100,5,3,0,0.6,3
2,1.20608306396664,1,11,2,11,"2;1","5zzcAWr5",100,5,3,0,0.6,3
3,0.916076034239605,1,4,2,15,"2;1","5zzcAWr5",100,5,3,0,0.6,3
4,0.855469753589883,1,-4,2,11,"2;1","5zzcAWr5",100,5,3,0,0.6,3
5,1.36930611007605,1,-8,2,3,"2;1","5zzcAWr5",100,5,3,0,0.6,3
6,0.550529735067282,1,3,2,6,"2;1","5zzcAWr5",100,5,3,0,0.6,3
7,1.21225945580529,1,-1,2,5,"2;1","5zzcAWr5",100,5,3,0,0.6,3
8,0.62317197883935,1,-6,2,-1,"2;1","5zzcAWr5",100,5,3,0,0.6,3
9,0.972042364507502,1,-12,2,-13,"2;1","5zzcAWr5",100,5,3,0,0.6,3
10,1.08950630702609,1,3,2,-10,"2;1","5zzcAWr5",100,5,3,0,0.6,3
11,0.5,1,4,2,-6,"2;1","5zzcAWr5",100,5,3,0,0.6,3
12,0.886595612625216,1,15,2,9,"2;1","5zzcAWr5",100,5,3,0,0.6,3
13,0.622586670789472,1,-11,2,-2,"2;1","5zzcAWr5",100,5,3,0,0.6,3
14,1.19277423021361,1,2,2,0,"2;1","5zzcAWr5",100,5,3,0,0.6,3
15,1.20643835096551,1,-7,2,-7,"2;1","5zzcAWr5",100,5,3,0,0.6,3
16,1.25606217891465,1,-1,2,-8,"2;1","5zzcAWr5",100,5,3,0,0.6,3
17,0.776876558616784,1,-10,2,-18,"2;1","5zzcAWr5",100,5,3,0,0.6,3
18,0.912402286151238,1,16,2,-2,"2;1","5zzcAWr5",100,5,3,0,0.6,3
