"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.84555412272569,2,0,1,0,"2;1","61dw2bsM",0,2,NA,0,0.98,2
2,0.506365843429305,2,4,1,4,"2;1","61dw2bsM",0,2,NA,0,0.98,2
3,1.03356918861151,2,3,1,7,"2;1","61dw2bsM",0,2,NA,0,0.98,2
4,0.840174961433007,2,5,1,12,"2;1","61dw2bsM",0,2,NA,0,0.98,2
5,0.5,2,2,1,14,"2;1","61dw2bsM",0,2,NA,0,0.98,2
6,0.723620523511868,2,0,1,14,"2;1","61dw2bsM",0,2,NA,0,0.98,2
7,0.895918305817793,1,1,1,15,"2;1","61dw2bsM",0,2,NA,0,0.98,2
8,0.638989853433913,1,4,1,19,"2;1","61dw2bsM",0,2,NA,0,0.98,2
9,1.27027296776685,2,3,1,22,"2;1","61dw2bsM",0,2,NA,0,0.98,2
10,0.774125589489303,2,1,1,23,"2;1","61dw2bsM",0,2,NA,0,0.98,2
11,0.522997595450769,2,1,1,24,"2;1","61dw2bsM",0,2,NA,0,0.98,2
12,0.995427001876924,1,2,1,26,"2;1","61dw2bsM",0,2,NA,0,0.98,2
13,0.567363833799675,1,2,1,28,"2;1","61dw2bsM",0,2,NA,0,0.98,2
14,0.902015600400481,2,5,1,33,"2;1","61dw2bsM",0,2,NA,0,0.98,2
15,1.10097870179138,1,5,1,38,"2;1","61dw2bsM",0,2,NA,0,0.98,2
16,0.581866549582002,2,0,1,38,"2;1","61dw2bsM",0,2,NA,0,0.98,2
17,1.1911896851401,1,-1,1,37,"2;1","61dw2bsM",0,2,NA,0,0.98,2
18,0.730385291621368,2,2,1,39,"2;1","61dw2bsM",0,2,NA,0,0.98,2
19,0.856936347583865,2,7,1,46,"2;1","61dw2bsM",0,2,NA,0,0.98,2
20,1.04951036280315,1,5,1,51,"2;1","61dw2bsM",0,2,NA,0,0.98,2
1,0.692967396528677,2,6,2,6,"2;1","61dw2bsM",0,2,NA,0,0.98,2
2,0.806283231501098,1,17,2,23,"2;1","61dw2bsM",0,2,NA,0,0.98,2
3,0.98320081606577,2,2,2,25,"2;1","61dw2bsM",0,2,NA,0,0.98,2
4,0.973052408393108,2,7,2,32,"2;1","61dw2bsM",0,2,NA,0,0.98,2
5,0.745445371177166,1,-2,2,30,"2;1","61dw2bsM",0,2,NA,0,0.98,2
6,0.941331457545082,2,3,2,33,"2;1","61dw2bsM",0,2,NA,0,0.98,2
