"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.03763196894158,1,1,1,1,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
2,0.736817859049978,2,1,1,2,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
3,0.530313726454299,1,3,1,5,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
4,0.92722433728811,2,-1,1,4,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
5,0.854701896933217,2,6,1,10,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
6,1.26748778252009,2,3,1,13,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
7,1.32074450363353,2,1,1,14,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
8,0.620245369055904,2,4,1,18,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
9,0.877013563460847,1,4,1,22,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
10,1.11407143778062,1,3,1,25,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
11,1.23235096031426,2,5,1,30,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
12,0.890275745106018,2,2,1,32,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
13,1.06255974520101,2,4,1,36,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
14,0.692698699524009,2,2,1,38,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
15,1.07927106912708,1,5,1,43,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
16,0.690879137314475,1,2,1,45,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
17,1.00347814740509,2,1,1,46,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
18,0.666252742375722,2,2,1,48,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
19,0.934568782463153,1,4,1,52,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
20,0.5,2,0,1,52,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
1,0.92483425499483,1,11,2,11,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
2,0.5,1,3,2,14,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
3,0.671466534934338,2,3,2,17,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
4,0.5,1,13,2,30,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
5,0.952089768947577,1,4,2,34,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
6,0.736172057727872,1,0,2,34,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
7,0.875874081124403,1,7,2,41,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
8,0.913102003965353,1,-13,2,28,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
9,0.836552163845348,1,13,2,41,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
10,0.90598831890195,1,13,2,54,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
11,0.696823346965367,2,3,2,57,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
12,0.598735375075624,1,-6,2,51,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
13,0.997758927289993,1,10,2,61,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
14,1.10670202818771,1,4,2,65,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
15,1.04971067842311,2,5,2,70,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
16,0.926378924389211,1,17,2,87,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
17,0.5,2,3,2,90,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
18,0.742272468038696,2,10,2,100,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
19,1.1007393425741,1,-11,2,89,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
20,0.983991551008204,2,2,2,91,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
21,0.854643793232287,2,6,2,97,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
22,0.682094988982913,2,3,2,100,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
23,0.5,2,2,2,102,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
24,1.32537165595451,2,8,2,110,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
25,0.555954264810587,2,0,2,110,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
1,1.18076275918462,2,4,3,4,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
2,1.06108098088108,1,2,3,6,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
3,1.312350051468,1,-20,3,-14,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
4,0.794752930994463,2,3,3,-11,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
5,0.646801478107591,2,8,3,-3,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
6,0.819850346774994,2,6,3,3,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
7,0.896178336551505,2,4,3,7,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
8,1.06138507516925,2,3,3,10,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
9,0.824956742563177,1,-3,3,7,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
10,1.08331578123763,2,-2,3,5,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
11,0.733282557268852,2,3,3,8,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
12,0.783525876112764,1,0,3,8,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
13,0.962403844293457,1,20,3,28,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
14,0.786273005904408,2,5,3,33,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
15,0.719987052870016,1,13,3,46,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
16,0.5,1,-1,3,45,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
17,0.99372546995889,2,1,3,46,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
18,0.777773496935064,1,8,3,54,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
19,0.831928092296799,1,11,3,65,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
20,0.825618086573293,1,-9,3,56,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
21,0.677174067784406,1,-8,3,48,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
22,0.635876021018777,1,-1,3,47,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
23,0.562941971946958,2,3,3,50,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
24,1.01933046839847,1,6,3,56,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
25,1.18302382425245,1,2,3,58,"2;1","6DQBj1Yh",100,5,2,1,0.4,2
1,1.03321427846447,2,15,4,15,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
2,0.5,2,-5,4,10,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
3,0.815939038748464,2,6,4,16,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
4,1.22895372387345,2,-11,4,5,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
5,0.891150966023062,2,8,4,13,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
6,0.699962582931529,1,7,4,20,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
7,0.799793601916195,2,14,4,34,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
8,0.955419426119336,2,26,4,60,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
9,0.743892503823082,2,27,4,87,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
10,0.5,1,2,4,89,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
11,1.34252750586268,1,2,4,91,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
12,0.845147417672717,2,14,4,105,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
13,0.5,2,2,4,107,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
14,0.886497450199427,2,-7,4,100,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
15,0.84008109488694,1,4,4,104,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
16,0.723830316113969,1,2,4,106,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
17,1.01404918147451,1,1,4,107,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
18,1.1299305178949,2,10,4,117,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
19,0.875881426829723,1,2,4,119,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
20,0.695707459909152,1,6,4,125,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
21,0.5,1,5,4,130,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
22,0.973016808708314,1,1,4,131,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
23,0.528206963098698,1,4,4,135,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
24,0.668311371427036,1,5,4,140,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
25,0.598921821554246,1,3,4,143,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
1,0.880932972066375,1,7,5,7,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
2,0.625848828096895,1,-1,5,6,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
3,0.770056612755571,2,2,5,8,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
4,0.777779967508154,1,6,5,14,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
5,0.99794909950759,2,10,5,24,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
6,0.927749099885671,2,3,5,27,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
7,0.796465756638017,2,11,5,38,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
8,0.5,2,-3,5,35,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
9,0.782936459961235,1,4,5,39,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
10,0.828952015678073,1,2,5,41,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
11,0.548562673037538,2,3,5,44,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
12,0.5,2,-13,5,31,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
13,1.17619848334731,2,3,5,34,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
14,0.87252970167268,2,-8,5,26,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
15,0.733389109085606,2,0,5,26,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
16,0.519661986289822,1,3,5,29,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
17,1.03790196236769,2,7,5,36,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
18,0.5,2,-3,5,33,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
19,0.5273763467694,1,4,5,37,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
20,0.5,2,1,5,38,"1;2","6DQBj1Yh",100,5,2,1,0.4,2
