"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"1;2","6F5IkcbQ",100,6,5,0,1,3
2,1.08890459109142,1,5,1,9,"1;2","6F5IkcbQ",100,6,5,0,1,3
3,0.912871697176933,1,1,1,10,"1;2","6F5IkcbQ",100,6,5,0,1,3
4,0.733894647162474,1,2,1,12,"1;2","6F5IkcbQ",100,6,5,0,1,3
5,1.08668744390476,1,2,1,14,"1;2","6F5IkcbQ",100,6,5,0,1,3
6,1.04122682287413,2,3,1,17,"1;2","6F5IkcbQ",100,6,5,0,1,3
7,0.859204616834813,1,2,1,19,"1;2","6F5IkcbQ",100,6,5,0,1,3
8,0.966646171322377,2,2,1,21,"1;2","6F5IkcbQ",100,6,5,0,1,3
9,0.760263991199114,2,4,1,25,"1;2","6F5IkcbQ",100,6,5,0,1,3
10,1.27545371507098,1,2,1,27,"1;2","6F5IkcbQ",100,6,5,0,1,3
11,0.5,1,2,1,29,"1;2","6F5IkcbQ",100,6,5,0,1,3
12,0.896531285860142,1,3,1,32,"1;2","6F5IkcbQ",100,6,5,0,1,3
13,0.658922980361989,2,3,1,35,"1;2","6F5IkcbQ",100,6,5,0,1,3
14,1.0764998325185,1,4,1,39,"1;2","6F5IkcbQ",100,6,5,0,1,3
15,0.801158931128409,1,3,1,42,"1;2","6F5IkcbQ",100,6,5,0,1,3
16,0.773768474702193,2,5,1,47,"1;2","6F5IkcbQ",100,6,5,0,1,3
17,0.721610360912249,1,2,1,49,"1;2","6F5IkcbQ",100,6,5,0,1,3
18,0.728845389481377,1,-2,1,47,"1;2","6F5IkcbQ",100,6,5,0,1,3
19,0.855089054258278,2,1,1,48,"1;2","6F5IkcbQ",100,6,5,0,1,3
20,0.790250975027066,1,3,1,51,"1;2","6F5IkcbQ",100,6,5,0,1,3
1,1.04604859180115,2,0,2,0,"2;1","6F5IkcbQ",100,6,5,0,1,3
2,0.766670487530749,2,-1,2,-1,"2;1","6F5IkcbQ",100,6,5,0,1,3
3,1.06783101957578,1,-2,2,-3,"2;1","6F5IkcbQ",100,6,5,0,1,3
4,0.55190190130915,2,1,2,-2,"2;1","6F5IkcbQ",100,6,5,0,1,3
5,0.718248774498106,2,3,2,1,"2;1","6F5IkcbQ",100,6,5,0,1,3
6,0.502985675950304,2,2,2,3,"2;1","6F5IkcbQ",100,6,5,0,1,3
7,1.06494056840146,1,10,2,13,"2;1","6F5IkcbQ",100,6,5,0,1,3
8,1.15548245934045,1,15,2,28,"2;1","6F5IkcbQ",100,6,5,0,1,3
9,0.96357760577534,1,7,2,35,"2;1","6F5IkcbQ",100,6,5,0,1,3
10,0.584339609432787,1,8,2,43,"2;1","6F5IkcbQ",100,6,5,0,1,3
11,0.665655064600697,1,0,2,43,"2;1","6F5IkcbQ",100,6,5,0,1,3
12,0.504909801234885,1,9,2,52,"2;1","6F5IkcbQ",100,6,5,0,1,3
13,0.898504883132306,2,4,2,56,"2;1","6F5IkcbQ",100,6,5,0,1,3
14,0.823930835543688,1,-6,2,50,"2;1","6F5IkcbQ",100,6,5,0,1,3
15,0.560303433470664,1,-3,2,47,"2;1","6F5IkcbQ",100,6,5,0,1,3
16,0.661755233698704,1,14,2,61,"2;1","6F5IkcbQ",100,6,5,0,1,3
17,1.06654510814339,1,18,2,79,"2;1","6F5IkcbQ",100,6,5,0,1,3
18,0.61640389837721,1,-9,2,70,"2;1","6F5IkcbQ",100,6,5,0,1,3
19,0.980645399371444,2,3,2,73,"2;1","6F5IkcbQ",100,6,5,0,1,3
20,0.775109879310403,1,3,2,76,"2;1","6F5IkcbQ",100,6,5,0,1,3
21,1.2949891659652,1,-10,2,66,"2;1","6F5IkcbQ",100,6,5,0,1,3
22,0.5,1,-30,2,36,"2;1","6F5IkcbQ",100,6,5,0,1,3
23,0.90105754621651,1,19,2,55,"2;1","6F5IkcbQ",100,6,5,0,1,3
24,1.16421862472864,1,0,2,55,"2;1","6F5IkcbQ",100,6,5,0,1,3
25,0.5,2,-1,2,54,"2;1","6F5IkcbQ",100,6,5,0,1,3
1,1.16704602390861,1,-23,3,-23,"2;1","6F5IkcbQ",100,6,5,0,1,3
2,0.530300731913293,2,-1,3,-24,"2;1","6F5IkcbQ",100,6,5,0,1,3
3,0.5,2,4,3,-20,"2;1","6F5IkcbQ",100,6,5,0,1,3
4,0.739469017180136,2,-3,3,-23,"2;1","6F5IkcbQ",100,6,5,0,1,3
5,0.678255673699061,2,2,3,-21,"2;1","6F5IkcbQ",100,6,5,0,1,3
6,0.969067338369206,1,17,3,-4,"2;1","6F5IkcbQ",100,6,5,0,1,3
7,0.730221210837048,1,11,3,7,"2;1","6F5IkcbQ",100,6,5,0,1,3
8,0.867011586860761,1,-2,3,5,"2;1","6F5IkcbQ",100,6,5,0,1,3
9,0.843883308825392,1,-1,3,4,"2;1","6F5IkcbQ",100,6,5,0,1,3
10,0.829316485398143,1,-3,3,1,"2;1","6F5IkcbQ",100,6,5,0,1,3
11,0.638070456166138,2,2,3,3,"2;1","6F5IkcbQ",100,6,5,0,1,3
12,0.5,1,14,3,17,"2;1","6F5IkcbQ",100,6,5,0,1,3
13,0.828381209912399,2,1,3,18,"2;1","6F5IkcbQ",100,6,5,0,1,3
14,0.933773836625062,1,3,3,21,"2;1","6F5IkcbQ",100,6,5,0,1,3
15,0.698873380743076,1,4,3,25,"2;1","6F5IkcbQ",100,6,5,0,1,3
16,1.02245835049299,1,9,3,34,"2;1","6F5IkcbQ",100,6,5,0,1,3
17,0.833156549897957,2,1,3,35,"2;1","6F5IkcbQ",100,6,5,0,1,3
18,0.66176935337135,1,3,3,38,"2;1","6F5IkcbQ",100,6,5,0,1,3
19,1.14699577492401,1,12,3,50,"2;1","6F5IkcbQ",100,6,5,0,1,3
20,0.694374261225111,1,-6,3,44,"2;1","6F5IkcbQ",100,6,5,0,1,3
21,1.05971181132076,1,1,3,45,"2;1","6F5IkcbQ",100,6,5,0,1,3
22,1.02109710693699,1,-7,3,38,"2;1","6F5IkcbQ",100,6,5,0,1,3
23,0.579086348469191,1,5,3,43,"2;1","6F5IkcbQ",100,6,5,0,1,3
24,0.921941806902745,1,2,3,45,"2;1","6F5IkcbQ",100,6,5,0,1,3
25,0.588084035634963,2,-2,3,43,"2;1","6F5IkcbQ",100,6,5,0,1,3
1,0.678690982738292,2,2,4,2,"2;1","6F5IkcbQ",100,6,5,0,1,3
2,0.823103496057141,1,-6,4,-4,"2;1","6F5IkcbQ",100,6,5,0,1,3
3,0.909147919139716,2,1,4,-3,"2;1","6F5IkcbQ",100,6,5,0,1,3
4,0.690753214631661,1,-13,4,-16,"2;1","6F5IkcbQ",100,6,5,0,1,3
5,0.83826005109382,1,-1,4,-17,"2;1","6F5IkcbQ",100,6,5,0,1,3
6,0.613644841392669,1,2,4,-15,"2;1","6F5IkcbQ",100,6,5,0,1,3
7,0.732196805909531,1,18,4,3,"2;1","6F5IkcbQ",100,6,5,0,1,3
8,0.834043523397461,1,-2,4,1,"2;1","6F5IkcbQ",100,6,5,0,1,3
9,0.5,1,2,4,3,"2;1","6F5IkcbQ",100,6,5,0,1,3
10,0.671308312691233,1,25,4,28,"2;1","6F5IkcbQ",100,6,5,0,1,3
11,0.961715136289836,2,1,4,29,"2;1","6F5IkcbQ",100,6,5,0,1,3
12,0.5,2,2,4,31,"2;1","6F5IkcbQ",100,6,5,0,1,3
13,1.19071950632313,1,3,4,34,"2;1","6F5IkcbQ",100,6,5,0,1,3
14,0.873161346612383,1,18,4,52,"2;1","6F5IkcbQ",100,6,5,0,1,3
15,0.99427709775953,1,-2,4,50,"2;1","6F5IkcbQ",100,6,5,0,1,3
16,0.88520686085762,1,4,4,54,"2;1","6F5IkcbQ",100,6,5,0,1,3
17,1.07597445067477,1,-8,4,46,"2;1","6F5IkcbQ",100,6,5,0,1,3
18,0.829099517273229,1,12,4,58,"2;1","6F5IkcbQ",100,6,5,0,1,3
19,1.26998455519728,2,0,4,58,"2;1","6F5IkcbQ",100,6,5,0,1,3
20,1.09007752397148,1,-1,4,57,"2;1","6F5IkcbQ",100,6,5,0,1,3
21,0.5,1,1,4,58,"2;1","6F5IkcbQ",100,6,5,0,1,3
22,1.03850651090632,1,8,4,66,"2;1","6F5IkcbQ",100,6,5,0,1,3
23,0.5,1,-10,4,56,"2;1","6F5IkcbQ",100,6,5,0,1,3
24,0.953503680623827,1,8,4,64,"2;1","6F5IkcbQ",100,6,5,0,1,3
25,0.519643958022825,1,4,4,68,"2;1","6F5IkcbQ",100,6,5,0,1,3
1,0.504772581481393,1,11,5,11,"2;1","6F5IkcbQ",100,6,5,0,1,3
2,0.866919756847314,2,2,5,13,"2;1","6F5IkcbQ",100,6,5,0,1,3
