"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.00459321486887,2,4,1,4,"2;1","6icxj8x3",100,6,3,0,0.6,3
2,0.856317651800277,1,3,1,7,"2;1","6icxj8x3",100,6,3,0,0.6,3
3,1.06228190449961,1,4,1,11,"2;1","6icxj8x3",100,6,3,0,0.6,3
4,0.5,1,3,1,14,"2;1","6icxj8x3",100,6,3,0,0.6,3
5,0.897839949689402,2,4,1,18,"2;1","6icxj8x3",100,6,3,0,0.6,3
6,0.5,2,2,1,20,"2;1","6icxj8x3",100,6,3,0,0.6,3
7,1.28743952077852,2,5,1,25,"2;1","6icxj8x3",100,6,3,0,0.6,3
8,0.950530429230322,2,5,1,30,"2;1","6icxj8x3",100,6,3,0,0.6,3
9,0.755706510033197,1,3,1,33,"2;1","6icxj8x3",100,6,3,0,0.6,3
10,1.01129636814307,2,5,1,38,"2;1","6icxj8x3",100,6,3,0,0.6,3
11,0.5,1,6,1,44,"2;1","6icxj8x3",100,6,3,0,0.6,3
12,0.819762322755492,1,2,1,46,"2;1","6icxj8x3",100,6,3,0,0.6,3
13,1.14569894631069,2,7,1,53,"2;1","6icxj8x3",100,6,3,0,0.6,3
14,0.754425086748434,2,8,1,61,"2;1","6icxj8x3",100,6,3,0,0.6,3
15,0.668093936683352,2,2,1,63,"2;1","6icxj8x3",100,6,3,0,0.6,3
16,0.796521133479267,2,0,1,63,"2;1","6icxj8x3",100,6,3,0,0.6,3
17,0.78604051840582,2,2,1,65,"2;1","6icxj8x3",100,6,3,0,0.6,3
18,1.04157148225846,1,6,1,71,"2;1","6icxj8x3",100,6,3,0,0.6,3
19,1.20862733040183,1,4,1,75,"2;1","6icxj8x3",100,6,3,0,0.6,3
20,0.916834504959014,2,4,1,79,"2;1","6icxj8x3",100,6,3,0,0.6,3
1,0.5,2,3,2,3,"2;1","6icxj8x3",100,6,3,0,0.6,3
2,0.517380656846914,2,-2,2,1,"2;1","6icxj8x3",100,6,3,0,0.6,3
3,0.991139386404672,1,-6,2,-5,"2;1","6icxj8x3",100,6,3,0,0.6,3
4,1.21349939713531,2,1,2,-4,"2;1","6icxj8x3",100,6,3,0,0.6,3
5,0.981903723894876,2,-3,2,-7,"2;1","6icxj8x3",100,6,3,0,0.6,3
6,0.719879233730715,2,3,2,-4,"2;1","6icxj8x3",100,6,3,0,0.6,3
7,1.14692176608454,2,7,2,3,"2;1","6icxj8x3",100,6,3,0,0.6,3
8,0.985034841113578,2,6,2,9,"2;1","6icxj8x3",100,6,3,0,0.6,3
9,0.688586171522206,2,-1,2,8,"2;1","6icxj8x3",100,6,3,0,0.6,3
10,0.542597779933665,2,2,2,10,"2;1","6icxj8x3",100,6,3,0,0.6,3
11,0.833462828808328,2,6,2,16,"2;1","6icxj8x3",100,6,3,0,0.6,3
12,0.824402901473686,1,10,2,26,"2;1","6icxj8x3",100,6,3,0,0.6,3
13,0.88064664862612,2,4,2,30,"2;1","6icxj8x3",100,6,3,0,0.6,3
14,0.825100202727959,1,-4,2,26,"2;1","6icxj8x3",100,6,3,0,0.6,3
15,0.736526579669881,2,3,2,29,"2;1","6icxj8x3",100,6,3,0,0.6,3
16,0.842592156267691,1,9,2,38,"2;1","6icxj8x3",100,6,3,0,0.6,3
17,0.5,2,4,2,42,"2;1","6icxj8x3",100,6,3,0,0.6,3
18,0.978500669341246,1,-3,2,39,"2;1","6icxj8x3",100,6,3,0,0.6,3
19,0.800457496787114,2,0,2,39,"2;1","6icxj8x3",100,6,3,0,0.6,3
20,0.795497605933693,1,10,2,49,"2;1","6icxj8x3",100,6,3,0,0.6,3
21,0.5,2,3,2,52,"2;1","6icxj8x3",100,6,3,0,0.6,3
22,0.5,1,11,2,63,"2;1","6icxj8x3",100,6,3,0,0.6,3
23,1.02031573283449,1,-13,2,50,"2;1","6icxj8x3",100,6,3,0,0.6,3
24,1.1179304072262,1,-2,2,48,"2;1","6icxj8x3",100,6,3,0,0.6,3
25,0.922670563206543,2,4,2,52,"2;1","6icxj8x3",100,6,3,0,0.6,3
1,0.560916555194846,2,2,3,2,"1;2","6icxj8x3",100,6,3,0,0.6,3
2,0.86336711160553,2,-4,3,-2,"1;2","6icxj8x3",100,6,3,0,0.6,3
3,0.554633663647659,1,2,3,0,"1;2","6icxj8x3",100,6,3,0,0.6,3
4,0.786525256136166,1,7,3,7,"1;2","6icxj8x3",100,6,3,0,0.6,3
5,0.5,2,0,3,7,"1;2","6icxj8x3",100,6,3,0,0.6,3
6,0.957046029337964,1,3,3,10,"1;2","6icxj8x3",100,6,3,0,0.6,3
7,0.749756937787043,1,4,3,14,"1;2","6icxj8x3",100,6,3,0,0.6,3
8,0.777703500600291,1,2,3,16,"1;2","6icxj8x3",100,6,3,0,0.6,3
9,0.823765384515648,1,1,3,17,"1;2","6icxj8x3",100,6,3,0,0.6,3
10,0.690875441532971,1,0,3,17,"1;2","6icxj8x3",100,6,3,0,0.6,3
11,0.622573276974651,1,2,3,19,"1;2","6icxj8x3",100,6,3,0,0.6,3
12,0.952776557505177,2,22,3,41,"1;2","6icxj8x3",100,6,3,0,0.6,3
13,1.18267660469721,1,1,3,42,"1;2","6icxj8x3",100,6,3,0,0.6,3
14,1.02741047754336,2,0,3,42,"1;2","6icxj8x3",100,6,3,0,0.6,3
15,0.516600329483085,2,-3,3,39,"1;2","6icxj8x3",100,6,3,0,0.6,3
16,1.42200052146103,2,-14,3,25,"1;2","6icxj8x3",100,6,3,0,0.6,3
17,0.975448531371224,1,0,3,25,"1;2","6icxj8x3",100,6,3,0,0.6,3
18,0.852255009630021,2,10,3,35,"1;2","6icxj8x3",100,6,3,0,0.6,3
19,0.629965626641627,2,4,3,39,"1;2","6icxj8x3",100,6,3,0,0.6,3
20,0.708976526101433,2,16,3,55,"1;2","6icxj8x3",100,6,3,0,0.6,3
21,0.811820128496752,2,5,3,60,"1;2","6icxj8x3",100,6,3,0,0.6,3
22,0.917639427345799,2,1,3,61,"1;2","6icxj8x3",100,6,3,0,0.6,3
23,0.666613915066756,1,7,3,68,"1;2","6icxj8x3",100,6,3,0,0.6,3
24,1.03804990328812,2,1,3,69,"1;2","6icxj8x3",100,6,3,0,0.6,3
25,0.58963699926644,2,12,3,81,"1;2","6icxj8x3",100,6,3,0,0.6,3
1,0.5,1,4,4,4,"1;2","6icxj8x3",100,6,3,0,0.6,3
2,0.684602484247281,2,8,4,12,"1;2","6icxj8x3",100,6,3,0,0.6,3
3,0.9043424339164,1,8,4,20,"1;2","6icxj8x3",100,6,3,0,0.6,3
4,0.885211801093758,1,7,4,27,"1;2","6icxj8x3",100,6,3,0,0.6,3
5,0.868464144399011,2,21,4,48,"1;2","6icxj8x3",100,6,3,0,0.6,3
6,0.989735842742199,2,-2,4,46,"1;2","6icxj8x3",100,6,3,0,0.6,3
7,0.838678054319834,1,-2,4,44,"1;2","6icxj8x3",100,6,3,0,0.6,3
8,0.833146633884857,1,0,4,44,"1;2","6icxj8x3",100,6,3,0,0.6,3
9,1.25481486638046,2,25,4,69,"1;2","6icxj8x3",100,6,3,0,0.6,3
10,0.5,2,17,4,86,"1;2","6icxj8x3",100,6,3,0,0.6,3
11,0.990486877117995,2,13,4,99,"1;2","6icxj8x3",100,6,3,0,0.6,3
12,0.727872459081892,2,0,4,99,"1;2","6icxj8x3",100,6,3,0,0.6,3
13,0.731464723523814,1,-1,4,98,"1;2","6icxj8x3",100,6,3,0,0.6,3
14,0.873183529193272,2,-10,4,88,"1;2","6icxj8x3",100,6,3,0,0.6,3
15,0.758893295650194,2,-8,4,80,"1;2","6icxj8x3",100,6,3,0,0.6,3
16,0.5,2,2,4,82,"1;2","6icxj8x3",100,6,3,0,0.6,3
17,0.51472775756094,2,17,4,99,"1;2","6icxj8x3",100,6,3,0,0.6,3
18,0.708469564372664,1,1,4,100,"1;2","6icxj8x3",100,6,3,0,0.6,3
19,0.995468532973628,2,-2,4,98,"1;2","6icxj8x3",100,6,3,0,0.6,3
20,1.06752409104341,2,4,4,102,"1;2","6icxj8x3",100,6,3,0,0.6,3
21,0.5,1,4,4,106,"1;2","6icxj8x3",100,6,3,0,0.6,3
22,0.721850524797383,1,4,4,110,"1;2","6icxj8x3",100,6,3,0,0.6,3
23,0.949451162452393,1,1,4,111,"1;2","6icxj8x3",100,6,3,0,0.6,3
24,0.99125073348654,1,2,4,113,"1;2","6icxj8x3",100,6,3,0,0.6,3
25,0.763692771274766,1,4,4,117,"1;2","6icxj8x3",100,6,3,0,0.6,3
1,0.5,1,2,5,2,"1;2","6icxj8x3",100,6,3,0,0.6,3
2,0.500420907079005,1,2,5,4,"1;2","6icxj8x3",100,6,3,0,0.6,3
3,0.933941168467117,1,1,5,5,"1;2","6icxj8x3",100,6,3,0,0.6,3
4,1.00213822069026,1,3,5,8,"1;2","6icxj8x3",100,6,3,0,0.6,3
5,0.752167371957113,1,1,5,9,"1;2","6icxj8x3",100,6,3,0,0.6,3
6,0.834754885847685,1,2,5,11,"1;2","6icxj8x3",100,6,3,0,0.6,3
7,1.0604554542033,2,0,5,11,"1;2","6icxj8x3",100,6,3,0,0.6,3
8,0.5,2,10,5,21,"1;2","6icxj8x3",100,6,3,0,0.6,3
9,0.5,2,10,5,31,"1;2","6icxj8x3",100,6,3,0,0.6,3
10,1.14964879472706,2,5,5,36,"1;2","6icxj8x3",100,6,3,0,0.6,3
11,1.27820215126895,1,5,5,41,"1;2","6icxj8x3",100,6,3,0,0.6,3
12,0.941158815859709,1,2,5,43,"1;2","6icxj8x3",100,6,3,0,0.6,3
13,0.522137323414074,2,28,5,71,"1;2","6icxj8x3",100,6,3,0,0.6,3
14,1.25522401978576,2,20,5,91,"1;2","6icxj8x3",100,6,3,0,0.6,3
15,0.758340236712459,1,7,5,98,"1;2","6icxj8x3",100,6,3,0,0.6,3
16,0.754337408070214,1,0,5,98,"1;2","6icxj8x3",100,6,3,0,0.6,3
17,1.07103066044947,2,3,5,101,"1;2","6icxj8x3",100,6,3,0,0.6,3
18,0.637816561629043,1,4,5,105,"1;2","6icxj8x3",100,6,3,0,0.6,3
19,1.00526552656063,1,0,5,105,"1;2","6icxj8x3",100,6,3,0,0.6,3
20,0.684840043974742,2,-2,5,103,"1;2","6icxj8x3",100,6,3,0,0.6,3
21,0.794023539259275,2,18,5,121,"1;2","6icxj8x3",100,6,3,0,0.6,3
22,1.15181631432472,2,-3,5,118,"1;2","6icxj8x3",100,6,3,0,0.6,3
23,0.5,2,-8,5,110,"1;2","6icxj8x3",100,6,3,0,0.6,3
24,0.91825326191058,2,1,5,111,"1;2","6icxj8x3",100,6,3,0,0.6,3
25,0.5,2,-2,5,109,"1;2","6icxj8x3",100,6,3,0,0.6,3
1,0.788353443607006,2,-1,6,-1,"2;1","6icxj8x3",100,6,3,0,0.6,3
2,0.767452367449658,1,7,6,6,"2;1","6icxj8x3",100,6,3,0,0.6,3
3,1.01594264389394,1,3,6,9,"2;1","6icxj8x3",100,6,3,0,0.6,3
4,0.5,1,4,6,13,"2;1","6icxj8x3",100,6,3,0,0.6,3
5,0.887014939396654,1,2,6,15,"2;1","6icxj8x3",100,6,3,0,0.6,3
6,0.5,1,13,6,28,"2;1","6icxj8x3",100,6,3,0,0.6,3
7,1.2175693041013,1,6,6,34,"2;1","6icxj8x3",100,6,3,0,0.6,3
8,0.624082660682541,1,-16,6,18,"2;1","6icxj8x3",100,6,3,0,0.6,3
9,0.633557863616318,1,0,6,18,"2;1","6icxj8x3",100,6,3,0,0.6,3
10,0.5,2,1,6,19,"2;1","6icxj8x3",100,6,3,0,0.6,3
11,0.88415810982481,1,7,6,26,"2;1","6icxj8x3",100,6,3,0,0.6,3
12,0.657428234147959,1,5,6,31,"2;1","6icxj8x3",100,6,3,0,0.6,3
13,1.18497981307583,1,15,6,46,"2;1","6icxj8x3",100,6,3,0,0.6,3
14,0.822764003656762,1,27,6,73,"2;1","6icxj8x3",100,6,3,0,0.6,3
15,0.5,1,9,6,82,"2;1","6icxj8x3",100,6,3,0,0.6,3
16,0.632722954732576,1,-2,6,80,"2;1","6icxj8x3",100,6,3,0,0.6,3
17,0.613363732030178,2,1,6,81,"2;1","6icxj8x3",100,6,3,0,0.6,3
18,0.537002526078294,1,-5,6,76,"2;1","6icxj8x3",100,6,3,0,0.6,3
19,0.581702109962937,2,6,6,82,"2;1","6icxj8x3",100,6,3,0,0.6,3
20,0.612583793705046,2,3,6,85,"2;1","6icxj8x3",100,6,3,0,0.6,3
21,0.920955490934813,1,-5,6,80,"2;1","6icxj8x3",100,6,3,0,0.6,3
22,0.878749614101304,2,-2,6,78,"2;1","6icxj8x3",100,6,3,0,0.6,3
23,1.4087620212502,1,35,6,113,"2;1","6icxj8x3",100,6,3,0,0.6,3
24,0.549156346822577,2,7,6,120,"2;1","6icxj8x3",100,6,3,0,0.6,3
25,0.657600650142699,1,12,6,132,"2;1","6icxj8x3",100,6,3,0,0.6,3
1,0.5,2,14,7,14,"1;2","6icxj8x3",100,6,3,0,0.6,3
2,0.535079304501961,2,-13,7,1,"1;2","6icxj8x3",100,6,3,0,0.6,3
3,0.87409027477079,1,4,7,5,"1;2","6icxj8x3",100,6,3,0,0.6,3
4,0.805209436536094,1,6,7,11,"1;2","6icxj8x3",100,6,3,0,0.6,3
5,0.922161630690351,2,-3,7,8,"1;2","6icxj8x3",100,6,3,0,0.6,3
6,1.09234506343956,2,3,7,11,"1;2","6icxj8x3",100,6,3,0,0.6,3
7,1.09355719181199,2,14,7,25,"1;2","6icxj8x3",100,6,3,0,0.6,3
8,1.31162746805649,1,0,7,25,"1;2","6icxj8x3",100,6,3,0,0.6,3
9,1.20772542777362,2,-15,7,10,"1;2","6icxj8x3",100,6,3,0,0.6,3
10,0.672009059471885,1,2,7,12,"1;2","6icxj8x3",100,6,3,0,0.6,3
11,0.714521288314491,1,-1,7,11,"1;2","6icxj8x3",100,6,3,0,0.6,3
12,0.5,2,3,7,14,"1;2","6icxj8x3",100,6,3,0,0.6,3
13,0.845170668215274,2,4,7,18,"1;2","6icxj8x3",100,6,3,0,0.6,3
14,0.663783717802343,1,2,7,20,"1;2","6icxj8x3",100,6,3,0,0.6,3
15,1.21070073814447,2,-12,7,8,"1;2","6icxj8x3",100,6,3,0,0.6,3
16,0.94046964757398,2,12,7,20,"1;2","6icxj8x3",100,6,3,0,0.6,3
17,0.924274869159281,1,5,7,25,"1;2","6icxj8x3",100,6,3,0,0.6,3
18,0.791015285650972,1,2,7,27,"1;2","6icxj8x3",100,6,3,0,0.6,3
19,1.1029682647011,1,4,7,31,"1;2","6icxj8x3",100,6,3,0,0.6,3
20,0.564239686767708,2,29,7,60,"1;2","6icxj8x3",100,6,3,0,0.6,3
21,0.721138859149328,1,5,7,65,"1;2","6icxj8x3",100,6,3,0,0.6,3
22,0.5,1,1,7,66,"1;2","6icxj8x3",100,6,3,0,0.6,3
23,0.670834559167974,2,17,7,83,"1;2","6icxj8x3",100,6,3,0,0.6,3
24,0.5,1,0,7,83,"1;2","6icxj8x3",100,6,3,0,0.6,3
25,0.691858351468714,2,14,7,97,"1;2","6icxj8x3",100,6,3,0,0.6,3
