"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.870393928826902,2,6,1,6,"1;2","7IjJODVw",100,4,6,0,1.2,3
2,0.554502931361749,2,2,1,8,"1;2","7IjJODVw",100,4,6,0,1.2,3
3,0.631967132226541,2,4,1,12,"1;2","7IjJODVw",100,4,6,0,1.2,3
4,1.05598637810295,2,2,1,14,"1;2","7IjJODVw",100,4,6,0,1.2,3
5,0.82460226283168,2,2,1,16,"1;2","7IjJODVw",100,4,6,0,1.2,3
6,0.677643049611443,2,3,1,19,"1;2","7IjJODVw",100,4,6,0,1.2,3
7,0.714776528235632,1,2,1,21,"1;2","7IjJODVw",100,4,6,0,1.2,3
8,0.717100417325275,1,4,1,25,"1;2","7IjJODVw",100,4,6,0,1.2,3
9,0.741953031154856,2,4,1,29,"1;2","7IjJODVw",100,4,6,0,1.2,3
10,0.679931051266303,2,5,1,34,"1;2","7IjJODVw",100,4,6,0,1.2,3
11,0.832348003718586,1,2,1,36,"1;2","7IjJODVw",100,4,6,0,1.2,3
12,1.03052499442132,2,2,1,38,"1;2","7IjJODVw",100,4,6,0,1.2,3
13,0.856874868186282,2,5,1,43,"1;2","7IjJODVw",100,4,6,0,1.2,3
14,0.816952356684838,1,3,1,46,"1;2","7IjJODVw",100,4,6,0,1.2,3
15,0.5,1,1,1,47,"1;2","7IjJODVw",100,4,6,0,1.2,3
16,0.626320068489882,1,3,1,50,"1;2","7IjJODVw",100,4,6,0,1.2,3
17,1.06381841343108,1,1,1,51,"1;2","7IjJODVw",100,4,6,0,1.2,3
18,0.879232561886886,2,4,1,55,"1;2","7IjJODVw",100,4,6,0,1.2,3
19,0.885939262656552,1,6,1,61,"1;2","7IjJODVw",100,4,6,0,1.2,3
20,0.781196851058039,1,5,1,66,"1;2","7IjJODVw",100,4,6,0,1.2,3
1,1.0112344964064,2,-1,2,-1,"1;2","7IjJODVw",100,4,6,0,1.2,3
2,0.706111957555698,2,12,2,11,"1;2","7IjJODVw",100,4,6,0,1.2,3
3,0.859951142660402,2,-8,2,3,"1;2","7IjJODVw",100,4,6,0,1.2,3
4,0.966329626410464,2,-21,2,-18,"1;2","7IjJODVw",100,4,6,0,1.2,3
5,0.828814481518692,2,2,2,-16,"1;2","7IjJODVw",100,4,6,0,1.2,3
6,1.12564069797294,2,-4,2,-20,"1;2","7IjJODVw",100,4,6,0,1.2,3
7,0.616683559239776,1,6,2,-14,"1;2","7IjJODVw",100,4,6,0,1.2,3
8,0.767354716307553,2,23,2,9,"1;2","7IjJODVw",100,4,6,0,1.2,3
9,0.931544594814692,2,-1,2,8,"1;2","7IjJODVw",100,4,6,0,1.2,3
10,0.746238502963603,2,-1,2,7,"1;2","7IjJODVw",100,4,6,0,1.2,3
11,0.955929225956875,2,-6,2,1,"1;2","7IjJODVw",100,4,6,0,1.2,3
12,0.563585362727277,2,-3,2,-2,"1;2","7IjJODVw",100,4,6,0,1.2,3
13,0.570754467425114,2,16,2,14,"1;2","7IjJODVw",100,4,6,0,1.2,3
14,0.613448244420157,2,9,2,23,"1;2","7IjJODVw",100,4,6,0,1.2,3
15,1.02869506300172,2,14,2,37,"1;2","7IjJODVw",100,4,6,0,1.2,3
16,0.966785688236691,2,-8,2,29,"1;2","7IjJODVw",100,4,6,0,1.2,3
17,1.03875272824094,2,18,2,47,"1;2","7IjJODVw",100,4,6,0,1.2,3
18,0.629750367562989,2,22,2,69,"1;2","7IjJODVw",100,4,6,0,1.2,3
19,1.15246050578032,2,3,2,72,"1;2","7IjJODVw",100,4,6,0,1.2,3
20,0.566644439913639,2,4,2,76,"1;2","7IjJODVw",100,4,6,0,1.2,3
21,1.19957451084593,2,0,2,76,"1;2","7IjJODVw",100,4,6,0,1.2,3
22,1.0037783246188,2,2,2,78,"1;2","7IjJODVw",100,4,6,0,1.2,3
23,1.1552111070736,2,8,2,86,"1;2","7IjJODVw",100,4,6,0,1.2,3
24,0.5,2,-8,2,78,"1;2","7IjJODVw",100,4,6,0,1.2,3
25,0.510607972558092,1,2,2,80,"1;2","7IjJODVw",100,4,6,0,1.2,3
1,0.9393518221268,1,-3,3,-3,"2;1","7IjJODVw",100,4,6,0,1.2,3
2,1.02123873947991,1,28,3,25,"2;1","7IjJODVw",100,4,6,0,1.2,3
3,1.14545403742227,1,21,3,46,"2;1","7IjJODVw",100,4,6,0,1.2,3
4,0.82650872990283,1,-10,3,36,"2;1","7IjJODVw",100,4,6,0,1.2,3
5,1.16796002692641,1,12,3,48,"2;1","7IjJODVw",100,4,6,0,1.2,3
6,0.833394086087693,1,-6,3,42,"2;1","7IjJODVw",100,4,6,0,1.2,3
7,0.896102001659619,1,13,3,55,"2;1","7IjJODVw",100,4,6,0,1.2,3
8,1.22010582354496,1,25,3,80,"2;1","7IjJODVw",100,4,6,0,1.2,3
9,0.697131087544656,1,-5,3,75,"2;1","7IjJODVw",100,4,6,0,1.2,3
10,0.730173301631338,1,30,3,105,"2;1","7IjJODVw",100,4,6,0,1.2,3
11,0.812765975300449,1,14,3,119,"2;1","7IjJODVw",100,4,6,0,1.2,3
12,0.855693396376581,2,0,3,119,"2;1","7IjJODVw",100,4,6,0,1.2,3
13,0.963183244679124,2,4,3,123,"2;1","7IjJODVw",100,4,6,0,1.2,3
14,0.659852038998959,2,4,3,127,"2;1","7IjJODVw",100,4,6,0,1.2,3
15,1.18415065742947,1,-10,3,117,"2;1","7IjJODVw",100,4,6,0,1.2,3
16,0.866279406411698,1,-9,3,108,"2;1","7IjJODVw",100,4,6,0,1.2,3
17,0.648019970381253,2,1,3,109,"2;1","7IjJODVw",100,4,6,0,1.2,3
18,0.979223744866911,2,6,3,115,"2;1","7IjJODVw",100,4,6,0,1.2,3
19,1.05296015641016,2,5,3,120,"2;1","7IjJODVw",100,4,6,0,1.2,3
20,1.32842642433734,2,3,3,123,"2;1","7IjJODVw",100,4,6,0,1.2,3
21,0.985850902426175,2,0,3,123,"2;1","7IjJODVw",100,4,6,0,1.2,3
22,0.792337158514865,2,3,3,126,"2;1","7IjJODVw",100,4,6,0,1.2,3
23,0.597413711330288,2,5,3,131,"2;1","7IjJODVw",100,4,6,0,1.2,3
24,0.5,2,4,3,135,"2;1","7IjJODVw",100,4,6,0,1.2,3
25,0.862511907852557,1,26,3,161,"2;1","7IjJODVw",100,4,6,0,1.2,3
1,0.832793901874301,2,3,4,3,"2;1","7IjJODVw",100,4,6,0,1.2,3
2,0.630437303567203,2,4,4,7,"2;1","7IjJODVw",100,4,6,0,1.2,3
3,0.878089596971768,2,2,4,9,"2;1","7IjJODVw",100,4,6,0,1.2,3
4,0.934530452886862,2,3,4,12,"2;1","7IjJODVw",100,4,6,0,1.2,3
5,0.799167726200276,2,0,4,12,"2;1","7IjJODVw",100,4,6,0,1.2,3
6,0.720439383146688,1,-11,4,1,"2;1","7IjJODVw",100,4,6,0,1.2,3
7,0.750503053000076,1,1,4,2,"2;1","7IjJODVw",100,4,6,0,1.2,3
8,0.696422601600241,1,-3,4,-1,"2;1","7IjJODVw",100,4,6,0,1.2,3
9,0.684675371625371,1,22,4,21,"2;1","7IjJODVw",100,4,6,0,1.2,3
10,0.599060177670088,1,-3,4,18,"2;1","7IjJODVw",100,4,6,0,1.2,3
11,0.713517072537705,1,5,4,23,"2;1","7IjJODVw",100,4,6,0,1.2,3
12,0.536972989372506,1,15,4,38,"2;1","7IjJODVw",100,4,6,0,1.2,3
13,0.89006181078704,1,-9,4,29,"2;1","7IjJODVw",100,4,6,0,1.2,3
14,1.0144956663161,1,-8,4,21,"2;1","7IjJODVw",100,4,6,0,1.2,3
15,0.684463891326979,1,-12,4,9,"2;1","7IjJODVw",100,4,6,0,1.2,3
16,1.16398246421804,2,5,4,14,"2;1","7IjJODVw",100,4,6,0,1.2,3
17,0.876731400356713,2,-2,4,12,"2;1","7IjJODVw",100,4,6,0,1.2,3
18,1.05165573819455,1,14,4,26,"2;1","7IjJODVw",100,4,6,0,1.2,3
19,0.731728025242778,1,2,4,28,"2;1","7IjJODVw",100,4,6,0,1.2,3
20,1.07386028414083,1,3,4,31,"2;1","7IjJODVw",100,4,6,0,1.2,3
21,1.00714202486193,1,15,4,46,"2;1","7IjJODVw",100,4,6,0,1.2,3
22,1.34191865601646,1,-3,4,43,"2;1","7IjJODVw",100,4,6,0,1.2,3
23,0.850150778607,1,-11,4,32,"2;1","7IjJODVw",100,4,6,0,1.2,3
24,1.19700567988521,2,12,4,44,"2;1","7IjJODVw",100,4,6,0,1.2,3
25,0.884448796896873,2,2,4,46,"2;1","7IjJODVw",100,4,6,0,1.2,3
1,0.919265254365966,2,3,5,3,"2;1","7IjJODVw",100,4,6,0,1.2,3
2,0.795383515462241,1,14,5,17,"2;1","7IjJODVw",100,4,6,0,1.2,3
3,0.735121946109416,1,19,5,36,"2;1","7IjJODVw",100,4,6,0,1.2,3
4,0.931553880467944,1,11,5,47,"2;1","7IjJODVw",100,4,6,0,1.2,3
5,0.524735009730109,1,6,5,53,"2;1","7IjJODVw",100,4,6,0,1.2,3
6,0.727017582238174,1,-6,5,47,"2;1","7IjJODVw",100,4,6,0,1.2,3
7,0.626887650983475,1,23,5,70,"2;1","7IjJODVw",100,4,6,0,1.2,3
8,0.907737362208073,1,13,5,83,"2;1","7IjJODVw",100,4,6,0,1.2,3
9,0.540008264901093,1,25,5,108,"2;1","7IjJODVw",100,4,6,0,1.2,3
10,0.78332131097714,1,12,5,120,"2;1","7IjJODVw",100,4,6,0,1.2,3
11,1.04189696524021,1,-18,5,102,"2;1","7IjJODVw",100,4,6,0,1.2,3
12,1.10622550737116,2,6,5,108,"2;1","7IjJODVw",100,4,6,0,1.2,3
13,0.5,2,5,5,113,"2;1","7IjJODVw",100,4,6,0,1.2,3
14,0.853034991173416,2,3,5,116,"2;1","7IjJODVw",100,4,6,0,1.2,3
15,1.02940133524472,2,8,5,124,"2;1","7IjJODVw",100,4,6,0,1.2,3
16,1.00260352060868,2,6,5,130,"2;1","7IjJODVw",100,4,6,0,1.2,3
17,0.82570548681169,2,2,5,132,"2;1","7IjJODVw",100,4,6,0,1.2,3
18,0.506874324849965,2,4,5,136,"2;1","7IjJODVw",100,4,6,0,1.2,3
19,0.800056811042887,2,2,5,138,"2;1","7IjJODVw",100,4,6,0,1.2,3
20,0.86259497270033,2,1,5,139,"2;1","7IjJODVw",100,4,6,0,1.2,3
21,0.738081201006787,2,6,5,145,"2;1","7IjJODVw",100,4,6,0,1.2,3
22,0.918656316863682,2,2,5,147,"2;1","7IjJODVw",100,4,6,0,1.2,3
23,0.927471533546011,2,4,5,151,"2;1","7IjJODVw",100,4,6,0,1.2,3
24,0.650516634746636,2,6,5,157,"2;1","7IjJODVw",100,4,6,0,1.2,3
25,1.2318478249571,2,3,5,160,"2;1","7IjJODVw",100,4,6,0,1.2,3
1,0.808873683428948,2,5,6,5,"1;2","7IjJODVw",100,4,6,0,1.2,3
2,0.5,1,1,6,6,"1;2","7IjJODVw",100,4,6,0,1.2,3
3,0.941177206094225,2,2,6,8,"1;2","7IjJODVw",100,4,6,0,1.2,3
4,1.16179263342064,2,-5,6,3,"1;2","7IjJODVw",100,4,6,0,1.2,3
5,1.08508529644939,2,5,6,8,"1;2","7IjJODVw",100,4,6,0,1.2,3
6,0.700975291526288,2,3,6,11,"1;2","7IjJODVw",100,4,6,0,1.2,3
7,0.556172115965325,2,8,6,19,"1;2","7IjJODVw",100,4,6,0,1.2,3
8,0.899936067084698,1,2,6,21,"1;2","7IjJODVw",100,4,6,0,1.2,3
9,0.701273959765976,2,3,6,24,"1;2","7IjJODVw",100,4,6,0,1.2,3
10,0.903772735023812,1,1,6,25,"1;2","7IjJODVw",100,4,6,0,1.2,3
11,0.811299546418721,2,4,6,29,"1;2","7IjJODVw",100,4,6,0,1.2,3
12,1.01184548680607,2,-3,6,26,"1;2","7IjJODVw",100,4,6,0,1.2,3
13,0.624123017538558,2,8,6,34,"1;2","7IjJODVw",100,4,6,0,1.2,3
14,0.922832127257597,2,19,6,53,"1;2","7IjJODVw",100,4,6,0,1.2,3
15,0.838318599173324,2,7,6,60,"1;2","7IjJODVw",100,4,6,0,1.2,3
16,0.5,2,22,6,82,"1;2","7IjJODVw",100,4,6,0,1.2,3
17,0.541101369434877,2,14,6,96,"1;2","7IjJODVw",100,4,6,0,1.2,3
18,0.817162281692017,2,8,6,104,"1;2","7IjJODVw",100,4,6,0,1.2,3
19,0.5,1,7,6,111,"1;2","7IjJODVw",100,4,6,0,1.2,3
20,1.03856469269334,2,6,6,117,"1;2","7IjJODVw",100,4,6,0,1.2,3
21,0.809392838746339,1,7,6,124,"1;2","7IjJODVw",100,4,6,0,1.2,3
22,1.09187755492717,1,4,6,128,"1;2","7IjJODVw",100,4,6,0,1.2,3
23,0.789767193556239,1,4,6,132,"1;2","7IjJODVw",100,4,6,0,1.2,3
24,0.875785983639472,2,-7,6,125,"1;2","7IjJODVw",100,4,6,0,1.2,3
25,0.738285228237984,1,0,6,125,"1;2","7IjJODVw",100,4,6,0,1.2,3
1,1.49296570411681,2,-1,7,-1,"2;1","7IjJODVw",100,4,6,0,1.2,3
2,0.5,2,4,7,3,"2;1","7IjJODVw",100,4,6,0,1.2,3
3,0.630774910402492,2,4,7,7,"2;1","7IjJODVw",100,4,6,0,1.2,3
4,0.782643266610283,2,3,7,10,"2;1","7IjJODVw",100,4,6,0,1.2,3
5,0.5,2,4,7,14,"2;1","7IjJODVw",100,4,6,0,1.2,3
6,0.600903697123347,2,7,7,21,"2;1","7IjJODVw",100,4,6,0,1.2,3
7,0.671914381469043,2,5,7,26,"2;1","7IjJODVw",100,4,6,0,1.2,3
8,0.921725829593419,2,5,7,31,"2;1","7IjJODVw",100,4,6,0,1.2,3
9,1.14860215477705,2,4,7,35,"2;1","7IjJODVw",100,4,6,0,1.2,3
10,0.636215337580338,2,3,7,38,"2;1","7IjJODVw",100,4,6,0,1.2,3
11,0.760613174352113,2,3,7,41,"2;1","7IjJODVw",100,4,6,0,1.2,3
12,1.48223623374477,2,3,7,44,"2;1","7IjJODVw",100,4,6,0,1.2,3
13,0.536386800495277,2,3,7,47,"2;1","7IjJODVw",100,4,6,0,1.2,3
14,0.754513314377122,1,11,7,58,"2;1","7IjJODVw",100,4,6,0,1.2,3
15,0.83951151251216,2,4,7,62,"2;1","7IjJODVw",100,4,6,0,1.2,3
16,1.28808826687677,2,4,7,66,"2;1","7IjJODVw",100,4,6,0,1.2,3
17,0.811350221757286,1,-3,7,63,"2;1","7IjJODVw",100,4,6,0,1.2,3
18,0.646058256174796,1,-4,7,59,"2;1","7IjJODVw",100,4,6,0,1.2,3
19,0.815461116576895,1,16,7,75,"2;1","7IjJODVw",100,4,6,0,1.2,3
20,0.885738219363653,1,-1,7,74,"2;1","7IjJODVw",100,4,6,0,1.2,3
21,0.515172851807142,1,3,7,77,"2;1","7IjJODVw",100,4,6,0,1.2,3
22,0.776643846588477,1,24,7,101,"2;1","7IjJODVw",100,4,6,0,1.2,3
23,0.5,2,2,7,103,"2;1","7IjJODVw",100,4,6,0,1.2,3
24,0.5,2,7,7,110,"2;1","7IjJODVw",100,4,6,0,1.2,3
25,0.659532916415112,2,5,7,115,"2;1","7IjJODVw",100,4,6,0,1.2,3
1,0.790853517486035,2,4,8,4,"2;1","7IjJODVw",100,4,6,0,1.2,3
2,0.82569336705753,1,-7,8,-3,"2;1","7IjJODVw",100,4,6,0,1.2,3
3,0.928439755559206,2,4,8,1,"2;1","7IjJODVw",100,4,6,0,1.2,3
4,0.683736496027026,1,-7,8,-6,"2;1","7IjJODVw",100,4,6,0,1.2,3
5,0.5,2,5,8,-1,"2;1","7IjJODVw",100,4,6,0,1.2,3
6,0.796599396160953,2,6,8,5,"2;1","7IjJODVw",100,4,6,0,1.2,3
7,0.70802181584363,2,6,8,11,"2;1","7IjJODVw",100,4,6,0,1.2,3
8,0.650993815745723,2,5,8,16,"2;1","7IjJODVw",100,4,6,0,1.2,3
9,0.65765655875719,2,-1,8,15,"2;1","7IjJODVw",100,4,6,0,1.2,3
10,1.17584816124269,2,3,8,18,"2;1","7IjJODVw",100,4,6,0,1.2,3
11,1.01615828435014,2,3,8,21,"2;1","7IjJODVw",100,4,6,0,1.2,3
12,0.900194700132869,2,5,8,26,"2;1","7IjJODVw",100,4,6,0,1.2,3
13,0.822370475541129,2,10,8,36,"2;1","7IjJODVw",100,4,6,0,1.2,3
14,0.858359046932277,2,5,8,41,"2;1","7IjJODVw",100,4,6,0,1.2,3
15,0.664211871950123,2,7,8,48,"2;1","7IjJODVw",100,4,6,0,1.2,3
16,0.757395376596242,2,7,8,55,"2;1","7IjJODVw",100,4,6,0,1.2,3
17,0.5,2,3,8,58,"2;1","7IjJODVw",100,4,6,0,1.2,3
18,0.838108933622134,2,1,8,59,"2;1","7IjJODVw",100,4,6,0,1.2,3
19,0.801079132422452,2,9,8,68,"2;1","7IjJODVw",100,4,6,0,1.2,3
20,0.92057730213099,2,3,8,71,"2;1","7IjJODVw",100,4,6,0,1.2,3
21,0.94734329831067,2,0,8,71,"2;1","7IjJODVw",100,4,6,0,1.2,3
22,1.07926746795145,2,7,8,78,"2;1","7IjJODVw",100,4,6,0,1.2,3
23,0.754479379165533,2,7,8,85,"2;1","7IjJODVw",100,4,6,0,1.2,3
24,0.628439059182435,2,2,8,87,"2;1","7IjJODVw",100,4,6,0,1.2,3
25,0.656831802332318,2,3,8,90,"2;1","7IjJODVw",100,4,6,0,1.2,3
1,0.704520401034086,2,6,9,6,"2;1","7IjJODVw",100,4,6,0,1.2,3
2,0.539996615975503,1,-2,9,4,"2;1","7IjJODVw",100,4,6,0,1.2,3
3,1.09994194098734,1,-7,9,-3,"2;1","7IjJODVw",100,4,6,0,1.2,3
4,0.905935411287173,1,14,9,11,"2;1","7IjJODVw",100,4,6,0,1.2,3
5,1.07382662945089,1,3,9,14,"2;1","7IjJODVw",100,4,6,0,1.2,3
6,0.502962780514348,1,15,9,29,"2;1","7IjJODVw",100,4,6,0,1.2,3
7,0.893684069237388,1,-5,9,24,"2;1","7IjJODVw",100,4,6,0,1.2,3
8,0.834600509950811,1,-4,9,20,"2;1","7IjJODVw",100,4,6,0,1.2,3
9,0.821292139063812,1,20,9,40,"2;1","7IjJODVw",100,4,6,0,1.2,3
10,0.886157743237193,1,-2,9,38,"2;1","7IjJODVw",100,4,6,0,1.2,3
11,1.18488936572264,1,0,9,38,"2;1","7IjJODVw",100,4,6,0,1.2,3
12,0.787868629533226,1,-13,9,25,"2;1","7IjJODVw",100,4,6,0,1.2,3
13,0.5,1,15,9,40,"2;1","7IjJODVw",100,4,6,0,1.2,3
14,0.751883098552747,1,0,9,40,"2;1","7IjJODVw",100,4,6,0,1.2,3
15,1.1516078926084,2,5,9,45,"2;1","7IjJODVw",100,4,6,0,1.2,3
16,0.5,2,3,9,48,"2;1","7IjJODVw",100,4,6,0,1.2,3
17,0.519763997764471,1,21,9,69,"2;1","7IjJODVw",100,4,6,0,1.2,3
18,0.5,1,9,9,78,"2;1","7IjJODVw",100,4,6,0,1.2,3
19,0.577008622719745,1,9,9,87,"2;1","7IjJODVw",100,4,6,0,1.2,3
20,0.992238364448285,1,0,9,87,"2;1","7IjJODVw",100,4,6,0,1.2,3
21,1.04678951215733,1,23,9,110,"2;1","7IjJODVw",100,4,6,0,1.2,3
22,0.702872323350329,2,-2,9,108,"2;1","7IjJODVw",100,4,6,0,1.2,3
23,0.529238197258755,2,7,9,115,"2;1","7IjJODVw",100,4,6,0,1.2,3
24,0.795953181297555,2,4,9,119,"2;1","7IjJODVw",100,4,6,0,1.2,3
25,0.835378989667954,1,-9,9,110,"2;1","7IjJODVw",100,4,6,0,1.2,3
1,0.5,1,6,10,6,"1;2","7IjJODVw",100,4,6,0,1.2,3
2,1.09117649863428,1,0,10,6,"1;2","7IjJODVw",100,4,6,0,1.2,3
3,1.07110532901916,2,4,10,10,"1;2","7IjJODVw",100,4,6,0,1.2,3
4,0.679814224366662,2,3,10,13,"1;2","7IjJODVw",100,4,6,0,1.2,3
5,0.795903657246344,1,4,10,17,"1;2","7IjJODVw",100,4,6,0,1.2,3
6,1.02529435740069,1,-1,10,16,"1;2","7IjJODVw",100,4,6,0,1.2,3
7,0.92056422946576,1,7,10,23,"1;2","7IjJODVw",100,4,6,0,1.2,3
8,0.73394175652705,1,5,10,28,"1;2","7IjJODVw",100,4,6,0,1.2,3
9,1.01998600957238,1,-1,10,27,"1;2","7IjJODVw",100,4,6,0,1.2,3
10,0.571163954632559,1,5,10,32,"1;2","7IjJODVw",100,4,6,0,1.2,3
11,1.0162770240077,1,6,10,38,"1;2","7IjJODVw",100,4,6,0,1.2,3
12,0.5,1,7,10,45,"1;2","7IjJODVw",100,4,6,0,1.2,3
13,0.5,1,3,10,48,"1;2","7IjJODVw",100,4,6,0,1.2,3
14,0.793295261710838,1,5,10,53,"1;2","7IjJODVw",100,4,6,0,1.2,3
15,0.537773848507981,1,5,10,58,"1;2","7IjJODVw",100,4,6,0,1.2,3
16,1.10341925136263,1,9,10,67,"1;2","7IjJODVw",100,4,6,0,1.2,3
17,0.646934820014351,1,7,10,74,"1;2","7IjJODVw",100,4,6,0,1.2,3
18,0.846184997447299,1,4,10,78,"1;2","7IjJODVw",100,4,6,0,1.2,3
19,0.630881990501253,1,6,10,84,"1;2","7IjJODVw",100,4,6,0,1.2,3
20,1.09951308279691,1,3,10,87,"1;2","7IjJODVw",100,4,6,0,1.2,3
21,0.922635855164674,1,7,10,94,"1;2","7IjJODVw",100,4,6,0,1.2,3
22,0.71364506005257,1,4,10,98,"1;2","7IjJODVw",100,4,6,0,1.2,3
23,1.0932831905148,1,6,10,104,"1;2","7IjJODVw",100,4,6,0,1.2,3
24,1.18642416190352,2,6,10,110,"1;2","7IjJODVw",100,4,6,0,1.2,3
25,0.500673136914377,2,-1,10,109,"1;2","7IjJODVw",100,4,6,0,1.2,3
1,0.70782940541769,2,0,11,0,"2;1","7IjJODVw",100,4,6,0,1.2,3
2,0.5,2,4,11,4,"2;1","7IjJODVw",100,4,6,0,1.2,3
3,0.638936568324186,2,5,11,9,"2;1","7IjJODVw",100,4,6,0,1.2,3
4,0.951678899361996,2,1,11,10,"2;1","7IjJODVw",100,4,6,0,1.2,3
5,0.505781413945702,2,3,11,13,"2;1","7IjJODVw",100,4,6,0,1.2,3
6,0.786950808575404,2,7,11,20,"2;1","7IjJODVw",100,4,6,0,1.2,3
7,0.740880261820756,2,-1,11,19,"2;1","7IjJODVw",100,4,6,0,1.2,3
8,0.83826721092572,2,4,11,23,"2;1","7IjJODVw",100,4,6,0,1.2,3
9,0.58067493509496,2,3,11,26,"2;1","7IjJODVw",100,4,6,0,1.2,3
10,0.634258835001376,2,3,11,29,"2;1","7IjJODVw",100,4,6,0,1.2,3
11,0.811104419084226,2,4,11,33,"2;1","7IjJODVw",100,4,6,0,1.2,3
12,0.935285852307264,2,5,11,38,"2;1","7IjJODVw",100,4,6,0,1.2,3
13,0.5,2,3,11,41,"2;1","7IjJODVw",100,4,6,0,1.2,3
14,1.15163294179145,2,1,11,42,"2;1","7IjJODVw",100,4,6,0,1.2,3
15,1.11043292219103,2,4,11,46,"2;1","7IjJODVw",100,4,6,0,1.2,3
16,0.719541024506313,2,9,11,55,"2;1","7IjJODVw",100,4,6,0,1.2,3
17,0.885506186048174,2,6,11,61,"2;1","7IjJODVw",100,4,6,0,1.2,3
18,0.612530685210497,2,3,11,64,"2;1","7IjJODVw",100,4,6,0,1.2,3
19,0.773773154342397,2,3,11,67,"2;1","7IjJODVw",100,4,6,0,1.2,3
20,1.14707469485806,2,2,11,69,"2;1","7IjJODVw",100,4,6,0,1.2,3
21,0.887074069556755,2,0,11,69,"2;1","7IjJODVw",100,4,6,0,1.2,3
22,1.33025610924141,2,4,11,73,"2;1","7IjJODVw",100,4,6,0,1.2,3
23,0.981194374054655,1,11,11,84,"2;1","7IjJODVw",100,4,6,0,1.2,3
24,0.637475630883101,2,4,11,88,"2;1","7IjJODVw",100,4,6,0,1.2,3
25,0.528425926560047,2,2,11,90,"2;1","7IjJODVw",100,4,6,0,1.2,3
