"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.863684238765987,2,1,1,1,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
2,0.751665291473324,2,5,1,6,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
3,0.90771886061886,2,0,1,6,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
4,0.741799323648855,1,3,1,9,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
5,0.5,1,3,1,12,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
6,0.5,2,-2,1,10,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
7,0.5,1,1,1,11,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
8,0.903095234170288,2,5,1,16,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
9,0.871312247584507,2,0,1,16,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
10,0.793539157231332,1,5,1,21,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
11,0.719600043062791,1,7,1,28,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
12,0.5,1,3,1,31,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
13,0.723319446623746,2,5,1,36,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
14,0.993873224299842,1,6,1,42,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
15,0.835771473287483,1,4,1,46,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
16,0.726779566424048,2,2,1,48,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
17,0.559569641407595,1,6,1,54,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
18,0.832953007402168,1,1,1,55,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
19,1.29839142043666,2,4,1,59,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
20,0.5,1,1,1,60,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
1,0.889222833895591,1,9,2,9,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
2,0.540774847313575,1,11,2,20,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
3,0.684835654628348,1,11,2,31,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
4,0.5,1,-10,2,21,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
5,0.703138018251353,1,-7,2,14,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
6,0.94836075645826,2,3,2,17,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
7,0.750164650767872,2,5,2,22,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
8,0.5,2,3,2,25,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
9,0.523982689501498,2,5,2,30,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
10,0.701725410045348,2,7,2,37,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
11,0.5,2,5,2,42,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
12,1.16307443129814,2,6,2,48,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
13,1.04722374650943,2,4,2,52,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
14,0.5,2,2,2,54,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
15,0.589409016063997,2,4,2,58,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
16,0.834734495854213,1,-3,2,55,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
17,0.84142404153378,2,0,2,55,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
18,0.725636771949789,2,5,2,60,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
19,1.00724485231977,2,3,2,63,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
20,0.953171171738539,1,12,2,75,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
21,1.24585204269999,1,-11,2,64,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
22,0.874874566746508,2,2,2,66,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
23,1.2695561219902,2,1,2,67,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
24,0.5,2,7,2,74,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
25,0.793175328912235,2,3,2,77,"2;1","7ePwIMtJ",0,2,NA,0,1.03,2
1,0.963531069128137,1,3,3,3,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
2,1.1835993953486,2,17,3,20,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
3,0.5,2,15,3,35,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
4,0.571082495280832,2,-3,3,32,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
5,0.946943805243996,2,-17,3,15,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
6,0.64278106497723,1,2,3,17,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
7,1.03942923768259,1,7,3,24,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
8,0.988111941559924,1,2,3,26,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
9,0.5,2,-23,3,3,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
10,0.720843689255147,2,7,3,10,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
11,0.647975476539387,1,1,3,11,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
12,1.11783925766609,1,2,3,13,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
13,0.840182828702343,1,5,3,18,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
14,0.5,1,1,3,19,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
15,1.21601900404333,1,4,3,23,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
16,0.94378935069449,2,1,3,24,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
17,1.06777869008418,1,8,3,32,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
18,0.785056818001519,2,9,3,41,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
19,0.734184237746768,1,-1,3,40,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
20,0.768575725048675,2,-3,3,37,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
21,0.874210383178525,2,-17,3,20,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
22,0.821125479170084,1,9,3,29,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
23,0.507526205294905,2,3,3,32,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
24,0.5,1,10,3,42,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
25,1.18351533749963,1,2,3,44,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
1,0.5,1,7,4,7,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
2,0.954955841706747,1,6,4,13,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
3,0.858924749303171,2,-4,4,9,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
4,0.714338400937097,1,8,4,17,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
5,1.15902890368223,2,20,4,37,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
6,0.928805003684542,2,29,4,66,"1;2","7ePwIMtJ",0,2,NA,0,1.03,2
