"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.795507127203462,2,3,1,3,"2;1","7gSLLl9L",100,5,4,0,0.8,2
2,0.997560370326844,1,5,1,8,"2;1","7gSLLl9L",100,5,4,0,0.8,2
3,1.13337182564733,1,0,1,8,"2;1","7gSLLl9L",100,5,4,0,0.8,2
4,0.556830965049766,2,3,1,11,"2;1","7gSLLl9L",100,5,4,0,0.8,2
5,0.878969294307553,1,3,1,14,"2;1","7gSLLl9L",100,5,4,0,0.8,2
6,0.86580675166927,1,2,1,16,"2;1","7gSLLl9L",100,5,4,0,0.8,2
7,0.647098637535766,1,4,1,20,"2;1","7gSLLl9L",100,5,4,0,0.8,2
8,1.17410743223339,1,2,1,22,"2;1","7gSLLl9L",100,5,4,0,0.8,2
9,0.882690274391854,1,3,1,25,"2;1","7gSLLl9L",100,5,4,0,0.8,2
10,1.10687372229034,1,1,1,26,"2;1","7gSLLl9L",100,5,4,0,0.8,2
11,0.930617914043159,1,0,1,26,"2;1","7gSLLl9L",100,5,4,0,0.8,2
12,0.986511792025277,2,1,1,27,"2;1","7gSLLl9L",100,5,4,0,0.8,2
13,1.21355829148099,2,1,1,28,"2;1","7gSLLl9L",100,5,4,0,0.8,2
14,1.132718336158,2,2,1,30,"2;1","7gSLLl9L",100,5,4,0,0.8,2
15,0.824105646145379,2,1,1,31,"2;1","7gSLLl9L",100,5,4,0,0.8,2
16,0.855750825642492,2,4,1,35,"2;1","7gSLLl9L",100,5,4,0,0.8,2
17,1.05139165942747,2,5,1,40,"2;1","7gSLLl9L",100,5,4,0,0.8,2
18,0.594589673400994,1,1,1,41,"2;1","7gSLLl9L",100,5,4,0,0.8,2
19,0.945442544340851,1,5,1,46,"2;1","7gSLLl9L",100,5,4,0,0.8,2
20,0.752091125891223,1,0,1,46,"2;1","7gSLLl9L",100,5,4,0,0.8,2
1,0.902874533960716,1,-6,2,-6,"2;1","7gSLLl9L",100,5,4,0,0.8,2
2,0.5,1,16,2,10,"2;1","7gSLLl9L",100,5,4,0,0.8,2
3,0.653345957573472,2,5,2,15,"2;1","7gSLLl9L",100,5,4,0,0.8,2
4,0.88802026819195,2,1,2,16,"2;1","7gSLLl9L",100,5,4,0,0.8,2
5,0.869057676627769,1,10,2,26,"2;1","7gSLLl9L",100,5,4,0,0.8,2
6,0.5,1,3,2,29,"2;1","7gSLLl9L",100,5,4,0,0.8,2
7,0.521503395049129,2,6,2,35,"2;1","7gSLLl9L",100,5,4,0,0.8,2
8,0.803863078533345,1,21,2,56,"2;1","7gSLLl9L",100,5,4,0,0.8,2
9,0.944602659104486,2,2,2,58,"2;1","7gSLLl9L",100,5,4,0,0.8,2
10,0.85586096341045,1,-16,2,42,"2;1","7gSLLl9L",100,5,4,0,0.8,2
11,0.742855722146004,1,-2,2,40,"2;1","7gSLLl9L",100,5,4,0,0.8,2
12,0.697725282939357,1,-6,2,34,"2;1","7gSLLl9L",100,5,4,0,0.8,2
13,0.822030631707376,1,-7,2,27,"2;1","7gSLLl9L",100,5,4,0,0.8,2
14,1.08830004416035,2,4,2,31,"2;1","7gSLLl9L",100,5,4,0,0.8,2
15,0.575073077619303,2,3,2,34,"2;1","7gSLLl9L",100,5,4,0,0.8,2
16,0.641675295447031,1,-5,2,29,"2;1","7gSLLl9L",100,5,4,0,0.8,2
17,0.90844494992787,1,-4,2,25,"2;1","7gSLLl9L",100,5,4,0,0.8,2
18,0.765511938740031,1,-11,2,14,"2;1","7gSLLl9L",100,5,4,0,0.8,2
19,1.44005090340202,2,1,2,15,"2;1","7gSLLl9L",100,5,4,0,0.8,2
20,0.706948162099151,1,-14,2,1,"2;1","7gSLLl9L",100,5,4,0,0.8,2
21,0.838369198973536,1,-4,2,-3,"2;1","7gSLLl9L",100,5,4,0,0.8,2
22,1.09701491359206,1,4,2,1,"2;1","7gSLLl9L",100,5,4,0,0.8,2
23,0.691689025255766,2,1,2,2,"2;1","7gSLLl9L",100,5,4,0,0.8,2
24,0.558610591244518,2,5,2,7,"2;1","7gSLLl9L",100,5,4,0,0.8,2
25,0.755130048492142,2,8,2,15,"2;1","7gSLLl9L",100,5,4,0,0.8,2
1,0.925138288797107,2,9,3,9,"1;2","7gSLLl9L",100,5,4,0,0.8,2
2,0.891184093195149,2,19,3,28,"1;2","7gSLLl9L",100,5,4,0,0.8,2
3,0.924758701282787,2,4,3,32,"1;2","7gSLLl9L",100,5,4,0,0.8,2
4,0.897529648165913,2,12,3,44,"1;2","7gSLLl9L",100,5,4,0,0.8,2
5,0.551421268939188,1,7,3,51,"1;2","7gSLLl9L",100,5,4,0,0.8,2
6,0.992623377741436,2,6,3,57,"1;2","7gSLLl9L",100,5,4,0,0.8,2
7,0.612480932828612,1,6,3,63,"1;2","7gSLLl9L",100,5,4,0,0.8,2
8,0.521127654995159,1,3,3,66,"1;2","7gSLLl9L",100,5,4,0,0.8,2
9,0.828973309980589,2,13,3,79,"1;2","7gSLLl9L",100,5,4,0,0.8,2
10,0.5,1,5,3,84,"1;2","7gSLLl9L",100,5,4,0,0.8,2
11,0.714692542139699,1,5,3,89,"1;2","7gSLLl9L",100,5,4,0,0.8,2
12,0.622269892332749,1,5,3,94,"1;2","7gSLLl9L",100,5,4,0,0.8,2
13,0.5,1,4,3,98,"1;2","7gSLLl9L",100,5,4,0,0.8,2
14,0.5,1,5,3,103,"1;2","7gSLLl9L",100,5,4,0,0.8,2
15,0.81625090663529,2,-12,3,91,"1;2","7gSLLl9L",100,5,4,0,0.8,2
16,0.636244565619065,1,6,3,97,"1;2","7gSLLl9L",100,5,4,0,0.8,2
17,1.10244041456716,2,-3,3,94,"1;2","7gSLLl9L",100,5,4,0,0.8,2
18,0.629997759186813,2,11,3,105,"1;2","7gSLLl9L",100,5,4,0,0.8,2
19,0.735414844818441,2,-1,3,104,"1;2","7gSLLl9L",100,5,4,0,0.8,2
20,0.558223537348256,1,6,3,110,"1;2","7gSLLl9L",100,5,4,0,0.8,2
21,1.19196133985078,1,4,3,114,"1;2","7gSLLl9L",100,5,4,0,0.8,2
22,0.5,1,4,3,118,"1;2","7gSLLl9L",100,5,4,0,0.8,2
23,0.846201916560001,1,4,3,122,"1;2","7gSLLl9L",100,5,4,0,0.8,2
24,0.988272901415008,1,7,3,129,"1;2","7gSLLl9L",100,5,4,0,0.8,2
25,0.974905603313198,2,9,3,138,"1;2","7gSLLl9L",100,5,4,0,0.8,2
1,0.5,2,1,4,1,"2;1","7gSLLl9L",100,5,4,0,0.8,2
2,0.5,1,-3,4,-2,"2;1","7gSLLl9L",100,5,4,0,0.8,2
3,0.674864235027173,2,-1,4,-3,"2;1","7gSLLl9L",100,5,4,0,0.8,2
4,1.03751792035159,1,11,4,8,"2;1","7gSLLl9L",100,5,4,0,0.8,2
5,0.5,2,6,4,14,"2;1","7gSLLl9L",100,5,4,0,0.8,2
6,0.614956641225279,1,-2,4,12,"2;1","7gSLLl9L",100,5,4,0,0.8,2
7,0.877687430234404,2,8,4,20,"2;1","7gSLLl9L",100,5,4,0,0.8,2
8,0.5,2,2,4,22,"2;1","7gSLLl9L",100,5,4,0,0.8,2
9,0.952654920220771,1,13,4,35,"2;1","7gSLLl9L",100,5,4,0,0.8,2
10,0.68158263650916,1,-7,4,28,"2;1","7gSLLl9L",100,5,4,0,0.8,2
11,0.693762343529911,1,10,4,38,"2;1","7gSLLl9L",100,5,4,0,0.8,2
12,0.73702439671403,2,5,4,43,"2;1","7gSLLl9L",100,5,4,0,0.8,2
13,1.07350622408439,2,5,4,48,"2;1","7gSLLl9L",100,5,4,0,0.8,2
14,0.92825228392616,1,-14,4,34,"2;1","7gSLLl9L",100,5,4,0,0.8,2
15,0.5,1,25,4,59,"2;1","7gSLLl9L",100,5,4,0,0.8,2
16,0.813841259266016,1,-13,4,46,"2;1","7gSLLl9L",100,5,4,0,0.8,2
17,0.860251602484366,2,2,4,48,"2;1","7gSLLl9L",100,5,4,0,0.8,2
18,1.10970652240732,2,0,4,48,"2;1","7gSLLl9L",100,5,4,0,0.8,2
19,0.5,1,-6,4,42,"2;1","7gSLLl9L",100,5,4,0,0.8,2
20,0.506903723892475,1,-5,4,37,"2;1","7gSLLl9L",100,5,4,0,0.8,2
21,0.964833626122145,1,-11,4,26,"2;1","7gSLLl9L",100,5,4,0,0.8,2
22,1.07525391276316,2,4,4,30,"2;1","7gSLLl9L",100,5,4,0,0.8,2
23,0.747384023319585,1,-11,4,19,"2;1","7gSLLl9L",100,5,4,0,0.8,2
24,0.5,1,-15,4,4,"2;1","7gSLLl9L",100,5,4,0,0.8,2
25,0.911746375217124,1,-9,4,-5,"2;1","7gSLLl9L",100,5,4,0,0.8,2
1,0.5,1,2,5,2,"1;2","7gSLLl9L",100,5,4,0,0.8,2
2,0.967182614216679,2,25,5,27,"1;2","7gSLLl9L",100,5,4,0,0.8,2
3,0.881644871163339,1,4,5,31,"1;2","7gSLLl9L",100,5,4,0,0.8,2
4,0.84371914443846,2,2,5,33,"1;2","7gSLLl9L",100,5,4,0,0.8,2
5,0.93365125271525,2,3,5,36,"1;2","7gSLLl9L",100,5,4,0,0.8,2
6,0.5,2,13,5,49,"1;2","7gSLLl9L",100,5,4,0,0.8,2
7,0.778452480145476,1,6,5,55,"1;2","7gSLLl9L",100,5,4,0,0.8,2
8,0.741499925249305,2,-3,5,52,"1;2","7gSLLl9L",100,5,4,0,0.8,2
9,0.631573243477392,2,14,5,66,"1;2","7gSLLl9L",100,5,4,0,0.8,2
10,0.820199595555842,2,-7,5,59,"1;2","7gSLLl9L",100,5,4,0,0.8,2
11,0.501369322966287,2,4,5,63,"1;2","7gSLLl9L",100,5,4,0,0.8,2
12,0.556283713826269,1,-1,5,62,"1;2","7gSLLl9L",100,5,4,0,0.8,2
13,0.5,2,15,5,77,"1;2","7gSLLl9L",100,5,4,0,0.8,2
14,0.933369073122779,1,6,5,83,"1;2","7gSLLl9L",100,5,4,0,0.8,2
15,0.774576945737173,2,-10,5,73,"1;2","7gSLLl9L",100,5,4,0,0.8,2
16,1.01309458649433,2,1,5,74,"1;2","7gSLLl9L",100,5,4,0,0.8,2
17,0.986761702193271,1,-1,5,73,"1;2","7gSLLl9L",100,5,4,0,0.8,2
18,0.878179480250482,2,2,5,75,"1;2","7gSLLl9L",100,5,4,0,0.8,2
19,1.13133025545502,1,0,5,75,"1;2","7gSLLl9L",100,5,4,0,0.8,2
20,0.720045326725559,1,3,5,78,"1;2","7gSLLl9L",100,5,4,0,0.8,2
21,0.617032517537334,1,3,5,81,"1;2","7gSLLl9L",100,5,4,0,0.8,2
22,0.857723137972425,2,5,5,86,"1;2","7gSLLl9L",100,5,4,0,0.8,2
23,0.800677072717079,2,-23,5,63,"1;2","7gSLLl9L",100,5,4,0,0.8,2
24,0.905062180281256,2,0,5,63,"1;2","7gSLLl9L",100,5,4,0,0.8,2
25,0.702550914472362,2,19,5,82,"1;2","7gSLLl9L",100,5,4,0,0.8,2
1,0.688082070706934,1,5,6,5,"2;1","7gSLLl9L",100,5,4,0,0.8,2
2,0.5,1,3,6,8,"2;1","7gSLLl9L",100,5,4,0,0.8,2
3,0.5,1,-5,6,3,"2;1","7gSLLl9L",100,5,4,0,0.8,2
4,1.0316025845362,1,13,6,16,"2;1","7gSLLl9L",100,5,4,0,0.8,2
5,0.856341344556957,2,5,6,21,"2;1","7gSLLl9L",100,5,4,0,0.8,2
6,0.887301744769952,2,3,6,24,"2;1","7gSLLl9L",100,5,4,0,0.8,2
7,0.641888894686648,1,4,6,28,"2;1","7gSLLl9L",100,5,4,0,0.8,2
8,0.980400734902616,2,3,6,31,"2;1","7gSLLl9L",100,5,4,0,0.8,2
9,0.550501652051018,2,2,6,33,"2;1","7gSLLl9L",100,5,4,0,0.8,2
10,0.921391348459431,1,5,6,38,"2;1","7gSLLl9L",100,5,4,0,0.8,2
11,0.512726949146382,2,5,6,43,"2;1","7gSLLl9L",100,5,4,0,0.8,2
12,0.803226176761169,1,29,6,72,"2;1","7gSLLl9L",100,5,4,0,0.8,2
13,0.85282951100308,1,7,6,79,"2;1","7gSLLl9L",100,5,4,0,0.8,2
14,1.03770271316256,1,13,6,92,"2;1","7gSLLl9L",100,5,4,0,0.8,2
15,0.803890603164757,1,-9,6,83,"2;1","7gSLLl9L",100,5,4,0,0.8,2
16,0.901042768738187,1,3,6,86,"2;1","7gSLLl9L",100,5,4,0,0.8,2
17,0.5,2,1,6,87,"2;1","7gSLLl9L",100,5,4,0,0.8,2
18,0.910733144875968,1,-1,6,86,"2;1","7gSLLl9L",100,5,4,0,0.8,2
19,0.635757073994492,1,12,6,98,"2;1","7gSLLl9L",100,5,4,0,0.8,2
20,0.578173900295015,2,4,6,102,"2;1","7gSLLl9L",100,5,4,0,0.8,2
21,0.814702818328807,2,2,6,104,"2;1","7gSLLl9L",100,5,4,0,0.8,2
22,0.676786939959193,2,3,6,107,"2;1","7gSLLl9L",100,5,4,0,0.8,2
23,0.811580928410213,1,1,6,108,"2;1","7gSLLl9L",100,5,4,0,0.8,2
24,0.945890315128577,2,5,6,113,"2;1","7gSLLl9L",100,5,4,0,0.8,2
25,1.29880742319681,1,6,6,119,"2;1","7gSLLl9L",100,5,4,0,0.8,2
1,0.556188972514138,1,-1,7,-1,"1;2","7gSLLl9L",100,5,4,0,0.8,2
2,0.798857938962451,1,1,7,0,"1;2","7gSLLl9L",100,5,4,0,0.8,2
3,0.789612709025708,2,10,7,10,"1;2","7gSLLl9L",100,5,4,0,0.8,2
4,0.946808126981872,1,2,7,12,"1;2","7gSLLl9L",100,5,4,0,0.8,2
5,0.825416784120457,2,-12,7,0,"1;2","7gSLLl9L",100,5,4,0,0.8,2
6,0.768266413536569,1,3,7,3,"1;2","7gSLLl9L",100,5,4,0,0.8,2
7,0.647015024763251,2,-1,7,2,"1;2","7gSLLl9L",100,5,4,0,0.8,2
8,0.616587506975141,1,-1,7,1,"1;2","7gSLLl9L",100,5,4,0,0.8,2
9,0.66238901009923,2,15,7,16,"1;2","7gSLLl9L",100,5,4,0,0.8,2
10,0.620869136366968,2,-7,7,9,"1;2","7gSLLl9L",100,5,4,0,0.8,2
11,0.685215549168995,2,8,7,17,"1;2","7gSLLl9L",100,5,4,0,0.8,2
12,0.5,2,6,7,23,"1;2","7gSLLl9L",100,5,4,0,0.8,2
13,0.824814650900471,2,-1,7,22,"1;2","7gSLLl9L",100,5,4,0,0.8,2
14,0.666115037956272,2,9,7,31,"1;2","7gSLLl9L",100,5,4,0,0.8,2
15,0.756749256397196,2,-4,7,27,"1;2","7gSLLl9L",100,5,4,0,0.8,2
16,0.807870058794462,1,3,7,30,"1;2","7gSLLl9L",100,5,4,0,0.8,2
17,0.58102137751619,2,-8,7,22,"1;2","7gSLLl9L",100,5,4,0,0.8,2
18,0.675022156496458,2,-15,7,7,"1;2","7gSLLl9L",100,5,4,0,0.8,2
19,0.936127345596298,1,4,7,11,"1;2","7gSLLl9L",100,5,4,0,0.8,2
20,1.02251959394248,2,5,7,16,"1;2","7gSLLl9L",100,5,4,0,0.8,2
21,0.852274021742708,2,3,7,19,"1;2","7gSLLl9L",100,5,4,0,0.8,2
