"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.671394887594821,2,1,1,1,"2;1","83d39DYx",100,5,3,1,0.6,3
2,0.58178385103408,2,2,1,3,"2;1","83d39DYx",100,5,3,1,0.6,3
3,1.05855158219158,2,3,1,6,"2;1","83d39DYx",100,5,3,1,0.6,3
4,0.617537509136852,1,3,1,9,"2;1","83d39DYx",100,5,3,1,0.6,3
5,1.23936153127835,2,4,1,13,"2;1","83d39DYx",100,5,3,1,0.6,3
6,0.872751072861673,2,6,1,19,"2;1","83d39DYx",100,5,3,1,0.6,3
7,0.590124903137008,2,2,1,21,"2;1","83d39DYx",100,5,3,1,0.6,3
8,0.803048548328581,2,6,1,27,"2;1","83d39DYx",100,5,3,1,0.6,3
9,0.806240392498489,2,1,1,28,"2;1","83d39DYx",100,5,3,1,0.6,3
10,0.59768068583718,2,4,1,32,"2;1","83d39DYx",100,5,3,1,0.6,3
11,0.963479439110357,2,3,1,35,"2;1","83d39DYx",100,5,3,1,0.6,3
12,0.538140418688667,1,6,1,41,"2;1","83d39DYx",100,5,3,1,0.6,3
13,1.46307477670951,1,6,1,47,"2;1","83d39DYx",100,5,3,1,0.6,3
14,0.99787633437704,1,6,1,53,"2;1","83d39DYx",100,5,3,1,0.6,3
15,0.514052592900307,2,3,1,56,"2;1","83d39DYx",100,5,3,1,0.6,3
16,0.774825212857977,2,2,1,58,"2;1","83d39DYx",100,5,3,1,0.6,3
17,0.999794903109681,1,2,1,60,"2;1","83d39DYx",100,5,3,1,0.6,3
18,0.5,1,5,1,65,"2;1","83d39DYx",100,5,3,1,0.6,3
19,0.776253905758916,2,1,1,66,"2;1","83d39DYx",100,5,3,1,0.6,3
20,0.5,1,5,1,71,"2;1","83d39DYx",100,5,3,1,0.6,3
1,0.897802228472255,1,6,2,6,"1;2","83d39DYx",100,5,3,1,0.6,3
2,0.923704175600058,1,10,2,16,"1;2","83d39DYx",100,5,3,1,0.6,3
