"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.15451442589619,1,4,1,4,"1;2","8gWEnMlL",100,4,6,0,1.2,3
2,0.710876421050658,1,0,1,4,"1;2","8gWEnMlL",100,4,6,0,1.2,3
3,0.663630830513779,1,5,1,9,"1;2","8gWEnMlL",100,4,6,0,1.2,3
4,0.891259205126376,1,2,1,11,"1;2","8gWEnMlL",100,4,6,0,1.2,3
5,0.740770548551046,1,3,1,14,"1;2","8gWEnMlL",100,4,6,0,1.2,3
6,0.781072622968968,1,4,1,18,"1;2","8gWEnMlL",100,4,6,0,1.2,3
7,0.689712972334211,2,3,1,21,"1;2","8gWEnMlL",100,4,6,0,1.2,3
8,0.778124550252974,1,3,1,24,"1;2","8gWEnMlL",100,4,6,0,1.2,3
9,0.5,1,0,1,24,"1;2","8gWEnMlL",100,4,6,0,1.2,3
10,0.5,2,5,1,29,"1;2","8gWEnMlL",100,4,6,0,1.2,3
11,0.900234188814914,1,4,1,33,"1;2","8gWEnMlL",100,4,6,0,1.2,3
12,0.87774088633643,2,-3,1,30,"1;2","8gWEnMlL",100,4,6,0,1.2,3
13,0.5,2,0,1,30,"1;2","8gWEnMlL",100,4,6,0,1.2,3
14,1.02452369432866,2,4,1,34,"1;2","8gWEnMlL",100,4,6,0,1.2,3
15,1.11206506305841,2,3,1,37,"1;2","8gWEnMlL",100,4,6,0,1.2,3
16,0.795003445602425,2,3,1,40,"1;2","8gWEnMlL",100,4,6,0,1.2,3
17,0.5,1,4,1,44,"1;2","8gWEnMlL",100,4,6,0,1.2,3
18,0.808020266337382,1,4,1,48,"1;2","8gWEnMlL",100,4,6,0,1.2,3
19,1.23755479322824,2,1,1,49,"1;2","8gWEnMlL",100,4,6,0,1.2,3
20,0.75095961716771,2,2,1,51,"1;2","8gWEnMlL",100,4,6,0,1.2,3
1,0.5,1,5,2,5,"1;2","8gWEnMlL",100,4,6,0,1.2,3
2,1.07840380718499,1,8,2,13,"1;2","8gWEnMlL",100,4,6,0,1.2,3
3,0.95143044101933,1,2,2,15,"1;2","8gWEnMlL",100,4,6,0,1.2,3
4,0.83452860701959,1,5,2,20,"1;2","8gWEnMlL",100,4,6,0,1.2,3
5,0.872165265904508,1,1,2,21,"1;2","8gWEnMlL",100,4,6,0,1.2,3
6,0.5,1,4,2,25,"1;2","8gWEnMlL",100,4,6,0,1.2,3
7,1.00406557561842,1,-2,2,23,"1;2","8gWEnMlL",100,4,6,0,1.2,3
8,0.753281643868264,1,3,2,26,"1;2","8gWEnMlL",100,4,6,0,1.2,3
9,1.02585766039717,2,9,2,35,"1;2","8gWEnMlL",100,4,6,0,1.2,3
10,1.06118978834859,2,-11,2,24,"1;2","8gWEnMlL",100,4,6,0,1.2,3
11,1.28811162720835,2,3,2,27,"1;2","8gWEnMlL",100,4,6,0,1.2,3
12,0.513968810814396,2,1,2,28,"1;2","8gWEnMlL",100,4,6,0,1.2,3
13,0.515849094918783,2,16,2,44,"1;2","8gWEnMlL",100,4,6,0,1.2,3
14,1.05078798878352,2,6,2,50,"1;2","8gWEnMlL",100,4,6,0,1.2,3
15,0.791350238950407,2,-1,2,49,"1;2","8gWEnMlL",100,4,6,0,1.2,3
16,0.5,2,-19,2,30,"1;2","8gWEnMlL",100,4,6,0,1.2,3
17,0.555262462873672,1,2,2,32,"1;2","8gWEnMlL",100,4,6,0,1.2,3
18,0.873351056134757,2,10,2,42,"1;2","8gWEnMlL",100,4,6,0,1.2,3
19,0.5783570798068,1,2,2,44,"1;2","8gWEnMlL",100,4,6,0,1.2,3
20,0.518888603995572,2,7,2,51,"1;2","8gWEnMlL",100,4,6,0,1.2,3
21,0.576889551667647,2,22,2,73,"1;2","8gWEnMlL",100,4,6,0,1.2,3
22,0.62764006016177,1,2,2,75,"1;2","8gWEnMlL",100,4,6,0,1.2,3
23,1.0952095584194,2,-8,2,67,"1;2","8gWEnMlL",100,4,6,0,1.2,3
24,0.5,2,28,2,95,"1;2","8gWEnMlL",100,4,6,0,1.2,3
25,0.921481741183903,1,4,2,99,"1;2","8gWEnMlL",100,4,6,0,1.2,3
1,0.776743023679589,2,8,3,8,"2;1","8gWEnMlL",100,4,6,0,1.2,3
2,0.876154987634272,2,-2,3,6,"2;1","8gWEnMlL",100,4,6,0,1.2,3
3,0.967892363875785,2,6,3,12,"2;1","8gWEnMlL",100,4,6,0,1.2,3
4,1.04878169890266,1,2,3,14,"2;1","8gWEnMlL",100,4,6,0,1.2,3
5,0.59238169600799,2,1,3,15,"2;1","8gWEnMlL",100,4,6,0,1.2,3
6,0.717814919186142,2,3,3,18,"2;1","8gWEnMlL",100,4,6,0,1.2,3
7,0.716915164898328,1,-8,3,10,"2;1","8gWEnMlL",100,4,6,0,1.2,3
8,0.659090998930628,2,2,3,12,"2;1","8gWEnMlL",100,4,6,0,1.2,3
9,1.12597017848722,1,14,3,26,"2;1","8gWEnMlL",100,4,6,0,1.2,3
10,0.819718279498061,2,2,3,28,"2;1","8gWEnMlL",100,4,6,0,1.2,3
11,1.09156841614713,1,10,3,38,"2;1","8gWEnMlL",100,4,6,0,1.2,3
12,0.943001947912863,1,-12,3,26,"2;1","8gWEnMlL",100,4,6,0,1.2,3
13,0.565362052349912,1,6,3,32,"2;1","8gWEnMlL",100,4,6,0,1.2,3
14,0.674519342232708,1,9,3,41,"2;1","8gWEnMlL",100,4,6,0,1.2,3
15,0.579080549286282,2,4,3,45,"2;1","8gWEnMlL",100,4,6,0,1.2,3
16,0.7554160268748,2,6,3,51,"2;1","8gWEnMlL",100,4,6,0,1.2,3
