"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.758091173775776,1,2,1,2,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
2,0.61858638556999,1,7,1,9,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
3,0.5,1,3,1,12,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
4,1.17383270597232,1,7,1,19,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
5,0.792299569462611,1,5,1,24,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
6,0.5,1,1,1,25,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
7,0.667903316688981,1,1,1,26,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
8,0.5,1,4,1,30,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
9,0.654047539601762,1,1,1,31,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
10,1.11936642114076,1,0,1,31,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
11,1.15394311904641,1,0,1,31,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
12,0.79830581122113,1,0,1,31,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
13,0.537487251824734,1,2,1,33,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
14,1.10671576630635,1,2,1,35,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
15,1.14515750258439,1,3,1,38,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
16,0.829621045805671,2,1,1,39,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
17,1.00419049271741,1,1,1,40,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
18,0.608087669351183,1,7,1,47,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
19,0.5,1,3,1,50,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
20,0.752187318379287,2,5,1,55,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
1,0.544558297884323,1,3,2,3,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
2,0.740917906585279,1,3,2,6,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
3,0.948787225488804,2,4,2,10,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
4,0.5,1,-1,2,9,"2;1","94Jlm6j7",0,2,NA,0,0.88,2
