"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.734116568098749,2,4,1,4,"1;2","9EILwrOU",100,5,6,0,1.2,2
2,1.2958782176015,2,4,1,8,"1;2","9EILwrOU",100,5,6,0,1.2,2
3,0.5,2,4,1,12,"1;2","9EILwrOU",100,5,6,0,1.2,2
4,0.56835469355047,1,5,1,17,"1;2","9EILwrOU",100,5,6,0,1.2,2
5,0.752649806519632,2,4,1,21,"1;2","9EILwrOU",100,5,6,0,1.2,2
6,1.1610461769997,2,4,1,25,"1;2","9EILwrOU",100,5,6,0,1.2,2
7,0.794880903886297,1,2,1,27,"1;2","9EILwrOU",100,5,6,0,1.2,2
8,0.5,1,3,1,30,"1;2","9EILwrOU",100,5,6,0,1.2,2
9,0.5,2,5,1,35,"1;2","9EILwrOU",100,5,6,0,1.2,2
10,0.802115138697615,2,5,1,40,"1;2","9EILwrOU",100,5,6,0,1.2,2
11,1.01721330352434,1,4,1,44,"1;2","9EILwrOU",100,5,6,0,1.2,2
12,0.917029665072582,2,2,1,46,"1;2","9EILwrOU",100,5,6,0,1.2,2
13,0.958661561703538,2,4,1,50,"1;2","9EILwrOU",100,5,6,0,1.2,2
14,0.788373063144432,2,2,1,52,"1;2","9EILwrOU",100,5,6,0,1.2,2
15,0.973986261716988,2,2,1,54,"1;2","9EILwrOU",100,5,6,0,1.2,2
16,0.93575258931736,2,7,1,61,"1;2","9EILwrOU",100,5,6,0,1.2,2
17,1.04507613320696,2,0,1,61,"1;2","9EILwrOU",100,5,6,0,1.2,2
18,0.95136193437487,1,4,1,65,"1;2","9EILwrOU",100,5,6,0,1.2,2
19,0.886381127382671,2,0,1,65,"1;2","9EILwrOU",100,5,6,0,1.2,2
20,1.37182901846899,1,5,1,70,"1;2","9EILwrOU",100,5,6,0,1.2,2
1,0.5,1,4,2,4,"1;2","9EILwrOU",100,5,6,0,1.2,2
2,1.11256829324402,2,-2,2,2,"1;2","9EILwrOU",100,5,6,0,1.2,2
3,0.711000286227954,2,-6,2,-4,"1;2","9EILwrOU",100,5,6,0,1.2,2
4,0.5,1,2,2,-2,"1;2","9EILwrOU",100,5,6,0,1.2,2
5,0.578391615182037,1,2,2,0,"1;2","9EILwrOU",100,5,6,0,1.2,2
6,0.578960961486089,1,5,2,5,"1;2","9EILwrOU",100,5,6,0,1.2,2
7,0.636114744326654,1,4,2,9,"1;2","9EILwrOU",100,5,6,0,1.2,2
