"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.729043921107868,2,-2,1,-2,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
2,0.986480184797395,2,1,1,-1,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
3,0.796844497088825,1,0,1,-1,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
4,1.02634841882888,1,4,1,3,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
5,1.20338931398626,1,4,1,7,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
6,0.826121273258592,1,3,1,10,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
7,0.967272588438265,1,2,1,12,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
8,0.624557329940336,1,1,1,13,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
9,0.838123491245696,1,2,1,15,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
10,0.93533551436274,2,0,1,15,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
11,0.619408525152605,1,2,1,17,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
12,0.600815993898262,1,2,1,19,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
13,0.855312405949198,1,1,1,20,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
14,0.723531084287723,1,4,1,24,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
15,0.712815867125479,1,4,1,28,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
16,0.687903109319558,2,1,1,29,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
17,1.07839177097788,1,-1,1,28,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
18,0.667195712153314,1,2,1,30,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
19,0.743467776657938,1,3,1,33,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
20,0.874094427146948,1,9,1,42,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
1,0.5,1,9,2,9,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
2,0.5,1,7,2,16,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
3,0.5,1,4,2,20,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
4,1.19991850262133,1,5,2,25,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
5,0.58285172755268,1,5,2,30,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
6,1.13172325717513,1,7,2,37,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
7,0.631512642151899,1,6,2,43,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
8,1.17694171464704,1,3,2,46,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
9,1.02116134468456,1,3,2,49,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
10,1.19390147437653,1,4,2,53,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
11,0.684826741603703,1,5,2,58,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
12,0.98989094213627,1,5,2,63,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
13,0.719097068885596,1,5,2,68,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
14,0.748097762084266,1,6,2,74,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
15,0.5,1,9,2,83,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
16,0.948895059446916,1,4,2,87,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
17,0.825068925881245,1,8,2,95,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
18,0.840231920678787,1,5,2,100,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
19,1.12520542099016,1,3,2,103,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
20,0.730788675456045,1,2,2,105,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
21,0.835445898172869,1,3,2,108,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
22,0.93091745041132,1,7,2,115,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
23,1.06085131072189,1,8,2,123,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
24,0.921576773701073,1,4,2,127,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
25,0.676558855265125,1,2,2,129,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
1,1.2467634693452,2,12,3,12,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
2,0.672521698023764,2,-5,3,7,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
3,0.5,2,0,3,7,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
4,0.826574090887754,2,-3,3,4,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
5,0.5,1,-1,3,3,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
6,0.89570835234217,1,7,3,10,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
7,0.853881933092348,1,2,3,12,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
8,0.899186448464418,1,0,3,12,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
9,0.873545511556659,1,3,3,15,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
10,0.937804372918869,1,5,3,20,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
11,0.615860307596144,1,5,3,25,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
12,0.933586156719373,1,7,3,32,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
13,0.624696827879038,1,-1,3,31,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
14,0.857752062993194,1,8,3,39,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
15,0.5,1,0,3,39,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
16,0.5,1,0,3,39,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
17,0.5,1,7,3,46,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
18,0.795306846362266,1,6,3,52,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
19,0.858079743215506,1,1,3,53,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
20,1.374528407563,2,-16,3,37,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
21,0.813552154778171,1,3,3,40,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
22,0.705457789792493,1,6,3,46,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
23,0.5,2,5,3,51,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
24,0.91091835327811,1,3,3,54,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
25,1.3235392476402,1,3,3,57,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
1,0.793621133810728,2,-2,4,-2,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
2,0.911180592570538,1,6,4,4,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
3,0.586007408214332,1,3,4,7,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
4,0.971598178339547,1,4,4,11,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
5,0.927669702870914,2,26,4,37,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
6,0.5,1,6,4,43,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
7,1.13543751846325,2,7,4,50,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
8,0.846239415640608,1,5,4,55,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
9,1.10459626146722,2,7,4,62,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
10,0.917880939015557,2,-4,4,58,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
11,1.08441345005556,1,3,4,61,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
12,0.5,1,4,4,65,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
13,1.09328241954916,1,-1,4,64,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
14,0.925654786753326,2,4,4,68,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
15,1.08785623388462,2,6,4,74,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
16,0.5,2,-4,4,70,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
17,1.07368566356692,1,9,4,79,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
18,0.648484829466028,2,-4,4,75,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
19,0.775261358537717,1,6,4,81,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
20,1.08957003413648,1,5,4,86,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
21,0.608458069230334,1,3,4,89,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
22,1.05041526024158,1,5,4,94,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
23,0.5,1,-1,4,93,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
24,0.5,1,5,4,98,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
25,0.600068972413137,1,0,4,98,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
1,0.931561568058872,1,-27,5,-27,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
2,1.12118932997853,2,2,5,-25,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
3,0.93650983405699,1,1,5,-24,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
4,0.754088538511703,2,4,5,-20,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
5,0.723795212821835,2,5,5,-15,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
6,0.968209880849413,1,-8,5,-23,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
7,1.07485091706385,2,2,5,-21,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
8,1.30257489906189,2,0,5,-21,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
9,1.14227144511896,2,5,5,-16,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
10,0.787433905265626,2,4,5,-12,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
11,0.954966210899761,2,5,5,-7,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
12,1.18455837648474,2,6,5,-1,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
13,1.0198392178302,2,5,5,4,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
14,0.805239656254123,2,3,5,7,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
15,1.40111666079099,1,7,5,14,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
16,0.915568221779634,1,10,5,24,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
17,1.09668524873873,2,-3,5,21,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
18,0.661810010886065,1,5,5,26,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
19,0.823844509319566,1,-8,5,18,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
20,1.15076124042564,2,6,5,24,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
21,0.727348232307985,1,-7,5,17,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
22,0.555646188103579,2,3,5,20,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
23,0.774445616912651,2,0,5,20,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
24,0.659632900484638,1,14,5,34,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
25,0.673804186356585,1,7,5,41,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
1,0.606142078967107,1,-9,6,-9,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
2,1.13987279102223,2,5,6,-4,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
3,0.860698000900879,1,8,6,4,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
4,0.684861822193165,2,5,6,9,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
5,0.875750813404303,2,4,6,13,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
6,0.529704228418644,2,7,6,20,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
7,1.15306332271506,2,8,6,28,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
8,0.576761121394246,2,5,6,33,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
9,0.507070473920544,2,4,6,37,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
10,1.09134869418092,2,3,6,40,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
11,1.25099837687562,2,3,6,43,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
12,1.31855931243866,2,6,6,49,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
13,0.504667489670809,1,18,6,67,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
14,0.809870609692208,1,-9,6,58,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
15,1.11753774417322,2,4,6,62,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
16,0.97735753078199,1,-2,6,60,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
17,0.635667516442182,2,7,6,67,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
18,0.719118056694048,2,4,6,71,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
19,0.5,2,3,6,74,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
20,0.762036125140538,2,6,6,80,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
21,0.703711867917923,2,9,6,89,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
22,0.5,2,1,6,90,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
23,0.719951763303145,2,5,6,95,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
24,0.692105239475553,2,3,6,98,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
25,0.732679197342421,2,7,6,105,"2;1","9SH3AWxM",0,1,NA,0,0.83,3
1,0.918016298899853,1,1,7,1,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
2,0.67702822200175,1,8,7,9,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
3,1.0799606120952,2,23,7,32,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
4,0.826322783062748,2,-16,7,16,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
5,0.5,1,0,7,16,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
6,0.986105350855001,2,12,7,28,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
7,0.553847063958135,1,3,7,31,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
8,0.797327104248939,2,5,7,36,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
9,0.760877187886604,2,-2,7,34,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
10,0.612254243362807,2,23,7,57,"1;2","9SH3AWxM",0,1,NA,0,0.83,3
