"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.825907484294396,2,0,1,0,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
2,1.03540827695329,1,5,1,5,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
3,0.740666446588137,2,6,1,11,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
4,1.11781022007733,1,1,1,12,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
5,0.910134134013545,1,2,1,14,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
6,0.832330146074587,1,2,1,16,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
7,0.609049591549741,2,4,1,20,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
8,0.675482380548068,2,1,1,21,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
9,0.721895360976505,1,3,1,24,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
10,0.5,1,4,1,28,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
11,0.77193176632828,2,3,1,31,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
12,0.792681260016521,1,7,1,38,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
13,0.5,1,5,1,43,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
14,0.88409833868742,2,0,1,43,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
15,0.793096057373111,1,3,1,46,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
16,0.54143498388903,1,6,1,52,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
17,0.794680971348296,2,1,1,53,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
18,0.539384246146728,1,2,1,55,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
19,1.279383780137,1,0,1,55,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
20,0.894698152188603,1,2,1,57,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
1,0.5,1,5,2,5,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
2,0.879813907540204,2,8,2,13,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
3,0.5,2,-4,2,9,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
4,0.699173602882177,1,3,2,12,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
5,0.976608712001212,2,19,2,31,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
6,1.1009029527871,1,2,2,33,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
7,0.796895934749548,2,-13,2,20,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
8,1.07129171263153,1,0,2,20,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
9,0.845416056814023,2,14,2,34,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
10,0.530541254615571,1,2,2,36,"1;2","A3FYz8ie",0,3,NA,2,0.77,1
