"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.789367869277381,1,2,1,2,"2;1","A4XETWE6",100,5,5,0,1,2
2,0.546171151152509,1,6,1,8,"2;1","A4XETWE6",100,5,5,0,1,2
3,1.03874886164997,1,4,1,12,"2;1","A4XETWE6",100,5,5,0,1,2
4,0.599354406701688,2,4,1,16,"2;1","A4XETWE6",100,5,5,0,1,2
5,0.620248423291409,2,3,1,19,"2;1","A4XETWE6",100,5,5,0,1,2
6,0.840113449270889,1,2,1,21,"2;1","A4XETWE6",100,5,5,0,1,2
7,1.01130746261731,1,5,1,26,"2;1","A4XETWE6",100,5,5,0,1,2
8,0.801013450432172,2,5,1,31,"2;1","A4XETWE6",100,5,5,0,1,2
9,0.971966710103175,1,5,1,36,"2;1","A4XETWE6",100,5,5,0,1,2
10,0.951132774644488,1,5,1,41,"2;1","A4XETWE6",100,5,5,0,1,2
11,0.5,2,6,1,47,"2;1","A4XETWE6",100,5,5,0,1,2
12,0.5,1,3,1,50,"2;1","A4XETWE6",100,5,5,0,1,2
13,0.635740565980744,1,2,1,52,"2;1","A4XETWE6",100,5,5,0,1,2
14,0.679272910060036,1,1,1,53,"2;1","A4XETWE6",100,5,5,0,1,2
15,0.5,1,0,1,53,"2;1","A4XETWE6",100,5,5,0,1,2
16,0.887984555513589,1,4,1,57,"2;1","A4XETWE6",100,5,5,0,1,2
17,0.576661765747176,1,3,1,60,"2;1","A4XETWE6",100,5,5,0,1,2
18,0.88756260248231,2,2,1,62,"2;1","A4XETWE6",100,5,5,0,1,2
19,1.3205026184695,1,2,1,64,"2;1","A4XETWE6",100,5,5,0,1,2
20,0.907440945927121,2,5,1,69,"2;1","A4XETWE6",100,5,5,0,1,2
1,0.701591003089122,1,2,2,2,"1;2","A4XETWE6",100,5,5,0,1,2
2,0.5,1,6,2,8,"1;2","A4XETWE6",100,5,5,0,1,2
3,0.823990562699116,2,5,2,13,"1;2","A4XETWE6",100,5,5,0,1,2
4,0.712145504740519,2,5,2,18,"1;2","A4XETWE6",100,5,5,0,1,2
5,0.669398781999659,1,4,2,22,"1;2","A4XETWE6",100,5,5,0,1,2
6,1.08013660499007,1,4,2,26,"1;2","A4XETWE6",100,5,5,0,1,2
7,0.759379656188323,1,8,2,34,"1;2","A4XETWE6",100,5,5,0,1,2
8,1.22423434914144,1,3,2,37,"1;2","A4XETWE6",100,5,5,0,1,2
9,0.635235528510486,1,1,2,38,"1;2","A4XETWE6",100,5,5,0,1,2
10,1.04401351408528,1,2,2,40,"1;2","A4XETWE6",100,5,5,0,1,2
11,0.86720874914908,1,7,2,47,"1;2","A4XETWE6",100,5,5,0,1,2
12,0.607708105895779,1,8,2,55,"1;2","A4XETWE6",100,5,5,0,1,2
13,0.874363883819081,2,2,2,57,"1;2","A4XETWE6",100,5,5,0,1,2
14,1.28509238422947,1,6,2,63,"1;2","A4XETWE6",100,5,5,0,1,2
15,1.16926150176987,2,14,2,77,"1;2","A4XETWE6",100,5,5,0,1,2
16,0.952431606811191,1,4,2,81,"1;2","A4XETWE6",100,5,5,0,1,2
17,0.90944367264677,1,9,2,90,"1;2","A4XETWE6",100,5,5,0,1,2
18,0.838622353189314,1,5,2,95,"1;2","A4XETWE6",100,5,5,0,1,2
19,1.03085088582595,1,5,2,100,"1;2","A4XETWE6",100,5,5,0,1,2
20,0.940236059820777,1,2,2,102,"1;2","A4XETWE6",100,5,5,0,1,2
21,0.959638331237598,2,9,2,111,"1;2","A4XETWE6",100,5,5,0,1,2
22,0.688031152591666,2,-10,2,101,"1;2","A4XETWE6",100,5,5,0,1,2
23,0.842722186271213,1,1,2,102,"1;2","A4XETWE6",100,5,5,0,1,2
24,1.26963784071747,1,5,2,107,"1;2","A4XETWE6",100,5,5,0,1,2
25,0.696180557494404,2,7,2,114,"1;2","A4XETWE6",100,5,5,0,1,2
1,0.5,2,4,3,4,"2;1","A4XETWE6",100,5,5,0,1,2
2,1.15266322587553,1,-13,3,-9,"2;1","A4XETWE6",100,5,5,0,1,2
3,0.816113052826377,2,3,3,-6,"2;1","A4XETWE6",100,5,5,0,1,2
4,1.01065746864161,1,6,3,0,"2;1","A4XETWE6",100,5,5,0,1,2
5,0.786910672592701,1,-2,3,-2,"2;1","A4XETWE6",100,5,5,0,1,2
6,0.933892832425666,1,0,3,-2,"2;1","A4XETWE6",100,5,5,0,1,2
7,0.767801409989957,1,-14,3,-16,"2;1","A4XETWE6",100,5,5,0,1,2
8,0.774609773919919,1,-8,3,-24,"2;1","A4XETWE6",100,5,5,0,1,2
9,0.631879348199782,2,0,3,-24,"2;1","A4XETWE6",100,5,5,0,1,2
10,0.896013286834715,1,-10,3,-34,"2;1","A4XETWE6",100,5,5,0,1,2
11,0.915821295747524,2,5,3,-29,"2;1","A4XETWE6",100,5,5,0,1,2
12,0.827643167428342,1,5,3,-24,"2;1","A4XETWE6",100,5,5,0,1,2
13,1.27717705254986,2,1,3,-23,"2;1","A4XETWE6",100,5,5,0,1,2
14,1.20986058716209,2,6,3,-17,"2;1","A4XETWE6",100,5,5,0,1,2
15,0.663733051023191,1,18,3,1,"2;1","A4XETWE6",100,5,5,0,1,2
16,1.12090891930655,2,5,3,6,"2;1","A4XETWE6",100,5,5,0,1,2
