"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.711477553674186,2,1,1,1,"1;2","AI2MkiF8",100,5,4,2,0.8,2
2,1.36347873381013,1,1,1,2,"1;2","AI2MkiF8",100,5,4,2,0.8,2
3,0.567775454737484,1,1,1,3,"1;2","AI2MkiF8",100,5,4,2,0.8,2
4,1.10765614632639,1,2,1,5,"1;2","AI2MkiF8",100,5,4,2,0.8,2
5,1.2192033219737,2,3,1,8,"1;2","AI2MkiF8",100,5,4,2,0.8,2
6,0.720952662540661,2,3,1,11,"1;2","AI2MkiF8",100,5,4,2,0.8,2
7,0.5,1,7,1,18,"1;2","AI2MkiF8",100,5,4,2,0.8,2
8,0.5,1,7,1,25,"1;2","AI2MkiF8",100,5,4,2,0.8,2
9,0.789587010106866,1,1,1,26,"1;2","AI2MkiF8",100,5,4,2,0.8,2
10,0.5,1,6,1,32,"1;2","AI2MkiF8",100,5,4,2,0.8,2
11,1.14349957623035,1,6,1,38,"1;2","AI2MkiF8",100,5,4,2,0.8,2
12,0.65289249392983,1,2,1,40,"1;2","AI2MkiF8",100,5,4,2,0.8,2
13,0.953751852809112,1,1,1,41,"1;2","AI2MkiF8",100,5,4,2,0.8,2
14,0.746587234344059,1,1,1,42,"1;2","AI2MkiF8",100,5,4,2,0.8,2
15,0.727303176143945,1,3,1,45,"1;2","AI2MkiF8",100,5,4,2,0.8,2
16,0.895849141632497,1,4,1,49,"1;2","AI2MkiF8",100,5,4,2,0.8,2
17,1.14891977225867,1,3,1,52,"1;2","AI2MkiF8",100,5,4,2,0.8,2
18,0.5,1,1,1,53,"1;2","AI2MkiF8",100,5,4,2,0.8,2
19,0.553185773786732,2,2,1,55,"1;2","AI2MkiF8",100,5,4,2,0.8,2
20,0.800685331872611,1,5,1,60,"1;2","AI2MkiF8",100,5,4,2,0.8,2
1,0.672189143957066,2,-2,2,-2,"1;2","AI2MkiF8",100,5,4,2,0.8,2
2,0.992807571431046,1,3,2,1,"1;2","AI2MkiF8",100,5,4,2,0.8,2
3,0.618334340826383,2,-15,2,-14,"1;2","AI2MkiF8",100,5,4,2,0.8,2
