"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.665094559770226,1,5,1,5,"2;1","AQjVaoxl",100,6,3,0,0.6,1
2,0.756483490479602,2,1,1,6,"2;1","AQjVaoxl",100,6,3,0,0.6,1
3,1.02294652547576,1,2,1,8,"2;1","AQjVaoxl",100,6,3,0,0.6,1
4,0.798530454737238,2,5,1,13,"2;1","AQjVaoxl",100,6,3,0,0.6,1
5,0.5,2,1,1,14,"2;1","AQjVaoxl",100,6,3,0,0.6,1
6,0.984754085884314,1,3,1,17,"2;1","AQjVaoxl",100,6,3,0,0.6,1
7,1.18529907979382,1,-2,1,15,"2;1","AQjVaoxl",100,6,3,0,0.6,1
8,0.96931625632152,1,1,1,16,"2;1","AQjVaoxl",100,6,3,0,0.6,1
9,0.960216226564027,1,5,1,21,"2;1","AQjVaoxl",100,6,3,0,0.6,1
10,0.5,1,3,1,24,"2;1","AQjVaoxl",100,6,3,0,0.6,1
11,0.778674264376624,1,3,1,27,"2;1","AQjVaoxl",100,6,3,0,0.6,1
12,0.878523242234393,2,5,1,32,"2;1","AQjVaoxl",100,6,3,0,0.6,1
13,0.831631369887114,1,3,1,35,"2;1","AQjVaoxl",100,6,3,0,0.6,1
14,0.5,2,3,1,38,"2;1","AQjVaoxl",100,6,3,0,0.6,1
15,0.5,1,8,1,46,"2;1","AQjVaoxl",100,6,3,0,0.6,1
16,0.63198567214502,1,3,1,49,"2;1","AQjVaoxl",100,6,3,0,0.6,1
17,1.18794712043344,1,2,1,51,"2;1","AQjVaoxl",100,6,3,0,0.6,1
18,0.993044943793224,1,3,1,54,"2;1","AQjVaoxl",100,6,3,0,0.6,1
19,0.5,1,3,1,57,"2;1","AQjVaoxl",100,6,3,0,0.6,1
20,0.709958295025862,1,2,1,59,"2;1","AQjVaoxl",100,6,3,0,0.6,1
1,1.17443240976222,1,3,2,3,"2;1","AQjVaoxl",100,6,3,0,0.6,1
2,0.599518089967048,1,29,2,32,"2;1","AQjVaoxl",100,6,3,0,0.6,1
3,0.700122098770686,1,12,2,44,"2;1","AQjVaoxl",100,6,3,0,0.6,1
4,0.777922293609911,1,5,2,49,"2;1","AQjVaoxl",100,6,3,0,0.6,1
5,0.560174983183657,1,6,2,55,"2;1","AQjVaoxl",100,6,3,0,0.6,1
6,0.733061854241477,1,-5,2,50,"2;1","AQjVaoxl",100,6,3,0,0.6,1
7,0.700627022576013,2,-1,2,49,"2;1","AQjVaoxl",100,6,3,0,0.6,1
8,0.942633174175981,1,7,2,56,"2;1","AQjVaoxl",100,6,3,0,0.6,1
9,0.590885495718424,2,-1,2,55,"2;1","AQjVaoxl",100,6,3,0,0.6,1
10,0.91899009389178,1,-7,2,48,"2;1","AQjVaoxl",100,6,3,0,0.6,1
11,0.5,1,25,2,73,"2;1","AQjVaoxl",100,6,3,0,0.6,1
12,0.652614880073033,1,18,2,91,"2;1","AQjVaoxl",100,6,3,0,0.6,1
13,0.750479839452972,1,14,2,105,"2;1","AQjVaoxl",100,6,3,0,0.6,1
14,0.871625172198087,2,1,2,106,"2;1","AQjVaoxl",100,6,3,0,0.6,1
15,0.646468489750413,1,13,2,119,"2;1","AQjVaoxl",100,6,3,0,0.6,1
16,0.868682318211781,2,2,2,121,"2;1","AQjVaoxl",100,6,3,0,0.6,1
17,0.794561717093101,2,1,2,122,"2;1","AQjVaoxl",100,6,3,0,0.6,1
18,0.792321076630732,1,-8,2,114,"2;1","AQjVaoxl",100,6,3,0,0.6,1
19,0.641413482220473,2,2,2,116,"2;1","AQjVaoxl",100,6,3,0,0.6,1
20,1.41164045111314,2,4,2,120,"2;1","AQjVaoxl",100,6,3,0,0.6,1
21,0.578342511618449,2,1,2,121,"2;1","AQjVaoxl",100,6,3,0,0.6,1
22,0.958496325733965,2,4,2,125,"2;1","AQjVaoxl",100,6,3,0,0.6,1
23,0.585319041112008,2,1,2,126,"2;1","AQjVaoxl",100,6,3,0,0.6,1
24,0.5,2,2,2,128,"2;1","AQjVaoxl",100,6,3,0,0.6,1
25,0.86210735483409,2,7,2,135,"2;1","AQjVaoxl",100,6,3,0,0.6,1
1,0.558955856219003,2,1,3,1,"2;1","AQjVaoxl",100,6,3,0,0.6,1
2,0.66638617001092,1,-14,3,-13,"2;1","AQjVaoxl",100,6,3,0,0.6,1
3,0.5,2,3,3,-10,"2;1","AQjVaoxl",100,6,3,0,0.6,1
4,1.01179760138379,1,21,3,11,"2;1","AQjVaoxl",100,6,3,0,0.6,1
5,0.860358512181172,1,-9,3,2,"2;1","AQjVaoxl",100,6,3,0,0.6,1
6,0.745150844876345,1,-1,3,1,"2;1","AQjVaoxl",100,6,3,0,0.6,1
7,0.550669565287248,1,21,3,22,"2;1","AQjVaoxl",100,6,3,0,0.6,1
8,0.76327664660264,1,17,3,39,"2;1","AQjVaoxl",100,6,3,0,0.6,1
9,0.717259269968608,1,27,3,66,"2;1","AQjVaoxl",100,6,3,0,0.6,1
10,0.764891356264452,1,3,3,69,"2;1","AQjVaoxl",100,6,3,0,0.6,1
11,0.654821277852844,1,-1,3,68,"2;1","AQjVaoxl",100,6,3,0,0.6,1
12,1.08870470438777,1,-8,3,60,"2;1","AQjVaoxl",100,6,3,0,0.6,1
13,1.07755250036361,1,7,3,67,"2;1","AQjVaoxl",100,6,3,0,0.6,1
14,0.637147358500025,1,-12,3,55,"2;1","AQjVaoxl",100,6,3,0,0.6,1
15,0.5,1,0,3,55,"2;1","AQjVaoxl",100,6,3,0,0.6,1
16,0.914188506659661,1,-5,3,50,"2;1","AQjVaoxl",100,6,3,0,0.6,1
17,0.830872055615882,1,-6,3,44,"2;1","AQjVaoxl",100,6,3,0,0.6,1
