"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.36018124408793,1,3,1,3,"2;1","AVokmxlX",0,1,NA,0,0.79,3
2,0.615367412519216,1,3,1,6,"2;1","AVokmxlX",0,1,NA,0,0.79,3
3,0.720547880569984,1,5,1,11,"2;1","AVokmxlX",0,1,NA,0,0.79,3
4,0.701856173610645,1,4,1,15,"2;1","AVokmxlX",0,1,NA,0,0.79,3
5,0.917554479500611,1,4,1,19,"2;1","AVokmxlX",0,1,NA,0,0.79,3
6,0.856159091492527,1,4,1,23,"2;1","AVokmxlX",0,1,NA,0,0.79,3
7,0.70158343210582,2,7,1,30,"2;1","AVokmxlX",0,1,NA,0,0.79,3
8,0.658909618452395,1,2,1,32,"2;1","AVokmxlX",0,1,NA,0,0.79,3
9,0.510321383311071,1,3,1,35,"2;1","AVokmxlX",0,1,NA,0,0.79,3
10,0.847900286085099,1,3,1,38,"2;1","AVokmxlX",0,1,NA,0,0.79,3
11,0.5,1,5,1,43,"2;1","AVokmxlX",0,1,NA,0,0.79,3
12,0.832533277318299,1,6,1,49,"2;1","AVokmxlX",0,1,NA,0,0.79,3
13,0.864397210036339,2,1,1,50,"2;1","AVokmxlX",0,1,NA,0,0.79,3
14,0.793201298028477,1,3,1,53,"2;1","AVokmxlX",0,1,NA,0,0.79,3
15,1.20548838730133,1,5,1,58,"2;1","AVokmxlX",0,1,NA,0,0.79,3
16,0.933801138096449,1,9,1,67,"2;1","AVokmxlX",0,1,NA,0,0.79,3
17,0.732117134120912,1,4,1,71,"2;1","AVokmxlX",0,1,NA,0,0.79,3
18,0.830262770289608,1,2,1,73,"2;1","AVokmxlX",0,1,NA,0,0.79,3
19,0.97875722713148,1,0,1,73,"2;1","AVokmxlX",0,1,NA,0,0.79,3
20,0.887325360254667,2,4,1,77,"2;1","AVokmxlX",0,1,NA,0,0.79,3
1,0.972238312146398,2,6,2,6,"2;1","AVokmxlX",0,1,NA,0,0.79,3
2,0.967438805429654,2,1,2,7,"2;1","AVokmxlX",0,1,NA,0,0.79,3
3,1.21369889274567,2,3,2,10,"2;1","AVokmxlX",0,1,NA,0,0.79,3
4,0.513906103663444,2,7,2,17,"2;1","AVokmxlX",0,1,NA,0,0.79,3
5,1.16822436469872,2,4,2,21,"2;1","AVokmxlX",0,1,NA,0,0.79,3
6,0.82024251307664,2,3,2,24,"2;1","AVokmxlX",0,1,NA,0,0.79,3
7,0.573750228644596,2,2,2,26,"2;1","AVokmxlX",0,1,NA,0,0.79,3
8,1.19548378674724,2,2,2,28,"2;1","AVokmxlX",0,1,NA,0,0.79,3
9,0.97636418378744,2,1,2,29,"2;1","AVokmxlX",0,1,NA,0,0.79,3
10,0.5,2,4,2,33,"2;1","AVokmxlX",0,1,NA,0,0.79,3
11,0.992189954605218,2,3,2,36,"2;1","AVokmxlX",0,1,NA,0,0.79,3
12,0.675043333144907,2,6,2,42,"2;1","AVokmxlX",0,1,NA,0,0.79,3
13,0.532081212685694,2,8,2,50,"2;1","AVokmxlX",0,1,NA,0,0.79,3
14,1.01925691489206,2,9,2,59,"2;1","AVokmxlX",0,1,NA,0,0.79,3
15,0.511030705552136,2,1,2,60,"2;1","AVokmxlX",0,1,NA,0,0.79,3
16,0.5,2,9,2,69,"2;1","AVokmxlX",0,1,NA,0,0.79,3
17,0.849904542438862,2,6,2,75,"2;1","AVokmxlX",0,1,NA,0,0.79,3
18,0.681914948591462,2,3,2,78,"2;1","AVokmxlX",0,1,NA,0,0.79,3
19,0.657840474219614,2,4,2,82,"2;1","AVokmxlX",0,1,NA,0,0.79,3
20,0.5,2,7,2,89,"2;1","AVokmxlX",0,1,NA,0,0.79,3
21,0.607642713207337,2,2,2,91,"2;1","AVokmxlX",0,1,NA,0,0.79,3
22,0.574826933829838,2,6,2,97,"2;1","AVokmxlX",0,1,NA,0,0.79,3
23,0.622928252190384,2,-3,2,94,"2;1","AVokmxlX",0,1,NA,0,0.79,3
24,0.985864792129786,2,8,2,102,"2;1","AVokmxlX",0,1,NA,0,0.79,3
25,0.664681645782833,2,6,2,108,"2;1","AVokmxlX",0,1,NA,0,0.79,3
1,1.16976914922671,1,3,3,3,"1;2","AVokmxlX",0,1,NA,0,0.79,3
2,0.627283988851404,1,-1,3,2,"1;2","AVokmxlX",0,1,NA,0,0.79,3
3,0.645957945708161,1,-5,3,-3,"1;2","AVokmxlX",0,1,NA,0,0.79,3
4,0.977594758297274,2,2,3,-1,"1;2","AVokmxlX",0,1,NA,0,0.79,3
5,1.24965136566789,2,13,3,12,"1;2","AVokmxlX",0,1,NA,0,0.79,3
6,0.920066917520852,2,-6,3,6,"1;2","AVokmxlX",0,1,NA,0,0.79,3
7,0.717046029947172,2,-15,3,-9,"1;2","AVokmxlX",0,1,NA,0,0.79,3
8,1.17705196088967,1,5,3,-4,"1;2","AVokmxlX",0,1,NA,0,0.79,3
9,0.807399809426663,1,3,3,-1,"1;2","AVokmxlX",0,1,NA,0,0.79,3
10,0.69567901833702,1,1,3,0,"1;2","AVokmxlX",0,1,NA,0,0.79,3
11,0.890153423820078,1,3,3,3,"1;2","AVokmxlX",0,1,NA,0,0.79,3
12,0.802463619869782,1,3,3,6,"1;2","AVokmxlX",0,1,NA,0,0.79,3
