"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.816790366212893,1,2,1,2,"1;2","AdeitWhP",100,6,4,0,0.8,3
2,0.989216122694424,2,3,1,5,"1;2","AdeitWhP",100,6,4,0,0.8,3
3,1.02660248795602,1,0,1,5,"1;2","AdeitWhP",100,6,4,0,0.8,3
4,1.12352732363587,2,4,1,9,"1;2","AdeitWhP",100,6,4,0,0.8,3
5,0.776913174530129,2,4,1,13,"1;2","AdeitWhP",100,6,4,0,0.8,3
6,0.731367521415436,2,4,1,17,"1;2","AdeitWhP",100,6,4,0,0.8,3
7,0.917907345920142,2,4,1,21,"1;2","AdeitWhP",100,6,4,0,0.8,3
8,1.38549911132242,1,6,1,27,"1;2","AdeitWhP",100,6,4,0,0.8,3
9,0.5,1,3,1,30,"1;2","AdeitWhP",100,6,4,0,0.8,3
10,0.774664723760669,1,-1,1,29,"1;2","AdeitWhP",100,6,4,0,0.8,3
11,0.5,1,1,1,30,"1;2","AdeitWhP",100,6,4,0,0.8,3
12,0.5,2,5,1,35,"1;2","AdeitWhP",100,6,4,0,0.8,3
13,0.715696902398477,2,-2,1,33,"1;2","AdeitWhP",100,6,4,0,0.8,3
14,1.24282043465047,2,4,1,37,"1;2","AdeitWhP",100,6,4,0,0.8,3
15,0.5,2,5,1,42,"1;2","AdeitWhP",100,6,4,0,0.8,3
16,0.924607147039471,2,8,1,50,"1;2","AdeitWhP",100,6,4,0,0.8,3
17,0.786211059247417,2,4,1,54,"1;2","AdeitWhP",100,6,4,0,0.8,3
18,1.38011063937248,2,4,1,58,"1;2","AdeitWhP",100,6,4,0,0.8,3
19,0.877037885072899,1,2,1,60,"1;2","AdeitWhP",100,6,4,0,0.8,3
20,1.01147520302835,1,3,1,63,"1;2","AdeitWhP",100,6,4,0,0.8,3
1,0.643383398619503,2,10,2,10,"2;1","AdeitWhP",100,6,4,0,0.8,3
2,1.11139847029258,2,1,2,11,"2;1","AdeitWhP",100,6,4,0,0.8,3
3,0.763565463054412,2,6,2,17,"2;1","AdeitWhP",100,6,4,0,0.8,3
4,0.781810600777325,2,1,2,18,"2;1","AdeitWhP",100,6,4,0,0.8,3
5,0.848004784568347,2,3,2,21,"2;1","AdeitWhP",100,6,4,0,0.8,3
6,0.5,2,0,2,21,"2;1","AdeitWhP",100,6,4,0,0.8,3
7,0.77023745694863,2,-1,2,20,"2;1","AdeitWhP",100,6,4,0,0.8,3
8,0.773888654323143,2,0,2,20,"2;1","AdeitWhP",100,6,4,0,0.8,3
9,0.767076160997215,2,0,2,20,"2;1","AdeitWhP",100,6,4,0,0.8,3
10,0.934261980968076,2,-2,2,18,"2;1","AdeitWhP",100,6,4,0,0.8,3
11,0.5,2,0,2,18,"2;1","AdeitWhP",100,6,4,0,0.8,3
12,1.14619158460397,2,-1,2,17,"2;1","AdeitWhP",100,6,4,0,0.8,3
13,0.743460522106669,2,4,2,21,"2;1","AdeitWhP",100,6,4,0,0.8,3
14,0.937950034207446,1,8,2,29,"2;1","AdeitWhP",100,6,4,0,0.8,3
15,0.899596182197746,2,6,2,35,"2;1","AdeitWhP",100,6,4,0,0.8,3
16,0.68430051921681,2,-2,2,33,"2;1","AdeitWhP",100,6,4,0,0.8,3
17,0.926499958006035,2,3,2,36,"2;1","AdeitWhP",100,6,4,0,0.8,3
18,0.959677871726598,2,5,2,41,"2;1","AdeitWhP",100,6,4,0,0.8,3
19,0.702902138866379,2,4,2,45,"2;1","AdeitWhP",100,6,4,0,0.8,3
20,0.999506546989243,2,5,2,50,"2;1","AdeitWhP",100,6,4,0,0.8,3
21,0.945665243761974,2,1,2,51,"2;1","AdeitWhP",100,6,4,0,0.8,3
22,0.995451652482021,2,1,2,52,"2;1","AdeitWhP",100,6,4,0,0.8,3
23,0.5,1,-5,2,47,"2;1","AdeitWhP",100,6,4,0,0.8,3
24,0.5,2,7,2,54,"2;1","AdeitWhP",100,6,4,0,0.8,3
25,0.76918248639706,1,19,2,73,"2;1","AdeitWhP",100,6,4,0,0.8,3
1,1.07158228459874,2,-12,3,-12,"1;2","AdeitWhP",100,6,4,0,0.8,3
2,0.593469415376517,1,3,3,-9,"1;2","AdeitWhP",100,6,4,0,0.8,3
3,0.5,1,5,3,-4,"1;2","AdeitWhP",100,6,4,0,0.8,3
