"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.777408806126364,2,4,1,4,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
2,0.5,2,3,1,7,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
3,0.5,2,2,1,9,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
4,1.0805571861775,2,3,1,12,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
5,0.831644185849341,2,4,1,16,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
6,0.5,2,5,1,21,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
7,0.639698090001353,1,1,1,22,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
8,0.527815648273952,2,3,1,25,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
9,0.776837269839838,2,5,1,30,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
10,0.766383134037293,2,1,1,31,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
11,0.516342762499908,2,4,1,35,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
12,0.795310623622553,2,6,1,41,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
13,1.07256454839506,2,2,1,43,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
14,0.559234479729279,2,2,1,45,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
15,0.728279072924484,2,3,1,48,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
16,0.733793622266821,1,6,1,54,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
17,1.32281471175927,2,7,1,61,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
18,1.09720441785302,1,5,1,66,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
19,0.5,2,1,1,67,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
20,0.91345026642615,1,5,1,72,"2;1","AkEw7vnN",0,1,NA,0,1.02,1
1,1.2377755739396,1,3,2,3,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
2,0.677773964983223,1,7,2,10,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
3,0.926563519883873,1,0,2,10,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
4,0.814860887456253,1,6,2,16,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
5,0.994339627482852,1,4,2,20,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
6,0.645381965841359,1,5,2,25,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
7,0.5,2,1,2,26,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
8,0.897954156533961,1,5,2,31,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
9,0.836600432301277,1,5,2,36,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
10,0.821594392877327,1,5,2,41,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
11,0.733028494434145,1,3,2,44,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
12,0.876150667135335,1,9,2,53,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
13,0.5,1,4,2,57,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
14,0.668059431904495,1,5,2,62,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
15,0.526967880616069,1,0,2,62,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
16,0.783386150211072,1,5,2,67,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
17,0.635763613264563,1,0,2,67,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
18,0.878977288979782,1,9,2,76,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
19,0.729060396865107,1,5,2,81,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
20,0.807894598925515,2,6,2,87,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
21,0.855519847803029,1,3,2,90,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
22,1.60324569889701,1,5,2,95,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
23,0.5,1,4,2,99,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
24,0.5,1,1,2,100,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
25,0.932719126406975,1,3,2,103,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
1,0.5,2,-5,3,-5,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
2,0.841872209761647,1,3,3,-2,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
3,0.839405546411029,1,4,3,2,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
4,0.896490940718534,1,5,3,7,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
5,1.03615002570145,1,3,3,10,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
6,0.552101081118226,1,2,3,12,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
7,0.681013128491631,1,6,3,18,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
8,0.668102589724303,1,7,3,25,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
9,0.79687759681248,1,0,3,25,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
10,0.5,1,4,3,29,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
11,1.08134147159377,1,5,3,34,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
12,0.5,1,6,3,40,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
13,0.648327205586947,1,3,3,43,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
14,1.3154932394786,1,2,3,45,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
15,1.17662178024279,2,1,3,46,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
16,0.738274416407148,1,5,3,51,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
17,0.7903210595448,1,5,3,56,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
18,1.05540951955296,1,3,3,59,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
19,0.5,1,-2,3,57,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
20,1.23269625442684,1,1,3,58,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
21,0.5,1,4,3,62,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
22,0.939603651123612,1,6,3,68,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
23,0.56473603262674,1,4,3,72,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
24,0.82181569126711,1,3,3,75,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
25,1.00504456189265,1,6,3,81,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
1,0.70029377823553,1,2,4,2,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
2,0.829051129240242,1,5,4,7,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
3,0.893665500087971,1,1,4,8,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
4,1.07806185927241,1,5,4,13,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
5,0.789427915510515,1,5,4,18,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
6,1.00328448654723,2,11,4,29,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
7,0.962639314980572,1,-1,4,28,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
8,1.24155566157693,2,-3,4,25,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
9,0.805755315343304,1,3,4,28,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
10,0.974503363413967,1,2,4,30,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
11,0.655188194524974,1,8,4,38,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
12,1.183334587531,1,4,4,42,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
13,0.710937077165895,1,6,4,48,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
14,0.518232521933553,1,2,4,50,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
15,1.2033061942119,2,5,4,55,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
16,0.654441409851708,1,5,4,60,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
17,0.636159026845126,2,-5,4,55,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
18,1.10319488877035,1,-1,4,54,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
19,0.922162321335701,1,2,4,56,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
20,0.950388587415441,2,-16,4,40,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
21,0.5,1,5,4,45,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
22,1.00314069730118,2,6,4,51,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
23,0.649105862899187,1,6,4,57,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
24,0.872210499562894,2,5,4,62,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
25,0.965156052362877,1,5,4,67,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
1,1.08688530765027,1,3,5,3,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
2,0.761030868543311,1,3,5,6,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
3,1.01748592539977,1,-1,5,5,"1;2","AkEw7vnN",0,1,NA,0,1.02,1
