"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02527499080497,1,6,1,6,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
2,0.925014603651221,1,2,1,8,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
3,1.08693877626567,1,2,1,10,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
4,1.05428919156627,2,2,1,12,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
5,1.09662236204124,1,4,1,16,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
6,0.5,1,-2,1,14,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
7,0.846362964818218,2,5,1,19,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
8,0.5,2,-2,1,17,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
9,0.89158499236595,1,2,1,19,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
10,0.846802642879312,1,3,1,22,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
11,1.18265699330841,1,6,1,28,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
12,0.5,1,1,1,29,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
13,0.5,1,4,1,33,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
14,0.870932195922937,1,3,1,36,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
15,0.689243214730892,1,3,1,39,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
16,0.673733322809952,1,1,1,40,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
17,0.734710348393986,1,3,1,43,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
18,0.777873789689048,1,1,1,44,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
19,1.00441424541291,1,2,1,46,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
20,0.5,1,4,1,50,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
1,1.06416796948714,2,6,2,6,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
2,0.669904506026237,2,4,2,10,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
3,1.05147616143088,2,5,2,15,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
4,0.862358501300294,2,1,2,16,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
5,0.818863303168914,2,0,2,16,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
6,0.5,2,2,2,18,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
7,0.725850951344363,2,1,2,19,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
8,0.744580830682902,2,3,2,22,"2;1","B5xHdzD4",0,1,NA,0,0.89,3
