"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.00585920470115,2,6,1,6,"2;1","BFpu2zJY",100,4,2,0,0.4,1
2,0.597321877252458,1,5,1,11,"2;1","BFpu2zJY",100,4,2,0,0.4,1
3,0.986405141820026,1,4,1,15,"2;1","BFpu2zJY",100,4,2,0,0.4,1
4,1.36471596523515,1,1,1,16,"2;1","BFpu2zJY",100,4,2,0,0.4,1
5,1.05130105694969,1,4,1,20,"2;1","BFpu2zJY",100,4,2,0,0.4,1
6,0.95767710506712,1,2,1,22,"2;1","BFpu2zJY",100,4,2,0,0.4,1
7,0.5,2,3,1,25,"2;1","BFpu2zJY",100,4,2,0,0.4,1
8,1.02319730163613,2,1,1,26,"2;1","BFpu2zJY",100,4,2,0,0.4,1
9,0.993197791753816,2,1,1,27,"2;1","BFpu2zJY",100,4,2,0,0.4,1
10,0.987017342674229,1,0,1,27,"2;1","BFpu2zJY",100,4,2,0,0.4,1
11,0.675934589565365,1,4,1,31,"2;1","BFpu2zJY",100,4,2,0,0.4,1
12,0.603387580039667,2,5,1,36,"2;1","BFpu2zJY",100,4,2,0,0.4,1
13,0.800764516571053,2,3,1,39,"2;1","BFpu2zJY",100,4,2,0,0.4,1
14,1.13260669399363,2,1,1,40,"2;1","BFpu2zJY",100,4,2,0,0.4,1
15,0.610082371238622,1,-2,1,38,"2;1","BFpu2zJY",100,4,2,0,0.4,1
16,1.12907042222239,1,2,1,40,"2;1","BFpu2zJY",100,4,2,0,0.4,1
17,0.58606717020922,1,2,1,42,"2;1","BFpu2zJY",100,4,2,0,0.4,1
18,0.554855620423254,2,2,1,44,"2;1","BFpu2zJY",100,4,2,0,0.4,1
19,0.916434235787005,2,3,1,47,"2;1","BFpu2zJY",100,4,2,0,0.4,1
20,0.784631959634948,2,2,1,49,"2;1","BFpu2zJY",100,4,2,0,0.4,1
1,0.727618381053597,1,16,2,16,"2;1","BFpu2zJY",100,4,2,0,0.4,1
2,0.989539962066243,2,6,2,22,"2;1","BFpu2zJY",100,4,2,0,0.4,1
3,0.97879340010563,1,-2,2,20,"2;1","BFpu2zJY",100,4,2,0,0.4,1
4,1.01438840679944,1,27,2,47,"2;1","BFpu2zJY",100,4,2,0,0.4,1
5,0.649561534532182,1,12,2,59,"2;1","BFpu2zJY",100,4,2,0,0.4,1
6,0.601735848211561,2,3,2,62,"2;1","BFpu2zJY",100,4,2,0,0.4,1
7,0.584696430850467,2,1,2,63,"2;1","BFpu2zJY",100,4,2,0,0.4,1
8,0.719135465822046,1,33,2,96,"2;1","BFpu2zJY",100,4,2,0,0.4,1
9,0.742347171546609,2,8,2,104,"2;1","BFpu2zJY",100,4,2,0,0.4,1
10,0.962017099071829,1,-6,2,98,"2;1","BFpu2zJY",100,4,2,0,0.4,1
11,0.918452235014002,1,-4,2,94,"2;1","BFpu2zJY",100,4,2,0,0.4,1
12,0.823783435139308,1,-2,2,92,"2;1","BFpu2zJY",100,4,2,0,0.4,1
13,0.730185980418099,2,5,2,97,"2;1","BFpu2zJY",100,4,2,0,0.4,1
14,0.71775811522989,2,5,2,102,"2;1","BFpu2zJY",100,4,2,0,0.4,1
15,0.769915654848749,2,2,2,104,"2;1","BFpu2zJY",100,4,2,0,0.4,1
16,1.15408164251322,1,-3,2,101,"2;1","BFpu2zJY",100,4,2,0,0.4,1
17,0.764022239798307,1,-19,2,82,"2;1","BFpu2zJY",100,4,2,0,0.4,1
18,0.541175713313094,2,2,2,84,"2;1","BFpu2zJY",100,4,2,0,0.4,1
19,1.16791700724288,1,-4,2,80,"2;1","BFpu2zJY",100,4,2,0,0.4,1
20,0.644693583484723,1,-5,2,75,"2;1","BFpu2zJY",100,4,2,0,0.4,1
21,1.06944068073066,2,9,2,84,"2;1","BFpu2zJY",100,4,2,0,0.4,1
22,0.948754049443142,2,5,2,89,"2;1","BFpu2zJY",100,4,2,0,0.4,1
23,1.20561136793288,2,10,2,99,"2;1","BFpu2zJY",100,4,2,0,0.4,1
24,1.01944679293955,2,7,2,106,"2;1","BFpu2zJY",100,4,2,0,0.4,1
25,1.26090308923086,1,-10,2,96,"2;1","BFpu2zJY",100,4,2,0,0.4,1
1,0.5,2,5,3,5,"2;1","BFpu2zJY",100,4,2,0,0.4,1
2,0.824191796719326,1,20,3,25,"2;1","BFpu2zJY",100,4,2,0,0.4,1
3,0.574903748754496,2,0,3,25,"2;1","BFpu2zJY",100,4,2,0,0.4,1
4,0.5,1,1,3,26,"2;1","BFpu2zJY",100,4,2,0,0.4,1
5,0.547641314748324,1,6,3,32,"2;1","BFpu2zJY",100,4,2,0,0.4,1
6,1.11710497064533,1,32,3,64,"2;1","BFpu2zJY",100,4,2,0,0.4,1
7,0.690720400940484,1,-17,3,47,"2;1","BFpu2zJY",100,4,2,0,0.4,1
8,1.01367052975547,2,4,3,51,"2;1","BFpu2zJY",100,4,2,0,0.4,1
9,0.894439044786984,1,-13,3,38,"2;1","BFpu2zJY",100,4,2,0,0.4,1
10,1.36527367414555,1,-1,3,37,"2;1","BFpu2zJY",100,4,2,0,0.4,1
11,0.805636413737651,1,-8,3,29,"2;1","BFpu2zJY",100,4,2,0,0.4,1
12,0.720860590701137,1,15,3,44,"2;1","BFpu2zJY",100,4,2,0,0.4,1
13,0.742856620160005,2,4,3,48,"2;1","BFpu2zJY",100,4,2,0,0.4,1
14,0.815401553294625,1,9,3,57,"2;1","BFpu2zJY",100,4,2,0,0.4,1
15,0.84170247092431,1,25,3,82,"2;1","BFpu2zJY",100,4,2,0,0.4,1
16,0.901457526766173,1,-5,3,77,"2;1","BFpu2zJY",100,4,2,0,0.4,1
17,0.721866583382696,1,-2,3,75,"2;1","BFpu2zJY",100,4,2,0,0.4,1
18,0.739647522383883,1,17,3,92,"2;1","BFpu2zJY",100,4,2,0,0.4,1
19,0.618886014634502,1,8,3,100,"2;1","BFpu2zJY",100,4,2,0,0.4,1
20,0.587447315550442,1,10,3,110,"2;1","BFpu2zJY",100,4,2,0,0.4,1
21,1.0163660908882,1,-10,3,100,"2;1","BFpu2zJY",100,4,2,0,0.4,1
22,0.804775227467761,2,0,3,100,"2;1","BFpu2zJY",100,4,2,0,0.4,1
23,0.752627150264758,2,6,3,106,"2;1","BFpu2zJY",100,4,2,0,0.4,1
24,1.24876733457386,2,2,3,108,"2;1","BFpu2zJY",100,4,2,0,0.4,1
25,0.951058182592748,2,5,3,113,"2;1","BFpu2zJY",100,4,2,0,0.4,1
1,0.949905472768047,1,2,4,2,"2;1","BFpu2zJY",100,4,2,0,0.4,1
2,0.679529124744299,2,6,4,8,"2;1","BFpu2zJY",100,4,2,0,0.4,1
3,0.845542356255653,2,3,4,11,"2;1","BFpu2zJY",100,4,2,0,0.4,1
4,1.01735829870761,1,-3,4,8,"2;1","BFpu2zJY",100,4,2,0,0.4,1
5,0.750518275488061,2,5,4,13,"2;1","BFpu2zJY",100,4,2,0,0.4,1
6,1.07664308241281,2,6,4,19,"2;1","BFpu2zJY",100,4,2,0,0.4,1
7,0.734246785790131,1,31,4,50,"2;1","BFpu2zJY",100,4,2,0,0.4,1
8,0.649286789143584,1,-7,4,43,"2;1","BFpu2zJY",100,4,2,0,0.4,1
9,1.0494785749837,1,13,4,56,"2;1","BFpu2zJY",100,4,2,0,0.4,1
10,1.31097760111568,1,7,4,63,"2;1","BFpu2zJY",100,4,2,0,0.4,1
11,0.732398860770157,1,4,4,67,"2;1","BFpu2zJY",100,4,2,0,0.4,1
12,1.40901300370974,2,2,4,69,"2;1","BFpu2zJY",100,4,2,0,0.4,1
13,0.948356319844776,1,-9,4,60,"2;1","BFpu2zJY",100,4,2,0,0.4,1
14,0.568230319921829,2,1,4,61,"2;1","BFpu2zJY",100,4,2,0,0.4,1
15,0.5,2,5,4,66,"2;1","BFpu2zJY",100,4,2,0,0.4,1
16,0.734027766947319,1,16,4,82,"2;1","BFpu2zJY",100,4,2,0,0.4,1
17,0.970228849633452,2,2,4,84,"2;1","BFpu2zJY",100,4,2,0,0.4,1
18,1.13987735317848,2,2,4,86,"2;1","BFpu2zJY",100,4,2,0,0.4,1
19,0.925699203286852,1,13,4,99,"2;1","BFpu2zJY",100,4,2,0,0.4,1
20,0.5,1,4,4,103,"2;1","BFpu2zJY",100,4,2,0,0.4,1
21,0.876188246560906,1,-3,4,100,"2;1","BFpu2zJY",100,4,2,0,0.4,1
22,0.986072740677942,2,4,4,104,"2;1","BFpu2zJY",100,4,2,0,0.4,1
23,0.5,2,2,4,106,"2;1","BFpu2zJY",100,4,2,0,0.4,1
24,1.07188167020245,2,4,4,110,"2;1","BFpu2zJY",100,4,2,0,0.4,1
25,1.03775555245789,1,-11,4,99,"2;1","BFpu2zJY",100,4,2,0,0.4,1
1,0.5,2,10,5,10,"1;2","BFpu2zJY",100,4,2,0,0.4,1
2,0.632403800342576,2,-10,5,0,"1;2","BFpu2zJY",100,4,2,0,0.4,1
3,0.975267128514,2,10,5,10,"1;2","BFpu2zJY",100,4,2,0,0.4,1
4,0.5,2,-10,5,0,"1;2","BFpu2zJY",100,4,2,0,0.4,1
5,1.06870959442765,2,4,5,4,"1;2","BFpu2zJY",100,4,2,0,0.4,1
6,0.888510290519296,2,23,5,27,"1;2","BFpu2zJY",100,4,2,0,0.4,1
7,0.5,2,10,5,37,"1;2","BFpu2zJY",100,4,2,0,0.4,1
8,0.918511641972342,2,4,5,41,"1;2","BFpu2zJY",100,4,2,0,0.4,1
9,0.784955307465676,2,30,5,71,"1;2","BFpu2zJY",100,4,2,0,0.4,1
10,0.706544355866807,2,-6,5,65,"1;2","BFpu2zJY",100,4,2,0,0.4,1
11,0.611042323172401,1,8,5,73,"1;2","BFpu2zJY",100,4,2,0,0.4,1
12,1.07491066409315,2,-7,5,66,"1;2","BFpu2zJY",100,4,2,0,0.4,1
13,0.516961493964829,2,-3,5,63,"1;2","BFpu2zJY",100,4,2,0,0.4,1
14,0.578406225345294,2,2,5,65,"1;2","BFpu2zJY",100,4,2,0,0.4,1
15,0.928981325856917,2,18,5,83,"1;2","BFpu2zJY",100,4,2,0,0.4,1
16,0.89927365211793,2,-1,5,82,"1;2","BFpu2zJY",100,4,2,0,0.4,1
17,0.509352109749977,2,1,5,83,"1;2","BFpu2zJY",100,4,2,0,0.4,1
18,0.641926163233404,2,20,5,103,"1;2","BFpu2zJY",100,4,2,0,0.4,1
19,0.666409467316941,2,1,5,104,"1;2","BFpu2zJY",100,4,2,0,0.4,1
20,0.601185937814956,1,2,5,106,"1;2","BFpu2zJY",100,4,2,0,0.4,1
21,0.833646599113199,1,2,5,108,"1;2","BFpu2zJY",100,4,2,0,0.4,1
22,0.609723468886742,1,5,5,113,"1;2","BFpu2zJY",100,4,2,0,0.4,1
23,0.657957907021393,1,3,5,116,"1;2","BFpu2zJY",100,4,2,0,0.4,1
24,0.593904782758097,1,6,5,122,"1;2","BFpu2zJY",100,4,2,0,0.4,1
25,0.828909352274166,2,6,5,128,"1;2","BFpu2zJY",100,4,2,0,0.4,1
1,0.650175315015772,1,-1,6,-1,"1;2","BFpu2zJY",100,4,2,0,0.4,1
2,0.542163229377911,1,5,6,4,"1;2","BFpu2zJY",100,4,2,0,0.4,1
3,0.768002465362163,1,2,6,6,"1;2","BFpu2zJY",100,4,2,0,0.4,1
4,1.17868334269847,1,6,6,12,"1;2","BFpu2zJY",100,4,2,0,0.4,1
5,0.508982559303325,1,1,6,13,"1;2","BFpu2zJY",100,4,2,0,0.4,1
6,0.794014757703008,1,-1,6,12,"1;2","BFpu2zJY",100,4,2,0,0.4,1
7,0.592602200774585,1,5,6,17,"1;2","BFpu2zJY",100,4,2,0,0.4,1
8,0.5,2,3,6,20,"1;2","BFpu2zJY",100,4,2,0,0.4,1
9,0.833774076719285,1,1,6,21,"1;2","BFpu2zJY",100,4,2,0,0.4,1
10,0.760943249149366,1,1,6,22,"1;2","BFpu2zJY",100,4,2,0,0.4,1
11,1.08486437817408,2,-16,6,6,"1;2","BFpu2zJY",100,4,2,0,0.4,1
12,0.592561264466098,2,0,6,6,"1;2","BFpu2zJY",100,4,2,0,0.4,1
13,0.707823770418153,2,15,6,21,"1;2","BFpu2zJY",100,4,2,0,0.4,1
14,0.852811336465182,1,3,6,24,"1;2","BFpu2zJY",100,4,2,0,0.4,1
15,0.5,2,15,6,39,"1;2","BFpu2zJY",100,4,2,0,0.4,1
16,1.0182991136789,1,4,6,43,"1;2","BFpu2zJY",100,4,2,0,0.4,1
17,0.5,2,-11,6,32,"1;2","BFpu2zJY",100,4,2,0,0.4,1
18,0.826028101946555,2,2,6,34,"1;2","BFpu2zJY",100,4,2,0,0.4,1
19,0.830210523591415,1,-1,6,33,"1;2","BFpu2zJY",100,4,2,0,0.4,1
20,0.940781188320199,2,-12,6,21,"1;2","BFpu2zJY",100,4,2,0,0.4,1
21,0.5,1,2,6,23,"1;2","BFpu2zJY",100,4,2,0,0.4,1
22,1.04124607465138,2,17,6,40,"1;2","BFpu2zJY",100,4,2,0,0.4,1
23,0.652121231561053,2,13,6,53,"1;2","BFpu2zJY",100,4,2,0,0.4,1
24,0.505990337150137,1,4,6,57,"1;2","BFpu2zJY",100,4,2,0,0.4,1
25,0.80477156155336,1,5,6,62,"1;2","BFpu2zJY",100,4,2,0,0.4,1
1,0.68278700583949,2,2,7,2,"2;1","BFpu2zJY",100,4,2,0,0.4,1
2,1.19200722859852,2,3,7,5,"2;1","BFpu2zJY",100,4,2,0,0.4,1
3,0.951601872334937,1,7,7,12,"2;1","BFpu2zJY",100,4,2,0,0.4,1
4,0.856201058852695,2,5,7,17,"2;1","BFpu2zJY",100,4,2,0,0.4,1
5,0.550731226841811,1,-12,7,5,"2;1","BFpu2zJY",100,4,2,0,0.4,1
6,0.61744521308501,2,4,7,9,"2;1","BFpu2zJY",100,4,2,0,0.4,1
7,1.14951367504702,1,21,7,30,"2;1","BFpu2zJY",100,4,2,0,0.4,1
8,0.902044303220648,1,12,7,42,"2;1","BFpu2zJY",100,4,2,0,0.4,1
9,1.01205780008954,1,9,7,51,"2;1","BFpu2zJY",100,4,2,0,0.4,1
10,1.44016155734115,1,2,7,53,"2;1","BFpu2zJY",100,4,2,0,0.4,1
11,0.867796273684615,1,-5,7,48,"2;1","BFpu2zJY",100,4,2,0,0.4,1
12,0.555405185438792,2,7,7,55,"2;1","BFpu2zJY",100,4,2,0,0.4,1
13,0.742834480675242,2,4,7,59,"2;1","BFpu2zJY",100,4,2,0,0.4,1
14,1.20202210363528,1,18,7,77,"2;1","BFpu2zJY",100,4,2,0,0.4,1
15,0.923089540065811,2,5,7,82,"2;1","BFpu2zJY",100,4,2,0,0.4,1
16,0.70120003591521,2,0,7,82,"2;1","BFpu2zJY",100,4,2,0,0.4,1
17,0.948996954219064,1,7,7,89,"2;1","BFpu2zJY",100,4,2,0,0.4,1
18,0.750772357427506,1,-16,7,73,"2;1","BFpu2zJY",100,4,2,0,0.4,1
19,0.935273595769594,1,-7,7,66,"2;1","BFpu2zJY",100,4,2,0,0.4,1
20,0.817585571995191,2,7,7,73,"2;1","BFpu2zJY",100,4,2,0,0.4,1
21,0.756858865747247,1,5,7,78,"2;1","BFpu2zJY",100,4,2,0,0.4,1
22,0.941193944714872,2,8,7,86,"2;1","BFpu2zJY",100,4,2,0,0.4,1
23,0.5,1,15,7,101,"2;1","BFpu2zJY",100,4,2,0,0.4,1
24,0.954471607693285,1,-11,7,90,"2;1","BFpu2zJY",100,4,2,0,0.4,1
25,0.658889290817993,2,5,7,95,"2;1","BFpu2zJY",100,4,2,0,0.4,1
1,0.854933943661237,1,-9,8,-9,"2;1","BFpu2zJY",100,4,2,0,0.4,1
2,0.545226065678576,1,17,8,8,"2;1","BFpu2zJY",100,4,2,0,0.4,1
3,0.5,2,-2,8,6,"2;1","BFpu2zJY",100,4,2,0,0.4,1
4,0.5,1,12,8,18,"2;1","BFpu2zJY",100,4,2,0,0.4,1
5,0.525991037901921,1,-13,8,5,"2;1","BFpu2zJY",100,4,2,0,0.4,1
6,0.625740521490153,2,5,8,10,"2;1","BFpu2zJY",100,4,2,0,0.4,1
7,0.610661723641364,2,3,8,13,"2;1","BFpu2zJY",100,4,2,0,0.4,1
8,0.829216696388045,2,5,8,18,"2;1","BFpu2zJY",100,4,2,0,0.4,1
9,1.13185710540879,2,4,8,22,"2;1","BFpu2zJY",100,4,2,0,0.4,1
10,0.8863840950383,1,9,8,31,"2;1","BFpu2zJY",100,4,2,0,0.4,1
11,0.871008115615327,2,5,8,36,"2;1","BFpu2zJY",100,4,2,0,0.4,1
12,1.197395195744,2,-2,8,34,"2;1","BFpu2zJY",100,4,2,0,0.4,1
13,0.620746194919123,1,-4,8,30,"2;1","BFpu2zJY",100,4,2,0,0.4,1
14,0.729840269732495,2,0,8,30,"2;1","BFpu2zJY",100,4,2,0,0.4,1
15,0.71440793084331,2,4,8,34,"2;1","BFpu2zJY",100,4,2,0,0.4,1
16,0.863075683001933,2,3,8,37,"2;1","BFpu2zJY",100,4,2,0,0.4,1
17,1.00546080234335,1,5,8,42,"2;1","BFpu2zJY",100,4,2,0,0.4,1
18,0.701272417681031,2,4,8,46,"2;1","BFpu2zJY",100,4,2,0,0.4,1
19,0.79998635666245,1,-4,8,42,"2;1","BFpu2zJY",100,4,2,0,0.4,1
20,1.2268961293297,1,9,8,51,"2;1","BFpu2zJY",100,4,2,0,0.4,1
21,0.537440620826317,2,6,8,57,"2;1","BFpu2zJY",100,4,2,0,0.4,1
22,0.584324330771475,2,2,8,59,"2;1","BFpu2zJY",100,4,2,0,0.4,1
23,1.08108138753683,1,-1,8,58,"2;1","BFpu2zJY",100,4,2,0,0.4,1
24,0.5,2,4,8,62,"2;1","BFpu2zJY",100,4,2,0,0.4,1
25,0.506627943544911,2,0,8,62,"2;1","BFpu2zJY",100,4,2,0,0.4,1
1,1.05230439093564,2,0,9,0,"2;1","BFpu2zJY",100,4,2,0,0.4,1
2,1.36418094046372,2,4,9,4,"2;1","BFpu2zJY",100,4,2,0,0.4,1
3,0.800081577222365,2,6,9,10,"2;1","BFpu2zJY",100,4,2,0,0.4,1
4,0.803821018655213,1,3,9,13,"2;1","BFpu2zJY",100,4,2,0,0.4,1
5,0.699840688887362,2,1,9,14,"2;1","BFpu2zJY",100,4,2,0,0.4,1
6,0.937370685522791,2,3,9,17,"2;1","BFpu2zJY",100,4,2,0,0.4,1
7,0.859620603848136,2,9,9,26,"2;1","BFpu2zJY",100,4,2,0,0.4,1
8,0.870273968165816,1,10,9,36,"2;1","BFpu2zJY",100,4,2,0,0.4,1
9,0.960854439403183,1,-8,9,28,"2;1","BFpu2zJY",100,4,2,0,0.4,1
10,0.767596365180379,1,5,9,33,"2;1","BFpu2zJY",100,4,2,0,0.4,1
11,0.875787898897955,2,7,9,40,"2;1","BFpu2zJY",100,4,2,0,0.4,1
12,0.701709869579072,2,3,9,43,"2;1","BFpu2zJY",100,4,2,0,0.4,1
13,0.738817787612902,2,6,9,49,"2;1","BFpu2zJY",100,4,2,0,0.4,1
14,1.01775596081236,1,19,9,68,"2;1","BFpu2zJY",100,4,2,0,0.4,1
15,0.896193436663616,1,-16,9,52,"2;1","BFpu2zJY",100,4,2,0,0.4,1
16,0.626561581340384,2,3,9,55,"2;1","BFpu2zJY",100,4,2,0,0.4,1
17,0.804325985221991,1,-5,9,50,"2;1","BFpu2zJY",100,4,2,0,0.4,1
18,0.596628111272934,1,11,9,61,"2;1","BFpu2zJY",100,4,2,0,0.4,1
19,0.587063182244469,1,16,9,77,"2;1","BFpu2zJY",100,4,2,0,0.4,1
20,0.876050562165857,1,-5,9,72,"2;1","BFpu2zJY",100,4,2,0,0.4,1
21,0.501832363625968,1,-6,9,66,"2;1","BFpu2zJY",100,4,2,0,0.4,1
22,0.968835668513868,1,3,9,69,"2;1","BFpu2zJY",100,4,2,0,0.4,1
23,0.5,1,-2,9,67,"2;1","BFpu2zJY",100,4,2,0,0.4,1
24,0.949706486089651,1,14,9,81,"2;1","BFpu2zJY",100,4,2,0,0.4,1
25,0.5,1,9,9,90,"2;1","BFpu2zJY",100,4,2,0,0.4,1
1,0.5,1,4,10,4,"1;2","BFpu2zJY",100,4,2,0,0.4,1
2,0.839136544056767,1,3,10,7,"1;2","BFpu2zJY",100,4,2,0,0.4,1
3,0.5,2,11,10,18,"1;2","BFpu2zJY",100,4,2,0,0.4,1
4,0.682074467517245,2,17,10,35,"1;2","BFpu2zJY",100,4,2,0,0.4,1
5,1.06403257949882,2,23,10,58,"1;2","BFpu2zJY",100,4,2,0,0.4,1
6,0.815226099990759,2,-11,10,47,"1;2","BFpu2zJY",100,4,2,0,0.4,1
7,1.12133030010206,2,-2,10,45,"1;2","BFpu2zJY",100,4,2,0,0.4,1
8,0.5,2,-3,10,42,"1;2","BFpu2zJY",100,4,2,0,0.4,1
9,0.733698350737435,1,1,10,43,"1;2","BFpu2zJY",100,4,2,0,0.4,1
10,0.922572093053375,2,-21,10,22,"1;2","BFpu2zJY",100,4,2,0,0.4,1
11,1.50893124942908,2,15,10,37,"1;2","BFpu2zJY",100,4,2,0,0.4,1
12,0.611294766813491,1,7,10,44,"1;2","BFpu2zJY",100,4,2,0,0.4,1
13,0.569983174275705,2,-2,10,42,"1;2","BFpu2zJY",100,4,2,0,0.4,1
14,0.694801832826604,2,-4,10,38,"1;2","BFpu2zJY",100,4,2,0,0.4,1
15,0.798566625394025,1,4,10,42,"1;2","BFpu2zJY",100,4,2,0,0.4,1
16,0.873849423448202,2,19,10,61,"1;2","BFpu2zJY",100,4,2,0,0.4,1
17,0.75558471752534,2,-6,10,55,"1;2","BFpu2zJY",100,4,2,0,0.4,1
18,1.04030020087532,2,-14,10,41,"1;2","BFpu2zJY",100,4,2,0,0.4,1
19,0.633739987137215,2,7,10,48,"1;2","BFpu2zJY",100,4,2,0,0.4,1
20,0.587510770880548,1,2,10,50,"1;2","BFpu2zJY",100,4,2,0,0.4,1
21,0.982287793247189,1,5,10,55,"1;2","BFpu2zJY",100,4,2,0,0.4,1
22,0.790082536927902,2,-3,10,52,"1;2","BFpu2zJY",100,4,2,0,0.4,1
23,1.46275228906738,2,11,10,63,"1;2","BFpu2zJY",100,4,2,0,0.4,1
24,1.14321382561978,1,3,10,66,"1;2","BFpu2zJY",100,4,2,0,0.4,1
25,0.921579589665988,2,-6,10,60,"1;2","BFpu2zJY",100,4,2,0,0.4,1
1,0.800560089231799,2,6,11,6,"2;1","BFpu2zJY",100,4,2,0,0.4,1
