"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.816555225206577,2,1,1,1,"2;1","BI6id5pl",100,5,4,0,0.8,1
2,0.956272684516555,1,4,1,5,"2;1","BI6id5pl",100,5,4,0,0.8,1
3,1.03125933248201,2,1,1,6,"2;1","BI6id5pl",100,5,4,0,0.8,1
4,0.865947934786337,1,5,1,11,"2;1","BI6id5pl",100,5,4,0,0.8,1
5,0.917992864220107,1,3,1,14,"2;1","BI6id5pl",100,5,4,0,0.8,1
6,0.926039433899742,2,4,1,18,"2;1","BI6id5pl",100,5,4,0,0.8,1
7,0.850801099492841,1,3,1,21,"2;1","BI6id5pl",100,5,4,0,0.8,1
8,1.11717656535979,2,4,1,25,"2;1","BI6id5pl",100,5,4,0,0.8,1
9,0.584282568892307,2,2,1,27,"2;1","BI6id5pl",100,5,4,0,0.8,1
10,0.873192080658834,2,5,1,32,"2;1","BI6id5pl",100,5,4,0,0.8,1
11,0.5,2,7,1,39,"2;1","BI6id5pl",100,5,4,0,0.8,1
12,0.992689367618295,2,4,1,43,"2;1","BI6id5pl",100,5,4,0,0.8,1
13,0.5,2,0,1,43,"2;1","BI6id5pl",100,5,4,0,0.8,1
14,0.690265205734221,2,5,1,48,"2;1","BI6id5pl",100,5,4,0,0.8,1
15,0.93030852286954,2,2,1,50,"2;1","BI6id5pl",100,5,4,0,0.8,1
16,0.689621113381967,1,3,1,53,"2;1","BI6id5pl",100,5,4,0,0.8,1
17,0.520176060093485,2,3,1,56,"2;1","BI6id5pl",100,5,4,0,0.8,1
18,1.02383099046362,1,5,1,61,"2;1","BI6id5pl",100,5,4,0,0.8,1
19,0.785420331710974,1,7,1,68,"2;1","BI6id5pl",100,5,4,0,0.8,1
20,0.983198045694182,1,4,1,72,"2;1","BI6id5pl",100,5,4,0,0.8,1
1,0.84637568778992,2,6,2,6,"1;2","BI6id5pl",100,5,4,0,0.8,1
2,0.842513202396457,2,4,2,10,"1;2","BI6id5pl",100,5,4,0,0.8,1
3,0.610358623849355,2,14,2,24,"1;2","BI6id5pl",100,5,4,0,0.8,1
4,0.890608373622552,2,2,2,26,"1;2","BI6id5pl",100,5,4,0,0.8,1
5,1.00808873130138,2,4,2,30,"1;2","BI6id5pl",100,5,4,0,0.8,1
6,0.687241347155117,2,19,2,49,"1;2","BI6id5pl",100,5,4,0,0.8,1
7,1.34802916319121,2,17,2,66,"1;2","BI6id5pl",100,5,4,0,0.8,1
8,0.802003475496057,1,1,2,67,"1;2","BI6id5pl",100,5,4,0,0.8,1
9,1.03158313831284,2,11,2,78,"1;2","BI6id5pl",100,5,4,0,0.8,1
10,0.776967385137407,2,-14,2,64,"1;2","BI6id5pl",100,5,4,0,0.8,1
