"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.799999623831251,1,7,1,7,"1;2","BMnTq789",0,3,NA,0,0.96,1
2,0.957616107009517,1,3,1,10,"1;2","BMnTq789",0,3,NA,0,0.96,1
3,0.803055134563396,1,2,1,12,"1;2","BMnTq789",0,3,NA,0,0.96,1
4,1.12637745557466,1,4,1,16,"1;2","BMnTq789",0,3,NA,0,0.96,1
5,0.564751818660365,2,2,1,18,"1;2","BMnTq789",0,3,NA,0,0.96,1
6,0.517631409071639,1,3,1,21,"1;2","BMnTq789",0,3,NA,0,0.96,1
7,0.78050318823071,1,6,1,27,"1;2","BMnTq789",0,3,NA,0,0.96,1
8,1.08708705385361,2,4,1,31,"1;2","BMnTq789",0,3,NA,0,0.96,1
9,0.915688278440772,2,4,1,35,"1;2","BMnTq789",0,3,NA,0,0.96,1
10,0.935738102834206,2,1,1,36,"1;2","BMnTq789",0,3,NA,0,0.96,1
11,0.687273358078997,2,4,1,40,"1;2","BMnTq789",0,3,NA,0,0.96,1
12,0.515716149050329,1,0,1,40,"1;2","BMnTq789",0,3,NA,0,0.96,1
13,0.90529655869222,2,5,1,45,"1;2","BMnTq789",0,3,NA,0,0.96,1
14,0.855718640281408,1,3,1,48,"1;2","BMnTq789",0,3,NA,0,0.96,1
15,0.707442401785243,1,0,1,48,"1;2","BMnTq789",0,3,NA,0,0.96,1
16,1.11358527815255,1,5,1,53,"1;2","BMnTq789",0,3,NA,0,0.96,1
17,0.643210314328696,1,1,1,54,"1;2","BMnTq789",0,3,NA,0,0.96,1
18,0.970627898143963,1,3,1,57,"1;2","BMnTq789",0,3,NA,0,0.96,1
19,0.5,1,2,1,59,"1;2","BMnTq789",0,3,NA,0,0.96,1
20,0.804172189785159,1,2,1,61,"1;2","BMnTq789",0,3,NA,0,0.96,1
1,0.5,2,-28,2,-28,"1;2","BMnTq789",0,3,NA,0,0.96,1
2,0.668248909278351,2,10,2,-18,"1;2","BMnTq789",0,3,NA,0,0.96,1
3,0.656652601231828,2,3,2,-15,"1;2","BMnTq789",0,3,NA,0,0.96,1
4,0.5,2,10,2,-5,"1;2","BMnTq789",0,3,NA,0,0.96,1
5,0.674907250853674,2,6,2,1,"1;2","BMnTq789",0,3,NA,0,0.96,1
6,1.08705153432084,2,8,2,9,"1;2","BMnTq789",0,3,NA,0,0.96,1
7,1.28837532596282,2,-12,2,-3,"1;2","BMnTq789",0,3,NA,0,0.96,1
8,0.904558475815202,2,3,2,0,"1;2","BMnTq789",0,3,NA,0,0.96,1
9,1.05035811689332,2,-17,2,-17,"1;2","BMnTq789",0,3,NA,0,0.96,1
10,1.09016643334051,2,20,2,3,"1;2","BMnTq789",0,3,NA,0,0.96,1
11,0.64521289076738,1,-1,2,2,"1;2","BMnTq789",0,3,NA,0,0.96,1
12,0.781151678530373,2,-1,2,1,"1;2","BMnTq789",0,3,NA,0,0.96,1
13,0.746152715288593,1,4,2,5,"1;2","BMnTq789",0,3,NA,0,0.96,1
14,0.682528304167869,1,4,2,9,"1;2","BMnTq789",0,3,NA,0,0.96,1
15,0.784815775957237,1,4,2,13,"1;2","BMnTq789",0,3,NA,0,0.96,1
16,1.07249279568151,1,7,2,20,"1;2","BMnTq789",0,3,NA,0,0.96,1
17,1.090457694078,1,2,2,22,"1;2","BMnTq789",0,3,NA,0,0.96,1
18,0.518852418882411,2,7,2,29,"1;2","BMnTq789",0,3,NA,0,0.96,1
19,0.793171042050061,2,6,2,35,"1;2","BMnTq789",0,3,NA,0,0.96,1
20,0.863369129191328,2,-8,2,27,"1;2","BMnTq789",0,3,NA,0,0.96,1
21,0.824704367430913,1,2,2,29,"1;2","BMnTq789",0,3,NA,0,0.96,1
22,1.03562420577587,2,26,2,55,"1;2","BMnTq789",0,3,NA,0,0.96,1
23,1.02156153985813,2,7,2,62,"1;2","BMnTq789",0,3,NA,0,0.96,1
24,0.764743298739344,2,1,2,63,"1;2","BMnTq789",0,3,NA,0,0.96,1
25,0.637965891483134,2,11,2,74,"1;2","BMnTq789",0,3,NA,0,0.96,1
1,0.556312382579416,1,8,3,8,"2;1","BMnTq789",0,3,NA,0,0.96,1
2,0.895782446453308,1,0,3,8,"2;1","BMnTq789",0,3,NA,0,0.96,1
3,1.08148106934697,2,1,3,9,"2;1","BMnTq789",0,3,NA,0,0.96,1
4,0.937576232153137,2,2,3,11,"2;1","BMnTq789",0,3,NA,0,0.96,1
