"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.23448253328694,2,2,1,2,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
2,0.671712438406686,2,2,1,4,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
3,1.41771586639503,2,5,1,9,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
4,0.526930332589025,2,3,1,12,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
5,0.802471769232178,2,1,1,13,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
6,0.757016598023553,2,3,1,16,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
7,0.693158192060288,2,0,1,16,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
8,0.5,2,2,1,18,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
9,0.932045960940508,2,3,1,21,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
10,0.787134116566008,2,2,1,23,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
11,1.00269424034272,1,6,1,29,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
12,0.5,2,5,1,34,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
13,0.703514039997157,2,3,1,37,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
14,0.89985672747549,2,5,1,42,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
15,0.798721562888143,1,4,1,46,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
16,0.919424058473952,2,1,1,47,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
17,1.13059963574156,2,5,1,52,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
18,0.989498037983167,1,1,1,53,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
19,0.946822601591855,2,5,1,58,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
20,0.5,1,6,1,64,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
1,1.1228723025169,2,-8,2,-8,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
2,1.04602744040284,1,3,2,-5,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
3,0.810014999226407,1,1,2,-4,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
4,0.5,1,5,2,1,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
5,0.731379560340078,1,5,2,6,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
6,0.654086494069848,1,3,2,9,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
7,1.25746867067992,1,1,2,10,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
8,1.08921451221649,2,1,2,11,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
9,1.06339546434385,1,5,2,16,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
10,0.722158461623958,1,5,2,21,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
11,0.69710441398952,2,12,2,33,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
12,0.723575103853372,2,10,2,43,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
13,0.949497127442242,2,10,2,53,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
14,0.811712282074483,2,7,2,60,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
15,0.866785175662231,2,-1,2,59,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
16,0.5,2,-6,2,53,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
17,1.10371391379072,1,6,2,59,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
18,0.5,1,3,2,62,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
19,0.5,1,2,2,64,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
20,0.703552902439973,2,-4,2,60,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
21,0.760809611468285,1,4,2,64,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
22,0.673210930979298,1,5,2,69,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
23,0.722478314215998,1,7,2,76,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
24,0.989836475965319,2,-1,2,75,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
25,0.930007451565432,1,-2,2,73,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
1,0.5,1,9,3,9,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
2,0.868240281047569,2,1,3,10,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
3,0.683982806917607,1,-11,3,-1,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
4,0.66292703910485,1,-1,3,-2,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
5,0.758013807713307,2,3,3,1,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
6,0.56710225177005,2,2,3,3,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
7,1.09574288279371,2,4,3,7,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
8,0.698766616220918,2,2,3,9,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
9,1.36758308064708,2,5,3,14,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
10,0.821538853250961,2,2,3,16,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
11,0.870391329921386,2,1,3,17,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
12,0.729853463232649,1,-13,3,4,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
13,0.579366756489565,1,-15,3,-11,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
14,0.85249361439846,2,9,3,-2,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
15,0.714317310131154,2,5,3,3,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
16,0.736232231774344,2,5,3,8,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
17,1.03514234169257,2,5,3,13,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
18,0.5,2,5,3,18,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
19,0.677612862538516,1,2,3,20,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
20,0.813410950318319,2,-1,3,19,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
21,0.891951406742809,2,1,3,20,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
22,0.573169207209808,2,2,3,22,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
23,0.769182836251043,1,-1,3,21,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
24,0.820096402734435,1,16,3,37,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
25,0.799266036326264,2,7,3,44,"2;1","BTgLIjBE",0,1,NA,1,1.1,3
1,0.684537640814204,2,14,4,14,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
2,0.864126989691636,2,9,4,23,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
3,0.797788007785608,2,17,4,40,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
4,0.870187063759501,2,-7,4,33,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
5,1.17159117384606,2,0,4,33,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
6,0.521907671904436,2,21,4,54,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
7,0.772048193514921,2,25,4,79,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
8,0.943949989472547,2,11,4,90,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
9,1.02248982137913,2,-6,4,84,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
10,0.646144248412328,2,-5,4,79,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
11,0.598825210773896,2,9,4,88,"1;2","BTgLIjBE",0,1,NA,1,1.1,3
