"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.760151949001424,2,5,1,5,"1;2","C1BdAs2L",100,6,1,0,0.2,1
2,0.821414590583506,1,3,1,8,"1;2","C1BdAs2L",100,6,1,0,0.2,1
3,0.933771151730441,1,2,1,10,"1;2","C1BdAs2L",100,6,1,0,0.2,1
4,1.07720898110305,2,3,1,13,"1;2","C1BdAs2L",100,6,1,0,0.2,1
5,0.601590087095697,1,4,1,17,"1;2","C1BdAs2L",100,6,1,0,0.2,1
6,0.796196716837269,2,3,1,20,"1;2","C1BdAs2L",100,6,1,0,0.2,1
7,0.728302259722707,2,-2,1,18,"1;2","C1BdAs2L",100,6,1,0,0.2,1
8,1.04942472317212,2,4,1,22,"1;2","C1BdAs2L",100,6,1,0,0.2,1
9,0.555686885249768,2,4,1,26,"1;2","C1BdAs2L",100,6,1,0,0.2,1
10,0.516413611067095,2,0,1,26,"1;2","C1BdAs2L",100,6,1,0,0.2,1
11,0.832858451940419,2,3,1,29,"1;2","C1BdAs2L",100,6,1,0,0.2,1
12,0.5,2,3,1,32,"1;2","C1BdAs2L",100,6,1,0,0.2,1
13,0.829533867680712,2,3,1,35,"1;2","C1BdAs2L",100,6,1,0,0.2,1
14,0.677820624740987,1,1,1,36,"1;2","C1BdAs2L",100,6,1,0,0.2,1
15,0.692794263027929,2,2,1,38,"1;2","C1BdAs2L",100,6,1,0,0.2,1
16,0.823113574382873,1,3,1,41,"1;2","C1BdAs2L",100,6,1,0,0.2,1
17,1.07211855872848,2,1,1,42,"1;2","C1BdAs2L",100,6,1,0,0.2,1
18,1.1109065799469,1,5,1,47,"1;2","C1BdAs2L",100,6,1,0,0.2,1
19,0.785542895304416,1,1,1,48,"1;2","C1BdAs2L",100,6,1,0,0.2,1
20,0.848015522320711,2,4,1,52,"1;2","C1BdAs2L",100,6,1,0,0.2,1
1,0.5,2,1,2,1,"2;1","C1BdAs2L",100,6,1,0,0.2,1
2,1.148885984305,2,2,2,3,"2;1","C1BdAs2L",100,6,1,0,0.2,1
3,0.5,1,7,2,10,"2;1","C1BdAs2L",100,6,1,0,0.2,1
4,0.821119515357516,2,0,2,10,"2;1","C1BdAs2L",100,6,1,0,0.2,1
5,0.515162740376757,1,18,2,28,"2;1","C1BdAs2L",100,6,1,0,0.2,1
6,1.04435962337707,1,-9,2,19,"2;1","C1BdAs2L",100,6,1,0,0.2,1
7,0.907952306585505,1,0,2,19,"2;1","C1BdAs2L",100,6,1,0,0.2,1
8,0.5,1,-4,2,15,"2;1","C1BdAs2L",100,6,1,0,0.2,1
9,1.10939724301342,1,-8,2,7,"2;1","C1BdAs2L",100,6,1,0,0.2,1
10,0.822545763810753,1,16,2,23,"2;1","C1BdAs2L",100,6,1,0,0.2,1
11,0.73408289136575,1,-4,2,19,"2;1","C1BdAs2L",100,6,1,0,0.2,1
12,1.01909266032598,1,-8,2,11,"2;1","C1BdAs2L",100,6,1,0,0.2,1
13,0.784960715569519,2,5,2,16,"2;1","C1BdAs2L",100,6,1,0,0.2,1
14,0.5,1,15,2,31,"2;1","C1BdAs2L",100,6,1,0,0.2,1
15,0.5,1,-9,2,22,"2;1","C1BdAs2L",100,6,1,0,0.2,1
16,0.5,1,-3,2,19,"2;1","C1BdAs2L",100,6,1,0,0.2,1
17,1.26418408260536,1,-11,2,8,"2;1","C1BdAs2L",100,6,1,0,0.2,1
18,0.848727655078342,1,-3,2,5,"2;1","C1BdAs2L",100,6,1,0,0.2,1
19,0.733279559355111,1,-8,2,-3,"2;1","C1BdAs2L",100,6,1,0,0.2,1
20,0.931920696320553,1,-10,2,-13,"2;1","C1BdAs2L",100,6,1,0,0.2,1
21,0.726278991367633,1,8,2,-5,"2;1","C1BdAs2L",100,6,1,0,0.2,1
22,0.966897558830959,1,25,2,20,"2;1","C1BdAs2L",100,6,1,0,0.2,1
23,0.833717684143123,1,-8,2,12,"2;1","C1BdAs2L",100,6,1,0,0.2,1
24,0.799080544371062,1,4,2,16,"2;1","C1BdAs2L",100,6,1,0,0.2,1
25,1.12089426333677,1,18,2,34,"2;1","C1BdAs2L",100,6,1,0,0.2,1
1,0.5,1,5,3,5,"1;2","C1BdAs2L",100,6,1,0,0.2,1
2,1.24489804036528,1,1,3,6,"1;2","C1BdAs2L",100,6,1,0,0.2,1
3,1.11065138226035,1,1,3,7,"1;2","C1BdAs2L",100,6,1,0,0.2,1
4,0.693523777844855,1,1,3,8,"1;2","C1BdAs2L",100,6,1,0,0.2,1
5,0.5,1,1,3,9,"1;2","C1BdAs2L",100,6,1,0,0.2,1
6,1.19203058855558,2,-9,3,0,"1;2","C1BdAs2L",100,6,1,0,0.2,1
7,1.03599090151808,1,2,3,2,"1;2","C1BdAs2L",100,6,1,0,0.2,1
8,0.809508733648275,1,4,3,6,"1;2","C1BdAs2L",100,6,1,0,0.2,1
9,0.614659599526447,2,-1,3,5,"1;2","C1BdAs2L",100,6,1,0,0.2,1
10,0.974988789110522,1,3,3,8,"1;2","C1BdAs2L",100,6,1,0,0.2,1
11,1.05464929157429,2,19,3,27,"1;2","C1BdAs2L",100,6,1,0,0.2,1
12,0.5,2,17,3,44,"1;2","C1BdAs2L",100,6,1,0,0.2,1
13,0.970823027442498,2,-3,3,41,"1;2","C1BdAs2L",100,6,1,0,0.2,1
14,0.580190633147124,2,7,3,48,"1;2","C1BdAs2L",100,6,1,0,0.2,1
15,0.58301084166593,2,18,3,66,"1;2","C1BdAs2L",100,6,1,0,0.2,1
16,0.5,2,10,3,76,"1;2","C1BdAs2L",100,6,1,0,0.2,1
17,0.754760192815872,2,-4,3,72,"1;2","C1BdAs2L",100,6,1,0,0.2,1
18,1.07765411770756,2,-22,3,50,"1;2","C1BdAs2L",100,6,1,0,0.2,1
19,0.556739232006165,1,0,3,50,"1;2","C1BdAs2L",100,6,1,0,0.2,1
20,0.763361798747215,2,-15,3,35,"1;2","C1BdAs2L",100,6,1,0,0.2,1
21,0.5,2,7,3,42,"1;2","C1BdAs2L",100,6,1,0,0.2,1
22,0.5,2,1,3,43,"1;2","C1BdAs2L",100,6,1,0,0.2,1
23,0.694479047529406,2,9,3,52,"1;2","C1BdAs2L",100,6,1,0,0.2,1
24,1.03474235229812,2,-12,3,40,"1;2","C1BdAs2L",100,6,1,0,0.2,1
25,0.774103720320626,1,1,3,41,"1;2","C1BdAs2L",100,6,1,0,0.2,1
1,1.02858633891369,2,-1,4,-1,"2;1","C1BdAs2L",100,6,1,0,0.2,1
2,1.15031294962393,1,6,4,5,"2;1","C1BdAs2L",100,6,1,0,0.2,1
3,0.5,2,4,4,9,"2;1","C1BdAs2L",100,6,1,0,0.2,1
4,0.63604310045809,2,5,4,14,"2;1","C1BdAs2L",100,6,1,0,0.2,1
5,1.2163276518697,2,4,4,18,"2;1","C1BdAs2L",100,6,1,0,0.2,1
6,0.915058627772701,2,-3,4,15,"2;1","C1BdAs2L",100,6,1,0,0.2,1
7,0.893848289139363,2,0,4,15,"2;1","C1BdAs2L",100,6,1,0,0.2,1
8,0.551007172543629,2,-1,4,14,"2;1","C1BdAs2L",100,6,1,0,0.2,1
9,0.538148290260827,2,0,4,14,"2;1","C1BdAs2L",100,6,1,0,0.2,1
10,0.593909308553083,2,1,4,15,"2;1","C1BdAs2L",100,6,1,0,0.2,1
11,1.05792647997777,1,-15,4,0,"2;1","C1BdAs2L",100,6,1,0,0.2,1
