"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.552326469774984,2,1,1,1,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
2,0.804864712448422,2,2,1,3,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
3,1.21799303087728,2,1,1,4,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
4,1.005598743264,2,4,1,8,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
5,0.934608940437339,2,1,1,9,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
6,0.970398810931336,2,4,1,13,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
7,0.756641194020256,2,5,1,18,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
8,0.5,2,7,1,25,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
9,0.626356389635242,2,5,1,30,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
10,0.667822865491478,2,2,1,32,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
11,0.825553587030872,1,-1,1,31,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
12,0.660855098214314,2,6,1,37,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
13,0.927953392577343,1,5,1,42,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
14,0.64673352541659,2,3,1,45,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
15,0.5,2,3,1,48,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
16,0.693503445692129,2,1,1,49,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
17,1.24537170340689,2,-1,1,48,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
18,0.895745994122264,2,7,1,55,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
19,0.926436799957782,2,0,1,55,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
20,1.30736560853765,2,0,1,55,"1;2","CSnVzECZ",0,3,NA,1,0.89,1
1,0.659782789079094,2,4,2,4,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
2,1.41538490511443,2,-2,2,2,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
3,1.06857391850772,2,2,2,4,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
4,1.13241872956481,2,6,2,10,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
5,0.5,2,-2,2,8,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
6,0.5,2,4,2,12,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
7,0.5,2,4,2,16,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
8,0.797016780200064,2,3,2,19,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
9,0.824176834463842,2,1,2,20,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
10,0.735469314264885,2,-2,2,18,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
11,1.15319675028854,2,3,2,21,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
12,0.803962268774908,2,4,2,25,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
13,0.763444998487621,2,1,2,26,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
14,0.72752377575857,2,5,2,31,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
15,0.603515283948347,2,-3,2,28,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
16,0.699068392771701,2,2,2,30,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
17,0.656661190076608,2,3,2,33,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
18,0.848814040750491,2,3,2,36,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
19,0.577675452030629,2,4,2,40,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
20,0.941534613343015,2,1,2,41,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
21,1.01261479021377,2,4,2,45,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
22,0.593381048734204,2,7,2,52,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
23,0.614307784568618,2,5,2,57,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
24,0.63617435483553,2,-2,2,55,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
25,0.842592617664285,2,-1,2,54,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
1,0.759296765853434,2,5,3,5,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
2,0.5,2,3,3,8,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
3,0.54673611036095,2,2,3,10,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
4,0.817383789617752,2,3,3,13,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
5,0.676629407848944,2,4,3,17,"2;1","CSnVzECZ",0,3,NA,1,0.89,1
