"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.997673494694801,2,3,1,3,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
2,0.5,1,5,1,8,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
3,0.666538130119347,2,5,1,13,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
4,0.514546569397552,1,2,1,15,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
5,0.609115819904355,1,5,1,20,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
6,0.5,1,4,1,24,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
7,1.01482548227674,1,2,1,26,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
8,1.05108391536203,1,2,1,28,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
9,1.09777777752268,1,0,1,28,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
10,1.07999743135962,2,5,1,33,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
11,0.935240212067523,1,4,1,37,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
12,0.556833208797756,2,3,1,40,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
13,0.769157551148136,2,2,1,42,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
14,0.677172092643915,2,7,1,49,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
15,0.691159411072791,2,2,1,51,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
16,0.957704281968698,1,1,1,52,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
17,0.844158872683065,1,4,1,56,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
18,0.929414076466577,1,3,1,59,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
19,0.793256879214361,2,3,1,62,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
20,1.35890925117921,2,2,1,64,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
1,0.763959983821411,1,4,2,4,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
2,0.914038530929663,1,1,2,5,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
3,0.745266336534802,1,6,2,11,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
4,0.698373347624407,1,7,2,18,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
5,0.805609877913633,1,2,2,20,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
6,0.535616023569683,1,8,2,28,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
7,0.971952460954093,1,2,2,30,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
8,0.825411378976721,1,-1,2,29,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
9,0.724433177121369,1,4,2,33,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
10,0.769175750138975,1,5,2,38,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
11,0.679699797964296,1,4,2,42,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
12,0.505199234723059,1,4,2,46,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
13,1.02097099773553,1,7,2,53,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
14,0.559087525729467,1,3,2,56,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
15,0.846961895322261,1,4,2,60,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
16,0.850800006404494,1,3,2,63,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
17,0.5,1,0,2,63,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
18,0.931578132261301,1,4,2,67,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
19,1.20371556265057,1,5,2,72,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
20,1.04425349615672,2,-13,2,59,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
21,1.11233166627658,1,4,2,63,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
22,0.713221744190212,1,5,2,68,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
23,0.680508788978608,1,3,2,71,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
24,1.02181796798148,1,9,2,80,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
25,1.08165694875374,2,-4,2,76,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
1,1.09215916677063,2,6,3,6,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
2,1.28946228108766,2,21,3,27,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
3,0.655600509096714,2,15,3,42,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
4,0.762448836508096,2,-10,3,32,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
5,0.643671942368711,2,-6,3,26,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
6,0.5,2,10,3,36,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
7,0.989461301504372,2,19,3,55,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
8,0.5,2,8,3,63,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
9,0.827394095294654,2,10,3,73,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
10,0.571344504853995,2,14,3,87,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
11,0.896521277596211,2,1,3,88,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
12,0.517311558851074,2,5,3,93,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
13,0.854560186593481,2,3,3,96,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
14,0.879987538367343,2,-13,3,83,"1;2","Cu8ad4p8",100,5,4,0,0.8,1
