"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.60049365637008,1,3,1,3,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
2,0.795418664541843,1,4,1,7,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
3,1.2206166490891,1,5,1,12,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
4,1.06197275296752,1,4,1,16,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
5,0.839145098264239,1,0,1,16,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
6,1.14876127438619,1,-1,1,15,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
7,1.01583431405,1,2,1,17,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
8,0.788662734757248,1,3,1,20,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
9,1.05578755543857,1,2,1,22,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
10,1.00669864339603,1,1,1,23,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
11,0.892738875638918,1,-1,1,22,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
12,0.753454737679359,1,4,1,26,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
13,0.78383473304705,1,0,1,26,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
14,0.533932678330115,2,4,1,30,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
15,0.92104794197992,2,6,1,36,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
16,1.2843147996518,2,2,1,38,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
17,1.04644630747892,2,3,1,41,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
18,0.746271503051961,2,3,1,44,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
19,0.648266226997024,2,7,1,51,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
20,0.62893270424747,2,3,1,54,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
1,0.980303277970431,1,6,2,6,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
2,0.700344924734833,1,-6,2,0,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
3,0.998528726489683,1,9,2,9,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
4,1.03144382496452,1,11,2,20,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
5,0.728468966952864,2,5,2,25,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
6,0.713604283111116,1,-2,2,23,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
7,0.56702723400053,2,3,2,26,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
8,1.07025859623634,1,-4,2,22,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
9,1.34488458873974,1,11,2,33,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
10,0.9430184086034,1,12,2,45,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
11,1.00091637990388,1,-11,2,34,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
12,0.508740474894558,2,2,2,36,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
13,0.912413385803948,2,2,2,38,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
14,0.862280307319411,2,5,2,43,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
15,0.954730161073245,2,5,2,48,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
16,0.7673994398458,2,0,2,48,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
17,0.969595862149868,2,2,2,50,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
18,0.5,2,4,2,54,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
19,0.5,2,6,2,60,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
20,1.0496798488173,2,1,2,61,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
21,0.646873586212086,2,6,2,67,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
22,0.5,2,3,2,70,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
23,0.767361861650338,2,2,2,72,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
24,1.09239157618931,2,5,2,77,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
25,0.5,2,0,2,77,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
1,0.955829259683,1,15,3,15,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
2,0.920258581270257,1,-13,3,2,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
3,0.901422192354879,2,8,3,10,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
4,0.688989506429743,2,5,3,15,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
5,1.0331417199246,1,-1,3,14,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
6,0.784187822520089,1,-4,3,10,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
7,1.13230435738573,2,3,3,13,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
8,0.790574830259446,2,8,3,21,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
9,0.5,2,9,3,30,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
10,0.788910769393477,2,6,3,36,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
11,0.603783263136321,2,0,3,36,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
12,0.822722836986075,2,3,3,39,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
13,0.777647688983441,2,2,3,41,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
14,0.5,2,5,3,46,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
15,0.774919286768374,2,1,3,47,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
16,0.52896766710803,2,2,3,49,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
17,1.06777460828998,2,7,3,56,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
18,1.0637333321021,2,0,3,56,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
19,0.734540893057953,2,4,3,60,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
20,0.570322188237662,2,2,3,62,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
21,0.966388751036419,2,3,3,65,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
22,0.893606007536414,1,-14,3,51,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
23,1.07732511531253,1,10,3,61,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
24,0.877374399785114,2,2,3,63,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
25,0.608456425452607,2,3,3,66,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
1,1.03892635940094,1,4,4,4,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
2,0.511306813941071,1,3,4,7,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
3,0.831216997965362,1,3,4,10,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
4,0.865332569166457,1,4,4,14,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
5,0.894699982353392,2,-8,4,6,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
6,0.817755378090787,1,8,4,14,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
7,0.570563776230708,1,4,4,18,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
8,0.566250818258724,1,2,4,20,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
9,0.946102117846713,1,5,4,25,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
10,0.560821743337045,1,1,4,26,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
11,0.583574521025878,1,6,4,32,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
12,0.5,1,4,4,36,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
13,0.626793536160485,1,1,4,37,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
14,1.07758021903664,1,5,4,42,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
15,0.623056286238093,1,8,4,50,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
16,0.890866441154593,1,6,4,56,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
17,0.569864675028101,1,1,4,57,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
18,0.885992034433554,1,1,4,58,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
19,0.803458828227393,2,-1,4,57,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
20,0.971986416127642,1,3,4,60,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
21,0.956034659866654,2,-13,4,47,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
22,1.14102013701989,1,4,4,51,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
23,0.655414359800514,1,5,4,56,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
24,0.95720862877052,1,-1,4,55,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
25,0.726193839651348,1,1,4,56,"1;2","CyfaEmpe",0,2,NA,0,0.81,1
1,0.59791152261531,1,7,5,7,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
2,0.828465284189399,1,-5,5,2,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
3,0.871019204425619,2,6,5,8,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
4,0.522866768564402,2,1,5,9,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
5,0.630925930013721,2,2,5,11,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
6,1.21428841829785,2,5,5,16,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
7,0.5,2,5,5,21,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
8,0.888461939797204,2,3,5,24,"2;1","CyfaEmpe",0,2,NA,0,0.81,1
