"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.10369250898432,2,0,1,0,"2;1","DPjQXYom",0,1,NA,0,0.95,1
2,0.876211106998529,1,6,1,6,"2;1","DPjQXYom",0,1,NA,0,0.95,1
3,0.982301403982659,1,2,1,8,"2;1","DPjQXYom",0,1,NA,0,0.95,1
4,0.51276065257871,1,4,1,12,"2;1","DPjQXYom",0,1,NA,0,0.95,1
5,0.754206146527753,2,2,1,14,"2;1","DPjQXYom",0,1,NA,0,0.95,1
6,1.15272628932795,1,7,1,21,"2;1","DPjQXYom",0,1,NA,0,0.95,1
7,0.5,2,2,1,23,"2;1","DPjQXYom",0,1,NA,0,0.95,1
8,0.972156886588938,2,2,1,25,"2;1","DPjQXYom",0,1,NA,0,0.95,1
9,0.544497655071264,2,3,1,28,"2;1","DPjQXYom",0,1,NA,0,0.95,1
10,0.673883606239449,1,3,1,31,"2;1","DPjQXYom",0,1,NA,0,0.95,1
11,1.43980141564395,2,6,1,37,"2;1","DPjQXYom",0,1,NA,0,0.95,1
12,0.716711339750603,1,2,1,39,"2;1","DPjQXYom",0,1,NA,0,0.95,1
13,0.526938981267328,2,7,1,46,"2;1","DPjQXYom",0,1,NA,0,0.95,1
14,1.19892299441606,2,2,1,48,"2;1","DPjQXYom",0,1,NA,0,0.95,1
15,1.05374483361318,2,1,1,49,"2;1","DPjQXYom",0,1,NA,0,0.95,1
16,0.88330013310017,1,0,1,49,"2;1","DPjQXYom",0,1,NA,0,0.95,1
17,0.596265431080616,2,3,1,52,"2;1","DPjQXYom",0,1,NA,0,0.95,1
18,0.839914549649465,1,0,1,52,"2;1","DPjQXYom",0,1,NA,0,0.95,1
19,1.10193902904739,2,4,1,56,"2;1","DPjQXYom",0,1,NA,0,0.95,1
20,1.03164030806078,1,5,1,61,"2;1","DPjQXYom",0,1,NA,0,0.95,1
1,0.715020708567608,1,6,2,6,"1;2","DPjQXYom",0,1,NA,0,0.95,1
2,0.740973583465348,1,4,2,10,"1;2","DPjQXYom",0,1,NA,0,0.95,1
3,0.779469218254288,1,2,2,12,"1;2","DPjQXYom",0,1,NA,0,0.95,1
