"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.825512283475027,1,1,1,1,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
2,1.08132556068091,1,2,1,3,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
3,1.06048449326332,1,3,1,6,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
4,1.04427262292008,2,3,1,9,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
5,1.12415834123542,2,2,1,11,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
6,0.75290921894988,2,9,1,20,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
7,0.5,1,4,1,24,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
8,0.506945974047431,2,1,1,25,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
9,0.808028707628477,2,4,1,29,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
10,1.15116650508416,2,3,1,32,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
11,0.534250819457965,2,1,1,33,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
12,0.853156686111961,1,1,1,34,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
13,0.825428960241155,2,0,1,34,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
14,0.760174946197886,1,2,1,36,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
15,0.962849578561117,2,4,1,40,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
16,0.974549028359059,2,4,1,44,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
17,0.772890301867196,2,4,1,48,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
18,0.764333408686951,1,7,1,55,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
19,0.766114484524298,1,4,1,59,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
20,0.5,1,4,1,63,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
1,0.897740796285032,1,26,2,26,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
2,0.729039686026066,1,-11,2,15,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
3,1.17839778393899,1,15,2,30,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
4,0.701531845478133,1,-1,2,29,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
5,0.74948492291138,1,1,2,30,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
6,1.0429415056537,2,5,2,35,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
7,0.5,1,12,2,47,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
8,0.967770813372973,1,19,2,66,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
9,0.845663946787258,2,5,2,71,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
10,0.97487007963118,2,2,2,73,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
11,0.896386973524502,2,2,2,75,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
12,0.5,2,4,2,79,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
13,0.665784994981933,2,4,2,83,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
14,0.5,2,5,2,88,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
15,0.728171096099135,2,2,2,90,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
16,1.15525039383229,2,6,2,96,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
17,0.762029086484004,2,7,2,103,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
18,1.16127206862183,2,4,2,107,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
19,0.602691052360509,2,5,2,112,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
20,1.09619600588356,2,4,2,116,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
21,1.00221473792477,2,5,2,121,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
22,0.5,2,4,2,125,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
23,0.666854387696613,1,3,2,128,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
24,0.98005462952256,2,5,2,133,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
25,0.903802072604739,1,-23,2,110,"2;1","DTVoN4Tu",100,4,9,0,1.8,3
1,0.5,2,27,3,27,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
2,1.01327966682427,1,2,3,29,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
3,0.908889649060637,2,1,3,30,"1;2","DTVoN4Tu",100,4,9,0,1.8,3
