"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.650214965484009,1,2,1,2,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
2,0.855479927443415,1,6,1,8,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
3,1.13910765813958,1,4,1,12,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
4,0.604604266876292,1,4,1,16,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
5,0.5,1,2,1,18,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
6,0.598923673127449,1,4,1,22,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
7,1.10050780916996,1,5,1,27,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
8,0.654298679993794,1,0,1,27,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
9,0.799701338117505,1,4,1,31,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
10,1.49439257427909,1,1,1,32,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
11,0.848569483710597,1,3,1,35,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
12,0.883573851641619,1,2,1,37,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
13,0.714413687156844,1,4,1,41,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
14,0.5,1,1,1,42,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
15,0.697941535230334,1,2,1,44,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
16,1.01070759579503,1,1,1,45,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
17,1.09324081245477,1,1,1,46,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
18,1.04765588357465,2,4,1,50,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
19,0.5,2,3,1,53,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
20,0.944032563423791,2,2,1,55,"1;2","DcxJtVJn",0,3,NA,0,0.56,1
1,0.777616213381965,2,-3,2,-3,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
2,0.981746753332492,1,-1,2,-4,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
3,0.662148632798498,1,6,2,2,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
4,1.13702704733758,1,9,2,11,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
5,1.03360269508097,1,-17,2,-6,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
6,1.31429560836374,2,1,2,-5,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
7,0.742921303718706,2,3,2,-2,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
8,0.831966956715043,2,2,2,0,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
9,0.5,2,-4,2,-4,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
10,0.939339552657463,1,26,2,22,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
11,1.05909858245294,1,0,2,22,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
12,0.905459002811089,1,1,2,23,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
13,0.814329245236102,1,-2,2,21,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
14,0.900159902431126,1,-16,2,5,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
15,1.13852992786412,2,1,2,6,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
16,0.625686397781768,2,3,2,9,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
17,0.764734863146015,2,0,2,9,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
18,0.520197167547841,2,5,2,14,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
19,0.819766864352992,2,1,2,15,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
20,0.888950208380374,1,6,2,21,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
21,0.971824581162248,1,4,2,25,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
22,0.847258374569679,2,-1,2,24,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
23,0.5,1,4,2,28,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
24,0.696282363872641,1,14,2,42,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
25,0.934207667159738,1,1,2,43,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
1,0.511013282735966,1,0,3,0,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
2,0.750183849922418,1,25,3,25,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
3,0.612095682978811,1,14,3,39,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
4,0.578962508938887,1,-9,3,30,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
5,0.66396069918882,2,2,3,32,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
6,0.954338833703012,1,13,3,45,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
7,0.5,2,5,3,50,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
8,0.838530436863649,1,8,3,58,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
9,1.06791672120908,1,5,3,63,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
10,1.18638661739809,1,28,3,91,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
11,1.00575232965079,1,16,3,107,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
12,1.07903708974342,1,-1,3,106,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
13,0.546595721739635,1,10,3,116,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
14,0.931884393519974,1,11,3,127,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
15,1.01037408896566,1,14,3,141,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
16,0.5,1,5,3,146,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
17,1.07217831997592,1,12,3,158,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
18,0.614638712078175,1,12,3,170,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
19,1.10668753614906,2,2,3,172,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
20,0.788794641373007,1,7,3,179,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
21,0.908699186218626,1,-3,3,176,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
22,0.741644704215646,1,17,3,193,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
23,1.12951911065941,1,1,3,194,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
24,1.00380439334228,1,8,3,202,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
25,0.746359062145313,1,1,3,203,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
1,0.76061338079082,2,3,4,3,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
2,0.802537857207481,2,5,4,8,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
3,0.590543117099665,2,4,4,12,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
4,0.916429422398992,2,3,4,15,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
5,0.609739328894865,2,-1,4,14,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
6,0.858742737243172,2,2,4,16,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
7,0.770596701333238,2,3,4,19,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
8,0.988511512599732,2,-1,4,18,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
9,0.613847611295507,2,3,4,21,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
10,0.809172858603795,1,11,4,32,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
11,0.894537134846112,2,-1,4,31,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
12,0.821807519177101,1,-15,4,16,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
13,0.837940605258926,2,1,4,17,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
14,0.874399705505,2,1,4,18,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
15,0.703406751006374,2,3,4,21,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
16,0.857164866862821,2,6,4,27,"2;1","DcxJtVJn",0,3,NA,0,0.56,1
