"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.09175955556331,2,3,1,3,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
2,0.5,2,6,1,9,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
3,1.03633910553561,2,5,1,14,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
4,0.5,2,1,1,15,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
5,0.510775192452354,2,0,1,15,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
6,0.692216839159866,1,1,1,16,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
7,0.787861050147719,2,1,1,17,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
8,0.706326078578981,2,2,1,19,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
9,0.621274692805242,2,5,1,24,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
10,0.543195757087282,2,1,1,25,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
11,0.821894247385647,2,6,1,31,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
12,0.744003228198454,2,2,1,33,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
13,0.755095304171058,1,7,1,40,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
14,0.572369149339907,2,4,1,44,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
15,0.989522722654948,2,5,1,49,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
16,0.5,2,4,1,53,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
17,0.909271206741421,2,7,1,60,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
18,0.652760150640262,2,0,1,60,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
19,0.5,2,1,1,61,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
20,0.942444435672507,1,3,1,64,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
1,0.77674147308213,2,24,2,24,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
2,0.852464086633012,2,5,2,29,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
3,0.86051840079614,2,10,2,39,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
4,0.529498340531012,2,17,2,56,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
5,0.676292952592591,1,4,2,60,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
6,0.512961657516241,1,3,2,63,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
7,1.15829076416865,2,1,2,64,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
8,0.630686415316692,2,23,2,87,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
9,0.903036295461731,1,4,2,91,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
10,0.840698073554713,1,-1,2,90,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
11,0.885255273545883,2,-3,2,87,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
12,0.550312777190511,2,20,2,107,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
13,0.75467784977022,1,4,2,111,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
14,0.579844115784275,2,7,2,118,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
15,0.727040930217183,2,16,2,134,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
16,0.776693007031782,2,0,2,134,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
17,0.756058240470623,2,3,2,137,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
18,1.1172382498494,2,3,2,140,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
19,0.892661968688791,1,6,2,146,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
20,0.885155771099461,2,-3,2,143,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
21,0.5,1,6,2,149,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
22,1.02437606986677,1,2,2,151,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
23,0.5,1,4,2,155,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
24,0.674894785761154,1,5,2,160,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
25,0.914497867318388,1,2,2,162,"1;2","EHvbf1rN",0,3,NA,0,0.75,2
1,0.828075615773477,2,-1,3,-1,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
2,0.680976811970801,1,15,3,14,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
3,0.548316058969003,2,7,3,21,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
4,0.728387207695833,2,2,3,23,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
5,0.93598510666252,1,9,3,32,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
6,1.27516269118145,1,-1,3,31,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
7,1.12959079378897,2,-2,3,29,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
8,0.949400048119266,1,12,3,41,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
9,0.5,1,26,3,67,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
10,0.847459951410362,1,5,3,72,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
11,0.584039947244926,2,7,3,79,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
12,0.598492624768997,1,-15,3,64,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
13,0.689385226672946,2,3,3,67,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
14,1.02235295091467,2,2,3,69,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
15,0.993438644553926,1,-4,3,65,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
16,1.01597613434406,2,4,3,69,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
17,1.19635024283885,2,1,3,70,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
18,0.5,2,-1,3,69,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
19,0.595919492781901,2,1,3,70,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
20,0.793808488474495,2,-3,3,67,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
21,0.755085417070612,2,0,3,67,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
22,0.964606282641785,2,4,3,71,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
23,0.640944004591622,2,5,3,76,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
24,0.876170601748264,1,-13,3,63,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
25,0.800276354092734,2,4,3,67,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
1,0.955322008463054,2,2,4,2,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
2,0.7045461529485,2,1,4,3,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
3,0.607688067006242,2,3,4,6,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
4,0.5,2,3,4,9,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
5,1.07832373801856,2,7,4,16,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
6,0.670527651382216,2,1,4,17,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
7,0.5,2,1,4,18,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
8,0.908681274312791,2,0,4,18,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
9,0.868278634674672,1,-13,4,5,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
10,0.913450863695657,2,2,4,7,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
11,0.79502189240173,1,-1,4,6,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
12,0.76977403713302,2,4,4,10,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
13,0.941927287589543,2,0,4,10,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
14,1.16562374825537,2,6,4,16,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
15,0.677360021836545,2,0,4,16,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
16,0.853083913430738,2,-1,4,15,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
17,0.767420141373229,2,7,4,22,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
18,0.689415573952937,2,0,4,22,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
19,0.548816196965106,2,4,4,26,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
20,0.677208382319631,2,5,4,31,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
21,0.903054646890837,2,0,4,31,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
22,0.547283642488142,2,3,4,34,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
23,0.897407121430451,2,2,4,36,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
24,0.714109500959334,2,-1,4,35,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
25,0.968034500742713,1,-9,4,26,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
1,0.705991272988308,2,7,5,7,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
2,0.975187493771384,2,6,5,13,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
3,0.81095717185985,2,2,5,15,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
4,0.77706930747773,2,3,5,18,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
5,0.909639814418501,2,-1,5,17,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
6,0.5,2,2,5,19,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
7,0.865217641025831,2,4,5,23,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
8,1.14780562896128,2,1,5,24,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
9,0.628754846866602,2,3,5,27,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
10,0.681339676093659,2,1,5,28,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
11,0.634242123158485,2,5,5,33,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
12,1.33222848667079,2,9,5,42,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
13,0.5,2,4,5,46,"2;1","EHvbf1rN",0,3,NA,0,0.75,2
