"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.18457684459806,2,6,1,6,"1;2","EIaUErPI",0,2,NA,3,0.83,2
2,1.05533835205911,2,5,1,11,"1;2","EIaUErPI",0,2,NA,3,0.83,2
3,1.16636251695611,2,1,1,12,"1;2","EIaUErPI",0,2,NA,3,0.83,2
4,0.868291693764999,2,5,1,17,"1;2","EIaUErPI",0,2,NA,3,0.83,2
5,0.852672391610568,1,4,1,21,"1;2","EIaUErPI",0,2,NA,3,0.83,2
6,0.812578469804797,2,3,1,24,"1;2","EIaUErPI",0,2,NA,3,0.83,2
7,1.10226313996067,2,2,1,26,"1;2","EIaUErPI",0,2,NA,3,0.83,2
8,1.25988981698701,2,3,1,29,"1;2","EIaUErPI",0,2,NA,3,0.83,2
9,0.970914055709824,2,2,1,31,"1;2","EIaUErPI",0,2,NA,3,0.83,2
10,0.679101464167583,2,3,1,34,"1;2","EIaUErPI",0,2,NA,3,0.83,2
11,0.571817542566709,2,5,1,39,"1;2","EIaUErPI",0,2,NA,3,0.83,2
12,0.52049068401104,2,1,1,40,"1;2","EIaUErPI",0,2,NA,3,0.83,2
13,0.712310276717483,2,1,1,41,"1;2","EIaUErPI",0,2,NA,3,0.83,2
14,0.940478845062186,1,6,1,47,"1;2","EIaUErPI",0,2,NA,3,0.83,2
15,0.691971191178163,2,6,1,53,"1;2","EIaUErPI",0,2,NA,3,0.83,2
16,0.912032935930437,2,6,1,59,"1;2","EIaUErPI",0,2,NA,3,0.83,2
17,1.18869901285222,1,4,1,63,"1;2","EIaUErPI",0,2,NA,3,0.83,2
18,0.862869708919074,2,5,1,68,"1;2","EIaUErPI",0,2,NA,3,0.83,2
19,0.775148457059821,2,1,1,69,"1;2","EIaUErPI",0,2,NA,3,0.83,2
20,0.896701863808852,2,3,1,72,"1;2","EIaUErPI",0,2,NA,3,0.83,2
1,0.702068570780844,1,13,2,13,"2;1","EIaUErPI",0,2,NA,3,0.83,2
2,0.999875469956687,2,4,2,17,"2;1","EIaUErPI",0,2,NA,3,0.83,2
3,0.852117584393743,1,17,2,34,"2;1","EIaUErPI",0,2,NA,3,0.83,2
4,0.873749465488177,1,-9,2,25,"2;1","EIaUErPI",0,2,NA,3,0.83,2
5,0.90601201842083,1,-15,2,10,"2;1","EIaUErPI",0,2,NA,3,0.83,2
6,0.5,2,3,2,13,"2;1","EIaUErPI",0,2,NA,3,0.83,2
7,0.825321615277536,2,4,2,17,"2;1","EIaUErPI",0,2,NA,3,0.83,2
8,0.831846033658672,2,4,2,21,"2;1","EIaUErPI",0,2,NA,3,0.83,2
9,0.650865430628589,1,15,2,36,"2;1","EIaUErPI",0,2,NA,3,0.83,2
10,0.793473897439059,2,5,2,41,"2;1","EIaUErPI",0,2,NA,3,0.83,2
11,0.555947886763666,2,-3,2,38,"2;1","EIaUErPI",0,2,NA,3,0.83,2
12,0.685372927799668,2,3,2,41,"2;1","EIaUErPI",0,2,NA,3,0.83,2
13,0.675438427688965,2,7,2,48,"2;1","EIaUErPI",0,2,NA,3,0.83,2
14,0.976843569735112,2,6,2,54,"2;1","EIaUErPI",0,2,NA,3,0.83,2
15,1.31784710983068,2,6,2,60,"2;1","EIaUErPI",0,2,NA,3,0.83,2
16,0.784037889705446,2,5,2,65,"2;1","EIaUErPI",0,2,NA,3,0.83,2
17,0.632679105871365,2,1,2,66,"2;1","EIaUErPI",0,2,NA,3,0.83,2
18,0.663780112465692,2,3,2,69,"2;1","EIaUErPI",0,2,NA,3,0.83,2
19,0.95861300771946,2,2,2,71,"2;1","EIaUErPI",0,2,NA,3,0.83,2
20,0.787507643419621,2,3,2,74,"2;1","EIaUErPI",0,2,NA,3,0.83,2
21,0.702515764088556,2,9,2,83,"2;1","EIaUErPI",0,2,NA,3,0.83,2
22,0.773014420103997,2,0,2,83,"2;1","EIaUErPI",0,2,NA,3,0.83,2
23,0.5,2,9,2,92,"2;1","EIaUErPI",0,2,NA,3,0.83,2
24,0.798686985626256,2,1,2,93,"2;1","EIaUErPI",0,2,NA,3,0.83,2
25,0.514639390898584,1,2,2,95,"2;1","EIaUErPI",0,2,NA,3,0.83,2
1,1.0485253368473,2,7,3,7,"2;1","EIaUErPI",0,2,NA,3,0.83,2
2,0.99871306920323,2,7,3,14,"2;1","EIaUErPI",0,2,NA,3,0.83,2
3,0.739815380919859,2,1,3,15,"2;1","EIaUErPI",0,2,NA,3,0.83,2
4,0.5,1,-4,3,11,"2;1","EIaUErPI",0,2,NA,3,0.83,2
5,0.5,2,1,3,12,"2;1","EIaUErPI",0,2,NA,3,0.83,2
6,1.17561139676632,2,7,3,19,"2;1","EIaUErPI",0,2,NA,3,0.83,2
7,0.80770779333675,2,6,3,25,"2;1","EIaUErPI",0,2,NA,3,0.83,2
8,0.859500264697127,2,4,3,29,"2;1","EIaUErPI",0,2,NA,3,0.83,2
9,1.072356436897,2,5,3,34,"2;1","EIaUErPI",0,2,NA,3,0.83,2
10,0.5,2,5,3,39,"2;1","EIaUErPI",0,2,NA,3,0.83,2
11,0.778522423902561,2,4,3,43,"2;1","EIaUErPI",0,2,NA,3,0.83,2
12,0.636902979910597,2,4,3,47,"2;1","EIaUErPI",0,2,NA,3,0.83,2
13,0.97129656316622,2,2,3,49,"2;1","EIaUErPI",0,2,NA,3,0.83,2
14,1.04385559039201,2,4,3,53,"2;1","EIaUErPI",0,2,NA,3,0.83,2
15,0.5,2,4,3,57,"2;1","EIaUErPI",0,2,NA,3,0.83,2
16,1.02228080527643,2,3,3,60,"2;1","EIaUErPI",0,2,NA,3,0.83,2
17,1.01883474235258,2,5,3,65,"2;1","EIaUErPI",0,2,NA,3,0.83,2
18,1.05337392253227,2,5,3,70,"2;1","EIaUErPI",0,2,NA,3,0.83,2
19,0.542983226133926,2,1,3,71,"2;1","EIaUErPI",0,2,NA,3,0.83,2
20,0.67974545459293,2,9,3,80,"2;1","EIaUErPI",0,2,NA,3,0.83,2
21,0.79237166201995,2,4,3,84,"2;1","EIaUErPI",0,2,NA,3,0.83,2
22,1.27857517212691,2,4,3,88,"2;1","EIaUErPI",0,2,NA,3,0.83,2
23,0.685560008462748,2,1,3,89,"2;1","EIaUErPI",0,2,NA,3,0.83,2
24,0.87624010995016,2,5,3,94,"2;1","EIaUErPI",0,2,NA,3,0.83,2
25,0.622815919605098,2,-1,3,93,"2;1","EIaUErPI",0,2,NA,3,0.83,2
1,0.880443807821059,2,4,4,4,"2;1","EIaUErPI",0,2,NA,3,0.83,2
2,0.53432581067556,2,11,4,15,"2;1","EIaUErPI",0,2,NA,3,0.83,2
3,0.894429592557728,2,3,4,18,"2;1","EIaUErPI",0,2,NA,3,0.83,2
4,0.894611494832317,2,4,4,22,"2;1","EIaUErPI",0,2,NA,3,0.83,2
5,0.666146853434657,1,-18,4,4,"2;1","EIaUErPI",0,2,NA,3,0.83,2
6,0.928449370380467,2,5,4,9,"2;1","EIaUErPI",0,2,NA,3,0.83,2
7,0.571929663121085,2,10,4,19,"2;1","EIaUErPI",0,2,NA,3,0.83,2
8,0.838011665278214,2,3,4,22,"2;1","EIaUErPI",0,2,NA,3,0.83,2
9,1.09182874448843,2,2,4,24,"2;1","EIaUErPI",0,2,NA,3,0.83,2
10,0.937886304155247,2,6,4,30,"2;1","EIaUErPI",0,2,NA,3,0.83,2
11,1.06099863623178,1,-3,4,27,"2;1","EIaUErPI",0,2,NA,3,0.83,2
12,0.84727496493928,2,1,4,28,"2;1","EIaUErPI",0,2,NA,3,0.83,2
13,0.574254686240568,2,7,4,35,"2;1","EIaUErPI",0,2,NA,3,0.83,2
14,1.10232730928938,2,1,4,36,"2;1","EIaUErPI",0,2,NA,3,0.83,2
15,0.809342671100458,2,7,4,43,"2;1","EIaUErPI",0,2,NA,3,0.83,2
16,1.15888950249651,2,0,4,43,"2;1","EIaUErPI",0,2,NA,3,0.83,2
17,0.596570446799215,2,3,4,46,"2;1","EIaUErPI",0,2,NA,3,0.83,2
18,1.06925749988429,2,4,4,50,"2;1","EIaUErPI",0,2,NA,3,0.83,2
19,0.775856735933222,2,2,4,52,"2;1","EIaUErPI",0,2,NA,3,0.83,2
20,0.804769058239585,2,4,4,56,"2;1","EIaUErPI",0,2,NA,3,0.83,2
21,1.15738646418703,2,3,4,59,"2;1","EIaUErPI",0,2,NA,3,0.83,2
22,0.903972823453159,1,-5,4,54,"2;1","EIaUErPI",0,2,NA,3,0.83,2
23,0.5,2,1,4,55,"2;1","EIaUErPI",0,2,NA,3,0.83,2
24,0.700312577152867,2,2,4,57,"2;1","EIaUErPI",0,2,NA,3,0.83,2
25,0.630268459912521,1,8,4,65,"2;1","EIaUErPI",0,2,NA,3,0.83,2
1,0.522742595302404,1,27,5,27,"2;1","EIaUErPI",0,2,NA,3,0.83,2
2,0.921765262346098,1,9,5,36,"2;1","EIaUErPI",0,2,NA,3,0.83,2
3,0.894786626512438,1,-18,5,18,"2;1","EIaUErPI",0,2,NA,3,0.83,2
4,1.1436144379041,2,6,5,24,"2;1","EIaUErPI",0,2,NA,3,0.83,2
5,0.5,2,7,5,31,"2;1","EIaUErPI",0,2,NA,3,0.83,2
6,1.1897277327257,2,0,5,31,"2;1","EIaUErPI",0,2,NA,3,0.83,2
7,1.2389680907201,2,3,5,34,"2;1","EIaUErPI",0,2,NA,3,0.83,2
8,0.675817034065666,2,4,5,38,"2;1","EIaUErPI",0,2,NA,3,0.83,2
9,0.678193316017926,2,2,5,40,"2;1","EIaUErPI",0,2,NA,3,0.83,2
10,0.936409551523707,2,3,5,43,"2;1","EIaUErPI",0,2,NA,3,0.83,2
11,0.829830605689543,1,4,5,47,"2;1","EIaUErPI",0,2,NA,3,0.83,2
12,0.780985627655027,2,1,5,48,"2;1","EIaUErPI",0,2,NA,3,0.83,2
13,0.5,2,7,5,55,"2;1","EIaUErPI",0,2,NA,3,0.83,2
14,0.82431587521373,2,6,5,61,"2;1","EIaUErPI",0,2,NA,3,0.83,2
15,1.24899248095393,2,5,5,66,"2;1","EIaUErPI",0,2,NA,3,0.83,2
16,0.802198670938012,1,-14,5,52,"2;1","EIaUErPI",0,2,NA,3,0.83,2
17,0.52115929067912,2,7,5,59,"2;1","EIaUErPI",0,2,NA,3,0.83,2
18,0.828180146579798,2,8,5,67,"2;1","EIaUErPI",0,2,NA,3,0.83,2
19,0.941515967097275,2,2,5,69,"2;1","EIaUErPI",0,2,NA,3,0.83,2
20,0.5,2,2,5,71,"2;1","EIaUErPI",0,2,NA,3,0.83,2
21,0.550073514353904,2,4,5,75,"2;1","EIaUErPI",0,2,NA,3,0.83,2
22,0.613829599313137,2,6,5,81,"2;1","EIaUErPI",0,2,NA,3,0.83,2
23,0.954181807063184,2,1,5,82,"2;1","EIaUErPI",0,2,NA,3,0.83,2
24,0.758977980763142,2,4,5,86,"2;1","EIaUErPI",0,2,NA,3,0.83,2
25,1.05220179434035,2,4,5,90,"2;1","EIaUErPI",0,2,NA,3,0.83,2
1,1.16007242189991,2,-16,6,-16,"1;2","EIaUErPI",0,2,NA,3,0.83,2
2,0.5,1,3,6,-13,"1;2","EIaUErPI",0,2,NA,3,0.83,2
3,1.04567725303885,1,7,6,-6,"1;2","EIaUErPI",0,2,NA,3,0.83,2
4,0.627062857665459,1,3,6,-3,"1;2","EIaUErPI",0,2,NA,3,0.83,2
5,0.5,1,3,6,0,"1;2","EIaUErPI",0,2,NA,3,0.83,2
6,0.545919887957433,2,-11,6,-11,"1;2","EIaUErPI",0,2,NA,3,0.83,2
7,0.52411365674827,1,7,6,-4,"1;2","EIaUErPI",0,2,NA,3,0.83,2
8,1.11626189533967,2,13,6,9,"1;2","EIaUErPI",0,2,NA,3,0.83,2
9,0.871415069020315,2,23,6,32,"1;2","EIaUErPI",0,2,NA,3,0.83,2
10,0.71744891540272,2,26,6,58,"1;2","EIaUErPI",0,2,NA,3,0.83,2
11,1.03178077946872,2,9,6,67,"1;2","EIaUErPI",0,2,NA,3,0.83,2
12,0.565552618446101,2,-14,6,53,"1;2","EIaUErPI",0,2,NA,3,0.83,2
13,1.03224423996979,1,3,6,56,"1;2","EIaUErPI",0,2,NA,3,0.83,2
14,0.649107871824887,1,3,6,59,"1;2","EIaUErPI",0,2,NA,3,0.83,2
15,0.565112915294449,1,1,6,60,"1;2","EIaUErPI",0,2,NA,3,0.83,2
16,1.05545020226481,2,-14,6,46,"1;2","EIaUErPI",0,2,NA,3,0.83,2
17,0.884180260097635,1,3,6,49,"1;2","EIaUErPI",0,2,NA,3,0.83,2
18,0.5,1,10,6,59,"1;2","EIaUErPI",0,2,NA,3,0.83,2
19,1.03221158627178,1,2,6,61,"1;2","EIaUErPI",0,2,NA,3,0.83,2
20,0.5,2,4,6,65,"1;2","EIaUErPI",0,2,NA,3,0.83,2
21,0.558393583707922,1,3,6,68,"1;2","EIaUErPI",0,2,NA,3,0.83,2
22,1.03098090539493,1,7,6,75,"1;2","EIaUErPI",0,2,NA,3,0.83,2
23,0.609161447207127,2,5,6,80,"1;2","EIaUErPI",0,2,NA,3,0.83,2
24,0.5,1,1,6,81,"1;2","EIaUErPI",0,2,NA,3,0.83,2
25,0.504075467735284,1,3,6,84,"1;2","EIaUErPI",0,2,NA,3,0.83,2
1,1.30710914206888,1,-5,7,-5,"2;1","EIaUErPI",0,2,NA,3,0.83,2
2,0.95853946038065,1,7,7,2,"2;1","EIaUErPI",0,2,NA,3,0.83,2
3,0.5,1,25,7,27,"2;1","EIaUErPI",0,2,NA,3,0.83,2
4,1.05614718275736,1,-1,7,26,"2;1","EIaUErPI",0,2,NA,3,0.83,2
5,0.5,1,-3,7,23,"2;1","EIaUErPI",0,2,NA,3,0.83,2
6,0.888478571652527,1,7,7,30,"2;1","EIaUErPI",0,2,NA,3,0.83,2
7,0.82016519652839,1,15,7,45,"2;1","EIaUErPI",0,2,NA,3,0.83,2
8,0.868300081636155,1,19,7,64,"2;1","EIaUErPI",0,2,NA,3,0.83,2
9,0.721715640655525,1,14,7,78,"2;1","EIaUErPI",0,2,NA,3,0.83,2
10,0.697623074219959,1,16,7,94,"2;1","EIaUErPI",0,2,NA,3,0.83,2
11,0.644360608599643,1,1,7,95,"2;1","EIaUErPI",0,2,NA,3,0.83,2
12,0.704584203137432,2,1,7,96,"2;1","EIaUErPI",0,2,NA,3,0.83,2
13,0.779983906626324,2,5,7,101,"2;1","EIaUErPI",0,2,NA,3,0.83,2
14,0.984469825732331,1,-11,7,90,"2;1","EIaUErPI",0,2,NA,3,0.83,2
15,0.681211410083209,1,-18,7,72,"2;1","EIaUErPI",0,2,NA,3,0.83,2
16,0.916281111420312,2,1,7,73,"2;1","EIaUErPI",0,2,NA,3,0.83,2
17,0.762504852998942,2,3,7,76,"2;1","EIaUErPI",0,2,NA,3,0.83,2
18,0.563305670564066,2,10,7,86,"2;1","EIaUErPI",0,2,NA,3,0.83,2
19,1.084402869777,2,1,7,87,"2;1","EIaUErPI",0,2,NA,3,0.83,2
20,0.5,2,5,7,92,"2;1","EIaUErPI",0,2,NA,3,0.83,2
21,0.624841483725616,2,5,7,97,"2;1","EIaUErPI",0,2,NA,3,0.83,2
22,0.508969435118019,2,3,7,100,"2;1","EIaUErPI",0,2,NA,3,0.83,2
23,0.512357300905718,2,2,7,102,"2;1","EIaUErPI",0,2,NA,3,0.83,2
24,0.648210530228693,2,3,7,105,"2;1","EIaUErPI",0,2,NA,3,0.83,2
25,0.5,2,4,7,109,"2;1","EIaUErPI",0,2,NA,3,0.83,2
1,0.907691116971183,1,6,8,6,"1;2","EIaUErPI",0,2,NA,3,0.83,2
2,0.5,1,5,8,11,"1;2","EIaUErPI",0,2,NA,3,0.83,2
3,0.5,2,5,8,16,"1;2","EIaUErPI",0,2,NA,3,0.83,2
4,0.736507652555856,1,3,8,19,"1;2","EIaUErPI",0,2,NA,3,0.83,2
5,0.94777705532281,1,5,8,24,"1;2","EIaUErPI",0,2,NA,3,0.83,2
6,1.18562201435102,1,2,8,26,"1;2","EIaUErPI",0,2,NA,3,0.83,2
7,0.671495140511941,1,3,8,29,"1;2","EIaUErPI",0,2,NA,3,0.83,2
8,0.687438468242815,1,7,8,36,"1;2","EIaUErPI",0,2,NA,3,0.83,2
9,0.775627030181835,1,3,8,39,"1;2","EIaUErPI",0,2,NA,3,0.83,2
10,1.31836459793438,1,7,8,46,"1;2","EIaUErPI",0,2,NA,3,0.83,2
11,0.956590599288325,1,5,8,51,"1;2","EIaUErPI",0,2,NA,3,0.83,2
12,0.66484189224181,1,3,8,54,"1;2","EIaUErPI",0,2,NA,3,0.83,2
13,0.525664792576816,2,-3,8,51,"1;2","EIaUErPI",0,2,NA,3,0.83,2
14,0.9305565120328,1,4,8,55,"1;2","EIaUErPI",0,2,NA,3,0.83,2
15,0.828459246795385,1,1,8,56,"1;2","EIaUErPI",0,2,NA,3,0.83,2
16,0.619657136484888,1,8,8,64,"1;2","EIaUErPI",0,2,NA,3,0.83,2
17,0.593720079556978,1,3,8,67,"1;2","EIaUErPI",0,2,NA,3,0.83,2
18,0.683858946102852,1,5,8,72,"1;2","EIaUErPI",0,2,NA,3,0.83,2
19,0.529780501316536,1,3,8,75,"1;2","EIaUErPI",0,2,NA,3,0.83,2
20,1.13311981042274,1,7,8,82,"1;2","EIaUErPI",0,2,NA,3,0.83,2
21,1.16935053549552,2,5,8,87,"1;2","EIaUErPI",0,2,NA,3,0.83,2
22,0.644445403893718,1,5,8,92,"1;2","EIaUErPI",0,2,NA,3,0.83,2
23,0.727657925338936,1,4,8,96,"1;2","EIaUErPI",0,2,NA,3,0.83,2
24,0.537045626137795,1,6,8,102,"1;2","EIaUErPI",0,2,NA,3,0.83,2
25,0.970609846539946,1,7,8,109,"1;2","EIaUErPI",0,2,NA,3,0.83,2
1,0.983182965249987,1,-4,9,-4,"2;1","EIaUErPI",0,2,NA,3,0.83,2
2,0.990946146947914,2,4,9,0,"2;1","EIaUErPI",0,2,NA,3,0.83,2
3,0.592946807871101,2,3,9,3,"2;1","EIaUErPI",0,2,NA,3,0.83,2
4,0.5,2,8,9,11,"2;1","EIaUErPI",0,2,NA,3,0.83,2
5,0.5,2,5,9,16,"2;1","EIaUErPI",0,2,NA,3,0.83,2
6,0.964788139546702,2,7,9,23,"2;1","EIaUErPI",0,2,NA,3,0.83,2
7,0.535309350783669,2,8,9,31,"2;1","EIaUErPI",0,2,NA,3,0.83,2
8,0.973454495079449,2,4,9,35,"2;1","EIaUErPI",0,2,NA,3,0.83,2
9,0.5,2,5,9,40,"2;1","EIaUErPI",0,2,NA,3,0.83,2
10,0.920452500385606,2,0,9,40,"2;1","EIaUErPI",0,2,NA,3,0.83,2
11,1.06786033002067,2,5,9,45,"2;1","EIaUErPI",0,2,NA,3,0.83,2
12,0.697990212427826,1,8,9,53,"2;1","EIaUErPI",0,2,NA,3,0.83,2
13,0.945725228881881,2,3,9,56,"2;1","EIaUErPI",0,2,NA,3,0.83,2
14,0.569313034597234,2,4,9,60,"2;1","EIaUErPI",0,2,NA,3,0.83,2
15,0.518424041482455,2,1,9,61,"2;1","EIaUErPI",0,2,NA,3,0.83,2
