"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.875036995486857,1,5,1,5,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
2,0.5,1,7,1,12,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
3,0.5,1,0,1,12,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
4,0.934638371095087,1,5,1,17,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
5,0.558708576629687,1,1,1,18,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
6,0.87119269418399,1,1,1,19,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
7,0.843744857493967,2,2,1,21,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
8,0.679554445420184,1,2,1,23,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
9,0.862360374913328,1,5,1,28,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
10,1.22745412808821,2,1,1,29,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
11,0.838024279198021,1,7,1,36,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
12,1.03849831214961,2,3,1,39,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
13,0.576830960061219,1,1,1,40,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
14,0.912404082285675,1,4,1,44,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
15,0.795056101087929,1,3,1,47,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
16,0.662401467658787,2,6,1,53,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
17,1.15269542760268,1,2,1,55,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
18,0.961113775083738,1,1,1,56,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
19,1.25468870285621,2,4,1,60,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
20,0.811508149526081,2,6,1,66,"2;1","EWe1fRyV",0,3,NA,0,0.75,2
1,1.02109531152074,1,-1,2,-1,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
2,0.846183942938151,1,3,2,2,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
3,0.823669876425211,1,0,2,2,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
4,0.5,2,0,2,2,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
5,0.5,1,3,2,5,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
6,0.730248416306623,1,3,2,8,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
7,0.883206908932796,2,5,2,13,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
8,1.07521040755892,1,6,2,19,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
9,0.908295974468225,1,6,2,25,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
10,0.5,1,0,2,25,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
11,0.675874050573061,1,-4,2,21,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
12,1.0238719089983,1,1,2,22,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
13,0.865036400883632,2,-19,2,3,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
14,1.03886210212179,1,0,2,3,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
15,0.816567608173206,1,5,2,8,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
16,0.575521397258773,2,-6,2,2,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
17,0.830557981444718,1,3,2,5,"1;2","EWe1fRyV",0,3,NA,0,0.75,2
