"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.0277388641702,1,3,1,3,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
2,1.4646383587436,2,1,1,4,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
3,1.33323065139634,1,3,1,7,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
4,0.581068554552503,2,1,1,8,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
5,0.805241798754666,2,3,1,11,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
6,0.524782069311899,2,0,1,11,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
7,0.874558583818398,1,4,1,15,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
8,0.697101340560953,1,5,1,20,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
9,0.5,2,1,1,21,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
10,0.545643352023268,2,5,1,26,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
11,0.688249010698765,2,4,1,30,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
12,0.893968853986049,1,6,1,36,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
13,0.664231570417689,2,5,1,41,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
14,1.11000559694998,1,3,1,44,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
15,0.720646759838816,1,-1,1,43,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
16,0.529304149296426,2,4,1,47,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
17,0.76708764835099,2,1,1,48,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
18,0.681528565090316,1,2,1,50,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
19,0.5,1,4,1,54,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
20,1.25880550054959,1,1,1,55,"1;2","EcHLpuMg",0,1,NA,1,0.92,3
1,1.14871036900765,1,-1,2,-1,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
2,0.552263145877948,1,15,2,14,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
3,0.567623129625746,1,16,2,30,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
4,1.39594273359566,2,2,2,32,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
5,1.54707476710928,2,7,2,39,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
6,0.5,2,5,2,44,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
7,0.845377182020324,1,8,2,52,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
8,0.719192853408667,1,-12,2,40,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
9,0.847846429055615,2,2,2,42,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
10,0.749191261090606,2,6,2,48,"2;1","EcHLpuMg",0,1,NA,1,0.92,3
