"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.543870521367993,2,1,1,1,"1;2","EsIObls5",100,6,5,0,1,1
2,0.749361586623697,2,7,1,8,"1;2","EsIObls5",100,6,5,0,1,1
3,1.12173135570781,2,4,1,12,"1;2","EsIObls5",100,6,5,0,1,1
4,1.17860526492638,1,0,1,12,"1;2","EsIObls5",100,6,5,0,1,1
5,0.5,2,0,1,12,"1;2","EsIObls5",100,6,5,0,1,1
6,0.800850469759975,2,-2,1,10,"1;2","EsIObls5",100,6,5,0,1,1
7,0.540331216315186,2,4,1,14,"1;2","EsIObls5",100,6,5,0,1,1
8,1.01987740191263,1,4,1,18,"1;2","EsIObls5",100,6,5,0,1,1
9,0.582465147084748,2,1,1,19,"1;2","EsIObls5",100,6,5,0,1,1
10,0.671133417694439,2,2,1,21,"1;2","EsIObls5",100,6,5,0,1,1
11,1.07615140526967,2,1,1,22,"1;2","EsIObls5",100,6,5,0,1,1
12,0.888888346222774,1,4,1,26,"1;2","EsIObls5",100,6,5,0,1,1
13,0.683319705677998,1,4,1,30,"1;2","EsIObls5",100,6,5,0,1,1
14,1.17127284269478,2,2,1,32,"1;2","EsIObls5",100,6,5,0,1,1
15,0.63230062014619,2,4,1,36,"1;2","EsIObls5",100,6,5,0,1,1
16,0.734127653551052,2,4,1,40,"1;2","EsIObls5",100,6,5,0,1,1
17,1.09843444289379,1,4,1,44,"1;2","EsIObls5",100,6,5,0,1,1
18,0.660632011653013,2,0,1,44,"1;2","EsIObls5",100,6,5,0,1,1
19,0.710802138912265,2,2,1,46,"1;2","EsIObls5",100,6,5,0,1,1
20,0.692382316935851,1,4,1,50,"1;2","EsIObls5",100,6,5,0,1,1
1,0.807220623751795,2,3,2,3,"2;1","EsIObls5",100,6,5,0,1,1
2,0.550155976999566,2,2,2,5,"2;1","EsIObls5",100,6,5,0,1,1
3,0.824312664817331,2,1,2,6,"2;1","EsIObls5",100,6,5,0,1,1
4,1.2550841358848,2,1,2,7,"2;1","EsIObls5",100,6,5,0,1,1
5,0.827406636527504,2,7,2,14,"2;1","EsIObls5",100,6,5,0,1,1
6,0.736785195540127,1,4,2,18,"2;1","EsIObls5",100,6,5,0,1,1
7,1.21592477723481,1,-2,2,16,"2;1","EsIObls5",100,6,5,0,1,1
8,0.5,1,2,2,18,"2;1","EsIObls5",100,6,5,0,1,1
9,0.781416710859283,1,1,2,19,"2;1","EsIObls5",100,6,5,0,1,1
10,0.591058767161161,2,4,2,23,"2;1","EsIObls5",100,6,5,0,1,1
11,1.31345377892087,2,3,2,26,"2;1","EsIObls5",100,6,5,0,1,1
12,0.5,1,8,2,34,"2;1","EsIObls5",100,6,5,0,1,1
13,0.663113410129157,1,2,2,36,"2;1","EsIObls5",100,6,5,0,1,1
14,0.965950440045108,1,15,2,51,"2;1","EsIObls5",100,6,5,0,1,1
15,0.844904456962674,1,11,2,62,"2;1","EsIObls5",100,6,5,0,1,1
16,0.902410641958964,1,3,2,65,"2;1","EsIObls5",100,6,5,0,1,1
17,0.977891479918303,2,2,2,67,"2;1","EsIObls5",100,6,5,0,1,1
18,0.902620866592268,2,3,2,70,"2;1","EsIObls5",100,6,5,0,1,1
19,0.87861417417647,2,3,2,73,"2;1","EsIObls5",100,6,5,0,1,1
20,0.788217688349133,2,4,2,77,"2;1","EsIObls5",100,6,5,0,1,1
21,1.03324041322623,2,2,2,79,"2;1","EsIObls5",100,6,5,0,1,1
22,0.5,1,0,2,79,"2;1","EsIObls5",100,6,5,0,1,1
23,0.5,1,-11,2,68,"2;1","EsIObls5",100,6,5,0,1,1
24,0.589895793512493,1,-17,2,51,"2;1","EsIObls5",100,6,5,0,1,1
25,1.09914664425269,1,5,2,56,"2;1","EsIObls5",100,6,5,0,1,1
1,0.815403451572919,1,4,3,4,"1;2","EsIObls5",100,6,5,0,1,1
2,0.550280415428768,2,-4,3,0,"1;2","EsIObls5",100,6,5,0,1,1
3,0.5,1,2,3,2,"1;2","EsIObls5",100,6,5,0,1,1
4,0.728833106711856,1,4,3,6,"1;2","EsIObls5",100,6,5,0,1,1
5,0.962863389912067,2,-6,3,0,"1;2","EsIObls5",100,6,5,0,1,1
6,0.5,1,0,3,0,"1;2","EsIObls5",100,6,5,0,1,1
7,0.773552500198742,1,1,3,1,"1;2","EsIObls5",100,6,5,0,1,1
8,0.919179992041169,1,2,3,3,"1;2","EsIObls5",100,6,5,0,1,1
9,0.68002928568609,2,-23,3,-20,"1;2","EsIObls5",100,6,5,0,1,1
10,1.11124005216541,2,-12,3,-32,"1;2","EsIObls5",100,6,5,0,1,1
11,0.621311062591277,2,20,3,-12,"1;2","EsIObls5",100,6,5,0,1,1
12,1.01873106557597,1,-1,3,-13,"1;2","EsIObls5",100,6,5,0,1,1
13,0.736592476349883,2,19,3,6,"1;2","EsIObls5",100,6,5,0,1,1
14,0.5,1,2,3,8,"1;2","EsIObls5",100,6,5,0,1,1
15,0.622772323721853,1,3,3,11,"1;2","EsIObls5",100,6,5,0,1,1
16,0.848765289209409,2,-11,3,0,"1;2","EsIObls5",100,6,5,0,1,1
17,1.05583268821505,1,2,3,2,"1;2","EsIObls5",100,6,5,0,1,1
18,0.5,2,-2,3,0,"1;2","EsIObls5",100,6,5,0,1,1
19,1.17998089712989,2,9,3,9,"1;2","EsIObls5",100,6,5,0,1,1
20,0.966869929152208,2,-10,3,-1,"1;2","EsIObls5",100,6,5,0,1,1
21,0.745319110615568,2,12,3,11,"1;2","EsIObls5",100,6,5,0,1,1
22,0.756477913250777,2,15,3,26,"1;2","EsIObls5",100,6,5,0,1,1
23,0.5,2,23,3,49,"1;2","EsIObls5",100,6,5,0,1,1
24,0.5,1,5,3,54,"1;2","EsIObls5",100,6,5,0,1,1
25,0.5,2,3,3,57,"1;2","EsIObls5",100,6,5,0,1,1
1,1.04983067646992,2,4,4,4,"2;1","EsIObls5",100,6,5,0,1,1
2,0.930156430219778,2,-1,4,3,"2;1","EsIObls5",100,6,5,0,1,1
3,0.818046558412477,1,3,4,6,"2;1","EsIObls5",100,6,5,0,1,1
4,0.555758077891922,2,2,4,8,"2;1","EsIObls5",100,6,5,0,1,1
5,0.539596529591459,1,13,4,21,"2;1","EsIObls5",100,6,5,0,1,1
6,1.1992888432545,2,7,4,28,"2;1","EsIObls5",100,6,5,0,1,1
7,0.779951263836504,1,17,4,45,"2;1","EsIObls5",100,6,5,0,1,1
8,0.801403417820982,1,-1,4,44,"2;1","EsIObls5",100,6,5,0,1,1
9,1.12881185053267,1,9,4,53,"2;1","EsIObls5",100,6,5,0,1,1
10,0.5,1,5,4,58,"2;1","EsIObls5",100,6,5,0,1,1
11,0.780156636630652,2,6,4,64,"2;1","EsIObls5",100,6,5,0,1,1
12,1.0567466301191,2,1,4,65,"2;1","EsIObls5",100,6,5,0,1,1
13,0.5,1,5,4,70,"2;1","EsIObls5",100,6,5,0,1,1
14,0.849201561589937,1,-21,4,49,"2;1","EsIObls5",100,6,5,0,1,1
15,1.04547550996814,1,-9,4,40,"2;1","EsIObls5",100,6,5,0,1,1
16,0.764194214663088,2,4,4,44,"2;1","EsIObls5",100,6,5,0,1,1
17,1.13773510796352,1,11,4,55,"2;1","EsIObls5",100,6,5,0,1,1
18,0.5,2,2,4,57,"2;1","EsIObls5",100,6,5,0,1,1
19,0.767786571910067,1,10,4,67,"2;1","EsIObls5",100,6,5,0,1,1
20,0.785082778444739,2,1,4,68,"2;1","EsIObls5",100,6,5,0,1,1
21,0.575602353104556,2,2,4,70,"2;1","EsIObls5",100,6,5,0,1,1
22,0.841334285980688,1,-5,4,65,"2;1","EsIObls5",100,6,5,0,1,1
23,1.11842172446991,1,2,4,67,"2;1","EsIObls5",100,6,5,0,1,1
24,0.604960457373721,2,2,4,69,"2;1","EsIObls5",100,6,5,0,1,1
25,0.5,1,11,4,80,"2;1","EsIObls5",100,6,5,0,1,1
1,1.15905921619493,1,11,5,11,"2;1","EsIObls5",100,6,5,0,1,1
2,0.700150368434205,1,16,5,27,"2;1","EsIObls5",100,6,5,0,1,1
3,1.03547610144953,1,-8,5,19,"2;1","EsIObls5",100,6,5,0,1,1
4,0.892105697472911,2,6,5,25,"2;1","EsIObls5",100,6,5,0,1,1
5,0.823527687016478,1,8,5,33,"2;1","EsIObls5",100,6,5,0,1,1
6,0.622835402316921,2,2,5,35,"2;1","EsIObls5",100,6,5,0,1,1
7,0.768715372902627,1,28,5,63,"2;1","EsIObls5",100,6,5,0,1,1
8,0.885864342992731,2,5,5,68,"2;1","EsIObls5",100,6,5,0,1,1
9,1.23967495502162,1,9,5,77,"2;1","EsIObls5",100,6,5,0,1,1
10,0.5,2,0,5,77,"2;1","EsIObls5",100,6,5,0,1,1
11,0.5,2,2,5,79,"2;1","EsIObls5",100,6,5,0,1,1
12,0.833988977197598,1,-2,5,77,"2;1","EsIObls5",100,6,5,0,1,1
13,1.28558500342568,1,-2,5,75,"2;1","EsIObls5",100,6,5,0,1,1
14,0.756900851650822,1,8,5,83,"2;1","EsIObls5",100,6,5,0,1,1
15,0.5,2,-1,5,82,"2;1","EsIObls5",100,6,5,0,1,1
16,0.925535629775503,1,11,5,93,"2;1","EsIObls5",100,6,5,0,1,1
17,0.892912160402271,1,3,5,96,"2;1","EsIObls5",100,6,5,0,1,1
18,0.82843674706353,1,16,5,112,"2;1","EsIObls5",100,6,5,0,1,1
19,0.843667372847826,2,2,5,114,"2;1","EsIObls5",100,6,5,0,1,1
20,0.504691913373011,2,-1,5,113,"2;1","EsIObls5",100,6,5,0,1,1
21,0.51395177541097,2,0,5,113,"2;1","EsIObls5",100,6,5,0,1,1
22,0.742013157085301,2,2,5,115,"2;1","EsIObls5",100,6,5,0,1,1
23,1.3765074856136,2,3,5,118,"2;1","EsIObls5",100,6,5,0,1,1
24,0.78814818495454,2,5,5,123,"2;1","EsIObls5",100,6,5,0,1,1
25,0.826300239113058,1,-1,5,122,"2;1","EsIObls5",100,6,5,0,1,1
1,0.696989708257629,2,1,6,1,"2;1","EsIObls5",100,6,5,0,1,1
2,0.72333168689079,2,5,6,6,"2;1","EsIObls5",100,6,5,0,1,1
3,0.501286168833255,2,4,6,10,"2;1","EsIObls5",100,6,5,0,1,1
4,0.637028790322889,2,6,6,16,"2;1","EsIObls5",100,6,5,0,1,1
5,0.5,2,2,6,18,"2;1","EsIObls5",100,6,5,0,1,1
6,0.58793660258786,1,-11,6,7,"2;1","EsIObls5",100,6,5,0,1,1
7,0.560167808380046,2,1,6,8,"2;1","EsIObls5",100,6,5,0,1,1
8,0.596914381301368,2,1,6,9,"2;1","EsIObls5",100,6,5,0,1,1
9,0.969436453634669,2,5,6,14,"2;1","EsIObls5",100,6,5,0,1,1
10,0.637785228377179,1,24,6,38,"2;1","EsIObls5",100,6,5,0,1,1
11,0.664923544671692,1,16,6,54,"2;1","EsIObls5",100,6,5,0,1,1
12,0.996011878380874,2,1,6,55,"2;1","EsIObls5",100,6,5,0,1,1
13,0.693290439168122,1,24,6,79,"2;1","EsIObls5",100,6,5,0,1,1
14,0.703246741595202,1,0,6,79,"2;1","EsIObls5",100,6,5,0,1,1
15,1.30385360387518,2,0,6,79,"2;1","EsIObls5",100,6,5,0,1,1
16,1.35284501316618,2,4,6,83,"2;1","EsIObls5",100,6,5,0,1,1
17,0.572347213381549,1,3,6,86,"2;1","EsIObls5",100,6,5,0,1,1
18,1.33384819573565,1,5,6,91,"2;1","EsIObls5",100,6,5,0,1,1
19,1.03868372247726,1,16,6,107,"2;1","EsIObls5",100,6,5,0,1,1
20,0.815767483572689,1,13,6,120,"2;1","EsIObls5",100,6,5,0,1,1
21,1.19790896752172,2,1,6,121,"2;1","EsIObls5",100,6,5,0,1,1
22,0.59322569243063,2,1,6,122,"2;1","EsIObls5",100,6,5,0,1,1
23,0.835128123893544,1,-7,6,115,"2;1","EsIObls5",100,6,5,0,1,1
24,1.05095352354351,1,-15,6,100,"2;1","EsIObls5",100,6,5,0,1,1
25,0.726755585819924,2,1,6,101,"2;1","EsIObls5",100,6,5,0,1,1
1,0.891252619837669,2,10,7,10,"1;2","EsIObls5",100,6,5,0,1,1
2,1.25780668226046,2,0,7,10,"1;2","EsIObls5",100,6,5,0,1,1
3,0.61026017407891,2,17,7,27,"1;2","EsIObls5",100,6,5,0,1,1
4,0.5,2,-2,7,25,"1;2","EsIObls5",100,6,5,0,1,1
5,0.5,2,13,7,38,"1;2","EsIObls5",100,6,5,0,1,1
6,0.5,2,1,7,39,"1;2","EsIObls5",100,6,5,0,1,1
7,0.549630932628254,1,6,7,45,"1;2","EsIObls5",100,6,5,0,1,1
8,0.5,2,10,7,55,"1;2","EsIObls5",100,6,5,0,1,1
9,0.50770176107495,2,16,7,71,"1;2","EsIObls5",100,6,5,0,1,1
10,0.940196936282113,2,-5,7,66,"1;2","EsIObls5",100,6,5,0,1,1
11,0.5,2,3,7,69,"1;2","EsIObls5",100,6,5,0,1,1
12,0.710733927787887,1,3,7,72,"1;2","EsIObls5",100,6,5,0,1,1
13,1.21420041807824,1,4,7,76,"1;2","EsIObls5",100,6,5,0,1,1
14,0.999825335796253,1,4,7,80,"1;2","EsIObls5",100,6,5,0,1,1
15,1.10304928249338,1,3,7,83,"1;2","EsIObls5",100,6,5,0,1,1
16,0.749188891916054,2,15,7,98,"1;2","EsIObls5",100,6,5,0,1,1
17,1.01838246195025,1,-1,7,97,"1;2","EsIObls5",100,6,5,0,1,1
18,1.04654502129537,1,1,7,98,"1;2","EsIObls5",100,6,5,0,1,1
19,1.0851933858601,2,0,7,98,"1;2","EsIObls5",100,6,5,0,1,1
20,0.660053964592962,1,3,7,101,"1;2","EsIObls5",100,6,5,0,1,1
21,1.28990438194636,2,4,7,105,"1;2","EsIObls5",100,6,5,0,1,1
22,0.945144934349329,2,15,7,120,"1;2","EsIObls5",100,6,5,0,1,1
