"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.1435111868037,2,3,1,3,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
2,0.550847335434983,2,5,1,8,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
3,0.826887523192846,2,1,1,9,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
4,0.761497208406769,2,3,1,12,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
5,0.590405040986795,2,2,1,14,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
6,1.10247723367492,2,2,1,16,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
7,0.646535509444358,2,0,1,16,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
8,0.860823512965793,2,3,1,19,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
9,0.507053989378955,2,3,1,22,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
10,1.01623489144962,1,3,1,25,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
11,0.585937678000361,2,2,1,27,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
12,0.80829910597781,2,3,1,30,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
13,0.923668815010692,2,1,1,31,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
14,0.978816716459927,1,2,1,33,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
15,0.738615871406225,2,5,1,38,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
16,0.824373476746496,2,4,1,42,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
17,0.837645180385594,2,3,1,45,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
18,0.77299307401365,1,4,1,49,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
19,0.558825669485589,2,4,1,53,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
20,0.5,1,4,1,57,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
1,1.3084151204604,1,7,2,7,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
2,0.958840536383136,1,-1,2,6,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
3,0.505333660413661,1,30,2,36,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
4,0.853971566306839,1,2,2,38,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
5,0.5,2,5,2,43,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
6,0.691748456892852,1,-10,2,33,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
7,0.979012429795295,2,3,2,36,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
8,0.909868076476488,1,5,2,41,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
9,0.779196187018509,2,8,2,49,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
10,0.816438729706025,2,6,2,55,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
11,0.700930981902724,2,5,2,60,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
12,0.944944713569803,2,3,2,63,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
13,0.825110993853878,2,1,2,64,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
14,0.730972483180355,2,4,2,68,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
15,0.628396669947015,1,-4,2,64,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
16,0.875465918439108,2,5,2,69,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
17,0.741148905196045,1,16,2,85,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
18,0.5,1,1,2,86,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
19,1.04938572685035,1,19,2,105,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
20,0.847979777950784,1,0,2,105,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
21,0.75612447650932,1,-20,2,85,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
22,1.00290014771118,2,4,2,89,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
23,0.880886571070077,1,-5,2,84,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
24,0.508335410585447,2,6,2,90,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
25,0.845705754842754,2,3,2,93,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
1,0.5,1,-20,3,-20,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
2,0.599033339062933,2,4,3,-16,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
3,0.682647110198566,2,5,3,-11,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
4,0.737602153106441,2,-1,3,-12,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
5,0.702163354019521,2,9,3,-3,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
6,0.742571760467695,1,0,3,-3,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
7,0.5,2,4,3,1,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
8,0.766593638043783,2,3,3,4,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
9,0.607459639218617,2,4,3,8,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
10,0.5,2,3,3,11,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
11,0.784613185256275,1,-9,3,2,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
12,0.5,2,2,3,4,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
13,0.986558151376312,2,3,3,7,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
14,0.77321810876551,2,3,3,10,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
15,1.12677268683233,2,2,3,12,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
16,0.988726784465647,2,6,3,18,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
17,1.27384720752164,2,5,3,23,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
18,0.953556067993638,2,3,3,26,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
19,0.724125537839783,2,7,3,33,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
20,0.789869638935028,2,3,3,36,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
21,0.699677342807774,2,4,3,40,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
22,0.829352940830568,2,6,3,46,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
23,0.822616130315471,2,7,3,53,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
24,0.589732349914919,2,6,3,59,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
25,0.5,2,3,3,62,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
1,1.01152202537172,2,4,4,4,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
2,0.657468290899911,2,1,4,5,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
3,0.565361553540319,1,-8,4,-3,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
4,1.18537924479357,2,4,4,1,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
5,0.955167651885961,2,2,4,3,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
6,0.672283518862155,2,6,4,9,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
7,1.0449773650516,2,7,4,16,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
8,0.795272725986682,2,5,4,21,"2;1","FKP9EPcL",0,2,NA,0,0.88,2
