"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.820688587149174,1,4,1,4,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
2,0.813840605859206,1,5,1,9,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
3,0.987626827646017,1,5,1,14,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
4,0.864982226498531,1,4,1,18,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
5,0.540971816177816,1,2,1,20,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
6,0.5,1,5,1,25,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
7,1.18075152794048,1,1,1,26,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
8,1.23890234642136,1,1,1,27,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
9,1.08141467862789,1,4,1,31,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
10,0.670802456367446,1,4,1,35,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
11,0.986813582683742,1,3,1,38,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
12,0.5,1,2,1,40,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
13,0.781891774203291,1,2,1,42,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
14,0.5,1,-1,1,41,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
15,0.5,1,6,1,47,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
16,0.892666730806199,1,2,1,49,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
17,0.715234130673621,1,0,1,49,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
18,0.874973287315332,1,5,1,54,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
19,0.568966401737096,1,0,1,54,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
20,0.849343324911457,1,0,1,54,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
1,0.6077065840792,1,13,2,13,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
2,0.700128090336676,1,-16,2,-3,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
3,0.885621724068769,2,-2,2,-5,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
4,0.875771134317935,2,4,2,-1,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
5,0.628593965402272,2,6,2,5,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
6,0.834362955365514,2,4,2,9,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
7,0.5,2,2,2,11,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
8,1.05892051943188,1,15,2,26,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
9,1.31581783576622,1,8,2,34,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
10,0.874226841873628,1,2,2,36,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
11,0.577629171381853,1,15,2,51,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
12,0.577659146167818,1,7,2,58,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
13,1.14549386852082,1,1,2,59,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
14,0.784617027554674,1,11,2,70,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
15,0.910981072040402,1,-17,2,53,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
16,1.12093207882598,2,2,2,55,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
17,0.631729435629319,2,3,2,58,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
18,0.711992045442143,2,3,2,61,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
19,0.593364815215133,2,2,2,63,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
20,1.01533105271417,1,26,2,89,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
21,0.5,1,-8,2,81,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
22,0.5,2,3,2,84,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
23,0.807810765314426,2,6,2,90,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
24,0.625228110469827,2,4,2,94,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
25,1.089931701055,2,6,2,100,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
1,0.545873989186076,2,-2,3,-2,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
2,0.692886707963021,1,6,3,4,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
3,0.568151628254525,1,3,3,7,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
4,0.595954304551578,1,2,3,9,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
5,1.00219837356127,2,-8,3,1,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
6,0.833981439833681,1,-1,3,0,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
7,0.745394381440141,1,2,3,2,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
8,1.24242729279915,2,9,3,11,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
9,0.952160528171276,1,8,3,19,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
10,0.5,1,2,3,21,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
11,0.750314694106721,1,6,3,27,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
12,0.5,1,4,3,31,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
13,0.595019889550502,1,5,3,36,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
14,0.52860317337514,1,6,3,42,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
15,0.605450173359857,1,7,3,49,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
16,1.10231944613968,1,4,3,53,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
17,1.12478138747382,1,5,3,58,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
18,0.743905415963827,1,4,3,62,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
19,0.5,2,9,3,71,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
20,0.792845950810228,1,1,3,72,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
21,0.988513099782954,2,12,3,84,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
22,0.5,2,-4,3,80,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
23,0.632312471178279,1,2,3,82,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
24,0.682393782613805,2,9,3,91,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
25,0.836041040573248,2,25,3,116,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
1,0.912848650452564,2,1,4,1,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
2,0.836032737420949,2,8,4,9,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
3,0.678536473227325,2,5,4,14,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
4,1.25937416273078,2,3,4,17,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
5,1.06492399717468,2,7,4,24,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
6,1.01945655563628,2,4,4,28,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
7,1.25395829988693,2,6,4,34,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
8,0.724936723605451,2,6,4,40,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
9,0.997146077928044,2,6,4,46,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
10,0.746378283009472,2,5,4,51,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
11,0.602581936986333,2,8,4,59,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
12,1.00056569821011,2,5,4,64,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
13,0.788979322665693,2,3,4,67,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
14,0.737593835978152,2,8,4,75,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
15,0.5,2,3,4,78,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
16,0.642293395667225,2,4,4,82,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
17,0.983236787079085,2,7,4,89,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
18,0.806255691750403,2,4,4,93,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
19,0.723698021335202,2,1,4,94,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
20,0.696727237139089,2,5,4,99,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
21,0.944952356974071,2,5,4,104,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
22,0.5,2,6,4,110,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
23,0.842504828382292,2,1,4,111,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
24,0.704290275384746,2,5,4,116,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
25,0.5,2,7,4,123,"2;1","FUPzb2Dd",0,1,NA,0,1.28,3
1,0.81424293042187,2,8,5,8,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
2,1.0528922152845,2,17,5,25,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
3,0.951930728791327,2,3,5,28,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
4,0.814549470066974,2,-18,5,10,"1;2","FUPzb2Dd",0,1,NA,0,1.28,3
