"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.705073808377736,2,6,1,6,"1;2","FhvQGWPA",100,4,6,0,1.2,1
2,0.570000801906353,2,5,1,11,"1;2","FhvQGWPA",100,4,6,0,1.2,1
3,1.04007686332983,1,0,1,11,"1;2","FhvQGWPA",100,4,6,0,1.2,1
4,0.702645627043789,2,3,1,14,"1;2","FhvQGWPA",100,4,6,0,1.2,1
5,1.06788670169207,1,1,1,15,"1;2","FhvQGWPA",100,4,6,0,1.2,1
6,0.553045696334822,2,2,1,17,"1;2","FhvQGWPA",100,4,6,0,1.2,1
7,0.914776065132334,1,1,1,18,"1;2","FhvQGWPA",100,4,6,0,1.2,1
8,0.723887599926607,1,1,1,19,"1;2","FhvQGWPA",100,4,6,0,1.2,1
9,0.914860224170248,1,2,1,21,"1;2","FhvQGWPA",100,4,6,0,1.2,1
10,0.976076518791671,1,5,1,26,"1;2","FhvQGWPA",100,4,6,0,1.2,1
11,0.782905495946691,1,3,1,29,"1;2","FhvQGWPA",100,4,6,0,1.2,1
12,0.575086217587787,1,1,1,30,"1;2","FhvQGWPA",100,4,6,0,1.2,1
13,0.88270906253488,2,0,1,30,"1;2","FhvQGWPA",100,4,6,0,1.2,1
14,1.14863976437469,1,4,1,34,"1;2","FhvQGWPA",100,4,6,0,1.2,1
15,0.543350757297663,2,1,1,35,"1;2","FhvQGWPA",100,4,6,0,1.2,1
16,0.712827409759202,1,4,1,39,"1;2","FhvQGWPA",100,4,6,0,1.2,1
17,1.19407338895922,1,1,1,40,"1;2","FhvQGWPA",100,4,6,0,1.2,1
18,0.5,1,5,1,45,"1;2","FhvQGWPA",100,4,6,0,1.2,1
19,0.5,1,3,1,48,"1;2","FhvQGWPA",100,4,6,0,1.2,1
20,0.966233461902683,2,3,1,51,"1;2","FhvQGWPA",100,4,6,0,1.2,1
1,0.900541049960271,1,-1,2,-1,"1;2","FhvQGWPA",100,4,6,0,1.2,1
2,0.84569920982197,2,4,2,3,"1;2","FhvQGWPA",100,4,6,0,1.2,1
3,0.506858519505127,2,1,2,4,"1;2","FhvQGWPA",100,4,6,0,1.2,1
