"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,3,1,3,"1;2","Fso7jbVG",100,5,4,0,0.8,2
2,1.21396305332208,1,1,1,4,"1;2","Fso7jbVG",100,5,4,0,0.8,2
3,0.729180192860105,1,2,1,6,"1;2","Fso7jbVG",100,5,4,0,0.8,2
4,0.857094710801008,1,1,1,7,"1;2","Fso7jbVG",100,5,4,0,0.8,2
5,1.27733394758244,1,9,1,16,"1;2","Fso7jbVG",100,5,4,0,0.8,2
6,0.939474723174241,1,4,1,20,"1;2","Fso7jbVG",100,5,4,0,0.8,2
7,0.843130582517331,1,3,1,23,"1;2","Fso7jbVG",100,5,4,0,0.8,2
8,0.661658031469665,1,5,1,28,"1;2","Fso7jbVG",100,5,4,0,0.8,2
9,1.03102185254872,1,6,1,34,"1;2","Fso7jbVG",100,5,4,0,0.8,2
10,0.880328799744165,2,5,1,39,"1;2","Fso7jbVG",100,5,4,0,0.8,2
11,0.816191237222381,1,7,1,46,"1;2","Fso7jbVG",100,5,4,0,0.8,2
12,1.08468706087917,1,2,1,48,"1;2","Fso7jbVG",100,5,4,0,0.8,2
13,1.17149478159299,1,-1,1,47,"1;2","Fso7jbVG",100,5,4,0,0.8,2
14,0.887698287482557,1,6,1,53,"1;2","Fso7jbVG",100,5,4,0,0.8,2
15,0.845890043563231,1,1,1,54,"1;2","Fso7jbVG",100,5,4,0,0.8,2
16,0.796521686362086,1,2,1,56,"1;2","Fso7jbVG",100,5,4,0,0.8,2
17,0.731632032619837,1,2,1,58,"1;2","Fso7jbVG",100,5,4,0,0.8,2
18,0.652720513048871,2,4,1,62,"1;2","Fso7jbVG",100,5,4,0,0.8,2
19,0.63696485864557,1,3,1,65,"1;2","Fso7jbVG",100,5,4,0,0.8,2
20,0.815976668997076,2,2,1,67,"1;2","Fso7jbVG",100,5,4,0,0.8,2
1,1.43876781266187,2,6,2,6,"2;1","Fso7jbVG",100,5,4,0,0.8,2
2,0.892485278235308,2,5,2,11,"2;1","Fso7jbVG",100,5,4,0,0.8,2
3,1.06425953560596,2,6,2,17,"2;1","Fso7jbVG",100,5,4,0,0.8,2
4,0.5,1,19,2,36,"2;1","Fso7jbVG",100,5,4,0,0.8,2
5,0.5,2,6,2,42,"2;1","Fso7jbVG",100,5,4,0,0.8,2
6,1.25084042135176,2,4,2,46,"2;1","Fso7jbVG",100,5,4,0,0.8,2
7,1.18557105879214,2,4,2,50,"2;1","Fso7jbVG",100,5,4,0,0.8,2
8,0.622018515567463,2,2,2,52,"2;1","Fso7jbVG",100,5,4,0,0.8,2
9,1.35335771247076,1,0,2,52,"2;1","Fso7jbVG",100,5,4,0,0.8,2
10,0.5,1,20,2,72,"2;1","Fso7jbVG",100,5,4,0,0.8,2
11,1.11978860742512,1,-11,2,61,"2;1","Fso7jbVG",100,5,4,0,0.8,2
12,1.1548630610583,1,9,2,70,"2;1","Fso7jbVG",100,5,4,0,0.8,2
13,1.58287128414594,2,4,2,74,"2;1","Fso7jbVG",100,5,4,0,0.8,2
14,1.36349064273573,2,3,2,77,"2;1","Fso7jbVG",100,5,4,0,0.8,2
15,0.5,2,6,2,83,"2;1","Fso7jbVG",100,5,4,0,0.8,2
16,0.697655229029172,2,6,2,89,"2;1","Fso7jbVG",100,5,4,0,0.8,2
17,1.04889235793772,2,5,2,94,"2;1","Fso7jbVG",100,5,4,0,0.8,2
18,0.5,2,5,2,99,"2;1","Fso7jbVG",100,5,4,0,0.8,2
19,0.948722116415015,1,-1,2,98,"2;1","Fso7jbVG",100,5,4,0,0.8,2
20,0.5,1,15,2,113,"2;1","Fso7jbVG",100,5,4,0,0.8,2
21,0.50296329218363,2,6,2,119,"2;1","Fso7jbVG",100,5,4,0,0.8,2
22,1.07176864828587,1,10,2,129,"2;1","Fso7jbVG",100,5,4,0,0.8,2
23,0.652373534747757,2,2,2,131,"2;1","Fso7jbVG",100,5,4,0,0.8,2
24,0.966589117049549,2,5,2,136,"2;1","Fso7jbVG",100,5,4,0,0.8,2
25,0.695778437337258,1,19,2,155,"2;1","Fso7jbVG",100,5,4,0,0.8,2
1,1.00587299993581,1,7,3,7,"1;2","Fso7jbVG",100,5,4,0,0.8,2
2,0.704903121965066,2,-16,3,-9,"1;2","Fso7jbVG",100,5,4,0,0.8,2
3,1.24103629947769,1,9,3,0,"1;2","Fso7jbVG",100,5,4,0,0.8,2
4,0.811065860633482,1,5,3,5,"1;2","Fso7jbVG",100,5,4,0,0.8,2
5,0.545524400314425,2,3,3,8,"1;2","Fso7jbVG",100,5,4,0,0.8,2
6,0.716835319251652,2,10,3,18,"1;2","Fso7jbVG",100,5,4,0,0.8,2
7,0.51012999697205,2,6,3,24,"1;2","Fso7jbVG",100,5,4,0,0.8,2
8,0.55809765021729,2,10,3,34,"1;2","Fso7jbVG",100,5,4,0,0.8,2
9,0.510724896341888,2,-5,3,29,"1;2","Fso7jbVG",100,5,4,0,0.8,2
10,0.735703832451373,1,2,3,31,"1;2","Fso7jbVG",100,5,4,0,0.8,2
11,0.803043230397859,1,8,3,39,"1;2","Fso7jbVG",100,5,4,0,0.8,2
12,1.06050065343727,2,-5,3,34,"1;2","Fso7jbVG",100,5,4,0,0.8,2
13,0.520233038907285,2,-8,3,26,"1;2","Fso7jbVG",100,5,4,0,0.8,2
14,0.875117394862183,2,-2,3,24,"1;2","Fso7jbVG",100,5,4,0,0.8,2
15,0.5,1,6,3,30,"1;2","Fso7jbVG",100,5,4,0,0.8,2
16,0.763703557411056,2,4,3,34,"1;2","Fso7jbVG",100,5,4,0,0.8,2
17,0.78157282873761,1,3,3,37,"1;2","Fso7jbVG",100,5,4,0,0.8,2
18,0.635640410862792,2,-16,3,21,"1;2","Fso7jbVG",100,5,4,0,0.8,2
19,0.726044983415796,2,-9,3,12,"1;2","Fso7jbVG",100,5,4,0,0.8,2
20,0.573650853044683,2,-33,3,-21,"1;2","Fso7jbVG",100,5,4,0,0.8,2
21,0.946184433398266,2,-19,3,-40,"1;2","Fso7jbVG",100,5,4,0,0.8,2
22,0.5,2,-9,3,-49,"1;2","Fso7jbVG",100,5,4,0,0.8,2
23,0.705123283246503,1,1,3,-48,"1;2","Fso7jbVG",100,5,4,0,0.8,2
24,0.880780021038359,1,10,3,-38,"1;2","Fso7jbVG",100,5,4,0,0.8,2
25,0.591722245435658,2,0,3,-38,"1;2","Fso7jbVG",100,5,4,0,0.8,2
1,0.691759984862516,2,13,4,13,"1;2","Fso7jbVG",100,5,4,0,0.8,2
2,0.837466756619254,2,1,4,14,"1;2","Fso7jbVG",100,5,4,0,0.8,2
3,0.5,1,2,4,16,"1;2","Fso7jbVG",100,5,4,0,0.8,2
4,0.5,2,12,4,28,"1;2","Fso7jbVG",100,5,4,0,0.8,2
5,0.687904924909069,2,5,4,33,"1;2","Fso7jbVG",100,5,4,0,0.8,2
6,1.09346016955034,2,-5,4,28,"1;2","Fso7jbVG",100,5,4,0,0.8,2
7,0.761730184799529,2,2,4,30,"1;2","Fso7jbVG",100,5,4,0,0.8,2
8,0.92967485035607,2,20,4,50,"1;2","Fso7jbVG",100,5,4,0,0.8,2
9,0.982220262283461,2,7,4,57,"1;2","Fso7jbVG",100,5,4,0,0.8,2
10,0.5,2,-16,4,41,"1;2","Fso7jbVG",100,5,4,0,0.8,2
11,0.5,2,-4,4,37,"1;2","Fso7jbVG",100,5,4,0,0.8,2
12,0.712020194110741,1,5,4,42,"1;2","Fso7jbVG",100,5,4,0,0.8,2
13,0.762321553143441,2,17,4,59,"1;2","Fso7jbVG",100,5,4,0,0.8,2
14,0.739241108370992,1,7,4,66,"1;2","Fso7jbVG",100,5,4,0,0.8,2
15,0.896146427887933,2,-17,4,49,"1;2","Fso7jbVG",100,5,4,0,0.8,2
16,0.754849322654241,1,12,4,61,"1;2","Fso7jbVG",100,5,4,0,0.8,2
17,0.926816573165128,1,2,4,63,"1;2","Fso7jbVG",100,5,4,0,0.8,2
18,0.655819679421865,1,7,4,70,"1;2","Fso7jbVG",100,5,4,0,0.8,2
19,0.811843921308871,2,-2,4,68,"1;2","Fso7jbVG",100,5,4,0,0.8,2
20,0.898344457431966,1,4,4,72,"1;2","Fso7jbVG",100,5,4,0,0.8,2
21,0.705352782274885,2,7,4,79,"1;2","Fso7jbVG",100,5,4,0,0.8,2
22,1.12154914716333,2,-8,4,71,"1;2","Fso7jbVG",100,5,4,0,0.8,2
23,0.796999927598531,2,18,4,89,"1;2","Fso7jbVG",100,5,4,0,0.8,2
