"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.902389572447125,2,6,1,6,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
2,0.539522382919799,1,6,1,12,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
3,0.815206109621508,1,2,1,14,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
4,0.681632053434195,1,3,1,17,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
5,0.911540495770159,2,1,1,18,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
6,0.754653681177815,1,0,1,18,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
7,0.5,1,1,1,19,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
8,0.844306380660182,2,4,1,23,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
9,0.5,1,4,1,27,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
10,0.890240565879502,2,3,1,30,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
11,0.5,2,4,1,34,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
12,1.25098204276075,2,2,1,36,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
13,0.759780122909607,1,4,1,40,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
14,0.5,2,1,1,41,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
15,0.540597934910772,1,6,1,47,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
16,0.870909406595802,1,3,1,50,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
17,0.854753102724569,1,3,1,53,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
18,0.5,1,4,1,57,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
19,1.17190481290568,2,3,1,60,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
20,0.970396685174719,1,3,1,63,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
1,1.11706066450344,1,-3,2,-3,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
2,0.722067185366937,1,9,2,6,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
3,0.873534671027877,1,-20,2,-14,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
4,0.642854660457193,2,5,2,-9,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
5,0.966720422605425,2,-1,2,-10,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
6,0.669518330772297,2,4,2,-6,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
7,0.635771002478285,1,17,2,11,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
8,1.06031667377192,1,0,2,11,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
9,0.871063341295045,2,6,2,17,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
10,0.68958753212613,2,3,2,20,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
11,1.08735682630306,2,9,2,29,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
12,0.881654824466134,1,-15,2,14,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
13,1.07739428444879,2,1,2,15,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
14,0.66078854056003,2,6,2,21,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
15,0.574222943555738,2,9,2,30,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
16,0.5,2,8,2,38,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
17,0.908384549139898,2,0,2,38,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
18,1.2091350374039,2,1,2,39,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
19,1.10929096172492,2,3,2,42,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
20,1.211250008986,2,3,2,45,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
21,0.738863009416482,2,0,2,45,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
22,1.00986142731107,2,7,2,52,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
23,0.809974964886056,2,4,2,56,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
24,1.02272774380613,1,-2,2,54,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
25,0.958931617466375,2,3,2,57,"2;1","GOUUzTHq",0,1,NA,0,1.06,3
1,0.718858747089783,1,0,3,0,"1;2","GOUUzTHq",0,1,NA,0,1.06,3
2,0.5,2,19,3,19,"1;2","GOUUzTHq",0,1,NA,0,1.06,3
3,1.08607608481361,2,25,3,44,"1;2","GOUUzTHq",0,1,NA,0,1.06,3
4,0.961246941318029,2,-9,3,35,"1;2","GOUUzTHq",0,1,NA,0,1.06,3
