"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.994840083119704,1,4,1,4,"1;2","GWk3PCFc",0,1,NA,2,1,2
2,0.891660445868839,1,-2,1,2,"1;2","GWk3PCFc",0,1,NA,2,1,2
3,0.846705616337864,1,0,1,2,"1;2","GWk3PCFc",0,1,NA,2,1,2
4,0.6212291919215,1,4,1,6,"1;2","GWk3PCFc",0,1,NA,2,1,2
5,0.799727379127893,1,4,1,10,"1;2","GWk3PCFc",0,1,NA,2,1,2
6,0.716762430437207,2,4,1,14,"1;2","GWk3PCFc",0,1,NA,2,1,2
7,0.682435885549246,1,3,1,17,"1;2","GWk3PCFc",0,1,NA,2,1,2
8,0.563531377073166,1,-1,1,16,"1;2","GWk3PCFc",0,1,NA,2,1,2
9,0.787765058827465,1,0,1,16,"1;2","GWk3PCFc",0,1,NA,2,1,2
10,0.712596823460881,1,5,1,21,"1;2","GWk3PCFc",0,1,NA,2,1,2
11,0.5,1,4,1,25,"1;2","GWk3PCFc",0,1,NA,2,1,2
12,0.910663309109849,1,5,1,30,"1;2","GWk3PCFc",0,1,NA,2,1,2
13,0.5,2,1,1,31,"1;2","GWk3PCFc",0,1,NA,2,1,2
14,0.907670495740096,1,1,1,32,"1;2","GWk3PCFc",0,1,NA,2,1,2
15,1.1384336829986,1,5,1,37,"1;2","GWk3PCFc",0,1,NA,2,1,2
16,0.5,1,5,1,42,"1;2","GWk3PCFc",0,1,NA,2,1,2
17,0.743576956917015,2,6,1,48,"1;2","GWk3PCFc",0,1,NA,2,1,2
18,0.5,1,3,1,51,"1;2","GWk3PCFc",0,1,NA,2,1,2
19,0.69014827279332,1,0,1,51,"1;2","GWk3PCFc",0,1,NA,2,1,2
20,0.56770824602074,1,1,1,52,"1;2","GWk3PCFc",0,1,NA,2,1,2
1,0.784028239604036,1,1,2,1,"2;1","GWk3PCFc",0,1,NA,2,1,2
2,1.16757258485787,1,3,2,4,"2;1","GWk3PCFc",0,1,NA,2,1,2
3,1.00530168477826,2,2,2,6,"2;1","GWk3PCFc",0,1,NA,2,1,2
4,0.82318122759766,1,31,2,37,"2;1","GWk3PCFc",0,1,NA,2,1,2
5,1.01146859719475,1,27,2,64,"2;1","GWk3PCFc",0,1,NA,2,1,2
6,0.762120008974169,1,13,2,77,"2;1","GWk3PCFc",0,1,NA,2,1,2
7,0.965254084094666,1,7,2,84,"2;1","GWk3PCFc",0,1,NA,2,1,2
8,0.5,2,6,2,90,"2;1","GWk3PCFc",0,1,NA,2,1,2
9,0.594175255890657,1,-22,2,68,"2;1","GWk3PCFc",0,1,NA,2,1,2
10,0.75241209335245,1,-15,2,53,"2;1","GWk3PCFc",0,1,NA,2,1,2
11,0.5,2,6,2,59,"2;1","GWk3PCFc",0,1,NA,2,1,2
12,0.828984629942422,2,3,2,62,"2;1","GWk3PCFc",0,1,NA,2,1,2
13,0.5,2,8,2,70,"2;1","GWk3PCFc",0,1,NA,2,1,2
14,0.921845176125359,2,2,2,72,"2;1","GWk3PCFc",0,1,NA,2,1,2
15,0.87625692425147,2,7,2,79,"2;1","GWk3PCFc",0,1,NA,2,1,2
16,0.796407023839478,2,4,2,83,"2;1","GWk3PCFc",0,1,NA,2,1,2
17,0.779719048414633,2,4,2,87,"2;1","GWk3PCFc",0,1,NA,2,1,2
18,1.00544615678054,2,7,2,94,"2;1","GWk3PCFc",0,1,NA,2,1,2
19,0.748650268695163,2,3,2,97,"2;1","GWk3PCFc",0,1,NA,2,1,2
20,0.64499721711056,2,8,2,105,"2;1","GWk3PCFc",0,1,NA,2,1,2
21,1.07956174783317,2,3,2,108,"2;1","GWk3PCFc",0,1,NA,2,1,2
22,0.68196736805627,2,8,2,116,"2;1","GWk3PCFc",0,1,NA,2,1,2
23,1.02507854283902,2,6,2,122,"2;1","GWk3PCFc",0,1,NA,2,1,2
24,0.61342427634483,2,-1,2,121,"2;1","GWk3PCFc",0,1,NA,2,1,2
25,0.690879277299892,2,1,2,122,"2;1","GWk3PCFc",0,1,NA,2,1,2
1,0.752088677748145,1,2,3,2,"1;2","GWk3PCFc",0,1,NA,2,1,2
2,0.681558125226214,1,4,3,6,"1;2","GWk3PCFc",0,1,NA,2,1,2
3,0.747462377929216,1,8,3,14,"1;2","GWk3PCFc",0,1,NA,2,1,2
4,0.862254624799347,1,5,3,19,"1;2","GWk3PCFc",0,1,NA,2,1,2
5,0.75097665788635,1,5,3,24,"1;2","GWk3PCFc",0,1,NA,2,1,2
6,1.21557468739707,1,7,3,31,"1;2","GWk3PCFc",0,1,NA,2,1,2
7,1.14358580504153,1,4,3,35,"1;2","GWk3PCFc",0,1,NA,2,1,2
8,0.890137273971317,1,8,3,43,"1;2","GWk3PCFc",0,1,NA,2,1,2
9,0.584568218388987,1,7,3,50,"1;2","GWk3PCFc",0,1,NA,2,1,2
10,0.794259033267886,1,4,3,54,"1;2","GWk3PCFc",0,1,NA,2,1,2
11,0.600230618367981,1,0,3,54,"1;2","GWk3PCFc",0,1,NA,2,1,2
12,0.5,1,0,3,54,"1;2","GWk3PCFc",0,1,NA,2,1,2
13,1.32481774345499,1,3,3,57,"1;2","GWk3PCFc",0,1,NA,2,1,2
14,0.79973551489558,1,1,3,58,"1;2","GWk3PCFc",0,1,NA,2,1,2
15,0.797038977986687,1,9,3,67,"1;2","GWk3PCFc",0,1,NA,2,1,2
16,0.871290259425449,1,6,3,73,"1;2","GWk3PCFc",0,1,NA,2,1,2
17,0.575129910956637,1,0,3,73,"1;2","GWk3PCFc",0,1,NA,2,1,2
18,0.5,1,5,3,78,"1;2","GWk3PCFc",0,1,NA,2,1,2
19,0.901203461876462,1,2,3,80,"1;2","GWk3PCFc",0,1,NA,2,1,2
20,1.14073300729073,1,3,3,83,"1;2","GWk3PCFc",0,1,NA,2,1,2
21,0.795805890275525,1,5,3,88,"1;2","GWk3PCFc",0,1,NA,2,1,2
22,0.741804484186803,1,2,3,90,"1;2","GWk3PCFc",0,1,NA,2,1,2
23,0.548171607573944,1,5,3,95,"1;2","GWk3PCFc",0,1,NA,2,1,2
24,0.697174450913141,1,5,3,100,"1;2","GWk3PCFc",0,1,NA,2,1,2
25,0.5,1,3,3,103,"1;2","GWk3PCFc",0,1,NA,2,1,2
1,0.795821041166198,2,3,4,3,"1;2","GWk3PCFc",0,1,NA,2,1,2
2,0.558352561912719,2,2,4,5,"1;2","GWk3PCFc",0,1,NA,2,1,2
