"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.552224434874973,1,4,1,4,"2;1","HEcysvgO",0,2,NA,0,1.01,3
2,0.578992793710255,1,1,1,5,"2;1","HEcysvgO",0,2,NA,0,1.01,3
3,0.890590879235342,1,1,1,6,"2;1","HEcysvgO",0,2,NA,0,1.01,3
4,1.06633265496746,1,7,1,13,"2;1","HEcysvgO",0,2,NA,0,1.01,3
5,0.980340845295977,1,5,1,18,"2;1","HEcysvgO",0,2,NA,0,1.01,3
6,1.29668533758191,1,0,1,18,"2;1","HEcysvgO",0,2,NA,0,1.01,3
7,0.963889491658077,1,3,1,21,"2;1","HEcysvgO",0,2,NA,0,1.01,3
8,1.29590958164793,1,4,1,25,"2;1","HEcysvgO",0,2,NA,0,1.01,3
9,0.734999207285792,1,0,1,25,"2;1","HEcysvgO",0,2,NA,0,1.01,3
10,0.728985812215907,2,2,1,27,"2;1","HEcysvgO",0,2,NA,0,1.01,3
11,1.23485037555228,1,2,1,29,"2;1","HEcysvgO",0,2,NA,0,1.01,3
12,0.889811776151289,1,5,1,34,"2;1","HEcysvgO",0,2,NA,0,1.01,3
13,0.695549032386354,1,4,1,38,"2;1","HEcysvgO",0,2,NA,0,1.01,3
14,0.719021400192918,1,1,1,39,"2;1","HEcysvgO",0,2,NA,0,1.01,3
15,0.715707080050585,1,6,1,45,"2;1","HEcysvgO",0,2,NA,0,1.01,3
16,1.07087426828293,1,5,1,50,"2;1","HEcysvgO",0,2,NA,0,1.01,3
17,0.877424715868504,1,5,1,55,"2;1","HEcysvgO",0,2,NA,0,1.01,3
18,0.5,1,4,1,59,"2;1","HEcysvgO",0,2,NA,0,1.01,3
19,1.18013240819315,1,5,1,64,"2;1","HEcysvgO",0,2,NA,0,1.01,3
20,0.892592269748002,1,2,1,66,"2;1","HEcysvgO",0,2,NA,0,1.01,3
1,1.1691131591435,2,4,2,4,"2;1","HEcysvgO",0,2,NA,0,1.01,3
2,0.68990841451069,2,4,2,8,"2;1","HEcysvgO",0,2,NA,0,1.01,3
3,0.661207068288141,2,5,2,13,"2;1","HEcysvgO",0,2,NA,0,1.01,3
4,0.776321529472513,2,1,2,14,"2;1","HEcysvgO",0,2,NA,0,1.01,3
5,0.614386677926702,2,6,2,20,"2;1","HEcysvgO",0,2,NA,0,1.01,3
6,0.544333921552921,2,5,2,25,"2;1","HEcysvgO",0,2,NA,0,1.01,3
7,0.95936651226145,1,6,2,31,"2;1","HEcysvgO",0,2,NA,0,1.01,3
8,0.865862889669852,2,3,2,34,"2;1","HEcysvgO",0,2,NA,0,1.01,3
9,0.5,2,-2,2,32,"2;1","HEcysvgO",0,2,NA,0,1.01,3
10,0.507126578735346,2,3,2,35,"2;1","HEcysvgO",0,2,NA,0,1.01,3
11,0.677008032627924,2,0,2,35,"2;1","HEcysvgO",0,2,NA,0,1.01,3
12,0.618965252168361,2,7,2,42,"2;1","HEcysvgO",0,2,NA,0,1.01,3
13,1.13612403883285,2,5,2,47,"2;1","HEcysvgO",0,2,NA,0,1.01,3
14,0.863196630378267,2,7,2,54,"2;1","HEcysvgO",0,2,NA,0,1.01,3
15,1.14884687356556,2,8,2,62,"2;1","HEcysvgO",0,2,NA,0,1.01,3
16,0.561184314019918,1,1,2,63,"2;1","HEcysvgO",0,2,NA,0,1.01,3
17,0.70248681007836,2,6,2,69,"2;1","HEcysvgO",0,2,NA,0,1.01,3
18,0.522254375485279,2,2,2,71,"2;1","HEcysvgO",0,2,NA,0,1.01,3
19,0.957983761792195,2,3,2,74,"2;1","HEcysvgO",0,2,NA,0,1.01,3
20,0.893181335939504,2,7,2,81,"2;1","HEcysvgO",0,2,NA,0,1.01,3
